GUDAGUDA New Yamatai,,GUDAGUDA Shin Yamataikoku,,Lotto Drop Bonus:,,4,,Apple AP Buyback?:,X,,Event Run Caps:,"3,000","1,000",,,,,,Raid Run Caps:,,,,,,,,Special Notes:,Special sheet for GUDAGUDA New Yamataikoku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Tea,Eff,,,Avg Lot,# Lot,Tea/Run,,Avg Lot,# Lot,Tea/Run,,Avg Lot,# Lot,Tea/Run,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,,ID,Material,Drop%
Wabi: Rogues Extermination,40,40,715,Event,4,,1.803,1.041,,6516,Evil Bone,75.9,52.7,AP,0.355,0.232,,7007,Berserker Piece,20.79,192.4,AP,0.101,,,6007,Gem of Berserker,52.53,76.1,AP,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,"3,384",,,,39.7,13.2,92.6,,34.0,11.3,79.4,,,,,,6512,Dragon Fang,9.02,443.3,AP,0.057,0.034,,6522,Fool's Chain,9.02,443.3,AP,0.059,0.036,,6530,Mystic Spinal Fluid,9.02,443.3,AP,0.065,0.036,,6502,Seed of Yggdrasil,8.85,443.3,AP,0.079,0.044,,6508,Ghost Lantern,9.02,443.3,AP,0.103,0.061,,6501,Phoenix Feather,9.02,443.3,AP,0.118,0.065,,6524,Great Knight Medal,9.02,443.3,AP,0.123,0.070,,6532,Refined Magatama,9.02,443.3,AP,0.099,0.053,,6517,Heart of the Foreign God,7.43,538.2,AP,0.281,0.128,,6521,Black Beast Grease,7.43,538.2,AP,0.172,0.105,,6548,Flaming Oni Lantern Plant,7.43,538.2,AP,0.291,0.178,,,,-6,XP,60.5
Wabi: Investigating Teahouse,40,40,715,Event,4,,1.844,1.043,,6512,Dragon Fang,61.55,65.0,AP,0.386,0.229,,7005,Caster Piece,23.05,173.5,AP,0.088,,,6005,Gem of Caster,61.22,65.3,AP,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,"3,406",,,,,,,,39.9,13.3,93.2,,34.3,11.4,79.9,,6512,Dragon Fang,9.08,440.4,AP,0.057,0.034,,6522,Fool's Chain,9.08,440.4,AP,0.060,0.036,,6530,Mystic Spinal Fluid,9.08,440.4,AP,0.065,0.036,,6502,Seed of Yggdrasil,8.90,440.4,AP,0.080,0.044,,6508,Ghost Lantern,9.08,440.4,AP,0.104,0.061,,6501,Phoenix Feather,9.08,440.4,AP,0.119,0.066,,6524,Great Knight Medal,9.08,440.4,AP,0.123,0.071,,6532,Refined Magatama,9.08,440.4,AP,0.100,0.053,,6517,Heart of the Foreign God,7.48,534.8,AP,0.283,0.129,,6521,Black Beast Grease,7.48,534.8,AP,0.173,0.106,,6548,Flaming Oni Lantern Plant,7.48,534.8,AP,0.293,0.179,,,,-6,XP,60.9
Wabi: Raid! Chabana Bandits,40,40,715,Event,4,,1.799,0.982,,6503,Proof of Hero,75.74,52.8,AP,0.354,0.175,,7006,Assassin Piece,20.14,198.6,AP,0.080,,,6006,Gem of Assassin,50.61,79.0,AP,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,"3,376",,,,33.8,11.3,78.9,,,,,,39.7,13.2,92.7,,6512,Dragon Fang,9.00,444.3,AP,0.056,0.033,,6522,Fool's Chain,9.00,444.3,AP,0.059,0.035,,6530,Mystic Spinal Fluid,9.00,444.3,AP,0.065,0.036,,6502,Seed of Yggdrasil,8.83,444.3,AP,0.079,0.044,,6508,Ghost Lantern,9.00,444.3,AP,0.103,0.061,,6501,Phoenix Feather,9.00,444.3,AP,0.118,0.065,,6524,Great Knight Medal,9.00,444.3,AP,0.122,0.070,,6532,Refined Magatama,9.00,444.3,AP,0.099,0.053,,6517,Heart of the Foreign God,7.41,539.6,AP,0.281,0.128,,6521,Black Beast Grease,7.41,539.6,AP,0.172,0.105,,6548,Flaming Oni Lantern Plant,7.41,539.6,AP,0.290,0.178,,,,-6,XP,60.4
Wasteland: Tea Ceremony?,40,40,815,Event,4,,3.613,2.059,,6547,Ball of Rainbow Thread,34.83,114.8,AP,0.399,0.243,,6541,Arrowhead of Malice,38.09,105.0,AP,0.434,0.263,,7103,Lancer Monument,14.86,269.2,AP,0.178,,,6103,Magic Gem of Lancer,27.53,145.3,AP,0.138,,,6003,Gem of Lancer,28.03,142.7,AP,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,"6,495",,,,36.6,12.2,85.4,,32.8,10.9,76.4,,18.0,6.0,42.1,,6512,Dragon Fang,17.32,230.9,AP,0.109,0.064,,6522,Fool's Chain,17.32,230.9,AP,0.114,0.068,,6530,Mystic Spinal Fluid,17.32,230.9,AP,0.124,0.069,,6502,Seed of Yggdrasil,16.98,230.9,AP,0.152,0.085,,6508,Ghost Lantern,17.32,230.9,AP,0.198,0.117,,6501,Phoenix Feather,17.32,230.9,AP,0.227,0.126,,6524,Great Knight Medal,17.32,230.9,AP,0.235,0.135,,6532,Refined Magatama,17.32,230.9,AP,0.191,0.101,,6517,Heart of the Foreign God,14.26,280.4,AP,0.540,0.246,,6521,Black Beast Grease,14.26,280.4,AP,0.331,0.201,,6548,Flaming Oni Lantern Plant,14.26,280.4,AP,0.558,0.342,,,,-6,XP,116.2
Wasteland: Lost One's Guide,40,40,815,Event,4,,3.728,2.009,,6520,Tearstone of Blood,23.5,170.2,AP,0.639,0.320,,6509,Serpent Jewel,31.34,127.6,AP,0.353,0.160,,7102,Archer Monument,14.59,274.2,AP,0.177,,,6102,Magic Gem of Archer,43,93.0,AP,0.215,,,6002,Gem of Archer,28.71,139.3,AP,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,"6,395",,,,17.9,6.0,41.7,,36.0,12.0,84.0,,31.8,10.6,74.1,,6512,Dragon Fang,17.05,234.6,AP,0.107,0.063,,6522,Fool's Chain,17.05,234.6,AP,0.112,0.067,,6530,Mystic Spinal Fluid,17.05,234.6,AP,0.122,0.068,,6502,Seed of Yggdrasil,16.72,234.6,AP,0.150,0.083,,6508,Ghost Lantern,17.05,234.6,AP,0.195,0.115,,6501,Phoenix Feather,17.05,234.6,AP,0.223,0.124,,6524,Great Knight Medal,17.05,234.6,AP,0.231,0.132,,6532,Refined Magatama,17.05,234.6,AP,0.188,0.100,,6517,Heart of the Foreign God,14.04,284.8,AP,0.532,0.242,,6521,Black Beast Grease,14.04,284.8,AP,0.325,0.198,,6548,Flaming Oni Lantern Plant,14.04,284.8,AP,0.550,0.337,,,,-6,XP,114.4
Dark Sekigahara (East),40,40,815,Event,4,,3.642,2.081,,6545,Divine Leyline Spiritron,37.95,105.4,AP,0.437,0.267,,6536,Aurora Steel,34.27,116.7,AP,0.391,0.241,,7107,Berserker Monument,16.1,248.4,AP,0.194,,,6107,Magic Gem of Berserker,26.52,150.8,AP,0.146,,,6007,Gem of Berserker,27.32,146.4,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,"6,575",,,,32.5,10.8,75.8,,18.6,6.2,43.4,,36.3,12.1,84.8,,6512,Dragon Fang,17.53,228.1,AP,0.110,0.065,,6522,Fool's Chain,17.53,228.1,AP,0.115,0.069,,6530,Mystic Spinal Fluid,17.53,228.1,AP,0.126,0.070,,6502,Seed of Yggdrasil,17.19,228.1,AP,0.154,0.086,,6508,Ghost Lantern,17.53,228.1,AP,0.200,0.118,,6501,Phoenix Feather,17.53,228.1,AP,0.230,0.127,,6524,Great Knight Medal,17.53,228.1,AP,0.238,0.136,,6532,Refined Magatama,17.53,228.1,AP,0.193,0.103,,6517,Heart of the Foreign God,14.44,277.0,AP,0.547,0.249,,6521,Black Beast Grease,14.44,277.0,AP,0.335,0.204,,6548,Flaming Oni Lantern Plant,14.44,277.0,AP,0.565,0.346,,,,-6,XP,117.6
Dark Sekigahara (West),40,40,915,Event,4,,4.613,2.542,,6518,Spirit Root,20.86,191.8,AP,0.786,0.388,,6538,Soundless Bell,40.56,98.6,AP,0.468,0.278,,7101,Saber Monument,20.71,193.1,AP,0.257,,,6101,Magic Gem of Saber,44.94,89.0,AP,0.248,,,6001,Gem of Saber,28.07,142.5,AP,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,"7,847",,,,39.4,13.1,91.9,,34.6,11.5,80.6,,24.2,8.1,56.6,,6512,Dragon Fang,20.92,191.2,AP,0.131,0.078,,6522,Fool's Chain,20.92,191.2,AP,0.138,0.082,,6530,Mystic Spinal Fluid,20.92,191.2,AP,0.150,0.083,,6502,Seed of Yggdrasil,20.51,191.2,AP,0.184,0.102,,6508,Ghost Lantern,20.92,191.2,AP,0.239,0.141,,6501,Phoenix Feather,20.92,191.2,AP,0.274,0.152,,6524,Great Knight Medal,20.92,191.2,AP,0.284,0.163,,6532,Refined Magatama,20.92,191.2,AP,0.231,0.122,,6517,Heart of the Foreign God,17.23,232.1,AP,0.653,0.297,,6521,Black Beast Grease,17.23,232.1,AP,0.399,0.243,,6548,Flaming Oni Lantern Plant,17.23,232.1,AP,0.675,0.413,,,,-6,XP,140.3
Dark Sawayama Castle,40,40,915,Event,4,,4.870,2.690,,6529,Cursed Beast Gallstone,21.45,186.5,AP,0.813,0.426,,6502,Seed of Yggdrasil,50.43,79.3,AP,0.444,0.246,,6204,Secret Gem of Rider,25.71,155.6,AP,0.472,,,7104,Rider Monument,20.05,199.5,AP,0.247,,,6004,Gem of Rider,33.86,118.1,AP,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,"8,442",,,,26.9,9.0,62.9,,40.3,13.4,94.0,,35.8,11.9,83.6,,6512,Dragon Fang,22.51,177.7,AP,0.141,0.084,,6522,Fool's Chain,22.51,177.7,AP,0.148,0.089,,6530,Mystic Spinal Fluid,22.51,177.7,AP,0.162,0.090,,6502,Seed of Yggdrasil,22.07,177.7,AP,0.198,0.110,,6508,Ghost Lantern,22.51,177.7,AP,0.257,0.152,,6501,Phoenix Feather,22.51,177.7,AP,0.295,0.163,,6524,Great Knight Medal,22.51,177.7,AP,0.306,0.175,,6532,Refined Magatama,22.51,177.7,AP,0.248,0.132,,6517,Heart of the Foreign God,18.54,215.8,AP,0.702,0.319,,6521,Black Beast Grease,18.54,215.8,AP,0.430,0.262,,6548,Flaming Oni Lantern Plant,18.54,215.8,AP,0.726,0.444,,,,-6,XP,151.0
Ancestral Cavern,40,40,915,Event,4,,4.522,2.513,,6531,Mysterious Divine Wine,21.42,186.7,AP,0.759,0.397,,6533,Stake of Wailing Night,60.76,65.8,AP,0.415,0.244,,6205,Secret Gem of Caster,25.84,154.8,AP,0.320,,,7105,Caster Monument,20.95,190.9,AP,0.255,,,6105,Magic Gem of Caster,17.29,231.3,AP,0.077,,,6005,Gem of Caster,17.45,229.2,AP,0.035,,,,,,,,,,,,,,,,,,,"9,400",235,"7,825",,,,34.7,11.6,80.9,,24.1,8.0,56.3,,39.3,13.1,91.6,,6512,Dragon Fang,20.87,191.7,AP,0.131,0.078,,6522,Fool's Chain,20.87,191.7,AP,0.137,0.082,,6530,Mystic Spinal Fluid,20.87,191.7,AP,0.150,0.083,,6502,Seed of Yggdrasil,20.46,191.7,AP,0.184,0.102,,6508,Ghost Lantern,20.87,191.7,AP,0.238,0.141,,6501,Phoenix Feather,20.87,191.7,AP,0.273,0.151,,6524,Great Knight Medal,20.87,191.7,AP,0.283,0.162,,6532,Refined Magatama,20.87,191.7,AP,0.230,0.122,,6517,Heart of the Foreign God,17.18,232.8,AP,0.651,0.296,,6521,Black Beast Grease,17.18,232.8,AP,0.398,0.243,,6548,Flaming Oni Lantern Plant,17.18,232.8,AP,0.673,0.412,,,,-6,XP,139.9
Isolated Ravine Island,40,40,"1,098",Event,4,,5.819,3.309,,6506,Dragon's Reverse Scale,25.12,159.2,AP,1.036,0.605,,6534,Mystic Gunpowder,79.03,50.6,AP,0.541,0.332,,6203,Secret Gem of Lancer,31.83,125.7,AP,0.585,,,7103,Lancer Monument,26.51,150.9,AP,0.317,,,6103,Magic Gem of Lancer,15.58,256.7,AP,0.078,,,6003,Gem of Lancer,17.84,224.2,AP,0.037,,,,,,,,,,,,,,,,,,,"11,280",282,"9,914",,,,35.9,12.0,83.9,,36.1,12.0,84.3,,36.1,12.0,84.1,,6512,Dragon Fang,26.44,151.3,AP,0.166,0.098,,6522,Fool's Chain,26.44,151.3,AP,0.174,0.104,,6530,Mystic Spinal Fluid,26.44,151.3,AP,0.190,0.105,,6502,Seed of Yggdrasil,25.92,151.3,AP,0.233,0.129,,6508,Ghost Lantern,26.44,151.3,AP,0.302,0.178,,6501,Phoenix Feather,26.44,151.3,AP,0.346,0.192,,6524,Great Knight Medal,26.44,151.3,AP,0.359,0.205,,6532,Refined Magatama,26.44,151.3,AP,0.291,0.155,,6517,Heart of the Foreign God,21.77,183.7,AP,0.825,0.375,,6521,Black Beast Grease,21.77,183.7,AP,0.505,0.307,,6548,Flaming Oni Lantern Plant,21.77,183.7,AP,0.852,0.522,,,,-6,XP,177.3
