Christmas 2022,,Glorious Path to Santa Claus,Lotto Drop Bonus:,,,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Merry Roadwork: Beg,30,30,Lotto,,,0.111,0.068,,6509,Serpent Jewel,3.66,819.7,AP,0.054,0.033,,6527,Deadly Poison Needle,5.64,531.9,AP,0.057,0.035,,6003,Gem of Lancer,14.74,203.5,AP,0.041,,,7003,Lancer Piece,10.1,297.0,AP,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,,,,9.2,4.6,,,,,,,,,,,,6513,Meteor Horseshoes,,,,,,,6502,Seed of Yggdrasil,,,,,,,6505,Void's Dust,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6537,Giant's Ring,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Merry Roadwork: Int,35,35,Lotto,,,0.215,0.136,,6509,Serpent Jewel,9.67,361.9,AP,0.122,0.075,,6516,Evil Bone,17.45,200.6,AP,0.093,0.061,,6006,Gem of Assassin,18.05,193.9,AP,0.038,,,7006,Assassin Piece,15.2,230.3,AP,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,,,,14.4,7.2,,,,,,,,,,,,6513,Meteor Horseshoes,,,,,,,6502,Seed of Yggdrasil,,,,,,,6505,Void's Dust,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6537,Giant's Ring,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Merry Roadwork: Adv,40,40,Lotto,,,0.302,0.196,,6509,Serpent Jewel,13.94,286.9,AP,0.154,0.095,,6535,Eternal Ice,14.43,277.2,AP,0.148,0.101,,6102,Magic Gem of Archer,10.96,365.0,AP,0.055,,,7002,Archer Piece,18,222.2,AP,0.085,,,6002,Gem of Archer,16.7,239.5,AP,0.030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,,,,25.3,11.2,,,,,,,,,,,,6513,Meteor Horseshoes,,,,,,,6502,Seed of Yggdrasil,,,,,,,6505,Void's Dust,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6537,Giant's Ring,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Flyweight,40,40,Lotto,,,0.653,0.345,,6520,Tearstone of Blood,12.57,318.2,AP,0.355,0.177,,6543,Crown of Silvery Light,12.35,323.9,AP,0.156,0.089,,6502,Seed of Yggdrasil,16.2,246.9,AP,0.142,0.078,,6107,Magic Gem of Berserker,15.2,263.2,AP,0.084,,,7007,Berserker Piece,20.1,199.0,AP,0.097,,,6007,Gem of Berserker,14.8,270.3,AP,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,,,,26.0,11.6,,,,,,,,,,,,6513,Meteor Horseshoes,,,,,,,6502,Seed of Yggdrasil,,,,,,,6505,Void's Dust,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6537,Giant's Ring,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Bantamweight,40,40,Lotto,,,0.722,0.375,,6539,Reactor Core of Dawn,15.24,262.5,AP,0.352,0.178,,6543,Crown of Silvery Light,15.52,257.7,AP,0.196,0.112,,6510,Eternal Gear,15.65,255.6,AP,0.174,0.085,,6101,Magic Gem of Saber,15.65,255.6,AP,0.086,,,7101,Saber Monument,9.8,408.2,AP,0.122,,,6001,Gem of Saber,20.2,198.0,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,32.1,12.1,,,,,,,,,,,,6513,Meteor Horseshoes,,,,,,,6502,Seed of Yggdrasil,,,,,,,6505,Void's Dust,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6537,Giant's Ring,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Featherweight,40,40,Lotto,,,0.919,0.507,,6523,Lamp of Evil-Sealing,17.53,228.2,AP,0.419,0.240,,6543,Crown of Silvery Light,17.67,226.4,AP,0.224,0.128,,6511,Forbidden Page,18.22,219.5,AP,0.277,0.138,,6105,Magic Gem of Caster,20.4,196.1,AP,0.090,,,7105,Caster Monument,15.6,256.4,AP,0.190,,,6005,Gem of Caster,19.4,206.2,AP,0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,32.9,12.3,,,,,,,,,,,,6513,Meteor Horseshoes,,,,,,,6502,Seed of Yggdrasil,,,,,,,6505,Void's Dust,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6537,Giant's Ring,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Welterweight,40,40,Lotto,,,1.092,0.651,,6506,Dragon's Reverse Scale,17.14,233.4,AP,0.705,0.413,,6545,Divine Leyline Spiritron,20.1,199.0,AP,0.232,0.138,,6512,Dragon Fang,24.73,161.7,AP,0.155,0.100,,6204,Secret Gem of Rider,10.24,390.6,AP,0.187,,,7104,Rider Monument,17.9,223.5,AP,0.217,,,6104,Magic Gem of Rider,15.3,261.4,AP,0.083,,,6004,Gem of Rider,23.4,170.9,AP,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,33.8,12.7,,,,,,,,,,,,6513,Meteor Horseshoes,,,,,,,6502,Seed of Yggdrasil,,,,,,,6505,Void's Dust,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6537,Giant's Ring,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Heavyweight,40,40,Lotto,,,1.187,0.673,,6531,Mysterious Divine Wine,20.02,199.8,AP,0.706,0.347,,6545,Divine Leyline Spiritron,21.12,189.4,AP,0.243,0.145,,6513,Meteor Horseshoes,21.88,182.8,AP,0.238,0.181,,6203,Secret Gem of Lancer,20.07,199.3,AP,0.369,,,7103,Lancer Monument,19.9,201.0,AP,0.238,,,6103,Magic Gem of Lancer,15.2,263.2,AP,0.076,,,6003,Gem of Lancer,18.1,221.0,AP,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,44.8,16.7,,,,,,,,,,,,6513,Meteor Horseshoes,,,,,,,6502,Seed of Yggdrasil,,,,,,,6505,Void's Dust,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6537,Giant's Ring,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Super Heavyweight,40,40,Lotto,,,1.635,0.991,,6517,Heart of the Foreign God,25.05,159.7,AP,0.953,0.593,,6545,Divine Leyline Spiritron,27.21,147.0,AP,0.314,0.187,,6524,Great Knight Medal,27.22,147.0,AP,0.368,0.211,,6202,Secret Gem of Archer,29.89,133.8,AP,0.534,,,7102,Archer Monument,25.1,159.4,AP,0.304,,,6102,Magic Gem of Archer,19.9,201.0,AP,0.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,44.4,16.6,,,,,,,,,,,,6513,Meteor Horseshoes,,,,,,,6502,Seed of Yggdrasil,,,,,,,6505,Void's Dust,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6537,Giant's Ring,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Ultra Heavyweight,40,40,Lotto,,,2.015,1.237,,6548,Flaming Oni Lantern Plant,31.1,128.6,AP,1.224,0.748,,6508,Ghost Lantern,34.4,116.3,AP,0.394,0.252,,6545,Divine Leyline Spiritron,34.5,115.9,AP,0.398,0.237,,6207,Secret Gem of Berserker,30.7,130.3,AP,0.574,,,7107,Berserker Monument,31,129.0,AP,0.372,,,6107,Magic Gem of Berserker,21.7,184.3,AP,0.119,,,6007,Gem of Berserker,21.5,186.0,AP,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",338,,,,53.9,17.9,,,,,,,,,,,,6513,Meteor Horseshoes,,,,,,,6502,Seed of Yggdrasil,,,,,,,6505,Void's Dust,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6537,Giant's Ring,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
