Christmas 2025 w/ Core,,Merry Christmas in the Snowy Fields 2025,,Lotto Drop Bonus:,,,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Novice,30,30,215,Lotto,,,0.316,0.218,,6555,Vestige of Madness,20.32,147.6,AP,0.202,0.151,,6527,Deadly Poison Needle,11.23,267.1,AP,0.114,0.067,,6107,Magic Gem of Berserker,5.35,560.7,AP,0.039,,,7007,Berserker Piece,12.83,233.8,AP,0.083,,,6007,Gem of Berserker,13.37,224.4,AP,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",80,,,,24.3,6.1,,,,6539,Reactor Core of Dawn,,,,,,,6526,Shell of Reminiscence,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Intermediate,35,35,415,Lotto,,,0.468,0.281,,6545,Divine Leyline Spiritron,17.56,199.3,AP,0.232,0.142,,6508,Ghost Lantern,18.05,193.9,AP,0.236,0.139,,6006,Gem of Assassin,26.59,131.6,AP,0.055,,,7006,Assassin Piece,14.63,239.2,AP,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",126,,,,30.5,8.2,,,,6539,Reactor Core of Dawn,,,,,,,6526,Shell of Reminiscence,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Advanced,40,40,615,Lotto,,,0.491,0.332,,6535,Eternal Ice,48.16,83.1,AP,0.491,0.332,,6101,Magic Gem of Saber,18.21,219.7,AP,0.101,,,7101,Saber Monument,11.03,362.6,AP,0.135,,,6001,Gem of Saber,22.94,174.4,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,35.6,9.9,,,,6539,Reactor Core of Dawn,,,,,,,6526,Shell of Reminiscence,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Expert,40,40,815,Lotto,,,0.812,0.485,,6553,Sun Leather,22.08,181.2,AP,0.247,0.180,,6511,Forbidden Page,21.62,185.0,AP,0.328,0.149,,6516,Evil Bone,50.64,79.0,AP,0.237,0.155,,6205,Secret Gem of Caster,14.68,272.5,AP,0.182,,,7105,Caster Monument,4.74,843.9,AP,0.058,,,6107,Magic Gem of Berserker,16.88,237.0,AP,0.093,,,7107,Berserker Monument,3.12,"1,282.1",AP,0.038,,,6007,Gem of Berserker,17.11,233.8,AP,0.030,,,7106,Assassin Monument,6.13,652.5,AP,0.074,,,7104,Rider Monument,3.93,"1,017.8",AP,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,35.7,11.9,,,,6539,Reactor Core of Dawn,,,,,,,6526,Shell of Reminiscence,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Powder: Day 1,40,40,915,Lotto,,,1.320,0.749,,6529,Cursed Beast Gallstone,21.61,185.1,AP,0.834,0.434,,6535,Eternal Ice,22.75,175.8,AP,0.232,0.157,,6551,Ceremonial Sword of Twilight,34.99,114.3,AP,0.254,0.159,,6205,Secret Gem of Caster,21.99,181.9,AP,0.272,,,7105,Caster Monument,21.22,188.5,AP,0.259,,,6105,Magic Gem of Caster,17.21,232.4,AP,0.076,,,6005,Gem of Caster,16.63,240.5,AP,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,45.3,15.1,,,,6539,Reactor Core of Dawn,,,,,,,6526,Shell of Reminiscence,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Flake: Day 1,40,40,"1,098",Lotto,,,1.228,0.689,,6519,Warhorse's Young Horn,31.54,126.8,AP,0.679,0.400,,6526,Shell of Reminiscence,29.12,137.4,AP,0.338,0.186,,6503,Proof of Hero,45.27,88.4,AP,0.212,0.103,,6101,Magic Gem of Saber,31.13,128.5,AP,0.172,,,7101,Saber Monument,26.02,153.7,AP,0.317,,,6001,Gem of Saber,27.99,142.9,AP,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,49.4,16.5,,,,6539,Reactor Core of Dawn,,,,,,,6526,Shell of Reminiscence,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Powder: Day 2,40,40,915,Lotto,,,1.231,0.748,,6528,Primordial Lanugo,26.72,149.7,AP,0.695,0.408,,6538,Soundless Bell,24.38,164.1,AP,0.281,0.167,,6535,Eternal Ice,25,160.0,AP,0.255,0.173,,6204,Secret Gem of Rider,20.31,196.9,AP,0.372,,,7104,Rider Monument,17.97,222.6,AP,0.224,,,6104,Magic Gem of Rider,15.31,261.3,AP,0.083,,,6004,Gem of Rider,16.72,239.2,AP,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,45.5,15.2,,,,6539,Reactor Core of Dawn,,,,,,,6526,Shell of Reminiscence,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Flake: Day 2,40,40,"1,098",Lotto,,,1.120,0.656,,6550,Scale of Fantasy,49.82,80.3,AP,0.574,0.356,,6508,Ghost Lantern,28.76,139.1,AP,0.329,0.194,,6503,Proof of Hero,46.46,86.1,AP,0.217,0.106,,6103,Magic Gem of Lancer,16.48,242.7,AP,0.083,,,7103,Lancer Monument,26.55,150.7,AP,0.317,,,6003,Gem of Lancer,28.77,139.0,AP,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,49.4,16.5,,,,6539,Reactor Core of Dawn,,,,,,,6526,Shell of Reminiscence,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Powder: Day 3,40,40,915,Lotto,,,1.369,0.842,,6548,Flaming Oni Lantern Plant,20.75,192.8,AP,0.808,0.495,,6547,Ball of Rainbow Thread,26.12,153.1,AP,0.299,0.182,,6551,Ceremonial Sword of Twilight,36.14,110.7,AP,0.262,0.164,,6201,Secret Gem of Saber,23.26,172.0,AP,0.418,,,7101,Saber Monument,18.78,213.0,AP,0.229,,,6101,Magic Gem of Saber,16.82,237.8,AP,0.093,,,6001,Gem of Saber,17.89,223.6,AP,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,44.7,14.9,,,,6539,Reactor Core of Dawn,,,,,,,6526,Shell of Reminiscence,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Flake: Day 3,40,40,"1,098",Lotto,,,1.307,0.718,,6546,Fruit of Eternity,30.78,130.0,AP,0.706,0.356,,6545,Divine Leyline Spiritron,29.21,136.9,AP,0.338,0.207,,6527,Deadly Poison Needle,34.55,115.8,AP,0.263,0.155,,6103,Magic Gem of Lancer,32.47,123.2,AP,0.163,,,7103,Lancer Monument,25.83,154.9,AP,0.309,,,6003,Gem of Lancer,26.81,149.2,AP,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,49.5,16.5,,,,6539,Reactor Core of Dawn,,,,,,,6526,Shell of Reminiscence,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
