Arcade Collab,,Lilim Harlot,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,White ,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Capital of Greed,30,30,Event,12,,0.107,0.069,,6512,Dragon Fang,12.8,234.4,AP,0.107,0.069,,6007,Gem of Berserker,11,272.7,AP,0.026,,,7007,Berserker Piece,8.41,356.7,AP,0.054,,,7003,Lancer Piece,1.68,"1,785.7",AP,0.010,,,7006,Assassin Piece,2.8,"1,071.4",AP,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Capital of Pride,35,35,Event,12,,0.194,0.125,,6508,Ghost Lantern,10.8,324.1,AP,0.141,0.090,,6516,Evil Bone,10,350.0,AP,0.053,0.035,,6102,Magic Gem of Archer,11.3,309.7,AP,0.065,,,6002,Gem of Archer,18.9,185.2,AP,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Capital of Sloth,40,40,Event,12,,0.205,0.100,,6503,Proof of Hero,43.8,91.3,AP,0.205,0.100,,6007,Gem of Berserker,12.3,325.2,AP,0.022,,,7007,Berserker Piece,10.5,381.0,AP,0.051,,,7005,Caster Piece,8.38,477.3,AP,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Capital of Lust,40,40,Event,12,,0.516,0.252,,6518,Spirit Root,7.49,534.0,AP,0.288,0.141,,6515,Octuplet Crystal,19.7,203.0,AP,0.228,0.112,,6203,Secret Gem of Lancer,4.72,847.5,AP,0.087,,,7003,Lancer Piece,18.9,211.6,AP,0.088,,,6003,Gem of Lancer,18.8,212.8,AP,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,900",123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Ziggurat F99 Capturing Tour,40,40,Event,12,,0.614,0.310,,6539,Reactor Core of Dawn,12.9,310.1,AP,0.298,0.150,,6546,Fruit of Eternity,13.7,292.0,AP,0.316,0.159,,6201,Secret Gem of Saber,4.51,886.9,AP,0.078,,,6101,Magic Gem of Saber,5.83,686.1,AP,0.032,,,6001,Gem of Saber,17.5,228.6,AP,0.032,,,7004,Rider Piece,6.77,590.8,AP,0.031,,,7005,Caster Piece,5.83,686.1,AP,0.022,,,7006,Assassin Piece,6.56,609.8,AP,0.026,,,7007,Berserker Piece,5.46,732.6,AP,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
City Sightseeing Tour,40,40,Event,12,,0.674,0.345,,6529,Cursed Beast Gallstone,10.4,384.6,AP,0.408,0.201,,6501,Phoenix Feather,20.2,198.0,AP,0.265,0.145,,6207,Secret Gem of Berserker,6.53,612.6,AP,0.122,,,7007,Berserker Piece,6.6,606.1,AP,0.032,,,6107,Magic Gem of Berserker,11.9,336.1,AP,0.065,,,6007,Gem of Berserker,16.6,241.0,AP,0.029,,,7004,Rider Piece,5.3,754.7,AP,0.024,,,7005,Caster Piece,5.73,698.1,AP,0.022,,,7006,Assassin Piece,5.86,682.6,AP,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,900",148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Masquerade Parade,40,40,Event,12,,0.875,0.455,,6520,Tearstone of Blood,15.5,258.1,AP,0.437,0.219,,6510,Eternal Gear,16.3,245.4,AP,0.181,0.089,,6524,Great Knight Medal,19,210.5,AP,0.257,0.147,,6102,Magic Gem of Archer,17.1,233.9,AP,0.086,,,6002,Gem of Archer,17.4,229.9,AP,0.031,,,7104,Rider Monument,5.05,792.1,AP,0.061,,,7105,Caster Monument,3.28,"1,219.5",AP,0.040,,,7106,Assassin Monument,4.83,828.2,AP,0.058,,,7107,Berserker Monument,3.71,"1,078.2",AP,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Sabbath Venue,40,40,Event,12,,0.470,0.292,,6533,Stake of Wailing Night,68.8,58.1,AP,0.470,0.292,,6106,Magic Gem of Assassin,17.9,223.5,AP,0.085,,,7106,Assassin Monument,4.32,925.9,AP,0.052,,,6006,Gem of Assassin,17.7,226.0,AP,0.033,,,7104,Rider Monument,3.96,"1,010.1",AP,0.048,,,7105,Caster Monument,4.32,925.9,AP,0.053,,,7107,Berserker Monument,4.59,871.5,AP,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,900",173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
The Fellowship,40,40,Event,12,,0.789,0.481,,6519,Warhorse's Young Horn,18.5,216.2,AP,0.398,0.241,,6552,Ashes of Forgetfulness,52.2,76.6,AP,0.392,0.240,,6104,Magic Gem of Rider,20.6,194.2,AP,0.111,,,7104,Rider Monument,21.9,182.6,AP,0.266,,,6004,Gem of Rider,23.3,171.7,AP,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
My Fair Lady,40,40,Event,12,,0.894,0.540,,6506,Dragon's Reverse Scale,15.2,263.2,AP,0.625,0.366,,6512,Dragon Fang,42.9,93.2,AP,0.269,0.174,,6203,Secret Gem of Lancer,10.5,381.0,AP,0.193,,,7103,Lancer Monument,20.1,199.0,AP,0.240,,,6103,Magic Gem of Lancer,22.7,176.2,AP,0.114,,,6003,Gem of Lancer,23.6,169.5,AP,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
