Valentines 2025,,Miss Johanna and Unconfirmed Love,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Round Up Different Dolls,30,30,Event,12,,0.180,0.132,,6514,Homunculus Baby,11.9,252.1,AP,0.180,0.132,,6106,Magic Gem of Assassin,7.14,420.2,AP,0.045,,,7006,Assassin Piece,9.69,309.6,AP,0.051,,,6006,Gem of Assassin,6.63,452.5,AP,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Stop Spread of Ode to Johanna,35,35,Event,12,,0.263,0.163,,6526,Shell of Reminiscense,19.8,176.8,AP,0.263,0.163,,6005,Gem of Caster,17.2,203.5,AP,0.040,,,7005,Caster Piece,10.2,343.1,AP,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Penetrate Town's Gate,40,40,Event,12,,0.210,0.103,,6503,Proof of Hero,44.9,89.1,AP,0.210,0.103,,6001,Gem of Saber,22.4,178.6,AP,0.041,,,7001,Saber Piece,21.2,188.7,AP,0.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Defeat Mercenary Corps,40,40,Event,12,,0.566,0.342,,6528,Primordial Lanugo,13,307.7,AP,0.334,0.199,,6534,Mystic Gunpowder,33.9,118.0,AP,0.232,0.143,,6102,Magic Gem of Archer,11.2,357.1,AP,0.056,,,7002,Archer Piece,21.5,186.0,AP,0.101,,,6002,Gem of Archer,23.8,168.1,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Escape from Vigilante,40,40,Event,12,,0.603,0.344,,6501,Phoenix Feather,21.6,185.2,AP,0.284,0.155,,6538,Soundless Bell,27.7,144.4,AP,0.320,0.190,,6104,Magic Gem of Rider,32.7,122.3,AP,0.177,,,7104,Rider Monument,9.97,401.2,AP,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Stop Fan Club Solicitors,40,40,Event,12,,0.760,0.453,,6519,Warhorse's Young Horn,18.3,218.6,AP,0.393,0.238,,6549,Small Bell of Absolution,50.6,79.1,AP,0.367,0.215,,6103,Magic Gem of Lancer,39.6,101.0,AP,0.198,,,7103,Lancer Monument,16.6,241.0,AP,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Obstruct Statue Repairs,40,40,Event,12,,0.978,0.543,,6521,Black Beast Grease,23.1,173.2,AP,0.536,0.327,,6515,Octuplet Crystal,38.2,104.7,AP,0.442,0.216,,6107,Magic Gem of Berserker,22.7,176.2,AP,0.125,,,7107,Berserker Monument,19.3,207.3,AP,0.232,,,6007,Gem of Berserker,23.1,173.2,AP,0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Destroy Golden Ceremonial Hall,40,40,Event,12,,1.339,0.670,,6518,Spirit Root,23.1,173.2,AP,0.887,0.434,,6532,Refined Magatama,41,97.6,AP,0.452,0.236,,6201,Secret Gem of Saber,16,250.0,AP,0.277,,,7101,Saber Monument,20.4,196.1,AP,0.253,,,6101,Magic Gem of Saber,33.6,119.0,AP,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Impede Young Millionaire,40,40,Event,12,,1.527,0.874,,6544,Fragment of a Twinkling Star,25.8,155.0,AP,0.958,0.564,,6530,Mystic Spinal Fluid,79.2,50.5,AP,0.568,0.310,,6205,Secret Gem of Caster,27.1,147.6,AP,0.335,,,7105,Caster Monument,26.1,153.3,AP,0.318,,,6005,Gem of Caster,31.8,125.8,AP,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Interrupt Erection of New Statue,40,40,Event,12,,1.863,1.007,,6540,Tsukumo Mirror,31.4,127.4,AP,1.202,0.590,,6551,Twilit Ritual Sword,91.5,43.7,AP,0.661,0.417,,6207,Secret Gem of Berserker,36.2,110.5,AP,0.677,,,7107,Berserker Monument,8.67,461.4,AP,0.104,,,6107,Magic Gem of Berserker,31.9,125.4,AP,0.175,,,7104,Rider Monument,8.4,476.2,AP,0.102,,,7105,Caster Monument,8.39,476.8,AP,0.102,,,7106,Assassin Monument,8.29,482.5,AP,0.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
