White Day 2025,,Tales of Chaldean Heavy Industries,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,White ,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Arondight Ironworks,30,30,Event,12,,0.089,0.059,,6516,Evil Bone,14.34,209.2,AP,0.089,0.059,,6007,Gem of Berserker,17.9,167.6,AP,0.042,,,7007,Berserker Piece,11.8,254.2,AP,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Pirates Express,35,35,Event,12,,0.245,0.146,,6522,Fool's Chain,32.67,107.1,AP,0.245,0.146,,6004,Gem of Rider,15.6,224.4,AP,0.037,,,7004,Rider Piece,16.4,213.4,AP,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Elephant Handicrafts,40,40,Event,12,,0.319,0.199,,6533,Stake of Wailing Night,46.8,85.5,AP,0.319,0.199,,6001,Gem of Saber,22.7,176.2,AP,0.042,,,7001,Saber Piece,19.6,204.1,AP,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Tomoe's Lunch,40,40,Event,12,,0.498,0.305,,6536,Aurora Steel,24.7,161.9,AP,0.278,0.170,,6527,Deadly Poison Needle,29,137.9,AP,0.220,0.135,,6102,Magic Gem of Archer,9.79,408.6,AP,0.049,,,7002,Archer Piece,21.3,187.8,AP,0.100,,,6002,Gem of Archer,24,166.7,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
"European-style Tavern, Tepes",40,40,Event,12,,0.785,0.407,,6520,Tearstone of Blood,16.2,246.9,AP,0.457,0.229,,6502,Seed of Yggdrasil,37.3,107.2,AP,0.327,0.179,,6103,Magic Gem of Lancer,21.5,186.0,AP,0.108,,,7103,Lancer Monument,15.7,254.8,AP,0.188,,,6003,Gem of Lancer,22.22,180.0,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
"Secret Company, Assassin",40,40,Event,12,,0.785,0.470,,6507,Claw of Chaos,18.2,219.8,AP,0.420,0.248,,6547,Ball of Rainbow Thread,31.7,126.2,AP,0.365,0.222,,6106,Magic Gem of Assassin,22.4,178.6,AP,0.106,,,7106,Assassin Monument,20.5,195.1,AP,0.247,,,6006,Gem of Assassin,24.2,165.3,AP,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Mt. Ooe Brewery,40,40,Event,12,,0.891,0.487,,6546,Fruit of Eternity,24.1,166.0,AP,0.556,0.280,,6509,Serpent Jewel,30.3,132.0,AP,0.336,0.206,,6105,Magic Gem of Caster,46,87.0,AP,0.202,,,7105,Caster Monument,22,181.8,AP,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Black Bart Hair Salon,40,40,Event,12,,1.207,0.673,,6529,Cursed Beast Gallstone,20.3,197.0,AP,0.797,0.392,,6535,Eternal Ice,40.1,99.8,AP,0.410,0.281,,6204,Secret Gem of Rider,10.7,373.8,AP,0.196,,,7104,Rider Monument,21.8,183.5,AP,0.265,,,6104,Magic Gem of Rider,22.5,177.8,AP,0.122,,,6004,Gem of Rider,22.3,179.4,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
"Argonauts Toys, OMIYA Branch",40,40,Event,12,,1.483,0.822,,6525,Scarab of Wisdom,26.23,152.5,AP,1.001,0.586,,6505,Void's Dust,66.63,60.0,AP,0.481,0.236,,6207,Secret Gem of Berserker,26.1,153.3,AP,0.488,,,7107,Berserker Monument,26.4,151.5,AP,0.317,,,6107,Magic Gem of Berserker,35.3,113.3,AP,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
"Argonauts Toys, URAWA Store",40,40,Event,12,,1.978,1.179,,6542,Egg of Truth,31.05,128.8,AP,1.251,0.731,,6550,Scale of Fantasy,62.61,63.9,AP,0.726,0.448,,6201,Secret Gem of Saber,30.6,130.7,AP,0.529,,,7101,Saber Monument,30.9,129.4,AP,0.383,,,6007,Gem of Berserker,33,121.2,AP,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
