White Day 2026,,Charlemagne's Montjoie Chivalrism,,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Novice,30,30,165,Event,12,,0.090,0.043,,6503,Proof of Hero,14.37,208.8,AP,0.090,0.043,,6002,Gem of Archer,16.09,186.5,AP,0.039,,,7002,Archer Piece,6.9,434.8,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Intermediate,35,35,265,Event,12,,0.245,0.152,,6533,Stake of Wailing Night,31.25,112.0,AP,0.245,0.152,,6007,Gem of Berserker,17.36,201.6,AP,0.034,,,7007,Berserker Piece,19.44,180.0,AP,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Advanced,40,40,415,Event,12,,0.239,0.146,,6527,Deadly Poison Needle,31.39,127.4,AP,0.239,0.146,,6003,Gem of Lancer,30.13,132.8,AP,0.063,,,7003,Lancer Piece,18.73,213.6,AP,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Expert,40,40,515,Event,12,,0.677,0.340,,6546,Fruit of Eternity,13.22,302.6,AP,0.303,0.153,,6511,Forbidden Page,24.59,162.7,AP,0.374,0.187,,6101,Magic Gem of Saber,31.4,127.4,AP,0.173,,,7001,Saber Piece,19.42,206.0,AP,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Studio,40,40,615,Event,12,,0.743,0.448,,6519,Warhorse's Young Horn,16.67,240.0,AP,0.359,0.217,,6508,Ghost Lantern,33.62,119.0,AP,0.384,0.231,,6104,Magic Gem of Rider,18.26,219.1,AP,0.099,,,7104,Rider Monument,11.74,340.7,AP,0.145,,,6004,Gem of Rider,23.77,168.3,AP,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Theatre,40,40,715,Event,12,,0.961,0.574,,6517,Heart of the Foreign God,13.42,298.1,AP,0.508,0.317,,6543,Crown of Silvery Light,36.05,111.0,AP,0.452,0.257,,6206,Secret Gem of Assassin,11.45,349.3,AP,0.210,,,7106,Assassin Monument,12.37,323.4,AP,0.149,,,6106,Magic Gem of Assassin,20.26,197.4,AP,0.096,,,6107,Magic Gem of Berserker,14.87,269.0,AP,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Playhouse,40,40,815,Event,12,,1.206,0.722,,6525,Scarab of Wisdom,20.56,194.6,AP,0.787,0.462,,6526,Shell of Reminiscence,36.04,111.0,AP,0.418,0.260,,6205,Secret Gem of Caster,16.24,246.3,AP,0.201,,,7105,Caster Monument,16.88,237.0,AP,0.206,,,6005,Gem of Caster,31.09,128.7,AP,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Hall,40,40,915,Event,12,,1.136,0.682,,6528,Primordial Lanugo,27.21,147.0,AP,0.707,0.419,,6534,Mystic Gunpowder,62.56,63.9,AP,0.429,0.263,,6107,Magic Gem of Berserker,20.28,197.2,AP,0.112,,,7107,Berserker Monument,22.62,176.8,AP,0.273,,,6007,Gem of Berserker,35.44,112.9,AP,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Grand Hall,40,40,"1,098",Event,12,,1.723,1.027,,6548,Flaming Oni Lantern Plant,25.65,155.9,AP,1.007,0.617,,6524,Great Knight Medal,52.74,75.8,AP,0.716,0.410,,6202,Secret Gem of Archer,25.27,158.3,AP,0.453,,,7102,Archer Monument,26.09,153.3,AP,0.316,,,6102,Magic Gem of Archer,17.44,229.4,AP,0.087,,,6107,Magic Gem of Berserker,16.45,243.2,AP,0.090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Opera House,40,40,"1,318",Event,12,,1.883,1.140,,6529,Cursed Beast Gallstone,31.39,127.4,AP,1.187,0.622,,6555,Vestige of Madness,93.37,42.8,AP,0.696,0.518,,6203,Secret Gem of Lancer,30.74,130.1,AP,0.565,,,7103,Lancer Monument,30.41,131.5,AP,0.363,,,6103,Magic Gem of Lancer,22.42,178.4,AP,0.113,,,6003,Gem of Lancer,11.25,355.6,AP,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
