Witch on the Holy Night Collab,,Kumano Hot Springs Killer Case,,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,Data assumes you met Event Quest's extra conditions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Hot Springs Entr: p1,30,30,165,Event,12,,0.126,0.045,,6516,Evil Bone,22.62,132.6,AP,0.126,0.045,,6103,Magic Gem of Lancer,10.71,280.1,AP,0.036,,,7003,Lancer Piece,10.71,280.1,AP,0.033,,,6003,Gem of Lancer,12.5,240.0,AP,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,301",2543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Hot Springs Entr: p2,35,35,265,Event,12,,0.407,0.113,,6502,Seed of Yggdrasil,40.44,86.5,AP,0.407,0.113,,6102,Magic Gem of Archer,18.01,194.3,AP,0.051,,,7002,Archer Piece,15.79,221.7,AP,0.042,,,6002,Gem of Archer,11.91,293.9,AP,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"158,734",4535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Hot Springs Entr: p3,40,40,415,Event,12,,0.308,0.091,,6512,Dragon Fang,49.05,81.5,AP,0.308,0.091,,6106,Magic Gem of Assassin,13.44,297.6,AP,0.032,,,7006,Assassin Piece,19.71,202.9,AP,0.039,,,6006,Gem of Assassin,26.65,150.1,AP,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"361,400",9035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Hell's Shrine,40,40,515,Event,12,,0.790,0.225,,6532,Refined Magatama,36.69,109.0,AP,0.405,0.112,,6515,Octuplet Crystal,33.36,119.9,AP,0.385,0.114,,6107,Magic Gem of Berserker,21.35,187.4,AP,0.059,,,7007,Berserker Piece,21.07,189.8,AP,0.051,,,6007,Gem of Berserker,28.84,138.7,AP,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"620,640",15516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Eternal Hallway,40,40,615,Event,12,,1.113,0.329,,6507,Claw of Chaos,25.75,155.3,AP,0.599,0.177,,6513,Meteor Horseshoes,47.21,84.7,AP,0.513,0.152,,6201,Secret Gem of Saber,6.01,665.6,AP,0.052,,,7101,Saber Monument,11.59,345.1,AP,0.072,,,6101,Magic Gem of Saber,31.76,125.9,AP,0.088,,,6001,Gem of Saber,37.77,105.9,AP,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"847,350",21184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Reference Room,40,40,715,Event,12,,1.198,0.480,,6539,Reactor Core of Dawn,28.31,141.3,AP,0.653,0.329,,6510,Eternal Gear,50.27,79.6,AP,0.545,0.151,,6105,Magic Gem of Caster,28.49,140.4,AP,0.063,,,7105,Caster Monument,9.44,423.7,AP,0.057,,,6005,Gem of Caster,36.48,109.6,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"940,310",23508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Mirrored Room,40,40,815,Event,12,,1.504,0.850,,6540,Tsukumo Mirror,24.36,164.2,AP,0.932,0.461,,6535,Eternal Ice,55.87,71.6,AP,0.571,0.389,,6207,Secret Gem of Berserker,11.46,349.0,AP,0.106,,,7107,Berserker Monument,4.58,873.4,AP,0.028,,,6107,Magic Gem of Berserker,13.18,303.5,AP,0.036,,,6007,Gem of Berserker,51.86,77.1,AP,0.045,,,7104,Rider Monument,5.44,735.3,AP,0.034,,,7105,Caster Monument,4.3,930.2,AP,0.026,,,7106,Assassin Monument,3.15,"1,269.8",AP,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"995,460",24887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Camellia Room,40,40,865,Event,12,,1.588,0.440,,6520,Tearstone of Blood,38.97,102.6,AP,1.060,0.294,,6501,Phoenix Feather,40.34,99.2,AP,0.528,0.146,,6104,Magic Gem of Rider,61.03,65.5,AP,0.165,,,7104,Rider Monument,20,200.0,AP,0.123,,,6004,Gem of Rider,19.31,207.1,AP,0.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,028,400",25710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Backyard,40,40,915,Event,12,,1.746,0.454,,6518,Spirit Root,30.9,129.4,AP,1.165,0.322,,6509,Serpent Jewel,51.69,77.4,AP,0.582,0.132,,6205,Secret Gem of Caster,28.65,139.6,AP,0.177,,,7105,Caster Monument,22.28,179.5,AP,0.136,,,6105,Magic Gem of Caster,56.74,70.5,AP,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,058,110",26453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Locked Room,40,40,"1,098",Event,12,,1.746,1.026,,6547,Ball of Rainbow Thread,79.68,50.2,AP,0.912,0.556,,6537,Giant's Ring,74.14,54.0,AP,0.834,0.470,,6107,Magic Gem of Berserker,90.13,44.4,AP,0.248,,,7107,Berserker Monument,26.71,149.8,AP,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,220,405",30510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
