Dancing Dragon Castle,,Dancing Dragon Castle,,Lotto Drop Bonus:,,12,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Nagasaki: Negotiation,30,30,165,Pseudo,12,,0.095,0.057,,6522,Fool's Chain,10.79,278.0,AP,0.095,0.057,,6106,Magic Gem of Assassin,10.16,295.3,AP,0.064,,,7006,Assassin Piece,12.06,248.8,AP,0.064,,,6006,Gem of Assassin,10.16,295.3,AP,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Nagasaki: Interview,40,40,615,Pseudo,12,,0.770,0.402,,6520,Tearstone of Blood,16.99,235.4,AP,0.461,0.230,,6502,Seed of Yggdrasil,35.18,113.7,AP,0.310,0.172,,6102,Magic Gem of Archer,18.31,218.5,AP,0.092,,,7102,Archer Monument,10.96,365.0,AP,0.134,,,6002,Gem of Archer,20.6,194.2,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Nagasaki: Recipes,40,40,715,Pseudo,12,,0.869,0.513,,6528,Primordial Lanugo,18.86,212.1,AP,0.490,0.288,,6538,Soundless Bell,32.89,121.6,AP,0.379,0.226,,6106,Magic Gem of Assassin,29.62,135.0,AP,0.140,,,7106,Assassin Monument,13.25,301.9,AP,0.161,,,6006,Gem of Assassin,24.08,166.1,AP,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Dragon Palace: Transport,35,35,265,Pseudo,12,,0.253,0.149,,6514,Homunculus Baby,19.54,179.1,AP,0.253,0.149,,6103,Magic Gem of Lancer,11.73,298.4,AP,0.067,,,7003,Lancer Piece,15.31,228.6,AP,0.082,,,6003,Gem of Lancer,11.73,298.4,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Dragon Palace: Rebuild,40,40,815,Pseudo,12,,0.965,0.565,,6519,Warhorse's Young Horn,24.7,161.9,AP,0.532,0.314,,6543,Crown of Silvery Light,36.19,110.5,AP,0.432,0.251,,6101,Magic Gem of Saber,34.23,116.9,AP,0.189,,,7101,Saber Monument,16.54,241.8,AP,0.202,,,6001,Gem of Saber,17.06,234.5,AP,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Detached Residence,40,40,415,Pseudo,12,,0.256,0.116,,6505,Void's Dust,35.42,112.9,AP,0.256,0.116,,6007,Gem of Berserker,28.7,139.4,AP,0.050,,,7007,Berserker Piece,23.15,172.8,AP,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Dumpling Store,40,40,515,Pseudo,12,,0.579,0.350,,6507,Claw of Chaos,13.93,287.2,AP,0.323,0.192,,6536,Aurora Steel,22.47,178.0,AP,0.256,0.157,,6104,Magic Gem of Rider,12.13,329.8,AP,0.066,,,7004,Rider Piece,21.46,186.4,AP,0.099,,,6004,Gem of Rider,19.44,205.8,AP,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Nagasaki Bay Seafloor,40,40,915,Pseudo,12,,1.296,0.706,,6540,Tsukumo Mirror,20.57,194.5,AP,0.820,0.411,,6550,Scale of Fantasy,41.36,96.7,AP,0.476,0.295,,6203,Secret Gem of Lancer,20.34,196.7,AP,0.375,,,7103,Lancer Monument,19.32,207.0,AP,0.231,,,6003,Gem of Lancer,31.82,125.7,AP,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Flood Gates,40,40,"1,098",Pseudo,12,,1.555,0.908,,6518,Spirit Root,25.45,157.2,AP,0.976,0.476,,6555,Vestige of Madness,77.69,51.5,AP,0.579,0.431,,6205,Secret Gem of Caster,26.16,152.9,AP,0.324,,,7105,Caster Monument,25.47,157.0,AP,0.311,,,6005,Gem of Caster,34.11,117.3,AP,0.070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Side Storehouse,40,40,"1,318",Pseudo,12,,1.904,1.167,,6548,Flaming Oni Lantern Plant,31.17,128.3,AP,1.217,0.745,,6554,Obsidian Knife,95.06,42.1,AP,0.687,0.422,,6204,Secret Gem of Rider,31.51,126.9,AP,0.577,,,7104,Rider Monument,8.79,455.1,AP,0.109,,,6104,Magic Gem of Rider,21.31,187.7,AP,0.115,,,6004,Gem of Rider,11.45,349.3,AP,0.024,,,7105,Caster Monument,8.55,467.8,AP,0.104,,,7106,Assassin Monument,7.56,529.1,AP,0.092,,,7107,Berserker Monument,8.76,456.6,AP,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
