Dancing Dragon Castle,,Dancing Dragon Castle,,Lotto Drop Bonus:,,12,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,Special sheet for GUDAGUDA New Yamataikoku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Sweets,Eff,,,Avg Lot,# Lot,Sw/Run,,Avg Lot,# Lot,Sw/Run,,Avg Lot,# Lot,Sw/Run,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,,
Nagasaki: Negotiation,30,30,165,Pseudo,12,,4.658,2.580,,6522,Fool's Chain,10.79,278.0,AP,0.095,0.056,,6106,Magic Gem of Assassin,10.16,295.3,AP,0.064,,,7006,Assassin Piece,12.06,248.8,AP,0.064,,,6006,Gem of Assassin,10.16,295.3,AP,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,65,0.002,,,13.5,4.5,67.5,,13.8,4.6,68.9,,,,0.0,,6530,Mystic Spinal Fluid,168.75,17.8,AP,1.614,0.894,,6502,Seed of Yggdrasil,,,,,,,6522,Fool's Chain,,,,,,,6501,Phoenix Feather,8.85,17.8,AP,2.948,1.628,,6523,Lamp of Evil-Sealing,,,,,,,6525,Scarab of Wisdom,,,,,,,6550,Scale of Fantasy,,,,,,,6533,Stake of Wailing Night,,,,,,,6511,Forbidden Page,,,,,,,6549,Small Bell of Absolution,,,,,,,6540,Tsukumo Mirror,,,,,,,6517,Heart of the Foreign God,,,,,,,,2.895,1.747979009
Nagasaki: Interview,40,40,615,Pseudo,12,,7.903,3.946,,6520,Tearstone of Blood,16.99,235.4,AP,0.462,0.230,,6502,Seed of Yggdrasil,35.18,113.7,AP,0.310,0.171,,6102,Magic Gem of Archer,18.31,218.5,AP,0.092,,,7102,Archer Monument,10.96,365.0,AP,0.133,,,6002,Gem of Archer,20.6,194.2,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,434,0.009,,,23.4,7.8,117.0,,17.8,5.9,89.1,,11.9,4.0,59.7,,6530,Mystic Spinal Fluid,33.17,120.6,AP,0.238,0.132,,6502,Seed of Yggdrasil,33.17,120.6,AP,0.292,0.162,,6522,Fool's Chain,33.17,120.6,AP,0.218,0.130,,6501,Phoenix Feather,8.90,120.6,AP,0.434,0.240,,6523,Lamp of Evil-Sealing,33.17,120.6,AP,0.791,0.359,,6525,Scarab of Wisdom,33.17,120.6,AP,1.270,0.577,,6550,Scale of Fantasy,33.17,120.6,AP,0.383,0.239,,6533,Stake of Wailing Night,33.17,120.6,AP,0.226,0.133,,6511,Forbidden Page,33.17,120.6,AP,0.504,0.229,,6549,Small Bell of Absolution,33.17,120.6,AP,0.240,0.140,,6540,Tsukumo Mirror,33.17,120.6,AP,1.269,0.625,,6517,Heart of the Foreign God,33.17,120.6,AP,1.256,0.570,,,31.223,16.41901213
Nagasaki: Recipes,40,40,715,Pseudo,12,,8.020,4.067,,6528,Primordial Lanugo,18.86,212.1,AP,0.490,0.289,,6538,Soundless Bell,32.89,121.6,AP,0.380,0.225,,6106,Magic Gem of Assassin,29.62,135.0,AP,0.141,,,7106,Assassin Monument,13.25,301.9,AP,0.160,,,6006,Gem of Assassin,24.08,166.1,AP,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,427,0.009,,,12.0,4.0,59.9,,23.5,7.8,117.3,,17.6,5.9,87.8,,6530,Mystic Spinal Fluid,33.25,120.3,AP,0.239,0.132,,6502,Seed of Yggdrasil,33.25,120.3,AP,0.293,0.162,,6522,Fool's Chain,33.25,120.3,AP,0.219,0.130,,6501,Phoenix Feather,8.83,120.3,AP,0.436,0.241,,6523,Lamp of Evil-Sealing,33.25,120.3,AP,0.793,0.360,,6525,Scarab of Wisdom,33.25,120.3,AP,1.273,0.578,,6550,Scale of Fantasy,33.25,120.3,AP,0.384,0.240,,6533,Stake of Wailing Night,33.25,120.3,AP,0.227,0.133,,6511,Forbidden Page,33.25,120.3,AP,0.505,0.229,,6549,Small Bell of Absolution,33.25,120.3,AP,0.240,0.140,,6540,Tsukumo Mirror,33.25,120.3,AP,1.273,0.627,,6517,Heart of the Foreign God,33.25,120.3,AP,1.259,0.572,,,35.174,20.91782626
Dragon Palace: Transport,35,35,265,Pseudo,12,,3.811,2.175,,6514,Homunculus Baby,19.54,179.1,AP,0.253,0.150,,6103,Magic Gem of Lancer,11.73,298.4,AP,0.067,,,7003,Lancer Piece,15.31,228.6,AP,0.081,,,6003,Gem of Lancer,11.73,298.4,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,58,0.002,,,,,0.0,,15.9,5.3,79.7,,16.0,5.3,79.8,,6530,Mystic Spinal Fluid,,,,,,,6502,Seed of Yggdrasil,199.13,17.6,AP,2.003,1.109,,6522,Fool's Chain,,,,,,,6501,Phoenix Feather,16.98,,,,,,6523,Lamp of Evil-Sealing,,,,,,,6525,Scarab of Wisdom,,,,,,,6550,Scale of Fantasy,,,,,,,6533,Stake of Wailing Night,199.13,17.6,AP,1.553,0.914,,6511,Forbidden Page,,,,,,,6549,Small Bell of Absolution,,,,,,,6540,Tsukumo Mirror,,,,,,,6517,Heart of the Foreign God,,,,,,,,8.945,5.324837292
Dragon Palace: Rebuild,40,40,815,Pseudo,12,,8.099,4.111,,6519,Warhorse's Young Horn,24.7,161.9,AP,0.532,0.315,,6543,Crown of Silvery Light,36.19,110.5,AP,0.453,0.260,,6101,Magic Gem of Saber,34.23,116.9,AP,0.189,,,7101,Saber Monument,16.54,241.8,AP,0.205,,,6001,Gem of Saber,17.06,234.5,AP,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,432,0.010,,,17.6,5.9,87.9,,11.9,4.0,59.6,,23.5,7.8,117.5,,6530,Mystic Spinal Fluid,33.08,120.9,AP,0.237,0.131,,6502,Seed of Yggdrasil,33.08,120.9,AP,0.291,0.161,,6522,Fool's Chain,33.08,120.9,AP,0.218,0.130,,6501,Phoenix Feather,16.72,120.9,AP,0.433,0.239,,6523,Lamp of Evil-Sealing,33.08,120.9,AP,0.789,0.358,,6525,Scarab of Wisdom,33.08,120.9,AP,1.267,0.575,,6550,Scale of Fantasy,33.08,120.9,AP,0.382,0.238,,6533,Stake of Wailing Night,33.08,120.9,AP,0.226,0.133,,6511,Forbidden Page,33.08,120.9,AP,0.503,0.228,,6549,Small Bell of Absolution,33.08,120.9,AP,0.239,0.139,,6540,Tsukumo Mirror,33.08,120.9,AP,1.266,0.623,,6517,Heart of the Foreign God,33.08,120.9,AP,1.253,0.569,,,39.789,23.38911859
Detached Residence,40,40,415,Pseudo,12,,4.351,2.630,,6505,Void's Dust,35.42,112.9,AP,0.257,0.117,,6007,Gem of Berserker,28.7,139.4,AP,0.049,,,7007,Berserker Piece,23.15,172.8,AP,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,68,0.003,,,18.5,6.2,92.6,,,,0.0,,18.1,6.0,90.3,,6530,Mystic Spinal Fluid,,,,,,,6502,Seed of Yggdrasil,,,,,,,6522,Fool's Chain,225.75,17.7,AP,1.484,0.884,,6501,Phoenix Feather,17.19,,,,,,6523,Lamp of Evil-Sealing,,,,,,,6525,Scarab of Wisdom,,,,,,,6550,Scale of Fantasy,225.75,17.7,AP,2.607,1.627,,6533,Stake of Wailing Night,,,,,,,6511,Forbidden Page,,,,,,,6549,Small Bell of Absolution,,,,,,,6540,Tsukumo Mirror,,,,,,,6517,Heart of the Foreign God,,,,,,,,10.380,4.770513229
Dumpling Store,40,40,515,Pseudo,12,,9.512,4.782,,6507,Claw of Chaos,13.93,287.2,AP,0.324,0.191,,6536,Aurora Steel,22.47,178.0,AP,0.256,0.157,,6104,Magic Gem of Rider,12.13,329.8,AP,0.065,,,7004,Rider Piece,21.46,186.4,AP,0.099,,,6004,Gem of Rider,19.44,205.8,AP,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,4,0.002,,,15.1,5.0,75.3,,15.0,5.0,74.9,,15.0,5.0,75.2,,6530,Mystic Spinal Fluid,41.58,96.2,AP,0.298,0.165,,6502,Seed of Yggdrasil,41.58,96.2,AP,0.366,0.203,,6522,Fool's Chain,41.58,96.2,AP,0.273,0.163,,6501,Phoenix Feather,20.51,96.2,AP,0.545,0.301,,6523,Lamp of Evil-Sealing,41.58,96.2,AP,0.992,0.450,,6525,Scarab of Wisdom,41.58,96.2,AP,1.593,0.723,,6550,Scale of Fantasy,41.58,96.2,AP,0.480,0.300,,6533,Stake of Wailing Night,41.58,96.2,AP,0.284,0.167,,6511,Forbidden Page,41.58,96.2,AP,0.632,0.287,,6549,Small Bell of Absolution,41.58,96.2,AP,0.300,0.175,,6540,Tsukumo Mirror,41.58,96.2,AP,1.592,0.784,,6517,Heart of the Foreign God,41.58,96.2,AP,1.575,0.715,,,23.296,14.0003958
Nagasaki Bay Seafloor,40,40,915,Pseudo,12,,13.384,6.703,,6540,Tsukumo Mirror,20.57,194.5,AP,0.787,0.388,,6550,Scale of Fantasy,41.36,96.7,AP,0.478,0.298,,6203,Secret Gem of Lancer,20.34,196.7,AP,0.374,,,7103,Lancer Monument,19.32,207.0,AP,0.231,,,6003,Gem of Lancer,31.82,125.7,AP,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,10,0.004,,,20.5,6.8,102.5,,20.5,6.8,102.6,,20.3,6.8,101.6,,6530,Mystic Spinal Fluid,56.42,70.9,AP,0.405,0.224,,6502,Seed of Yggdrasil,56.42,70.9,AP,0.496,0.275,,6522,Fool's Chain,56.42,70.9,AP,0.371,0.221,,6501,Phoenix Feather,22.07,70.9,AP,0.739,0.408,,6523,Lamp of Evil-Sealing,56.42,70.9,AP,1.346,0.611,,6525,Scarab of Wisdom,56.42,70.9,AP,2.161,0.981,,6550,Scale of Fantasy,56.42,70.9,AP,0.652,0.407,,6533,Stake of Wailing Night,56.42,70.9,AP,0.385,0.227,,6511,Forbidden Page,56.42,70.9,AP,0.858,0.389,,6549,Small Bell of Absolution,56.42,70.9,AP,0.408,0.237,,6540,Tsukumo Mirror,56.42,70.9,AP,2.159,1.063,,6517,Heart of the Foreign God,56.42,70.9,AP,2.137,0.970,,,50.742,27.57086133
Flood Gates,40,40,"1,098",Pseudo,12,,15.393,7.779,,6518,Spirit Root,25.45,157.2,AP,0.959,0.471,,6555,Vestige of Madness,77.69,51.5,AP,0.579,0.429,,6205,Secret Gem of Caster,26.16,152.9,AP,0.324,,,7105,Caster Monument,25.47,157.0,AP,0.310,,,6005,Gem of Caster,34.11,117.3,AP,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,0.004,,,23.2,7.7,116.1,,23.2,7.7,116.1,,23.2,7.7,116.1,,6530,Mystic Spinal Fluid,64.50,62.0,AP,0.463,0.256,,6502,Seed of Yggdrasil,64.50,62.0,AP,0.568,0.314,,6522,Fool's Chain,64.50,62.0,AP,0.424,0.253,,6501,Phoenix Feather,20.46,62.0,AP,0.845,0.467,,6523,Lamp of Evil-Sealing,64.50,62.0,AP,1.538,0.698,,6525,Scarab of Wisdom,64.50,62.0,AP,2.470,1.122,,6550,Scale of Fantasy,64.50,62.0,AP,0.745,0.465,,6533,Stake of Wailing Night,64.50,62.0,AP,0.440,0.259,,6511,Forbidden Page,64.50,62.0,AP,0.980,0.445,,6549,Small Bell of Absolution,64.50,62.0,AP,0.466,0.271,,6540,Tsukumo Mirror,64.50,62.0,AP,2.469,1.216,,6517,Heart of the Foreign God,64.50,62.0,AP,2.443,1.109,,,61.684,36.16441964
Side Storehouse,40,40,"1,318",Pseudo,12,,17.197,8.761,,6548,Flaming Oni Lantern Plant,31.17,128.3,AP,1.221,0.744,,6554,Obsidian Knife,95.06,42.1,AP,0.689,0.426,,6204,Secret Gem of Rider,31.51,126.9,AP,0.578,,,7104,Rider Monument,8.79,455.1,AP,0.108,,,6104,Magic Gem of Rider,21.31,187.7,AP,0.115,,,6004,Gem of Rider,11.45,349.3,AP,0.024,,,7105,Caster Monument,8.55,467.8,AP,0.104,,,7106,Assassin Monument,7.56,529.1,AP,0.091,,,7107,Berserker Monument,8.76,456.6,AP,0.106,,,"13,536",338,,0.005,,,25.6,8.5,128.1,,25.6,8.5,128.1,,25.6,8.5,128.1,,6530,Mystic Spinal Fluid,71.17,56.2,AP,0.511,0.283,,6502,Seed of Yggdrasil,71.17,56.2,AP,0.626,0.347,,6522,Fool's Chain,71.17,56.2,AP,0.468,0.279,,6501,Phoenix Feather,25.92,56.2,AP,0.932,0.515,,6523,Lamp of Evil-Sealing,71.17,56.2,AP,1.697,0.771,,6525,Scarab of Wisdom,71.17,56.2,AP,2.726,1.238,,6550,Scale of Fantasy,71.17,56.2,AP,0.822,0.513,,6533,Stake of Wailing Night,71.17,56.2,AP,0.486,0.286,,6511,Forbidden Page,71.17,56.2,AP,1.082,0.491,,6549,Small Bell of Absolution,71.17,56.2,AP,0.514,0.299,,6540,Tsukumo Mirror,71.17,56.2,AP,2.724,1.341,,6517,Heart of the Foreign God,71.17,56.2,AP,2.695,1.224,,,76.577,47.00065527
