GUDAGUDA Close Call Rerun,,GUDAGUDA Close Call,,Lotto Drop Bonus:,,5,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
High Street: Beg,40,40,715,Event,5,,0.726,0.142,,6510,Eternal Gear,33.08,120.9,AP,0.341,0.068,,6530,Mystic Spinal Fluid,53.85,74.3,AP,0.385,0.074,,6206,Secret Gem of Assassin,10,400.0,AP,0.183,,,7006,Assassin Piece,21.3,187.8,AP,0.085,,,6106,Magic Gem of Assassin,16.9,236.7,AP,0.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
High Street: Int,40,40,715,Event,5,,0.751,0.151,,6515,Octuplet Crystal,32.72,122.2,AP,0.377,0.072,,6532,Refined Magatama,32.82,121.9,AP,0.374,0.079,,6107,Magic Gem of Berserker,15.2,263.2,AP,0.084,,,7007,Berserker Piece,21.1,189.6,AP,0.089,,,6007,Gem of Berserker,17.7,226.0,AP,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
New Sakamoto: Adv,40,40,715,Event,5,,0.484,0.102,,6538,Soundless Bell,31.22,128.1,AP,0.244,0.051,,6503,Proof of Hero,51.33,77.9,AP,0.240,0.051,,6105,Magic Gem of Caster,16,250.0,AP,0.071,,,7005,Caster Piece,20.4,196.1,AP,0.079,,,6005,Gem of Caster,11.2,357.1,AP,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
New Sakamoto: Patrol,40,40,"1,098",Event,5,,1.410,0.674,,6517,Heart of the Foreign God,25.85,154.7,AP,0.983,0.584,,6538,Soundless Bell,54.6,73.3,AP,0.427,0.090,,6207,Secret Gem of Berserker,31.12,128.5,AP,0.550,,,7107,Berserker Monument,26.7,149.8,AP,0.322,,,6107,Magic Gem of Berserker,23.3,171.7,AP,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Takasugi Hvy Tower: Valley,40,40,815,Event,5,,0.729,0.140,,6537,Giant's Ring,34.3,116.6,AP,0.385,0.074,,6505,Void's Dust,47.59,84.1,AP,0.344,0.066,,6101,Magic Gem of Saber,11.8,339.0,AP,0.065,,,7101,Saber Monument,20.1,199.0,AP,0.246,,,6001,Gem of Saber,11.8,339.0,AP,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Takasugi Hvy Tower: Hidden,40,40,"1,098",Event,5,,1.626,0.747,,6542,Egg of Truth,27.5,145.5,AP,1.083,0.638,,6511,Forbidden Page,29.9,133.8,AP,0.230,0.046,,6522,Fool's Chain,47.53,84.2,AP,0.313,0.063,,6102,Magic Gem of Archer,34.2,117.0,AP,0.171,,,7102,Archer Monument,26,153.8,AP,0.319,,,6002,Gem of Archer,27.7,144.4,AP,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Tokorozawa Bloc,40,40,815,Event,5,,1.045,0.330,,6519,Warhorse's Young Horn,24.98,160.1,AP,0.544,0.171,,6524,Great Knight Medal,37.21,107.5,AP,0.501,0.158,,6102,Magic Gem of Archer,25.2,158.7,AP,0.126,,,7102,Archer Monument,18,222.2,AP,0.221,,,6002,Gem of Archer,22.4,178.6,AP,0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Iruma Bloc,40,40,815,Event,5,,0.994,0.355,,6507,Claw of Chaos,24.19,165.4,AP,0.561,0.108,,6501,Phoenix Feather,32.79,122.0,AP,0.434,0.247,,6103,Magic Gem of Lancer,28.1,142.3,AP,0.141,,,7103,Lancer Monument,20.1,199.0,AP,0.240,,,6003,Gem of Lancer,28.7,139.4,AP,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Kawagoe Bloc,40,40,915,Event,5,,1.283,0.255,,6529,Cursed Beast Gallstone,21.39,187.0,AP,0.818,0.157,,6532,Refined Magatama,40.81,98.0,AP,0.465,0.098,,6203,Secret Gem of Lancer,11,363.6,AP,0.194,,,7103,Lancer Monument,21.6,185.2,AP,0.258,,,6103,Magic Gem of Lancer,16.8,238.1,AP,0.084,,,6003,Gem of Lancer,33.3,120.1,AP,0.070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Kumagaya Bloc,40,40,915,Event,5,,1.028,0.479,,6520,Tearstone of Blood,27.27,146.7,AP,0.740,0.421,,6511,Forbidden Page,37.39,107.0,AP,0.288,0.058,,6105,Magic Gem of Caster,42.7,93.7,AP,0.189,,,7105,Caster Monument,19.9,201.0,AP,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
