GUDAGUDA Shinsengumi The End,,GUDAGUDA Shinsengumi The End - Revenge of Makoto,,Lotto Drop Bonus:,,5,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Capital Town: Heart-Piercing Spear,30,30,165,Event,5,,0.144,0.030,,6527,Deadly Poison Needle,14.21,211.1,AP,0.144,0.030,,6003,Gem of Lancer,14.74,203.5,AP,0.041,,,7003,Lancer Piece,11.84,253.4,AP,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Capital Town: Nicely Singed Naginata,35,35,265,Event,5,,0.270,0.054,,6522,Fool's Chain,35.9,97.5,AP,0.270,0.054,,6002,Gem of Archer,17.44,200.7,AP,0.036,,,7002,Archer Piece,16.67,210.0,AP,0.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Capital Town: This is Your Blade,40,40,415,Event,5,,0.303,0.070,,6514,Homunculus Baby,26.74,149.6,AP,0.303,0.070,,6104,Magic Gem of Rider,13.49,296.5,AP,0.073,,,7004,Rider Piece,19.07,209.8,AP,0.079,,,6004,Gem of Rider,17.44,229.4,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
New Shinsengumi: Blood-Sipping Greataxe,40,40,515,Event,5,,0.478,0.098,,6547,Ball of Rainbow Thread,21.28,188.0,AP,0.243,0.051,,6510,Eternal Gear,22.76,175.7,AP,0.234,0.047,,6107,Magic Gem of Berserker,11.56,346.0,AP,0.064,,,7007,Berserker Piece,20.17,198.3,AP,0.085,,,6007,Gem of Berserker,12.49,320.3,AP,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
New Shinsengumi: A Kaishakunin's Grand Broadsword,40,40,615,Event,5,,0.481,0.101,,6508,Ghost Lantern,42.09,95.0,AP,0.481,0.101,,6106,Magic Gem of Assassin,21.52,185.9,AP,0.102,,,7106,Assassin Monument,10.21,391.8,AP,0.124,,,6006,Gem of Assassin,23.3,171.7,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
New Shinsengumi: Gale-Dancing Demon Lance,40,40,915,Event,5,,1.087,0.320,,6531,Mysterious Divine Wine,21.8,183.5,AP,0.773,0.163,,6509,Serpent Jewel,32.96,121.4,AP,0.314,0.157,,6203,Secret Gem of Lancer,20.12,198.8,AP,0.355,,,7103,Lancer Monument,20.4,196.1,AP,0.244,,,6103,Magic Gem of Lancer,16.37,244.3,AP,0.082,,,6003,Gem of Lancer,17.77,225.1,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Shomen Bridge,40,40,715,Event,5,,0.521,0.180,,6546,Fruit of Eternity,17.02,235.0,AP,0.129,0.098,,6532,Refined Magatama,34.35,116.4,AP,0.392,0.083,,6101,Magic Gem of Saber,25.37,157.7,AP,0.140,,,7101,Saber Monument,13.83,289.2,AP,0.169,,,6001,Gem of Saber,22.12,180.8,AP,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Shinkengumi Fortress: Warrior's Knife,40,40,815,Event,5,,0.824,0.160,,6539,Reactor Core of Dawn,23.75,168.4,AP,0.548,0.105,,6511,Forbidden Page,35.81,111.7,AP,0.276,0.055,,6105,Magic Gem of Caster,59.35,67.4,AP,0.263,,,7105,Caster Monument,16.03,249.5,AP,0.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Shinkengumi Fortress: Lost Double-Bladed Axe,40,40,"1,098",Event,5,,1.598,0.561,,6544,Fragment of a Twinkling Star,26.76,149.5,AP,0.987,0.190,,6541,Arrowhead of Malice,53.54,74.7,AP,0.612,0.371,,6207,Secret Gem of Berserker,26.06,153.5,AP,0.461,,,7107,Berserker Monument,25.77,155.2,AP,0.311,,,6107,Magic Gem of Berserker,16.25,246.2,AP,0.089,,,6007,Gem of Berserker,16.54,241.8,AP,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Ikedaya,40,40,"1,318",Event,5,,1.851,0.401,,6518,Spirit Root,31.71,126.1,AP,1.216,0.279,,6534,Mystic Gunpowder,92.64,43.2,AP,0.635,0.122,,6204,Secret Gem of Rider,31.03,128.9,AP,0.569,,,7104,Rider Monument,30.95,129.2,AP,0.385,,,6104,Magic Gem of Rider,8.52,469.5,AP,0.046,,,6004,Gem of Rider,32.19,124.3,AP,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
