Grand Duel Extra I,,Grand Duel Extra I,,Lotto Drop Bonus:,,5,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Extra I (Fire) I,40,40,"3,164",Event,5,,2.412,0.473,,6563,Reliquary of Departed Souls,20.49,195.2,AP,0.440,0.084,,6540,Tsukumo Mirror,4.17,959.2,AP,0.165,0.033,,6539,Reactor Core of Dawn,7.64,523.6,AP,0.176,0.034,,6529,Cursed Beast Gallstone,6.6,606.1,AP,0.252,0.048,,6521,Black Beast Grease,10.07,397.2,AP,0.233,0.047,,6550,Scale of Fantasy,15.97,250.5,AP,0.184,0.037,,6536,Aurora Steel,13.54,295.4,AP,0.108,0.022,,6511,Forbidden Page,13.54,295.4,AP,0.104,0.021,,6510,Eternal Gear,16.32,245.1,AP,0.168,0.034,,6549,Small Bell of Absolution,21.18,188.9,AP,0.153,0.031,,6530,Mystic Spinal Fluid,20.14,198.6,AP,0.144,0.028,,6522,Fool's Chain,17.71,225.9,AP,0.116,0.023,,6505,Void's Dust,23.26,172.0,AP,0.168,0.032,,,Secret Gems of Knight/Berserker,10.33,387.2,AP,,,,,Knight/Berserker Monuments,18.58,215.3,AP,,,,,Knight/Berserker Pieces,6.43,622.1,AP,,,,,Magic Gems of Knight/Berserker,11.2,357.1,AP,,,,,Gems of Knight/Berserker,7.38,542.0,AP,,,,,,,,,,,,,,,,,,,,"31,890","2,088,524",53010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Extra I (Fire) II,40,40,"3,385",Event,5,,2.861,0.561,,6563,Reliquary of Departed Souls,25.73,155.5,AP,0.552,0.106,,6540,Tsukumo Mirror,5.83,686.1,AP,0.231,0.046,,6539,Reactor Core of Dawn,8.74,457.7,AP,0.202,0.039,,6529,Cursed Beast Gallstone,7.77,514.8,AP,0.297,0.057,,6521,Black Beast Grease,12.14,329.5,AP,0.281,0.056,,6550,Scale of Fantasy,14.56,274.7,AP,0.167,0.034,,6536,Aurora Steel,16.02,249.7,AP,0.127,0.025,,6511,Forbidden Page,20.87,191.7,AP,0.161,0.032,,6510,Eternal Gear,15.53,257.6,AP,0.160,0.032,,6549,Small Bell of Absolution,20.87,191.7,AP,0.151,0.030,,6530,Mystic Spinal Fluid,24.76,161.6,AP,0.177,0.034,,6522,Fool's Chain,19.9,201.0,AP,0.131,0.026,,6505,Void's Dust,31.07,128.7,AP,0.224,0.043,,,Secret Gems of Knight/Berserker,9.59,417.1,AP,,,,,Knight/Berserker Monuments,18.57,215.4,AP,,,,,Knight/Berserker Pieces,6.44,621.1,AP,,,,,Magic Gems of Knight/Berserker,11.29,354.3,AP,,,,,Gems of Knight/Berserker,9.35,427.8,AP,,,,,,,,,,,,,,,,,,,,"34,100","2,405,121",60981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Extra I (Fire) III,40,40,"3,622",Event,5,,3.035,0.596,,6563,Reliquary of Departed Souls,27.65,144.7,AP,0.593,0.114,,6540,Tsukumo Mirror,7.37,542.7,AP,0.292,0.058,,6539,Reactor Core of Dawn,7.83,510.9,AP,0.181,0.035,,6529,Cursed Beast Gallstone,7.83,510.9,AP,0.299,0.058,,6521,Black Beast Grease,11.06,361.7,AP,0.256,0.051,,6550,Scale of Fantasy,21.2,188.7,AP,0.244,0.049,,6536,Aurora Steel,16.59,241.1,AP,0.132,0.026,,6511,Forbidden Page,13.82,289.4,AP,0.106,0.021,,6510,Eternal Gear,17.97,222.6,AP,0.185,0.037,,6549,Small Bell of Absolution,34.56,115.7,AP,0.250,0.050,,6530,Mystic Spinal Fluid,23.96,166.9,AP,0.171,0.033,,6522,Fool's Chain,26.73,149.6,AP,0.176,0.035,,6505,Void's Dust,20.74,192.9,AP,0.150,0.029,,,Secret Gems of Knight/Berserker,9.45,423.3,AP,,,,,Knight/Berserker Monuments,17.97,222.6,AP,,,,,Knight/Berserker Pieces,7.03,569.0,AP,,,,,Magic Gems of Knight/Berserker,11.29,354.3,AP,,,,,Gems of Knight/Berserker,10.02,399.2,AP,,,,,,,,,,,,,,,,,,,,"36,470","2,737,373",69346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Extra I (Fire) IV,40,40,"3,876",Event,5,,3.306,0.650,,6563,Reliquary of Departed Souls,31.34,127.6,AP,0.672,0.129,,6540,Tsukumo Mirror,10.45,382.8,AP,0.414,0.083,,6539,Reactor Core of Dawn,8.96,446.4,AP,0.207,0.040,,6529,Cursed Beast Gallstone,5.97,670.0,AP,0.228,0.044,,6521,Black Beast Grease,9.17,436.2,AP,0.212,0.042,,6550,Scale of Fantasy,21.11,189.5,AP,0.243,0.049,,6536,Aurora Steel,22.17,180.4,AP,0.176,0.035,,6511,Forbidden Page,19.83,201.7,AP,0.153,0.031,,6510,Eternal Gear,20.47,195.4,AP,0.211,0.042,,6549,Small Bell of Absolution,30.92,129.4,AP,0.223,0.045,,6530,Mystic Spinal Fluid,24.52,163.1,AP,0.175,0.034,,6522,Fool's Chain,28.57,140.0,AP,0.188,0.038,,6505,Void's Dust,28.14,142.1,AP,0.203,0.039,,,Secret Gems of Knight/Berserker,11.83,338.1,AP,,,,,Knight/Berserker Monuments,18.98,210.7,AP,,,,,Knight/Berserker Pieces,6.02,664.5,AP,,,,,Magic Gems of Knight/Berserker,15.19,263.3,AP,,,,,Gems of Knight/Berserker,11.25,355.6,AP,,,,,,,,,,,,,,,,,,,,"39,010","3,041,620",77016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Extra I (Fire) V,40,40,"4,147",Event,5,,3.753,0.738,,6563,Reliquary of Departed Souls,31.96,125.2,AP,0.686,0.132,,6540,Tsukumo Mirror,10.61,377.0,AP,0.420,0.084,,6539,Reactor Core of Dawn,10.26,389.9,AP,0.237,0.045,,6529,Cursed Beast Gallstone,8.73,458.2,AP,0.334,0.064,,6521,Black Beast Grease,11.67,342.8,AP,0.270,0.054,,6550,Scale of Fantasy,24.65,162.3,AP,0.283,0.057,,6536,Aurora Steel,24.17,165.5,AP,0.192,0.038,,6511,Forbidden Page,21.34,187.4,AP,0.164,0.033,,6510,Eternal Gear,21.82,183.3,AP,0.225,0.045,,6549,Small Bell of Absolution,35.5,112.7,AP,0.256,0.051,,6530,Mystic Spinal Fluid,31.25,128.0,AP,0.223,0.043,,6522,Fool's Chain,34.32,116.6,AP,0.226,0.045,,6505,Void's Dust,32.78,122.0,AP,0.237,0.045,,,Secret Gems of Knight/Berserker,13.98,286.1,AP,,,,,Knight/Berserker Monuments,19.43,205.9,AP,,,,,Knight/Berserker Pieces,5.57,718.1,AP,,,,,Magic Gems of Knight/Berserker,14.71,271.9,AP,,,,,Gems of Knight/Berserker,10.7,373.8,AP,,,,,,,,,,,,,,,,,,,,"41,720","3,344,263",84650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Extra I (Fire) VI,40,40,"4,438",Event,5,,4.111,0.807,,6563,Reliquary of Departed Souls,38.32,104.4,AP,0.822,0.158,,6540,Tsukumo Mirror,9.86,405.7,AP,0.390,0.078,,6539,Reactor Core of Dawn,12.63,316.7,AP,0.291,0.056,,6529,Cursed Beast Gallstone,9.92,403.2,AP,0.379,0.073,,6521,Black Beast Grease,12.01,333.1,AP,0.278,0.056,,6550,Scale of Fantasy,27.54,145.2,AP,0.317,0.063,,6536,Aurora Steel,24.52,163.1,AP,0.195,0.039,,6511,Forbidden Page,24.4,163.9,AP,0.188,0.038,,6510,Eternal Gear,23.91,167.3,AP,0.246,0.049,,6549,Small Bell of Absolution,38.08,105.0,AP,0.275,0.055,,6530,Mystic Spinal Fluid,33.89,118.0,AP,0.242,0.047,,6522,Fool's Chain,36.91,108.4,AP,0.243,0.049,,6505,Void's Dust,33.76,118.5,AP,0.244,0.047,,,Secret Gems of Knight/Berserker,13.39,298.7,AP,,,,,Knight/Berserker Monuments,19.02,210.3,AP,,,,,Knight/Berserker Pieces,5.98,668.9,AP,,,,,Magic Gems of Knight/Berserker,16.33,244.9,AP,,,,,Gems of Knight/Berserker,11.84,337.8,AP,,,,,,,,,,,,,,,,,,,,"44,630","3,654,134",92469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Extra I (Fire) VII,40,40,"4,748",Event,5,,4.449,0.874,,6563,Reliquary of Departed Souls,41.38,96.7,AP,0.888,0.171,,6540,Tsukumo Mirror,10.97,364.6,AP,0.434,0.087,,6539,Reactor Core of Dawn,13.46,297.2,AP,0.311,0.060,,6529,Cursed Beast Gallstone,10.24,390.6,AP,0.392,0.075,,6521,Black Beast Grease,13.55,295.2,AP,0.314,0.063,,6550,Scale of Fantasy,30.53,131.0,AP,0.351,0.070,,6536,Aurora Steel,27.75,144.1,AP,0.221,0.044,,6511,Forbidden Page,26.24,152.4,AP,0.202,0.040,,6510,Eternal Gear,25.88,154.6,AP,0.267,0.053,,6549,Small Bell of Absolution,39.35,101.7,AP,0.284,0.057,,6530,Mystic Spinal Fluid,37.97,105.3,AP,0.271,0.052,,6522,Fool's Chain,38.62,103.6,AP,0.254,0.051,,6505,Void's Dust,36.23,110.4,AP,0.262,0.050,,,Secret Gems of Knight/Berserker,14.18,282.1,AP,,,,,Knight/Berserker Monuments,19.13,209.1,AP,,,,,Knight/Berserker Pieces,5.87,681.4,AP,,,,,Magic Gems of Knight/Berserker,16.87,237.1,AP,,,,,Gems of Knight/Berserker,11.5,347.8,AP,,,,,,,,,,,,,,,,,,,,"47,730","3,958,305",100151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
