Grand Duel Rider,,Grand Duel Rider,,Lotto Drop Bonus:,,5,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Rider I,40,40,"3,164",Event,5,,2.801,1.044,,6563,Reliquary of Departed Souls,27.91,143.3,AP,0.599,0.115,,6542,Egg of Truth,8.72,458.7,AP,0.343,0.202,,6528,Primordial Lanugo,11.05,362.0,AP,0.287,0.090,,6525,Scarab of Wisdom,8.72,458.7,AP,0.336,0.198,,6519,Warhorse's Young Horn,6.4,625.0,AP,0.139,0.044,,6553,Solar Hide,15.7,254.8,AP,0.179,0.110,,6538,Soundless Bell,16.86,237.2,AP,0.132,0.028,,6513,Meteor Horseshoes,17.44,229.4,AP,0.190,0.060,,6509,Serpent Jewel,10.47,382.0,AP,0.100,0.050,,6549,Small Bell of Absolution,20.93,191.1,AP,0.151,0.030,,6522,Fool's Chain,22.67,176.4,AP,0.149,0.030,,6512,Dragon Fang,15.7,254.8,AP,0.099,0.023,,6516,Evil Bone,20.93,191.1,AP,0.098,0.064,,6204,Secret Gem of Rider,33.14,120.7,AP,0.607,,,7104,Rider Monument,77.33,51.7,AP,0.963,,,7004,Rider Piece,22.67,176.4,AP,0.094,,,6104,Magic Gem of Rider,51.16,78.2,AP,0.276,,,6004,Gem of Rider,32.56,122.9,AP,0.068,,,,,,,,,,,,,,,,,,,"31,890","2,082,180",52852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Rider II,40,40,"3,385",Event,5,,2.907,1.032,,6563,Reliquary of Departed Souls,27.65,144.7,AP,0.593,0.114,,6542,Egg of Truth,10.59,377.7,AP,0.417,0.246,,6528,Primordial Lanugo,10.59,377.7,AP,0.275,0.087,,6525,Scarab of Wisdom,3.53,"1,133.1",AP,0.136,0.080,,6519,Warhorse's Young Horn,4.12,970.9,AP,0.090,0.028,,6553,Solar Hide,10.59,377.7,AP,0.120,0.074,,6538,Soundless Bell,23.53,170.0,AP,0.184,0.039,,6513,Meteor Horseshoes,18.82,212.5,AP,0.205,0.065,,6509,Serpent Jewel,20,200.0,AP,0.191,0.095,,6549,Small Bell of Absolution,30.59,130.8,AP,0.221,0.044,,6522,Fool's Chain,25.88,154.6,AP,0.170,0.034,,6512,Dragon Fang,27.65,144.7,AP,0.174,0.040,,6516,Evil Bone,28.24,141.6,AP,0.132,0.087,,6204,Secret Gem of Rider,31.76,125.9,AP,0.582,,,7104,Rider Monument,81.18,49.3,AP,1.011,,,7004,Rider Piece,18.82,212.5,AP,0.078,,,6104,Magic Gem of Rider,50,80.0,AP,0.270,,,6004,Gem of Rider,32.35,123.6,AP,0.068,,,,,,,,,,,,,,,,,,,"34,100","2,395,353",60736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Rider III,40,40,"3,622",Event,5,,2.746,0.991,,6563,Reliquary of Departed Souls,26.59,150.4,AP,0.570,0.110,,6542,Egg of Truth,7.51,532.6,AP,0.296,0.174,,6528,Primordial Lanugo,6.36,628.9,AP,0.165,0.052,,6525,Scarab of Wisdom,5.2,769.2,AP,0.200,0.118,,6519,Warhorse's Young Horn,7.51,532.6,AP,0.164,0.052,,6553,Solar Hide,16.76,238.7,AP,0.191,0.118,,6538,Soundless Bell,17.34,230.7,AP,0.136,0.029,,6513,Meteor Horseshoes,15.61,256.2,AP,0.170,0.054,,6509,Serpent Jewel,18.5,216.2,AP,0.176,0.088,,6549,Small Bell of Absolution,24.86,160.9,AP,0.180,0.036,,6522,Fool's Chain,24.86,160.9,AP,0.163,0.033,,6512,Dragon Fang,34.1,117.3,AP,0.214,0.049,,6516,Evil Bone,26.01,153.8,AP,0.122,0.080,,6204,Secret Gem of Rider,36.99,108.1,AP,0.678,,,7104,Rider Monument,79.19,50.5,AP,0.986,,,7004,Rider Piece,20.81,192.2,AP,0.086,,,6104,Magic Gem of Rider,59.54,67.2,AP,0.322,,,6004,Gem of Rider,35.84,111.6,AP,0.075,,,,,,,,,,,,,,,,,,,"36,470","2,732,457",69223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Rider IV,40,40,"3,876",Event,5,,3.002,1.051,,6563,Reliquary of Departed Souls,29.41,136.0,AP,0.631,0.121,,6542,Egg of Truth,6.47,618.2,AP,0.255,0.150,,6528,Primordial Lanugo,7.06,566.6,AP,0.183,0.058,,6525,Scarab of Wisdom,5.29,756.1,AP,0.204,0.120,,6519,Warhorse's Young Horn,10,400.0,AP,0.218,0.069,,6553,Solar Hide,16.47,242.9,AP,0.187,0.116,,6538,Soundless Bell,26.47,151.1,AP,0.207,0.044,,6513,Meteor Horseshoes,21.18,188.9,AP,0.230,0.073,,6509,Serpent Jewel,17.65,226.6,AP,0.168,0.084,,6549,Small Bell of Absolution,27.06,147.8,AP,0.196,0.039,,6522,Fool's Chain,32.94,121.4,AP,0.217,0.043,,6512,Dragon Fang,24.71,161.9,AP,0.155,0.036,,6516,Evil Bone,32.35,123.6,AP,0.151,0.099,,6204,Secret Gem of Rider,54.71,73.1,AP,1.003,,,7104,Rider Monument,77.65,51.5,AP,0.967,,,7004,Rider Piece,22.35,179.0,AP,0.093,,,6104,Magic Gem of Rider,52.94,75.6,AP,0.286,,,6004,Gem of Rider,38.82,103.0,AP,0.082,,,,,,,,,,,,,,,,,,,"39,010","3,053,647",77316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Rider V,40,40,"4,147",Event,5,,3.658,1.345,,6563,Reliquary of Departed Souls,33.38,119.8,AP,0.716,0.138,,6542,Egg of Truth,10.59,377.7,AP,0.417,0.246,,6528,Primordial Lanugo,12.35,323.9,AP,0.321,0.101,,6525,Scarab of Wisdom,7.79,513.5,AP,0.300,0.177,,6519,Warhorse's Young Horn,10.29,388.7,AP,0.224,0.071,,6553,Solar Hide,23.38,171.1,AP,0.266,0.164,,6538,Soundless Bell,22.79,175.5,AP,0.178,0.038,,6513,Meteor Horseshoes,20.15,198.5,AP,0.219,0.069,,6509,Serpent Jewel,23.53,170.0,AP,0.224,0.112,,6549,Small Bell of Absolution,33.68,118.8,AP,0.243,0.049,,6522,Fool's Chain,31.18,128.3,AP,0.205,0.041,,6512,Dragon Fang,31.62,126.5,AP,0.198,0.045,,6516,Evil Bone,31.03,128.9,AP,0.145,0.095,,6204,Secret Gem of Rider,57.65,69.4,AP,1.056,,,7104,Rider Monument,77.35,51.7,AP,0.963,,,7004,Rider Piece,22.65,176.6,AP,0.094,,,6104,Magic Gem of Rider,56.03,71.4,AP,0.303,,,6004,Gem of Rider,42.79,93.5,AP,0.090,,,,,,,,,,,,,,,,,,,"41,720","3,358,463",85005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Rider VI,40,40,"4,438",Event,5,,4.125,1.513,,6563,Reliquary of Departed Souls,39.28,101.8,AP,0.843,0.162,,6542,Egg of Truth,10.85,368.7,AP,0.427,0.252,,6528,Primordial Lanugo,13.15,304.2,AP,0.342,0.108,,6525,Scarab of Wisdom,9.99,400.4,AP,0.385,0.227,,6519,Warhorse's Young Horn,11.7,341.9,AP,0.255,0.080,,6553,Solar Hide,26.9,148.7,AP,0.306,0.189,,6538,Soundless Bell,22.8,175.4,AP,0.178,0.038,,6513,Meteor Horseshoes,24.42,163.8,AP,0.266,0.084,,6509,Serpent Jewel,23.14,172.9,AP,0.220,0.110,,6549,Small Bell of Absolution,37.06,107.9,AP,0.268,0.054,,6522,Fool's Chain,33.82,118.3,AP,0.222,0.045,,6512,Dragon Fang,39.03,102.5,AP,0.245,0.056,,6516,Evil Bone,35.95,111.3,AP,0.168,0.110,,6204,Secret Gem of Rider,50.9,78.6,AP,0.933,,,7104,Rider Monument,76.69,52.2,AP,0.955,,,7004,Rider Piece,23.31,171.6,AP,0.097,,,6104,Magic Gem of Rider,65.16,61.4,AP,0.352,,,6004,Gem of Rider,44.06,90.8,AP,0.093,,,,,,,,,,,,,,,,,,,"44,630","3,661,708",92658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Rider VII,40,40,"4,748",Event,5,,4.392,1.620,,6563,Reliquary of Departed Souls,40.21,99.5,AP,0.863,0.166,,6542,Egg of Truth,12.7,315.0,AP,0.500,0.295,,6528,Primordial Lanugo,12.85,311.3,AP,0.334,0.105,,6525,Scarab of Wisdom,10.28,389.1,AP,0.396,0.233,,6519,Warhorse's Young Horn,13.67,292.6,AP,0.298,0.094,,6553,Solar Hide,27.34,146.3,AP,0.311,0.192,,6538,Soundless Bell,25.9,154.4,AP,0.203,0.043,,6513,Meteor Horseshoes,25.6,156.3,AP,0.278,0.088,,6509,Serpent Jewel,26.02,153.7,AP,0.248,0.124,,6549,Small Bell of Absolution,40.37,99.1,AP,0.292,0.058,,6522,Fool's Chain,38.65,103.5,AP,0.254,0.051,,6512,Dragon Fang,38.03,105.2,AP,0.239,0.055,,6516,Evil Bone,38.04,105.2,AP,0.178,0.117,,6204,Secret Gem of Rider,56.78,70.4,AP,1.040,,,7104,Rider Monument,77.37,51.7,AP,0.963,,,7004,Rider Piece,22.63,176.8,AP,0.094,,,6104,Magic Gem of Rider,66.53,60.1,AP,0.359,,,6004,Gem of Rider,45.71,87.5,AP,0.096,,,,,,,,,,,,,,,,,,,"47,730","3,962,691",100261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
