Indra's Great Trials,,Indra's Great Trial - Circling the Broken Sky,,Lotto Drop Bonus:,,12,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
The Dark Night is a Labyrinth,26.52,30,215,Lotto,12,,2.031,0.576,,6503,Proof of Hero,24.31,109.1,AP,0.171,0.036,,6001,Gem of Saber,18.06,146.8,AP,0.051,,,7001,Saber Piece,9.72,272.8,AP,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",,90,"28,571",,,17.4,4.4,8.6,228.6,,,,,,,,,,6550,Scale of Fantasy,23.207,114.3,AP,0.403,0.081,,6524,Great Knight Medal,23.207,114.3,AP,0.472,0.149,,6551,Ceremonial Sword of Twilight,34.81,76.2,AP,0.381,0.08,,6534,Mystic Gunpowder,34.81,76.2,AP,0.36,0.069,,6516,Evil Bone,34.81,76.2,AP,0.245,0.161,,,,,,,,,,,,,,,,,,,-1,Blue Gems,23.207,,-2,Red Gems,23.207,,-3,Gold Gems,11.603,,-6,XP,348.1
Girl Swimming in the Sea of ??Clouds,29.6,35,415,Lotto,12,,2.95,0.827,,6527,Deadly Poison Needle,35.74,82.8,AP,0.367,0.077,,6004,Gem of Rider,33.33,88.8,AP,0.095,,,7004,Rider Piece,17.27,171.4,AP,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",,149,"39,680",,,24.4,7,5.6,164.6,,,,,,,,,,6550,Scale of Fantasy,35.973,82.3,AP,0.559,0.112,,6524,Great Knight Medal,35.973,82.3,AP,0.655,0.207,,6551,Ceremonial Sword of Twilight,53.96,54.9,AP,0.529,0.111,,6534,Mystic Gunpowder,53.96,54.9,AP,0.499,0.096,,6516,Evil Bone,53.96,54.9,AP,0.341,0.223,,,,,,,,,,,,,,,,,,,-1,Blue Gems,35.973,,-2,Red Gems,35.973,,-3,Gold Gems,17.987,,-6,XP,539.6
Engrossed in the Mist,32.47,40,615,Lotto,12,,3.866,1.069,,6510,Eternal Gear,45.61,71.2,AP,0.579,0.116,,6105,Magic Gem of Caster,18.51,175.4,AP,0.101,,,7105,Caster Monument,9.92,327.3,AP,0.149,,,6005,Gem of Caster,17.75,182.9,AP,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,197,"50,498",,,31.7,9.9,4,129.3,,,,,,,,,,6550,Scale of Fantasy,50.22,64.7,AP,0.711,0.142,,6524,Great Knight Medal,50.22,64.7,AP,0.834,0.263,,6551,Ceremonial Sword of Twilight,75.33,43.1,AP,0.673,0.142,,6534,Mystic Gunpowder,75.33,43.1,AP,0.636,0.122,,6516,Evil Bone,75.33,43.1,AP,0.434,0.284,,,,,,,,,,,,,,,,,,,-1,Blue Gems,50.22,,-2,Red Gems,50.22,,-3,Gold Gems,25.11,,-6,XP,753.3
Sniper of Dusk,31.68,40,715,Lotto,12,,4.47,1.237,,6547,Ball of Rainbow Thread,51.89,61.1,AP,0.749,0.158,,6102,Magic Gem of Archer,23.26,136.2,AP,0.147,,,7102,Archer Monument,17.69,179.1,AP,0.274,,,6002,Gem of Archer,23.46,135,AP,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,234,"57,172",,,34.1,11,3.6,114.2,,,,,,,,,,6550,Scale of Fantasy,55.473,57.1,AP,0.805,0.161,,6524,Great Knight Medal,55.473,57.1,AP,0.944,0.298,,6551,Ceremonial Sword of Twilight,83.21,38.1,AP,0.762,0.16,,6534,Mystic Gunpowder,83.21,38.1,AP,0.72,0.138,,6516,Evil Bone,83.21,38.1,AP,0.491,0.322,,,,,,,,,,,,,,,,,,,-1,Blue Gems,55.473,,-2,Red Gems,55.473,,-3,Gold Gems,27.737,,-6,XP,832.1
Guardians of Clear Skies,31.03,40,815,Lotto,12,,5.343,1.654,,6521,Black Beast Grease,23.97,129.5,AP,0.715,0.143,,6541,Arrowhead of Malice,36.09,86,AP,0.532,0.322,,6103,Magic Gem of Lancer,30.24,102.6,AP,0.196,,,7103,Lancer Monument,16.55,187.5,AP,0.255,,,6003,Gem of Lancer,17.12,181.3,AP,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,271,"62,926",,,35.9,12,3.3,103.8,,,,,,,,,,6550,Scale of Fantasy,59.803,51.9,AP,0.887,0.177,,6524,Great Knight Medal,59.803,51.9,AP,1.039,0.327,,6551,Ceremonial Sword of Twilight,89.705,34.6,AP,0.838,0.177,,6534,Mystic Gunpowder,89.705,34.6,AP,0.792,0.152,,6516,Evil Bone,89.705,34.6,AP,0.541,0.354,,,,,,,,,,,,,,,,,,,-1,Blue Gems,59.803,,-2,Red Gems,59.803,,-3,Gold Gems,29.902,,-6,XP,897.1
The Call of the Storm,28.73,40,915,Lotto,12,,7.013,2.003,,6519,Warhorse's Young Horn,26.39,108.9,AP,0.8,0.252,,6508,Ghost Lantern,41.08,69.9,AP,0.653,0.138,,6107,Magic Gem of Berserker,26.28,109.3,AP,0.201,,,7107,Berserker Monument,21.7,132.4,AP,0.365,,,6007,Gem of Berserker,29.58,97.1,AP,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,327,"85,407",,,45.1,15,2.7,76.5,,,,,,,,,,6550,Scale of Fantasy,75.153,38.2,AP,1.203,0.241,,6524,Great Knight Medal,75.153,38.2,AP,1.41,0.445,,6551,Ceremonial Sword of Twilight,112.73,25.5,AP,1.138,0.24,,6534,Mystic Gunpowder,112.73,25.5,AP,1.075,0.207,,6516,Evil Bone,112.73,25.5,AP,0.734,0.481,,,,,,,,,,,,,,,,,,,-1,Blue Gems,75.153,,-2,Red Gems,75.153,,-3,Gold Gems,37.577,,-6,XP,1127.3
The Sun Dances,27.61,40,"1,098",Lotto,12,,8.528,2.624,,6531,Mysterious Divine Wine,26.66,103.6,AP,1.369,0.288,,6554,Obsidian Blade,76.45,36.1,AP,0.8,0.492,,6206,Secret Gem of Assassin,26.14,105.6,AP,0.692,,,7106,Assassin Monument,26.43,104.5,AP,0.465,,,6006,Gem of Assassin,16.87,163.7,AP,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,409,"97,678",,,49.6,16.5,2.4,66.9,,,,,,,,,,6550,Scale of Fantasy,82.6,33.4,AP,1.376,0.276,,6524,Great Knight Medal,82.6,33.4,AP,1.613,0.508,,6551,Ceremonial Sword of Twilight,123.9,22.3,AP,1.301,0.274,,6534,Mystic Gunpowder,123.9,22.3,AP,1.23,0.236,,6516,Evil Bone,123.9,22.3,AP,0.839,0.55,,,,,,,,,,,,,,,,,,,-1,Blue Gems,82.6,,-2,Red Gems,82.6,,-3,Gold Gems,41.3,,-6,XP,1239
A Single Shooting Star,26.5,40,"1,318",Lotto,12,,10.159,3.819,,6525,Scarab of Wisdom,31.3,84.7,AP,1.821,1.072,,6557,Flower of the End,63.63,41.6,AP,1.119,0.653,,6202,Secret Gem of Archer,31.32,84.6,AP,0.85,,,7102,Archer Monument,31.17,85,AP,0.576,,,6102,Magic Gem of Archer,16.91,156.7,AP,0.128,,,6002,Gem of Archer,16.54,160.2,AP,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",,511,"110,883",,,54,18,2.2,58.9,,,,,,,,,,6550,Scale of Fantasy,89.997,29.4,AP,1.562,0.313,,6524,Great Knight Medal,89.997,29.4,AP,1.83,0.577,,6551,Ceremonial Sword of Twilight,134.995,19.6,AP,1.477,0.311,,6534,Mystic Gunpowder,134.995,19.6,AP,1.396,0.268,,6516,Evil Bone,134.995,19.6,AP,0.953,0.624,,,,,,,,,,,,,,,,,,,-1,Blue Gems,89.997,,-2,Red Gems,89.997,,-3,Gold Gems,44.998,,-6,XP,1350
,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6550,Scale of Fantasy,,,,,,,6524,Great Knight Medal,,,,,,,6551,Ceremonial Sword of Twilight,,,,,,,6534,Mystic Gunpowder,,,,,,,6516,Evil Bone,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6550,Scale of Fantasy,,,,,,,6524,Great Knight Medal,,,,,,,6551,Ceremonial Sword of Twilight,,,,,,,6534,Mystic Gunpowder,,,,,,,6516,Evil Bone,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
