Mystery House Crafters,,Extremely Haunted House A.C.L.,,Lotto Drop Bonus:,,12,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
F1: VIP Lounge,40,40,715,Event,12,,0.524,0.309,,6508,Ghost Lantern,45.89,87.2,AP,0.524,0.309,,6106,Magic Gem of Assassin,15.19,263.3,AP,0.072,,,7006,Assassin Piece,18.04,221.7,AP,0.072,,,6006,Gem of Assassin,27.22,147.0,AP,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
F1: Secret Chamber,40,40,715,Event,12,,0.709,0.427,,6514,Homunculus Baby,33.56,119.2,AP,0.381,0.225,,6534,Mystic Gunpowder,47.95,83.4,AP,0.328,0.202,,6102,Magic Gem of Archer,17.12,233.6,AP,0.086,,,7002,Archer Piece,18.84,212.3,AP,0.088,,,6002,Gem of Archer,25,160.0,AP,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
F1: Nursery,40,40,715,Event,12,,0.325,0.213,,6516,Evil Bone,69.49,57.6,AP,0.325,0.213,,6201,Secret Gem of Saber,10.41,384.2,AP,0.187,,,7001,Saber Piece,21.31,187.7,AP,0.101,,,6001,Gem of Saber,35.11,113.9,AP,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
F2: Castle Lord's Bedchambers,40,40,715,Event,12,,0.917,0.478,,6523,Lamp of Evil-Sealing,22.43,178.3,AP,0.534,0.242,,6552,Ash of Remembrance,51.1,78.3,AP,0.383,0.236,,6107,Magic Gem of Berserker,40.07,99.8,AP,0.220,,,7007,Berserker Piece,23.53,170.0,AP,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
F2: Tranquil River,40,40,815,Event,12,,0.993,0.585,,6519,Warhorse's Young Horn,27.02,148.0,AP,0.582,0.343,,6513,Meteor Horseshoes,37.63,106.3,AP,0.411,0.241,,6103,Magic Gem of Lancer,24.75,161.6,AP,0.124,,,7103,Lancer Monument,20.71,193.1,AP,0.247,,,6003,Gem of Lancer,22.98,174.1,AP,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
3F: Waiting Room,40,40,815,Event,12,,0.891,0.475,,6524,Great Knight Medal,44.11,90.7,AP,0.601,0.344,,6505,Void's Dust,40.18,99.6,AP,0.290,0.132,,6101,Magic Gem of Saber,19.03,210.2,AP,0.105,,,7101,Saber Monument,16.92,236.4,AP,0.207,,,6001,Gem of Saber,25.38,157.6,AP,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
3F: Screening Room,40,40,815,Event,12,,0.826,0.450,,6536,Aurora Steel,32.14,124.5,AP,0.366,0.225,,6515,Octuplet Crystal,39.8,100.5,AP,0.460,0.224,,6104,Magic Gem of Rider,21.68,184.5,AP,0.117,,,7104,Rider Monument,18.88,211.9,AP,0.235,,,6004,Gem of Rider,26.53,150.8,AP,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
4F: Training Grounds,40,40,815,Event,12,,0.982,0.558,,6544,Fragment of a Twinkling Star,18.87,212.0,AP,0.711,0.426,,6503,Proof of Hero,57.92,69.1,AP,0.271,0.132,,6207,Secret Gem of Berserker,14.32,279.3,AP,0.265,,,7107,Berserker Monument,15.84,252.5,AP,0.191,,,6007,Gem of Berserker,36.88,108.5,AP,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
4F: Waste Dump,40,40,915,Event,12,,1.106,0.654,,6528,Primordial Lanugo,26.18,152.8,AP,0.680,0.399,,6522,Fool's Chain,64.78,61.7,AP,0.426,0.255,,6106,Magic Gem of Assassin,19.02,210.3,AP,0.090,,,7106,Assassin Monument,20.9,191.4,AP,0.254,,,6006,Gem of Assassin,31.64,126.4,AP,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
5F: Heavily Contaminated Zone,40,40,915,Event,12,,1.085,0.492,,6517,Heart of the Foreign God,18.59,215.2,AP,0.708,0.321,,6509,Serpent Jewel,33.51,119.4,AP,0.377,0.171,,6202,Secret Gem of Archer,24.61,162.5,AP,0.442,,,7102,Archer Monument,19.9,201.0,AP,0.244,,,6002,Gem of Archer,35.86,111.5,AP,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
