Summer 2027,,Chaldea U-Summer Island ~Does the President Dream of Summer?~,,Lotto Drop Bonus:,,5,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,These calculations were done using Atlas Academy's average drop rate for all event set ups.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Great President Hotel,30,30,165,Event,5,,1.913,0.625,,6530,Mystic Spinal Fluid,17.05,176.0,AP,0.163,0.031,,6005,Gem of Caster,15.57,192.7,AP,0.043,,,7005,Caster Piece,10.07,297.9,AP,0.052,,,,,,,,,,,,,,,,,,,6503,Proof of Hero,23.2,129.3,AP,0.145,0.030,,6533,Stake of Wailing Night,23.2,129.3,AP,0.212,0.045,,6549,Small Bell of Absolution,23.2,129.3,AP,0.223,0.045,,6554,Obsidian Blade,23.2,129.3,AP,0.223,0.137,,6505,Void's Dust,23.2,129.3,AP,0.223,0.043,,6502,Seed of Yggdrasil,11.4,263.2,AP,0.107,0.024,,6536,Aurora Steel,11.4,263.2,AP,0.121,0.024,,6543,Crown of Silvery Light,11.4,263.2,AP,0.118,0.027,,6557,Flower of the End,11.4,263.2,AP,0.177,0.103,,6501,Phoenix Feather,11.4,263.2,AP,0.201,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Jungle Outside the City,35,35,265,Event,5,,4.631,1.094,,6502,Seed of Yggdrasil,27.51,127.2,AP,0.221,0.051,,6103,Magic Gem of Lancer,20.11,174.0,AP,0.115,,,7003,Lancer Piece,16.2,216.0,AP,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6502,Seed of Yggdrasil,27.6,126.8,AP,0.222,0.051,,6536,Aurora Steel,27.6,126.8,AP,0.251,0.050,,6543,Crown of Silvery Light,27.6,126.8,AP,0.244,0.056,,6557,Flower of the End,27.6,126.8,AP,0.367,0.214,,6501,Phoenix Feather,27.6,126.8,AP,0.417,0.238,,6507,Claw of Chaos,15.6,224.4,AP,0.413,0.079,,6521,Black Beast Grease,15.6,224.4,AP,0.413,0.083,,6529,Cursed Beast Gallstone,15.6,224.4,AP,0.682,0.131,,6540,Tsukumo Mirror,15.6,224.4,AP,0.706,0.141,,6548,Flaming Oni Lantern Plant,15.6,224.4,AP,0.695,0.219,,"2,900",,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Resort Town,40,40,415,Event,5,,6.039,1.006,,6512,Dragon Fang,33.1,120.8,AP,0.208,0.048,,6007,Gem of Berserker,29.65,134.9,AP,0.051,,,7007,Berserker Piece,17.17,233.0,AP,0.072,,,,,,,,,,,,,,,,,,,6503,Proof of Hero,18.4,217.4,AP,0.086,0.018,,6533,Stake of Wailing Night,18.4,217.4,AP,0.126,0.027,,6549,Small Bell of Absolution,18.4,217.4,AP,0.133,0.027,,6554,Obsidian Blade,18.4,217.4,AP,0.133,0.082,,6505,Void's Dust,18.4,217.4,AP,0.133,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6507,Claw of Chaos,32,125.0,AP,0.742,0.142,,6521,Black Beast Grease,32,125.0,AP,0.741,0.148,,6529,Cursed Beast Gallstone,32,125.0,AP,1.224,0.235,,6540,Tsukumo Mirror,32,125.0,AP,1.266,0.254,,6548,Flaming Oni Lantern Plant,32,125.0,AP,1.248,0.393,,"4,400",,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Scenic Hill,40,40,515,Event,5,,3.159,1.055,,6537,Giant's Ring,22.3,179.4,AP,0.250,0.048,,6513,Meteor Horseshoes,22.8,175.4,AP,0.248,0.078,,6101,Magic Gem of Saber,12.73,314.2,AP,0.070,,,7001,Saber Piece,21.3,187.8,AP,0.101,,,6001,Gem of Saber,12.24,326.8,AP,0.023,,,6503,Proof of Hero,40,100.0,AP,0.187,0.039,,6533,Stake of Wailing Night,40,100.0,AP,0.274,0.058,,6549,Small Bell of Absolution,40,100.0,AP,0.289,0.058,,6554,Obsidian Blade,40,100.0,AP,0.289,0.178,,6505,Void's Dust,40,100.0,AP,0.289,0.056,,6502,Seed of Yggdrasil,28,142.9,AP,0.197,0.045,,6536,Aurora Steel,28,142.9,AP,0.223,0.045,,6543,Crown of Silvery Light,28,142.9,AP,0.217,0.050,,6557,Flower of the End,28,142.9,AP,0.326,0.190,,6501,Phoenix Feather,28,142.9,AP,0.370,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Passionlip Castle,40,40,615,Event,5,,7.116,1.787,,6501,Phoenix Feather,40.89,97.8,AP,0.541,0.308,,6104,Magic Gem of Rider,15.74,254.1,AP,0.085,,,7104,Rider Monument,10.42,383.9,AP,0.130,,,6004,Gem of Rider,27.7,144.4,AP,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6502,Seed of Yggdrasil,40.8,98.0,AP,0.287,0.066,,6536,Aurora Steel,40.8,98.0,AP,0.324,0.065,,6543,Crown of Silvery Light,40.8,98.0,AP,0.316,0.072,,6557,Flower of the End,40.8,98.0,AP,0.475,0.277,,6501,Phoenix Feather,40.8,98.0,AP,0.540,0.307,,6507,Claw of Chaos,28.4,140.8,AP,0.658,0.126,,6521,Black Beast Grease,28.4,140.8,AP,0.657,0.132,,6529,Cursed Beast Gallstone,28.4,140.8,AP,1.086,0.209,,6540,Tsukumo Mirror,28.4,140.8,AP,1.124,0.225,,6548,Flaming Oni Lantern Plant,28.4,140.8,AP,1.108,0.349,,"6,400",,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Furisu Shinyama,40,40,715,Event,5,,8.764,1.681,,6520,Tearstone of Blood,18.74,213.4,AP,0.508,0.289,,6545,Divine Leyline Spiritron,31.89,125.4,AP,0.368,0.071,,6102,Magic Gem of Archer,45.77,87.4,AP,0.229,,,7102,Archer Monument,14.36,278.6,AP,0.176,,,,,,,,,,,6503,Proof of Hero,30.2,132.5,AP,0.141,0.030,,6533,Stake of Wailing Night,30.2,132.5,AP,0.207,0.044,,6549,Small Bell of Absolution,30.2,132.5,AP,0.218,0.044,,6554,Obsidian Blade,30.2,132.5,AP,0.218,0.134,,6505,Void's Dust,30.2,132.5,AP,0.218,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6507,Claw of Chaos,42.2,94.8,AP,0.978,0.188,,6521,Black Beast Grease,42.2,94.8,AP,0.977,0.196,,6529,Cursed Beast Gallstone,42.2,94.8,AP,1.614,0.310,,6540,Tsukumo Mirror,42.2,94.8,AP,1.670,0.334,,6548,Flaming Oni Lantern Plant,42.2,94.8,AP,1.646,0.519,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Entrance to In Shumura,40,40,815,Event,5,,4.348,1.413,,6528,Primordial Lanugo,21.93,182.4,AP,0.570,0.180,,6552,Ash of Remembrance,56.75,70.5,AP,0.426,0.082,,6106,Magic Gem of Assassin,22.91,174.6,AP,0.108,,,7106,Assassin Monument,17.41,229.8,AP,0.212,,,6006,Gem of Assassin,11.59,345.1,AP,0.021,,,6503,Proof of Hero,55.4,72.2,AP,0.259,0.055,,6533,Stake of Wailing Night,55.4,72.2,AP,0.379,0.080,,6549,Small Bell of Absolution,55.4,72.2,AP,0.400,0.080,,6554,Obsidian Blade,55.4,72.2,AP,0.400,0.246,,6505,Void's Dust,55.4,72.2,AP,0.400,0.077,,6502,Seed of Yggdrasil,31.8,125.8,AP,0.223,0.051,,6536,Aurora Steel,31.8,125.8,AP,0.253,0.051,,6543,Crown of Silvery Light,31.8,125.8,AP,0.246,0.056,,6557,Flower of the End,31.8,125.8,AP,0.370,0.216,,6501,Phoenix Feather,31.8,125.8,AP,0.421,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Tecciz Shrine: OMG Bridal ,40,40,865,Event,5,,9.304,2.425,,6517,Heart of the Foreign God,18.72,213.7,AP,0.712,0.423,,6515,Octuplet Crystal,38.48,104.0,AP,0.443,0.085,,6205,Secret Gem of Caster,17.84,224.2,AP,0.221,,,7105,Caster Monument,18.26,219.1,AP,0.223,,,6005,Gem of Caster,33.17,120.6,AP,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6502,Seed of Yggdrasil,57.4,69.7,AP,0.403,0.092,,6536,Aurora Steel,57.4,69.7,AP,0.456,0.091,,6543,Crown of Silvery Light,57.4,69.7,AP,0.445,0.102,,6557,Flower of the End,57.4,69.7,AP,0.669,0.390,,6501,Phoenix Feather,57.4,69.7,AP,0.759,0.432,,6507,Claw of Chaos,33.2,120.5,AP,0.769,0.148,,6521,Black Beast Grease,33.2,120.5,AP,0.769,0.154,,6529,Cursed Beast Gallstone,33.2,120.5,AP,1.270,0.244,,6540,Tsukumo Mirror,33.2,120.5,AP,1.314,0.263,,6548,Flaming Oni Lantern Plant,33.2,120.5,AP,1.295,0.408,,"8,900",,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Tecciz Shrine: Bespoked Tailoring,40,40,"1,318",Event,5,,11.949,3.304,,6542,Egg of Truth,30.83,129.7,AP,1.214,0.715,,6559,Universal Cube,62.92,63.6,AP,0.499,0.351,,6207,Secret Gem of Berserker,31.8,125.8,AP,0.562,,,7107,Berserker Monument,31.13,128.5,AP,0.376,,,6107,Magic Gem of Berserker,11.09,360.7,AP,0.061,,,6503,Proof of Hero,42,95.2,AP,0.196,0.041,,6533,Stake of Wailing Night,42,95.2,AP,0.288,0.061,,6549,Small Bell of Absolution,42,95.2,AP,0.303,0.061,,6554,Obsidian Blade,42,95.2,AP,0.303,0.186,,6505,Void's Dust,42,95.2,AP,0.303,0.058,,6502,Seed of Yggdrasil,41.8,95.7,AP,0.294,0.067,,6536,Aurora Steel,41.8,95.7,AP,0.332,0.067,,6543,Crown of Silvery Light,41.8,95.7,AP,0.324,0.074,,6557,Flower of the End,41.8,95.7,AP,0.487,0.284,,6501,Phoenix Feather,41.8,95.7,AP,0.553,0.315,,6507,Claw of Chaos,42,95.2,AP,0.973,0.187,,6521,Black Beast Grease,42,95.2,AP,0.972,0.195,,6529,Cursed Beast Gallstone,42,95.2,AP,1.607,0.309,,6540,Tsukumo Mirror,42,95.2,AP,1.662,0.333,,6548,Flaming Oni Lantern Plant,42,95.2,AP,1.638,0.516,,"13,536",,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Surf Coast,40,40,915,Event,5,,10.674,2.020,,6506,Dragon's Reverse Scale,21.13,189.3,AP,0.188,0.094,,6556,Ether Converger,39.63,100.9,AP,0.458,0.279,,6203,Secret Gem of Lancer,21.67,184.6,AP,0.382,,,7103,Lancer Monument,21.83,183.2,AP,0.261,,,6103,Magic Gem of Lancer,33.1,120.8,AP,0.166,,,6503,Proof of Hero,31.8,125.8,AP,0.149,0.031,,6533,Stake of Wailing Night,31.8,125.8,AP,0.218,0.046,,6549,Small Bell of Absolution,31.8,125.8,AP,0.230,0.046,,6554,Obsidian Blade,31.8,125.8,AP,0.230,0.141,,6505,Void's Dust,31.8,125.8,AP,0.230,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6507,Claw of Chaos,55,72.7,AP,1.275,0.245,,6521,Black Beast Grease,55,72.7,AP,1.273,0.255,,6529,Cursed Beast Gallstone,55,72.7,AP,2.104,0.404,,6540,Tsukumo Mirror,55,72.7,AP,2.177,0.436,,6548,Flaming Oni Lantern Plant,55,72.7,AP,2.145,0.676,,"9,400",,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
