Valentine 2026,,Beyond the Chocolate River,,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Photographer,30,30,165,Event,12,,0.140,0.078,,6502,Seed of Yggdrasil,11.94,251.3,AP,0.140,0.078,,6104,Magic Gem of Rider,5.97,502.5,AP,0.043,,,7004,Rider Piece,10.95,274.0,AP,0.068,,,6004,Gem of Rider,9.95,301.5,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Quarry,35,35,265,Event,12,,0.254,0.194,,6513,Meteor Horseshoes,20.47,171.0,AP,0.254,0.194,,6101,Magic Gem of Saber,12.28,285.0,AP,0.078,,,7001,Saber Piece,16.37,213.8,AP,0.088,,,6001,Gem of Saber,10.53,332.4,AP,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Explosion Marks,40,40,415,Event,12,,0.303,0.150,,6510,Eternal Gear,27.8,143.9,AP,0.303,0.150,,6105,Magic Gem of Caster,8.52,469.5,AP,0.038,,,7005,Caster Piece,18.39,217.5,AP,0.070,,,6005,Gem of Caster,14.35,278.7,AP,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Perseverance Prevails,40,40,515,Event,12,,0.518,0.287,,6501,Phoenix Feather,18.53,215.9,AP,0.243,0.135,,6530,Mystic Spinal Fluid,38.34,104.3,AP,0.275,0.152,,6103,Magic Gem of Lancer,32.91,121.5,AP,0.165,,,7003,Lancer Piece,21.09,189.7,AP,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Records of Certain War,40,40,615,Event,12,,0.740,0.453,,6521,Black Beast Grease,19.51,205.0,AP,0.452,0.277,,6527,Deadly Poison Needle,37.94,105.4,AP,0.288,0.176,,6106,Magic Gem of Assassin,17.75,225.4,AP,0.084,,,7106,Assassin Monument,12.06,331.7,AP,0.146,,,6006,Gem of Assassin,14.5,275.9,AP,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Hell's Special Training,40,40,715,Event,12,,0.788,0.419,,6539,Reactor Core of Dawn,18.5,216.2,AP,0.426,0.215,,6537,Giant's Ring,32.16,124.4,AP,0.362,0.204,,6104,Magic Gem of Rider,32.28,123.9,AP,0.174,,,7104,Rider Monument,13.99,285.9,AP,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Chocolate Gourmet,40,40,815,Event,12,,1.058,0.523,,6520,Tearstone of Blood,23.22,172.3,AP,0.634,0.317,,6515,Octuplet Crystal,36.73,108.9,AP,0.424,0.206,,6107,Magic Gem of Berserker,15.79,253.3,AP,0.087,,,7107,Berserker Monument,15.62,256.1,AP,0.188,,,6007,Gem of Berserker,34.41,116.2,AP,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
3000 Miles,40,40,915,Event,12,,1.231,0.685,,6506,Dragon's Reverse Scale,20.91,191.3,AP,0.863,0.504,,6505,Void's Dust,50.84,78.7,AP,0.369,0.182,,6202,Secret Gem of Archer,21.1,189.6,AP,0.378,,,7102,Archer Monument,21.29,187.9,AP,0.258,,,6102,Magic Gem of Archer,34.73,115.2,AP,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Swordsmith,40,40,"1,098",Event,12,,1.617,0.862,,6518,Spirit Root,26.07,153.4,AP,1.014,0.492,,6550,Scale of Fantasy,52.09,76.8,AP,0.603,0.370,,6201,Secret Gem of Saber,26.71,149.8,AP,0.464,,,7101,Saber Monument,26.38,151.6,AP,0.327,,,6101,Magic Gem of Saber,33.01,121.2,AP,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Torture Session,40,40,"1,318",Event,12,,1.872,1.126,,6544,Fragment of a Twinkling Star,31.87,125.5,AP,1.196,0.701,,6551,Twilit Ritual Sword,93.28,42.9,AP,0.676,0.425,,6205,Secret Gem of Caster,30.85,129.7,AP,0.382,,,7105,Caster Monument,31.56,126.7,AP,0.384,,,6105,Magic Gem of Caster,33.57,119.2,AP,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
