,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,113,114,115,116,117,118
ID #,6503,6516,6512,6505,6522,6527,6530,6533,6534,6549,6551,6552,6554,6555,0,6502,6508,6515,6509,6501,6510,6511,6514,6513,6524,6526,6532,6535,6537,6536,6538,6541,6543,6545,6547,6550,6553,6556,0,6507,6517,6506,6518,6519,6520,6521,6523,6525,6528,6529,6531,6539,6540,6542,6544,6546,6548,0,6001,6002,6003,6004,6005,6006,6007,0,6101,6102,6103,6104,6105,6106,6107,0,6201,6202,6203,6204,6205,6206,6207,0,7001,7002,7003,7004,7005,7006,7007,0,7101,7102,7103,7104,7105,7106,7107,0,9701400,9703400,9702400,9704400,9705400,9706400,9707400,0,9701500,9703500,9702500,9704500,9705500,9706500,9707500,0,-1,-2,-3,-4,-5,-6
Material,Proof of Hero,Evil Bone,Dragon Fang,Void's Dust,Fool's Chain,Deadly Poison Needle,Mystic Spinal Fluid,Stake of Wailing Night,Mystic Gunpowder,Small Bell of Absolution,Twilit Ritual Sword,Ashes of Forgetfulness,Obsidian Knife,Vestige of Madness,,Seed of Yggdrasil,Ghost Lantern,Octuplet Crystal,Serpent Jewel,Phoenix Feather,Eternal Gear,Forbidden Page,Homunculus Baby,Meteor Horseshoes,Great Knight Medal,Shell of Reminiscense,Refined Magatama,Eternal Ice,Giant's Ring,Aurora Steel,Soundless Bell,Arrowhead of Malice,Crown of Silvery Light,Divine Leyline Spiritron,Ball of Rainbow Thread,Scale of Fantasy,Sun Leather,Ether Photon Converger,,Claw of Chaos,Heart of the Foreign God,Dragon's Reverse Scale,Spirit Root,Warhorse's Young Horn,Tearstone of Blood,Black Beast Grease,Lamp of Evil-Sealing,Scarab of Wisdom,Primordial Lanugo,Cursed Beast Gallstone,Mysterious Divine Wine,Reactor Core of Dawn,Tsukumo Mirror,Egg of Truth,Fragment of a Twinkling Star,Fruit of Eternity,Flaming Oni Lantern Plant,,Gem of Saber,Gem of Archer,Gem of Lancer,Gem of Rider,Gem of Caster,Gem of Assassin,Gem of Berserker,,Magic Gem of Saber,Magic Gem of Archer,Magic Gem of Lancer,Magic Gem of Rider,Magic Gem of Caster,Magic Gem of Assassin,Magic Gem of Berserker,,Secret Gem of Saber,Secret Gem of Archer,Secret Gem of Lancer,Secret Gem of Rider,Secret Gem of Caster,Secret Gem of Assassin,Secret Gem of Berserker,,Saber Piece,Archer Piece,Lancer Piece,Rider Piece,Caster Piece,Assassin Piece,Berserker Piece,,Saber Monument,Archer Monument,Lancer Monument,Rider Monument,Caster Monument,Assassin Monument,Berserker Monument,,Saber Blaze,Archer Blaze,Lancer Blaze,Rider Blaze,Caster Blaze,Assassin Blaze,Berserker Blaze,,Saber Hellfire,Archer Hellfire,Lancer Hellfire,Rider Hellfire,Caster Hellfire,Assassin Hellfire,Berserker Hellfire,,Blue Gems,Red Gems,Gold Gems,Silver Statues,Gold Statues,EXP
AP/Drop,18.7,18.6,25.1,29.0,26.3,30.4,28.6,27.4,27.4,28.9,28.9,29.9,29.1,29.8,0.0,28.4,45.6,46.2,45.0,52.5,43.9,61.2,45.4,43.2,54.3,31.1,44.1,31.4,44.4,31.8,31.3,45.6,50.2,46.1,45.8,46.2,44.9,46.1,0.0,92.4,151.5,164.5,153.6,86.2,112.2,92.8,40.0,153.2,104.3,156.3,141.0,92.5,153.1,160.8,150.8,92.2,157.2,0.0,7.5,7.2,8.4,8.4,8.1,7.3,6.9,0.0,22.1,20.0,20.1,21.6,17.7,19.0,22.0,0.0,69.2,71.6,73.5,73.4,49.5,73.5,74.4,0.0,18.8,18.9,18.5,16.5,15.3,15.9,19.4,0.0,49.5,48.3,47.8,49.3,48.7,48.3,48.1,0.0,21.0,23.3,23.0,5.8,20.3,21.8,24.4,0.0,22.6,401.3,209.7,380.8,12.7,324.9,208.1,,,,,,,
Exclude,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,3,3,3,3,3
Skip To,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Eff,2.048,1.517,1.525,2.049,1.687,1.639,1.768,1.605,1.624,1.717,1.589,1.629,1.604,1.342,,1.768,1.561,2.048,1.636,1.768,2.030,2.000,1.367,1.307,1.537,1.434,1.917,1.331,1.772,1.446,1.523,1.661,1.749,1.632,1.639,1.614,1.378,1.698,,1.682,1.605,1.717,2.048,1.653,2.000,1.639,1.661,1.703,1.593,2.049,2.049,1.989,2.030,1.709,1.691,1.989,1.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position Data:,Ranked from Highest to Lowest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,109,244,138,293,209,200,1,160,181,252,267,276,281,309,,1,158,109,231,1,272,137,6,16,255,33,157,183,199,194,204,306,220,229,237,254,289,317,,218,160,252,109,206,137,237,306,219,184,293,293,226,272,214,223,226,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,97,100,245,272,306,170,136,167,173,262,271,268,289,312,,184,150,156,233,214,317,239,279,2,111,32,155,177,190,192,304,206,219,227,248,255,294,316,,281,136,125,220,170,1,208,251,113,190,157,1,199,239,209,233,231,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,95,154,103,157,113,125,134,292,297,263,265,271,286,308,,139,242,228,221,269,202,21,10,5,6,216,156,182,198,302,201,211,223,230,236,257,283,318,,267,21,17,254,139,95,143,215,100,192,276,155,222,236,211,232,228,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35,35,16,199,143,195,131,164,178,260,275,265,285,311,,151,152,188,225,139,243,85,7,4,262,35,240,297,302,191,203,208,222,232,238,263,285,308,,210,22,18,316,173,2,94,169,,127,126,229,202,158,243,318,227,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,94,247,145,1,213,6,129,166,176,259,270,277,292,315,,92,30,288,21,207,135,25,84,3,268,31,241,178,196,187,205,210,218,234,242,264,282,313,,225,23,,135,103,3,115,110,,16,,181,200,241,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
