,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
ID #,6503,6516,6512,6505,6522,6527,6530,6533,6534,6549,6551,6552,6554,6555,0,6502,6508,6515,6509,6501,6510,6511,6514,6513,6524,6526,6532,6535,6537,6536,6538,6541,6543,6545,6547,6550,6553,6556,6557,0,6507,6517,6506,6518,6519,6520,6521,6523,6525,6528,6529,6531,6539,6540,6542,6544,6546,6548,6558,0,6001,6002,6003,6004,6005,6006,6007,0,6101,6102,6103,6104,6105,6106,6107,0,6201,6202,6203,6204,6205,6206,6207,0,7001,7002,7003,7004,7005,7006,7007,0,7101,7102,7103,7104,7105,7106,7107,0,9701400,9703400,9702400,9704400,9705400,9706400,9707400,0,9701500,9703500,9702500,9704500,9705500,9706500,9707500,0,-1,-2,-3,-4,-5,-6
Material,Proof of Hero,Evil Bone,Dragon Fang,Void's Dust,Fool's Chain,Deadly Poison Needle,Mystic Spinal Fluid,Stake of Wailing Night,Mystic Gunpowder,Small Bell of Absolution,Twilit Ritual Sword,Ashes of Forgetfulness,Obsidian Knife,Vestige of Madness,,Seed of Yggdrasil,Ghost Lantern,Octuplet Crystal,Serpent Jewel,Phoenix Feather,Eternal Gear,Forbidden Page,Homunculus Baby,Meteor Horseshoes,Great Knight Medal,Shell of Reminiscence,Refined Magatama,Eternal Ice,Giant's Ring,Aurora Steel,Soundless Bell,Arrowhead of Malice,Crown of Silvery Light,Divine Leyline Spiritron,Ball of Rainbow Thread,Scale of Fantasy,Sun Leather,Ether Photon Converger,Flower of the End,,Claw of Chaos,Heart of the Foreign God,Dragon's Reverse Scale,Spirit Root,Warhorse's Young Horn,Tearstone of Blood,Black Beast Grease,Lamp of Evil-Sealing,Scarab of Wisdom,Primordial Lanugo,Cursed Beast Gallstone,Mysterious Divine Wine,Reactor Core of Dawn,Tsukumo Mirror,Egg of Truth,Fragment of a Twinkling Star,Fruit of Eternity,Flaming Oni Lantern Plant,Golden Cauldron,,Gem of Saber,Gem of Archer,Gem of Lancer,Gem of Rider,Gem of Caster,Gem of Assassin,Gem of Berserker,,Magic Gem of Saber,Magic Gem of Archer,Magic Gem of Lancer,Magic Gem of Rider,Magic Gem of Caster,Magic Gem of Assassin,Magic Gem of Berserker,,Secret Gem of Saber,Secret Gem of Archer,Secret Gem of Lancer,Secret Gem of Rider,Secret Gem of Caster,Secret Gem of Assassin,Secret Gem of Berserker,,Saber Piece,Archer Piece,Lancer Piece,Rider Piece,Caster Piece,Assassin Piece,Berserker Piece,,Saber Monument,Archer Monument,Lancer Monument,Rider Monument,Caster Monument,Assassin Monument,Berserker Monument,,Saber Blaze,Archer Blaze,Lancer Blaze,Rider Blaze,Caster Blaze,Assassin Blaze,Berserker Blaze,,Saber Hellfire,Archer Hellfire,Lancer Hellfire,Rider Hellfire,Caster Hellfire,Assassin Hellfire,Berserker Hellfire,,Blue Gems,Red Gems,Gold Gems,Silver Statues,Gold Statues,EXP
AP/Drop,18.7,18.7,25.1,29.0,26.3,30.4,28.7,27.4,27.4,28.9,29.0,30.0,29.0,29.8,0.0,35.2,45.7,46.2,45.0,52.4,43.6,60.8,45.4,43.4,54.3,46.4,44.1,40.9,45.0,45.4,46.2,45.6,50.2,46.1,45.7,46.3,44.8,45.9,46.5,0.0,92.4,151.5,165.0,155.6,86.1,109.2,92.7,95.3,153.2,104.0,151.3,141.8,92.2,153.1,159.7,150.1,91.8,157.0,122.8,0.0,7.5,7.2,8.4,8.4,8.1,7.3,6.9,0.0,22.1,20.0,20.1,21.6,17.7,19.0,22.0,0.0,69.5,71.7,73.5,73.4,49.5,73.5,74.3,0.0,18.8,18.6,18.5,18.5,15.3,15.9,19.4,0.0,49.6,48.4,47.8,49.3,48.7,48.3,48.2,0.0,21.0,23.4,23.0,5.8,20.3,21.8,24.4,0.0,22.6,213.2,202.1,380.0,12.7,319.9,132.6,,,,,,,
Exclude,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,3,3,3,3,3
Skip To,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Eff,2.062,1.531,1.542,2.026,1.674,1.637,1.804,1.605,1.628,1.713,1.592,1.600,1.601,1.342,,1.804,1.665,2.062,1.622,1.804,2.026,2.000,1.366,1.308,1.747,1.608,1.881,1.460,1.776,1.628,1.683,1.653,1.759,1.636,1.631,1.627,1.375,1.680,1.739,,1.681,1.605,1.713,2.062,1.653,2.000,1.631,1.747,1.703,1.689,1.909,1.909,1.983,2.026,1.705,1.706,1.983,1.631,1.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position Data:,Ranked from Highest to Lowest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,109,244,169,272,209,200,1,160,181,252,267,276,281,313,,1,326,109,231,1,272,137,6,16,251,216,157,183,199,194,204,206,220,229,248,254,289,321,330,,218,160,252,109,206,137,237,251,219,184,293,293,226,272,214,223,226,248,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
