Zone,Quest,AP,Type,Sample,Bronze Material,,,,,,,,,,,,,,,Silver Material,,,,,,,,,,,,,,,,,,,,,,,,,Gold Material,,,,,,,,,,,,,,,,,,,,Gem,,,,,,,,Magic Gem,,,,,,,,Secret Gem,,,,,,,,Piece,,,,,,,,Monument,,,,,,,,Blaze,,,,,,,,Hellfire,,,,,,,Bond/ AP,EXP/AP,QP/AP,Portrait,,Lunchtime,,,Portrait + Lunchtime,,,Teatime,,,Portrait + Teatime,,,Lunch + Teatime,,,3 Different CEs,,,,Highest Bond/AP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,non-MLB,1,2,1 Portrait                1 Lunch,2 Portrait                 1 Lunch,1 Portrait                 2 Lunch,Support,Self,2 Tea,1 Portrait                1 Tea,2 Portrait                1 Tea,1 Portrait                2 Tea,1 Lunch                Supp-Tea,2 Lunch                Self-Tea,1 Lunch                2 Tea,1 Portrait                Lunch-Tea,2 Portrait                Lunch-Tea,1 Portrait                2 Lun-Tea,1 Portrait                Lun-2 Tea,Max,Pattern
Training Grounds,Archer: Extreme,40,Daily,9090,,,,135.9,,,108.4,,,,,,,,,146.1,,,,158.4,,,,,,,,,,,,,,,,,,,,,,,,,,253.6,,,,,,429.8,,,,,,,,,,140.1,,,,,,,,36.1,,,,,,,,72.2,,,,,,,,62.4,,,,,,,,48.6,,,,,,,,277.2,,,,,,,,,,,,,,20.38,742.3,210.0,21.63,22.88,20.78,22.40,24.45,23.65,24.90,25.70,23.43,21.38,24.45,24.68,23.88,25.70,25.45,25.45,26.48,26.70,25.92,26.70,27.73,27.73,
Training Grounds,Archer: Expert,40,Daily,1300,203.1,,,155.2,,,,,,,,,,,,189.1,,,,190.5,,,,197.0,,,,,,,,,,,,,,,,,,,,,,333.3,,,,,,,,,,,,,,,,191.9,,,,,,,,33.1,,,,,,,,135.4,,,,,,,,48.9,,,,,,,,68.7,,,,,,,,341.6,,,,,,,,,,,,,,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,
Training Grounds,Archer: Advance,30,Daily,1651,187.6,,,131.0,,,,,,,,,,,,184.1,,,,307.6,,,,209.0,,,,,,,,,,,,,,,,,,,,,,500.3,,,,,,,,,,,,,,,,142.3,,,,,,,,20.0,,,,,,,,201.3,,,,,,,,27.8,,,,,,,,83.2,,,,,,,,347.0,,,,,,,,,,,,,,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,
Training Grounds,Archer: Intermed,20,Daily,1160,229.7,58.7,1784.6,114.3,,,,,,,,,,,,135.7,,,,2577.8,,,,184.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,,,,,,,,50.5,,,,,,,,,,,,,,,,25.2,,,,,,,,110.5,,,,,,,,48.7,,,,,,,,,,,,,,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,
Training Grounds,Archer: Novice,10,Daily,2791,95.8,38.9,221.3,170.3,,,,,,,,,,,,,,,,,,,,183.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,19.2,,,,,,,,164.2,,,,,,,,36.5,,,,,,,,,,,,,,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,
Training Grounds,Lancer: Extreme,40,Daily,7444,,,,141.1,,142.5,,,,,,,,,,,,,,172.9,,,159.7,,150.8,,,,,,,,,,,,,,,,,,,,269.1,,,,,,,,,,,,,,,,,,160.4,,,,,,,,37.9,,,,,,,,73.5,,,,,,,,61.4,,,,,,,,47.8,,,,,,,,621.6,,,,,,,,,,,,,20.38,742.3,210.0,21.63,22.88,20.78,22.40,24.45,23.65,24.90,25.70,23.43,21.38,24.45,24.68,23.88,25.70,25.45,25.45,26.48,26.70,25.92,26.70,27.73,27.73,
Training Grounds,Lancer: Expert,40,Daily,1200,192.0,,,164.9,,,,,,,,,,,,150.5,,,,320.0,,,212.4,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,162.2,,,,,,,,34.1,,,,,,,,139.1,,,,,,,,49.8,,,,,,,,70.0,,,,,,,,494.4,,,,,,,,,,,,,15.38,392.3,160.0,16.63,17.88,15.68,16.90,18.45,18.15,19.40,19.70,17.68,16.13,18.45,18.93,18.63,19.70,19.20,19.20,19.98,20.45,20.17,20.45,21.23,21.23,
Training Grounds,Lancer: Advance,30,Daily,1377,196.7,,,130.3,,,,,,,,,,,,127.9,,,,459.0,,,203.5,,,,,,,,,,,,,,,,,,,,,,536.5,,,,,,,,,,,,,,,,,,153.6,,,,,,,,20.1,,,,,,,,203.5,,,,,,,,29.2,,,,,,,,83.0,,,,,,,,342.1,,,,,,,,,,,,,13.83,189.7,146.7,15.50,17.17,14.10,15.20,16.60,16.87,18.53,18.27,15.90,14.50,16.60,17.57,17.83,18.27,17.27,17.27,17.97,18.93,19.23,18.93,19.63,19.63,
Training Grounds,Lancer: Intermed,20,Daily,1000,253.2,106.4,,134.2,,,,,,,,,,,,149.3,,,,,,,173.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,,,,,,,,29.7,,,,,,,,,,,,,,,,26.5,,,,,,,,102.6,,,,,,,,54.9,,,,,,,,,,,,,13.25,69.3,145.0,15.75,18.25,13.50,14.55,15.90,17.05,19.55,18.40,15.20,13.90,15.90,17.70,18.90,18.40,16.55,16.55,17.20,19.05,20.21,19.05,19.70,20.21,
Training Grounds,Lancer: Novice,10,Daily,2015,71.7,33.3,,184.9,,,,,,,,,,,,,,,,,,,165.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,18.7,,,,,,,,165.2,,,,,,,,25.4,,,,,,,,,,,,,11.50,27.5,140.0,16.50,21.50,11.70,12.60,13.80,17.60,22.60,18.80,13.20,12.00,13.80,18.20,22.00,18.80,14.30,14.30,14.90,19.30,23.18,19.30,19.90,23.18,
