,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
ID #,6503,6516,6512,6505,6522,6527,6530,6533,6534,6549,6551,6552,6554,6555,6502,6508,6515,6509,6501,6510,6511,6514,6513,6524,6526,6532,6535,6537,6536,6538,6541,6543,6545,6547,6550,6553,6556,6557,6559,6561,6507,6517,6506,6518,6519,6520,6521,6523,6525,6528,6529,6531,6539,6540,6542,6544,6546,6548,6558,6560,6562,6563,6001,6002,6003,6004,6005,6006,6007,6101,6102,6103,6104,6105,6106,6107,6201,6202,6203,6204,6205,6206,6207,7001,7002,7003,7004,7005,7006,7007,7101,7102,7103,7104,7105,7106,7107,9701400,9703400,9702400,9704400,9705400,9706400,9707400,9701500,9703500,9702500,9704500,9705500,9706500,9707500,0,-1,-2,-3,-4,-5,-6
Material,Proof of Hero,Evil Bone,Dragon Fang,Void's Dust,Fool's Chain,Deadly Poison Needle,Mystic Spinal Fluid,Stake of Wailing Night,Mystic Gunpowder,Small Bell of Absolution,Ceremonial Sword of Twilight,Ash of Remembrance,Obsidian Blade,Remnants of Madness,Seed of Yggdrasil,Ghost Lantern,Octuplet Crystal,Serpent Jewel,Phoenix Feather,Eternal Gear,Forbidden Page,Homunculus Baby,Meteor Horseshoes,Great Knight Medal,Shell of Reminiscence,Refined Magatama,Eternal Ice,Giant's Ring,Aurora Steel,Soundless Bell,Arrowhead of Malice,Crown of Silvery Light,Divine Leyline Spiritron,Ball of Rainbow Thread,Scale of Fantasy,Solar Hide,Ether Converger,Flower of the End,Universal Cube,Divine Lens,Claw of Chaos,Heart of the Foreign God,Dragon's Reverse Scale,Spirit Root,Warhorse's Young Horn,Tearstone of Blood,Black Beast Grease,Lamp of Evil-Sealing,Scarab of Wisdom,Primordial Lanugo,Cursed Beast Gallstone,Mysterious Divine Wine,Reactor Core of Dawn,Tsukumo Mirror,Egg of Truth,Fragment of a Twinkling Star,Fruit of Eternity,Flaming Oni Lantern Plant,Golden Cauldron,Moonlight Nucleus,Holy Water of Destiny,Reliquary of Departed Souls,Gem of Saber,Gem of Archer,Gem of Lancer,Gem of Rider,Gem of Caster,Gem of Assassin,Gem of Berserker,Magic Gem of Saber,Magic Gem of Archer,Magic Gem of Lancer,Magic Gem of Rider,Magic Gem of Caster,Magic Gem of Assassin,Magic Gem of Berserker,Secret Gem of Saber,Secret Gem of Archer,Secret Gem of Lancer,Secret Gem of Rider,Secret Gem of Caster,Secret Gem of Assassin,Secret Gem of Berserker,Saber Piece,Archer Piece,Lancer Piece,Rider Piece,Caster Piece,Assassin Piece,Berserker Piece,Saber Monument,Archer Monument,Lancer Monument,Rider Monument,Caster Monument,Assassin Monument,Berserker Monument,Saber Blaze,Archer Blaze,Lancer Blaze,Rider Blaze,Caster Blaze,Assassin Blaze,Berserker Blaze,Saber Hellfire,Archer Hellfire,Lancer Hellfire,Rider Hellfire,Caster Hellfire,Assassin Hellfire,Berserker Hellfire,,Blue Gems,Red Gems,Gold Gems,Silver Statues,Gold Statues,EXP
AP/Drop,18.7,18.7,25.1,29.0,26.3,30.4,28.6,27.4,27.4,28.8,29.0,30.0,28.9,29.8,28.1,45.7,46.1,37.8,52.9,40.9,31.1,45.4,43.5,53.9,31.2,45.6,31.5,44.9,31.8,31.3,45.7,31.0,46.2,45.8,46.0,45.5,46.2,46.6,31.6,46.6,92.7,152.0,35.6,153.4,87.1,108.7,92.6,40.0,154.2,103.9,153.0,141.8,92.3,154.6,157.7,150.3,30.4,154.9,123.3,35.5,132.5,93.2,7.5,7.2,8.4,8.4,8.2,7.3,6.9,22.1,20.0,20.1,21.6,17.7,18.9,22.0,71.3,71.9,70.6,71.3,49.5,70.3,71.4,18.9,16.8,18.7,16.6,15.4,16.0,16.8,49.0,49.0,47.8,49.8,48.8,48.5,48.3,20.8,23.3,23.0,5.8,20.3,23.3,24.4,22.6,216.6,202.1,380.7,12.7,214.9,132.6,,,,,,,
Exclude,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3
Skip To,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Eff,4.776,4.928,4.928,5.084,4.969,4.776,5.084,4.776,5.084,4.969,4.776,5.084,4.628,1.498,4.628,4.776,5.084,4.928,1.758,4.969,4.969,4.370,4.928,4.583,5.084,4.776,4.370,5.084,4.969,4.928,1.648,4.628,5.084,4.776,4.969,4.928,1.636,1.716,1.419,1.666,5.084,1.684,2.000,4.370,4.928,1.758,4.969,1.684,4.928,4.928,5.084,4.776,5.084,4.969,4.928,5.084,1.325,4.628,1.604,1.317,1.512,5.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Position Data:,Ranked from Highest to Lowest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,408,422,422,380,401,408,380,408,380,401,408,380,429,362,429,408,380,422,1,401,401,387,422,373,380,408,387,380,401,422,206,429,380,408,401,422,325,334,347,360,380,21,312,387,422,1,401,21,422,422,380,408,380,401,422,380,226,429,337,315,355,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
