Wandjina World Tour!,,Wandjina World Tour!,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Holy Grail's Destination,30,30,Event,12,,0.107,0.052,,6503,Proof of Hero,17.19,174.5,AP,0.107,0.052,,6003,Gem of Lancer,17.19,174.5,AP,0.048,,,7003,Lancer Piece,8.59,349.2,AP,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Downtown Riot,35,35,Event,12,,0.268,0.165,,6534,Mystic Gunpowder,34.18,102.4,AP,0.268,0.165,,6002,Gem of Archer,17.09,204.8,AP,0.035,,,7002,Archer Piece,17.72,197.5,AP,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Demon Beast Invasion,40,40,Event,12,,0.280,0.154,,6502,Seed of Yggdrasil,31.86,125.5,AP,0.280,0.154,,6101,Magic Gem of Saber,18.14,220.5,AP,0.100,,,7001,Saber Piece,22.12,180.8,AP,0.104,,,6001,Gem of Saber,15.93,251.1,AP,0.030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Advent of the Moonless Night,40,40,Event,12,,0.611,0.369,,6521,Black Beast Grease,15.38,260.1,AP,0.357,0.218,,6522,Fool's Chain,38.68,103.4,AP,0.254,0.151,,6107,Magic Gem of Berserker,16.7,239.5,AP,0.092,,,7007,Berserker Piece,21.1,189.6,AP,0.102,,,6007,Gem of Berserker,25.27,158.3,AP,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Scorching Hot Everlasting Summer Beach,40,40,Event,12,,0.658,0.354,,6523,Lamp of Evil-Sealing,16.46,243.0,AP,0.393,0.225,,6505,Void's Dust,36.46,109.7,AP,0.264,0.129,,6105,Magic Gem of Caster,13.13,304.6,AP,0.058,,,7105,Caster Monument,9.58,417.5,AP,0.117,,,6005,Gem of Caster,27.29,146.6,AP,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Vengeful Apparition on the Campgrounds,40,40,Event,12,,0.719,0.454,,6508,Ghost Lantern,32.04,124.8,AP,0.365,0.234,,6533,Stake of Wailing Night,51.61,77.5,AP,0.354,0.220,,6104,Magic Gem of Rider,19.57,204.4,AP,0.106,,,7104,Rider Monument,15.05,265.8,AP,0.185,,,6004,Gem of Rider,29.03,137.8,AP,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
At the Desert of Whirling Sandstorm,40,40,Event,12,,0.713,0.373,,6501,Phoenix Feather,27.83,143.7,AP,0.365,0.201,,6510,Eternal Gear,31.72,126.1,AP,0.348,0.171,,6102,Magic Gem of Archer,26.09,153.3,AP,0.130,,,7102,Archer Monument,15.17,263.7,AP,0.183,,,6002,Gem of Archer,21.15,189.1,AP,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Riot in Halloween,40,40,Event,12,,0.776,0.391,,6532,Refined Magatama,32.78,122.0,AP,0.361,0.189,,6515,Octuplet Crystal,35.93,111.3,AP,0.415,0.203,,6101,Magic Gem of Saber,24.31,164.5,AP,0.134,,,7101,Saber Monument,19.78,202.2,AP,0.245,,,6001,Gem of Saber,27.66,144.6,AP,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Castle Intruders,40,40,Event,12,,1.155,0.715,,6517,Heart of the Foreign God,20.66,193.6,AP,0.782,0.488,,6509,Serpent Jewel,33.11,120.8,AP,0.372,0.228,,6203,Secret Gem of Lancer,16.78,238.4,AP,0.308,,,7103,Lancer Monument,19.69,203.1,AP,0.235,,,6103,Magic Gem of Lancer,22.07,181.2,AP,0.111,,,6003,Gem of Lancer,17,235.3,AP,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Moment After the Match,40,40,Event,12,,1.557,0.911,,6525,Scarab of Wisdom,25.56,156.5,AP,0.979,0.575,,6549,Small Bell of Absolution,79.94,50.0,AP,0.578,0.336,,6205,Secret Gem of Caster,26.06,153.5,AP,0.322,,,7105,Caster Monument,27.54,145.2,AP,0.335,,,6105,Magic Gem of Caster,22.53,177.5,AP,0.100,,,6005,Gem of Caster,11.76,340.1,AP,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
