Battle in NY 2024,,Battle in New York 2022,Lotto Drop Bonus:,,,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,White ,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Prelims: Isle,40,40,Lotto 1,,,0.599,0.377,,6536,Aurora Steel,27.98,143.0,AP,0.315,0.193,,6512,Dragon Fang,45.27,88.4,AP,0.284,0.184,,6104,Magic Gem of Rider,17.3,231.2,AP,0.093,,,7004,Rider Piece,27.8,143.9,AP,0.128,,,6004,Gem of Rider,22.6,177.0,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,34.7,10.0,,,,,,,,,,,,6541,Arrowhead of Malice,,,,,,,6508,Ghost Lantern,,,,,,,6534,Mystic Gunpowder,,,,,,,6503,Proof of Hero,,,,,,,6516,Evil Bone,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Prelims: Cont.,40,40,Lotto 1,,,0.593,0.302,,6532,Refined Magatama,32.61,122.7,AP,0.360,0.188,,6503,Proof of Hero,50,80.0,AP,0.234,0.114,,6101,Magic Gem of Saber,12.6,317.5,AP,0.069,,,7101,Saber Monument,17.7,226.0,AP,0.219,,,6001,Gem of Saber,29.1,137.5,AP,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",198,,,,35.6,11.0,,,,,,,,,,,,6541,Arrowhead of Malice,,,,,,,6508,Ghost Lantern,,,,,,,6534,Mystic Gunpowder,,,,,,,6503,Proof of Hero,,,,,,,6516,Evil Bone,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Prelims: Planet,40,40,Lotto 1,,,0.906,0.528,,6539,Reactor Core of Dawn,22.41,178.5,AP,0.518,0.261,,6535,Eternal Ice,37.99,105.3,AP,0.388,0.266,,6107,Magic Gem of Berserker,27.4,146.0,AP,0.151,,,7107,Berserker Monument,6.01,665.6,AP,0.072,,,6007,Gem of Berserker,36.5,109.6,AP,0.064,,,7101,Saber Monument,8.41,475.6,AP,0.104,,,7103,Lancer Monument,7.69,520.2,AP,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,35.5,11.8,,,,,,,,,,,,6541,Arrowhead of Malice,,,,,,,6508,Ghost Lantern,,,,,,,6534,Mystic Gunpowder,,,,,,,6503,Proof of Hero,,,,,,,6516,Evil Bone,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Prelims: Galaxy,40,40,Lotto 1,,,1.114,0.642,,6528,Primordial Lanugo,26.27,152.3,AP,0.675,0.402,,6502,Seed of Yggdrasil,49.96,80.1,AP,0.438,0.239,,6105,Magic Gem of Caster,26.2,152.7,AP,0.115,,,7105,Caster Monument,23.2,172.4,AP,0.283,,,6005,Gem of Caster,35.1,114.0,AP,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,45.0,15.0,,,,,,,,,,,,6541,Arrowhead of Malice,,,,,,,6508,Ghost Lantern,,,,,,,6534,Mystic Gunpowder,,,,,,,6503,Proof of Hero,,,,,,,6516,Evil Bone,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Prelims: Space,40,40,Lotto 1,,,1.569,0.920,,6518,Spirit Root,26.21,152.6,AP,1.006,0.493,,6513,Meteor Horseshoes,51.71,77.4,AP,0.562,0.427,,6201,Secret Gem of Saber,26.43,151.3,AP,0.457,,,7101,Saber Monument,8.79,455.1,AP,0.109,,,7104,Rider Monument,18.6,215.1,AP,0.226,,,6004,Gem of Rider,31.7,126.2,AP,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,45.1,15.0,,,,,,,,,,,,6541,Arrowhead of Malice,,,,,,,6508,Ghost Lantern,,,,,,,6534,Mystic Gunpowder,,,,,,,6503,Proof of Hero,,,,,,,6516,Evil Bone,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Main: Isle,40,40,Lotto 2,,,0.644,0.316,,6515,Octuplet Crystal,27.27,146.7,AP,0.316,0.155,,6505,Void's Dust,45.45,88.0,AP,0.328,0.161,,6206,Secret Gem of Assassin,9.09,440.0,AP,0.167,,,7006,Assassin Piece,15.5,258.1,AP,0.061,,,7005,Caster Piece,8.62,464.0,AP,0.033,,,6006,Gem of Assassin,24.1,166.0,AP,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,37.4,10.4,,,,,,,,,,,,6541,Arrowhead of Malice,,,,,,,6508,Ghost Lantern,,,,,,,6534,Mystic Gunpowder,,,,,,,6503,Proof of Hero,,,,,,,6516,Evil Bone,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Main: Cont.,40,40,Lotto 2,,,0.744,0.406,,6501,Phoenix Feather,56.67,70.6,AP,0.744,0.406,,6203,Secret Gem of Lancer,13.33,300.1,AP,0.245,,,7103,Lancer Monument,26.5,150.9,AP,0.317,,,6103,Magic Gem of Lancer,20.3,197.0,AP,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",198,,,,35.7,10.1,,,,,,,,,,,,6541,Arrowhead of Malice,,,,,,,6508,Ghost Lantern,,,,,,,6534,Mystic Gunpowder,,,,,,,6503,Proof of Hero,,,,,,,6516,Evil Bone,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Main: Planet,40,40,Lotto 2,,,1.076,0.579,,6546,Fruit of Eternity,24.3,164.6,AP,0.560,0.283,,6524,Great Knight Medal,38.18,104.8,AP,0.516,0.296,,6201,Secret Gem of Saber,8.5,470.6,AP,0.147,,,7101,Saber Monument,23.4,170.9,AP,0.290,,,6101,Magic Gem of Saber,27.2,147.1,AP,0.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,40.2,12.0,,,,,,,,,,,,6541,Arrowhead of Malice,,,,,,,6508,Ghost Lantern,,,,,,,6534,Mystic Gunpowder,,,,,,,6503,Proof of Hero,,,,,,,6516,Evil Bone,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Main: Galaxy,40,40,Lotto 2,,,1.268,0.754,,6548,Flaming Oni Lantern Plant,20.94,191.0,AP,0.824,0.503,,6537,Giant's Ring,39.81,100.5,AP,0.444,0.250,,6207,Secret Gem of Berserker,16.22,246.6,AP,0.303,,,7107,Berserker Monument,7.35,544.2,AP,0.088,,,7101,Saber Monument,7.18,557.1,AP,0.089,,,7102,Archer Monument,7,571.4,AP,0.085,,,6107,Magic Gem of Berserker,27.1,147.6,AP,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,47.7,14.9,,,,,,,,,,,,6541,Arrowhead of Malice,,,,,,,6508,Ghost Lantern,,,,,,,6534,Mystic Gunpowder,,,,,,,6503,Proof of Hero,,,,,,,6516,Evil Bone,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Main: Space,40,40,Lotto 2,,,1.576,1.007,,6525,Scarab of Wisdom,26.02,153.7,AP,0.993,0.581,,6514,Homunculus Baby,51.34,77.9,AP,0.583,0.426,,6205,Secret Gem of Caster,21.33,187.5,AP,0.263,,,7105,Caster Monument,27.1,147.6,AP,0.331,,,6105,Magic Gem of Caster,21.1,189.6,AP,0.093,,,6005,Gem of Caster,26.9,148.7,AP,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,47.9,15.0,,,,,,,,,,,,6541,Arrowhead of Malice,,,,,,,6508,Ghost Lantern,,,,,,,6534,Mystic Gunpowder,,,,,,,6503,Proof of Hero,,,,,,,6516,Evil Bone,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
