Case Files,,Lady Reines Case Files,Box Bonus:,12,,,Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Patchwork: Fairytale Museum,40,40,Event,,12,0.938,0.477,,6520,Tearstone of Blood,18.82,212.5,AP,0.534,0.267,,6510,Eternal Gear,18.23,219.4,AP,0.202,0.099,,6502,Seed of Yggdrasil,22.99,174.0,AP,0.202,0.110,,6105,Magic Gem of Caster,21.43,186.7,AP,0.095,,,6004,Gem of Rider,14.29,279.9,AP,0.030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,400",3310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Patchwork London Tower,40,40,Event,,12,0.964,0.508,,6540,Tsukumo Mirror,13.27,301.4,AP,0.508,0.250,,6510,Eternal Gear,20.59,194.3,AP,0.229,0.112,,6508,Ghost Lantern,19.9,201.0,AP,0.228,0.146,,6205,Secret Gem of Caster,10.35,386.5,AP,0.128,,,6105,Magic Gem of Caster,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,400",3310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Patchwork: Steam Castle,40,40,Event,,12,0.663,0.416,,6508,Ghost Lantern,40.21,99.5,AP,0.460,0.295,,6522,Fool's Chain,31.22,128.1,AP,0.203,0.121,,6104,Magic Gem of Rider,9.09,440.0,AP,0.049,,,6004,Gem of Rider,18.18,220.0,AP,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,400",3310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
"Memory: ""Uninhabited Island...""",40,40,Event,,12,0.579,0.318,,6526,Shell of Reminiscense,50.1,79.8,AP,0.579,0.318,,6001,Gem of Saber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,900",3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
"Memory: ""Trimming the Garden""",40,40,Event,,12,0.968,0.494,,6531,Mysterious Divine Wine,16.37,244.3,AP,0.577,0.283,,6505,Void's Dust,26.08,153.4,AP,0.188,0.086,,6534,Mystic Gunpowder,29.61,135.1,AP,0.203,0.125,,6206,Secret Gem of Assassin,10.98,364.3,AP,0.202,,,7106,Assassin Monument,,,,,,,6106,Magic Gem of Assassin,,,,,,,6006,Gem of Assassin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,900",3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
"Memory: ""Land of Sweets""",40,40,Event,,12,0.598,0.292,,6515,Octuplet Crystal,51.56,77.6,AP,0.598,0.292,,6007,Gem of Berserker,,,,,,,7101,Saber Monument,,,,,,,7107,Berserker Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"132,900",3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
"Memory: ""Spin! ONILAND...""",40,40,Event,,12,0.999,0.463,,6517,Heart of the Foreign God,19.4,206.2,AP,0.738,0.336,,6503,Proof of Hero,55.89,71.6,AP,0.261,0.127,,6205,Secret Gem of Caster,21.63,184.9,AP,0.268,,,7105,Caster Monument,,,,,,,7104,Rider Monument,,,,,,,7106,Assassin Monument,,,,,,,7107,Berserker Monument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133,400",3335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
"Memory: ""Silent Field""",40,40,Event,,12,0.791,0.415,,6526,Shell of Reminiscense,30.95,129.2,AP,0.357,0.196,,6505,Void's Dust,40.06,99.9,AP,0.289,0.132,,6522,Fool's Chain,22.23,179.9,AP,0.144,0.086,,6101,Magic Gem of Saber,25.81,155.0,AP,0.143,,,7101,Saber Monument,6.45,620.2,AP,0.080,,,6001,Gem of Saber,21.37,187.2,AP,0.040,,,7107,Berserker Monument,14.52,275.5,AP,0.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133,400",3335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
"Memory: ""Tour... Fake Art Museum""",40,40,Event,,12,0.935,0.507,,6507,Claw of Chaos,21.88,182.8,AP,0.505,0.298,,6515,Octuplet Crystal,36.99,108.1,AP,0.429,0.209,,6107,Magic Gem of Berserker,,,,,,,7107,Berserker Monument,,,,,,,6007,Gem of Berserker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"133,400",3335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
"Memory: ""Blaesphemous Christmas""",40,40,Event,,12,1.259,0.573,,6523,Lamp of Evil-Sealing,27.1,147.6,AP,0.646,0.294,,6511,Forbidden Page,40.29,99.3,AP,0.612,0.279,,6205,Secret Gem of Caster,25.34,157.9,AP,0.314,,,7105,Caster Monument,,,,,,,6105,Magic Gem of Caster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"134,400",3360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
