Christmas 2023 w/ Claw of Chaos,,Making Christmas Party,Box Bonus:,,,,Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Beg,30,30,Lotto,,,0.155,0.085,,6526,Shell of Reminiscense,10,300.0,AP,0.155,0.085,,6004,Gem of Rider,14.55,206.2,AP,0.041,,,7004,Rider Piece,10.91,275.0,AP,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,,,,8.9,4.5,,,,6507,Claw of Chaos,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Int,35,35,Lotto,,,0.272,0.133,,6515,Octuplet Crystal,20.63,169.7,AP,0.272,0.133,,6005,Gem of Caster,15.63,223.9,AP,0.036,,,7005,Caster Piece,17.5,200.0,AP,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,,,,14.5,7.3,,,,6507,Claw of Chaos,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Adv,40,40,Lotto,,,0.303,0.166,,6530,Mystic Spinal Fluid,42.29,94.6,AP,0.303,0.166,,6006,Gem of Assassin,23.97,166.9,AP,0.044,,,7006,Assassin Piece,18.95,211.1,AP,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,,,,25.3,11.1,,,,6507,Claw of Chaos,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Fish,40,40,Lotto,,,0.548,0.295,,6531,Mysterious Divine Wine,8.22,486.6,AP,0.290,0.142,,6533,Stake of Wailing Night,37.78,105.9,AP,0.258,0.153,,6203,Secret Gem of Lancer,5.83,686.1,AP,0.107,,,7003,Lancer Piece,21.2,188.7,AP,0.098,,,6003,Gem of Lancer,28.8,138.9,AP,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,,,,27.7,11.4,,,,6507,Claw of Chaos,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Vegetable,40,40,Lotto,,,0.707,0.386,,6546,Fruit of Eternity,16.27,245.9,AP,0.375,0.189,,6513,Meteor Horseshoes,30.55,130.9,AP,0.332,0.197,,6207,Secret Gem of Berserker,16.04,249.4,AP,0.300,,,7107,Berserker Monument,11.1,360.4,AP,0.133,,,6007,Gem of Berserker,33.5,119.4,AP,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,31.8,12.0,,,,6507,Claw of Chaos,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Meat,40,40,Lotto,,,0.917,0.502,,6506,Dragon's Reverse Scale,13.24,302.1,AP,0.544,0.319,,6510,Eternal Gear,33.59,119.1,AP,0.373,0.183,,6202,Secret Gem of Archer,10.95,365.3,AP,0.195,,,7102,Archer Monument,16,250.0,AP,0.193,,,6102,Magic Gem of Archer,28.2,141.8,AP,0.140,,,6002,Gem of Archer,12.1,330.6,AP,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,33.2,12.7,,,,6507,Claw of Chaos,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Cheese,40,40,Lotto,,,0.988,0.508,,6523,Lamp of Evil-Sealing,23.6,169.5,AP,0.564,0.257,,6514,Homunculus Baby,37.33,107.2,AP,0.424,0.251,,6101,Magic Gem of Saber,33.12,120.8,AP,0.183,,,7101,Saber Monument,19,210.5,AP,0.235,,,6001,Gem of Saber,11.7,341.9,AP,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,33.9,12.8,,,,6507,Claw of Chaos,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Noodle,40,40,Lotto,,,1.310,0.791,,6542,Egg of Truth,21.05,190.0,AP,0.847,0.495,,6508,Ghost Lantern,40.49,98.8,AP,0.464,0.297,,6203,Secret Gem of Lancer,21.27,188.1,AP,0.391,,,7103,Lancer Monument,21.8,183.5,AP,0.260,,,6003,Gem of Lancer,22.4,178.6,AP,0.047,,,6003,Gem of Lancer,5.8,689.7,AP,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,44.7,16.9,,,,6507,Claw of Chaos,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Tidying Up,40,40,Lotto,,,1.696,1.011,,6548,Flaming Oni Lantern Plant,26.3,152.1,AP,1.036,0.633,,6543,Crown of Silvery Light,52.19,76.6,AP,0.660,0.378,,6206,Secret Gem of Assassin,31.36,127.6,AP,0.577,,,7106,Assassin Monument,26.1,153.3,AP,0.315,,,6006,Gem of Assassin,5.9,678.0,AP,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,44.8,16.6,,,,6507,Claw of Chaos,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Ice Cream,,,NonAP,,,,,,6535,Eternal Ice,43.15,0.0,AP,,0.000,,6106,Magic Gem of Assassin,11.22,0.0,AP,,,,6006,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,,,,,,,,,6507,Claw of Chaos,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
