Christmas 2023 w/ Phoenix Feather,,Making Christmas Party,Lotto Drop Bonus:,,10,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Beg,27.3,30,Lotto,10,,1.660,0.953,,6526,Shell of Reminiscense,10,273.0,AP,0.114,0.079,,6004,Gem of Rider,14.55,187.6,AP,0.045,,,7004,Rider Piece,10.91,250.2,AP,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",70,"14,742",,,8.9,4.5,11.1,303.9,,6501,Phoenix Feather,17.967,151.9,AP,0.346,0.195,,6515,Octuplet Crystal,17.967,151.9,AP,0.304,0.148,,6532,Refined Magatama,17.967,151.9,AP,0.290,0.151,,6527,Deadly Poison Needle,26.950,101.3,AP,0.300,0.183,,6533,Stake of Wailing Night,26.950,101.3,AP,0.270,0.169,,6535,Eternal Ice,3.144,868.3,AP,0.036,0.027,,,,,,,,,,,,,,,,,,,-1,Blue Gems,17.967,,-2,Red Gems,17.967,,-3,Gold Gems,8.983,,-6,XP,269.5
Int,30.62,35,Lotto,10,,2.550,1.417,,6515,Octuplet Crystal,20.63,148.4,AP,0.311,0.152,,6005,Gem of Caster,15.63,195.9,AP,0.041,,,7005,Caster Piece,17.5,175.0,AP,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",95,"21,337",,,14.5,7.3,6.9,210.0,,6501,Phoenix Feather,29.167,105.0,AP,0.500,0.283,,6515,Octuplet Crystal,29.167,105.0,AP,0.440,0.215,,6532,Refined Magatama,29.167,105.0,AP,0.420,0.219,,6527,Deadly Poison Needle,43.750,70.0,AP,0.434,0.265,,6533,Stake of Wailing Night,43.750,70.0,AP,0.391,0.244,,6535,Eternal Ice,5.104,599.9,AP,0.052,0.039,,,,,,,,,,,,,,,,,,,-1,Blue Gems,29.167,,-2,Red Gems,29.167,,-3,Gold Gems,14.583,,-6,XP,437.5
Adv,33.18,40,Lotto,10,,3.582,2.025,,6530,Mystic Spinal Fluid,42.29,78.5,AP,0.365,0.206,,6006,Gem of Assassin,23.97,138.4,AP,0.053,,,7006,Assassin Piece,18.95,175.1,AP,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",133,"30,672",,,25.3,11.1,4.4,146.1,,6501,Phoenix Feather,45.433,73.0,AP,0.719,0.407,,6515,Octuplet Crystal,45.433,73.0,AP,0.633,0.309,,6532,Refined Magatama,45.433,73.0,AP,0.604,0.315,,6527,Deadly Poison Needle,68.150,48.7,AP,0.624,0.381,,6533,Stake of Wailing Night,68.150,48.7,AP,0.563,0.351,,6535,Eternal Ice,7.951,417.3,AP,0.075,0.057,,,,,,,,,,,,,,,,,,,-1,Blue Gems,45.433,,-2,Red Gems,45.433,,-3,Gold Gems,22.717,,-6,XP,681.5
Fish,32.91,40,Lotto,10,,4.039,2.274,,6531,Mysterious Divine Wine,8.22,400.4,AP,0.352,0.172,,6533,Stake of Wailing Night,37.78,87.1,AP,0.315,0.196,,6203,Secret Gem of Lancer,5.83,564.5,AP,0.130,,,7003,Lancer Piece,21.2,155.2,AP,0.119,,,6003,Gem of Lancer,28.8,114.3,AP,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",164,"32,149",,,27.7,11.4,4.2,139.4,,6501,Phoenix Feather,47.233,69.7,AP,0.753,0.426,,6515,Octuplet Crystal,47.233,69.7,AP,0.663,0.324,,6532,Refined Magatama,47.233,69.7,AP,0.633,0.330,,6527,Deadly Poison Needle,70.850,46.5,AP,0.654,0.399,,6533,Stake of Wailing Night,70.850,46.5,AP,0.590,0.368,,6535,Eternal Ice,8.266,398.1,AP,0.079,0.059,,,,,,,,,,,,,,,,,,,-1,Blue Gems,47.233,,-2,Red Gems,47.233,,-3,Gold Gems,23.617,,-6,XP,708.5
Vegetable,32.41,40,Lotto,10,,4.539,2.618,,6546,Fruit of Eternity,16.27,199.2,AP,0.463,0.233,,6513,Meteor Horseshoes,30.55,106.1,AP,0.407,0.311,,6207,Secret Gem of Berserker,16.04,202.1,AP,0.368,,,7107,Berserker Monument,11.1,292.0,AP,0.165,,,6007,Gem of Berserker,33.5,96.7,AP,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",197,"34,972",,,31.8,12.0,4.0,128.1,,6501,Phoenix Feather,50.600,64.1,AP,0.820,0.463,,6515,Octuplet Crystal,50.600,64.1,AP,0.721,0.352,,6532,Refined Magatama,50.600,64.1,AP,0.689,0.359,,6527,Deadly Poison Needle,75.900,42.7,AP,0.712,0.434,,6533,Stake of Wailing Night,75.900,42.7,AP,0.642,0.400,,6535,Eternal Ice,8.855,366.0,AP,0.086,0.064,,,,,,,,,,,,,,,,,,,-1,Blue Gems,50.600,,-2,Red Gems,50.600,,-3,Gold Gems,25.300,,-6,XP,759.0
Meat,31.99,40,Lotto,10,,5.064,2.840,,6506,Dragon's Reverse Scale,13.24,241.6,AP,0.681,0.396,,6510,Eternal Gear,33.59,95.2,AP,0.461,0.227,,6202,Secret Gem of Archer,10.95,292.1,AP,0.245,,,7102,Archer Monument,16,199.9,AP,0.242,,,6102,Magic Gem of Archer,28.2,113.4,AP,0.176,,,6002,Gem of Archer,12.1,264.4,AP,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",231,"37,392",,,33.2,12.7,3.7,119.8,,6501,Phoenix Feather,53.400,59.9,AP,0.876,0.496,,6515,Octuplet Crystal,53.400,59.9,AP,0.771,0.377,,6532,Refined Magatama,53.400,59.9,AP,0.736,0.384,,6527,Deadly Poison Needle,80.100,39.9,AP,0.761,0.464,,6533,Stake of Wailing Night,80.100,39.9,AP,0.686,0.427,,6535,Eternal Ice,9.345,342.3,AP,0.092,0.069,,,,,,,,,,,,,,,,,,,-1,Blue Gems,53.400,,-2,Red Gems,53.400,,-3,Gold Gems,26.700,,-6,XP,801.0
Cheese,31.9,40,Lotto,10,,4.803,2.814,,6523,Lamp of Evil-Sealing,23.6,135.2,AP,0.296,0.178,,6514,Homunculus Baby,37.33,85.5,AP,0.531,0.389,,6101,Magic Gem of Saber,33.12,96.3,AP,0.229,,,7101,Saber Monument,19,167.9,AP,0.295,,,6001,Gem of Saber,11.7,272.6,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",263,"37,895",,,33.9,12.8,3.7,118.2,,6501,Phoenix Feather,53.967,59.1,AP,0.888,0.502,,6515,Octuplet Crystal,53.967,59.1,AP,0.782,0.382,,6532,Refined Magatama,53.967,59.1,AP,0.746,0.389,,6527,Deadly Poison Needle,80.950,39.4,AP,0.771,0.471,,6533,Stake of Wailing Night,80.950,39.4,AP,0.695,0.433,,6535,Eternal Ice,9.444,337.8,AP,0.093,0.070,,,,,,,,,,,,,,,,,,,-1,Blue Gems,53.967,,-2,Red Gems,53.967,,-3,Gold Gems,26.983,,-6,XP,809.5
Noodle,29.34,40,Lotto,10,,7.475,4.295,,6542,Egg of Truth,21.05,139.4,AP,1.154,0.675,,6508,Ghost Lantern,40.49,72.5,AP,0.629,0.403,,6203,Secret Gem of Lancer,21.27,137.9,AP,0.533,,,7103,Lancer Monument,21.8,134.6,AP,0.355,,,6003,Gem of Lancer,22.4,131.0,AP,0.064,,,6003,Gem of Lancer,5.8,505.9,AP,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",320,"54,257",,,44.7,16.9,2.8,82.6,,6501,Phoenix Feather,71.067,41.3,AP,1.272,0.719,,6515,Octuplet Crystal,71.067,41.3,AP,1.119,0.546,,6532,Refined Magatama,71.067,41.3,AP,1.068,0.557,,6527,Deadly Poison Needle,106.600,27.5,AP,1.105,0.674,,6533,Stake of Wailing Night,106.600,27.5,AP,0.996,0.620,,6535,Eternal Ice,12.437,235.9,AP,0.133,0.100,,,,,,,,,,,,,,,,,,,-1,Blue Gems,71.067,,-2,Red Gems,71.067,,-3,Gold Gems,35.533,,-6,XP,1066.0
Tidying Up,29.47,40,Lotto,10,,7.891,4.530,,6548,Flaming Oni Lantern Plant,26.3,112.1,AP,1.403,0.857,,6543,Crown of Silvery Light,52.19,56.5,AP,0.889,0.508,,6206,Secret Gem of Assassin,31.36,94.0,AP,0.782,,,7106,Assassin Monument,26.1,112.9,AP,0.428,,,6006,Gem of Assassin,5.9,499.5,AP,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",319,"53,369",,,44.8,16.6,2.8,83.9,,6501,Phoenix Feather,70.213,42.0,AP,1.251,0.707,,6515,Octuplet Crystal,70.213,42.0,AP,1.101,0.537,,6532,Refined Magatama,70.213,42.0,AP,1.051,0.548,,6527,Deadly Poison Needle,105.320,28.0,AP,1.086,0.663,,6533,Stake of Wailing Night,105.320,28.0,AP,0.979,0.610,,6535,Eternal Ice,12.287,239.8,AP,0.131,0.098,,,,,,,,,,,,,,,,,,,-1,Blue Gems,70.213,,-2,Red Gems,70.213,,-3,Gold Gems,35.107,,-6,XP,1053.2
Ice Cream,,,NonAP,10,,,,,6535,Eternal Ice,43.15,0.0,AP,,0.000,,6106,Magic Gem of Assassin,11.22,0.0,AP,,,,6006,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,,,,,,,,,6501,Phoenix Feather,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
