Christmas 2023 w/ Aurora Steel,,Making Christmas Party,Lotto Drop Bonus:,,4,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Beg,28.65,30,Lotto,4,,0.779,0.467,,6526,Shell of Reminiscense,10,286.5,AP,0.109,0.076,,6004,Gem of Rider,14.55,196.9,AP,0.043,,,7004,Rider Piece,10.91,262.6,AP,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",66,"7,011",,,8.9,4.5,22.3,639.0,,6536,Aurora Steel,8.967,319.5,AP,0.100,0.069,,6515,Octuplet Crystal,8.967,319.5,AP,0.145,0.071,,6532,Refined Magatama,8.967,319.5,AP,0.138,0.072,,6527,Deadly Poison Needle,13.450,213.0,AP,0.143,0.087,,6533,Stake of Wailing Night,13.450,213.0,AP,0.129,0.080,,6535,Eternal Ice,1.569,"1,825.8",AP,0.017,0.013,,,,,,,,,,,,,,,,,,,-1,Blue Gems,8.967,,-2,Red Gems,8.967,,-3,Gold Gems,4.483,,-6,XP,134.5
Int,32.81,35,Lotto,4,,1.242,0.697,,6515,Octuplet Crystal,20.63,159.0,AP,0.290,0.142,,6005,Gem of Caster,15.63,209.9,AP,0.039,,,7005,Caster Piece,17.5,187.5,AP,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",88,"9,945",,,14.5,7.3,13.7,450.5,,6536,Aurora Steel,14.567,225.2,AP,0.141,0.098,,6515,Octuplet Crystal,14.567,225.2,AP,0.205,0.100,,6532,Refined Magatama,14.567,225.2,AP,0.196,0.102,,6527,Deadly Poison Needle,21.850,150.2,AP,0.202,0.124,,6533,Stake of Wailing Night,21.850,150.2,AP,0.182,0.114,,6535,Eternal Ice,2.549,"1,287.1",AP,0.024,0.018,,,,,,,,,,,,,,,,,,,-1,Blue Gems,14.567,,-2,Red Gems,14.567,,-3,Gold Gems,7.283,,-6,XP,218.5
Adv,36.51,40,Lotto,4,,1.695,0.983,,6530,Mystic Spinal Fluid,42.29,86.3,AP,0.331,0.187,,6006,Gem of Assassin,23.97,152.3,AP,0.048,,,7006,Assassin Piece,18.95,192.7,AP,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",121,"14,254",,,25.3,11.1,8.6,314.3,,6536,Aurora Steel,23.233,157.1,AP,0.202,0.140,,6515,Octuplet Crystal,23.233,157.1,AP,0.294,0.144,,6532,Refined Magatama,23.233,157.1,AP,0.281,0.146,,6527,Deadly Poison Needle,34.850,104.8,AP,0.290,0.177,,6533,Stake of Wailing Night,34.850,104.8,AP,0.262,0.163,,6535,Eternal Ice,4.066,898.0,AP,0.035,0.026,,,,,,,,,,,,,,,,,,,-1,Blue Gems,23.233,,-2,Red Gems,23.233,,-3,Gold Gems,11.617,,-6,XP,348.5
Fish,36.33,40,Lotto,4,,2.045,1.175,,6531,Mysterious Divine Wine,8.22,442.0,AP,0.319,0.156,,6533,Stake of Wailing Night,37.78,96.2,AP,0.285,0.178,,6203,Secret Gem of Lancer,5.83,623.2,AP,0.118,,,7003,Lancer Piece,21.2,171.4,AP,0.108,,,6003,Gem of Lancer,28.8,126.1,AP,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",149,"15,065",,,27.7,11.4,8.2,297.4,,6536,Aurora Steel,24.433,148.7,AP,0.214,0.148,,6515,Octuplet Crystal,24.433,148.7,AP,0.311,0.152,,6532,Refined Magatama,24.433,148.7,AP,0.297,0.155,,6527,Deadly Poison Needle,36.650,99.1,AP,0.307,0.187,,6533,Stake of Wailing Night,36.650,99.1,AP,0.276,0.172,,6535,Eternal Ice,4.276,849.7,AP,0.037,0.028,,,,,,,,,,,,,,,,,,,-1,Blue Gems,24.433,,-2,Red Gems,24.433,,-3,Gold Gems,12.217,,-6,XP,366.5
Vegetable,36.01,40,Lotto,4,,2.366,1.414,,6546,Fruit of Eternity,16.27,221.3,AP,0.417,0.209,,6513,Meteor Horseshoes,30.55,117.9,AP,0.366,0.280,,6207,Secret Gem of Berserker,16.04,224.5,AP,0.331,,,7107,Berserker Monument,11.1,324.4,AP,0.148,,,6007,Gem of Berserker,33.5,107.5,AP,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",178,"16,547",,,31.8,12.0,7.5,270.8,,6536,Aurora Steel,26.600,135.4,AP,0.235,0.162,,6515,Octuplet Crystal,26.600,135.4,AP,0.341,0.167,,6532,Refined Magatama,26.600,135.4,AP,0.326,0.170,,6527,Deadly Poison Needle,39.900,90.3,AP,0.337,0.205,,6533,Stake of Wailing Night,39.900,90.3,AP,0.304,0.189,,6535,Eternal Ice,4.655,773.6,AP,0.041,0.031,,,,,,,,,,,,,,,,,,,-1,Blue Gems,26.600,,-2,Red Gems,26.600,,-3,Gold Gems,13.300,,-6,XP,399.0
Meat,35.8,40,Lotto,4,,2.696,1.536,,6506,Dragon's Reverse Scale,13.24,270.4,AP,0.608,0.354,,6510,Eternal Gear,33.59,106.6,AP,0.412,0.203,,6202,Secret Gem of Archer,10.95,326.9,AP,0.219,,,7102,Archer Monument,16,223.8,AP,0.216,,,6102,Magic Gem of Archer,28.2,127.0,AP,0.158,,,6002,Gem of Archer,12.1,295.9,AP,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",207,"17,520",,,33.2,12.7,7.1,255.7,,6536,Aurora Steel,28.000,127.9,AP,0.249,0.172,,6515,Octuplet Crystal,28.000,127.9,AP,0.361,0.176,,6532,Refined Magatama,28.000,127.9,AP,0.345,0.180,,6527,Deadly Poison Needle,42.000,85.2,AP,0.357,0.218,,6533,Stake of Wailing Night,42.000,85.2,AP,0.321,0.200,,6535,Eternal Ice,4.900,730.6,AP,0.043,0.032,,,,,,,,,,,,,,,,,,,-1,Blue Gems,28.000,,-2,Red Gems,28.000,,-3,Gold Gems,14.000,,-6,XP,420.0
Cheese,35.74,40,Lotto,4,,2.439,1.499,,6523,Lamp of Evil-Sealing,23.6,151.4,AP,0.264,0.159,,6514,Homunculus Baby,37.33,95.7,AP,0.474,0.347,,6101,Magic Gem of Saber,33.12,107.9,AP,0.205,,,7101,Saber Monument,19,188.1,AP,0.263,,,6001,Gem of Saber,11.7,305.5,AP,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",235,"17,779",,,33.9,12.8,7.1,252.0,,6536,Aurora Steel,28.367,126.0,AP,0.252,0.175,,6515,Octuplet Crystal,28.367,126.0,AP,0.367,0.179,,6532,Refined Magatama,28.367,126.0,AP,0.350,0.183,,6527,Deadly Poison Needle,42.550,84.0,AP,0.362,0.221,,6533,Stake of Wailing Night,42.550,84.0,AP,0.326,0.203,,6535,Eternal Ice,4.964,720.0,AP,0.044,0.033,,,,,,,,,,,,,,,,,,,-1,Blue Gems,28.367,,-2,Red Gems,28.367,,-3,Gold Gems,14.183,,-6,XP,425.5
Noodle,34.39,40,Lotto,4,,3.850,2.279,,6542,Egg of Truth,21.05,163.4,AP,0.984,0.576,,6508,Ghost Lantern,40.49,84.9,AP,0.537,0.344,,6203,Secret Gem of Lancer,21.27,161.7,AP,0.455,,,7103,Lancer Monument,21.8,157.8,AP,0.303,,,6003,Gem of Lancer,22.4,153.5,AP,0.055,,,6003,Gem of Lancer,5.8,592.9,AP,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",273,"24,339",,,44.7,16.9,5.4,184.1,,6536,Aurora Steel,37.367,92.0,AP,0.346,0.239,,6515,Octuplet Crystal,37.367,92.0,AP,0.502,0.245,,6532,Refined Magatama,37.367,92.0,AP,0.479,0.250,,6527,Deadly Poison Needle,56.050,61.4,AP,0.495,0.302,,6533,Stake of Wailing Night,56.050,61.4,AP,0.447,0.278,,6535,Eternal Ice,6.539,525.9,AP,0.060,0.045,,,,,,,,,,,,,,,,,,,-1,Blue Gems,37.367,,-2,Red Gems,37.367,,-3,Gold Gems,18.683,,-6,XP,560.5
Tidying Up,34.44,40,Lotto,4,,4.266,2.515,,6548,Flaming Oni Lantern Plant,26.3,131.0,AP,1.200,0.734,,6543,Crown of Silvery Light,52.19,66.0,AP,0.761,0.435,,6206,Secret Gem of Assassin,31.36,109.8,AP,0.669,,,7106,Assassin Monument,26.1,132.0,AP,0.366,,,6006,Gem of Assassin,5.9,583.7,AP,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",273,"24,095",,,44.8,16.6,5.4,185.9,,6536,Aurora Steel,37.045,93.0,AP,0.342,0.237,,6515,Octuplet Crystal,37.045,93.0,AP,0.497,0.243,,6532,Refined Magatama,37.045,93.0,AP,0.474,0.248,,6527,Deadly Poison Needle,55.568,62.0,AP,0.490,0.299,,6533,Stake of Wailing Night,55.568,62.0,AP,0.442,0.275,,6535,Eternal Ice,6.483,531.2,AP,0.059,0.044,,,,,,,,,,,,,,,,,,,-1,Blue Gems,37.045,,-2,Red Gems,37.045,,-3,Gold Gems,18.523,,-6,XP,555.7
Ice Cream,,,NonAP,4,,,,,6535,Eternal Ice,43.15,0.0,AP,,0.000,,6106,Magic Gem of Assassin,11.22,0.0,AP,,,,6006,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,,,,,,,,,6536,Aurora Steel,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
