Christmas 2023 w/ Claw of Chaos,,Making Christmas Party,Lotto Drop Bonus:,,8,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Beg,27.75,30,Lotto,8,,1.410,0.812,,6526,Shell of Reminiscense,10,277.5,AP,0.168,0.104,,6004,Gem of Rider,14.55,190.7,AP,0.044,,,7004,Rider Piece,10.91,254.4,AP,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",68,"12,081",,,8.9,4.5,13.4,370.8,,6507,Claw of Chaos,7.483,370.8,AP,0.249,0.147,,6515,Octuplet Crystal,14.967,185.4,AP,0.250,0.122,,6532,Refined Magatama,14.967,185.4,AP,0.238,0.124,,6527,Deadly Poison Needle,22.450,123.6,AP,0.246,0.150,,6533,Stake of Wailing Night,22.450,123.6,AP,0.221,0.137,,6535,Eternal Ice,2.619,"1,059.5",AP,0.039,0.026,,,,,,,,,,,,,,,,,,,-1,Blue Gems,14.967,,-2,Red Gems,14.967,,-3,Gold Gems,7.483,,-6,XP,224.5
Int,31.35,35,Lotto,8,,2.090,1.166,,6515,Octuplet Crystal,20.63,152.0,AP,0.305,0.149,,6005,Gem of Caster,15.63,200.6,AP,0.041,,,7005,Caster Piece,17.5,179.1,AP,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",93,"17,363",,,14.5,7.3,8.2,258.0,,6507,Claw of Chaos,12.150,258.0,AP,0.358,0.211,,6515,Octuplet Crystal,24.300,129.0,AP,0.359,0.176,,6532,Refined Magatama,24.300,129.0,AP,0.342,0.178,,6527,Deadly Poison Needle,36.450,86.0,AP,0.353,0.216,,6533,Stake of Wailing Night,36.450,86.0,AP,0.317,0.197,,6535,Eternal Ice,4.253,737.2,AP,0.055,0.038,,,,,,,,,,,,,,,,,,,-1,Blue Gems,24.300,,-2,Red Gems,24.300,,-3,Gold Gems,12.150,,-6,XP,364.5
Adv,34.29,40,Lotto,8,,2.908,1.648,,6530,Mystic Spinal Fluid,42.29,81.1,AP,0.354,0.193,,6006,Gem of Assassin,23.97,143.1,AP,0.052,,,7006,Assassin Piece,18.95,180.9,AP,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",128,"24,845",,,25.3,11.1,5.3,180.3,,6507,Claw of Chaos,19.017,180.3,AP,0.512,0.302,,6515,Octuplet Crystal,38.033,90.2,AP,0.514,0.251,,6532,Refined Magatama,38.033,90.2,AP,0.489,0.255,,6527,Deadly Poison Needle,57.050,60.1,AP,0.506,0.309,,6533,Stake of Wailing Night,57.050,60.1,AP,0.454,0.282,,6535,Eternal Ice,6.656,515.2,AP,0.079,0.054,,,,,,,,,,,,,,,,,,,-1,Blue Gems,38.033,,-2,Red Gems,38.033,,-3,Gold Gems,19.017,,-6,XP,570.5
Fish,34.05,40,Lotto,8,,3.324,1.883,,6531,Mysterious Divine Wine,8.22,414.2,AP,0.340,0.167,,6533,Stake of Wailing Night,37.78,90.1,AP,0.303,0.188,,6203,Secret Gem of Lancer,5.83,584.0,AP,0.126,,,7003,Lancer Piece,21.2,160.6,AP,0.116,,,6003,Gem of Lancer,28.8,118.2,AP,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",159,"26,073",,,27.7,11.4,5.0,171.8,,6507,Claw of Chaos,19.817,171.8,AP,0.538,0.317,,6515,Octuplet Crystal,39.633,85.9,AP,0.539,0.264,,6532,Refined Magatama,39.633,85.9,AP,0.513,0.268,,6527,Deadly Poison Needle,59.450,57.3,AP,0.531,0.324,,6533,Stake of Wailing Night,59.450,57.3,AP,0.477,0.296,,6535,Eternal Ice,6.936,490.9,AP,0.083,0.057,,,,,,,,,,,,,,,,,,,-1,Blue Gems,39.633,,-2,Red Gems,39.633,,-3,Gold Gems,19.817,,-6,XP,594.5
Vegetable,33.61,40,Lotto,8,,3.761,2.189,,6546,Fruit of Eternity,16.27,206.6,AP,0.446,0.225,,6513,Meteor Horseshoes,30.55,110.0,AP,0.395,0.300,,6207,Secret Gem of Berserker,16.04,209.5,AP,0.357,,,7107,Berserker Monument,11.1,302.8,AP,0.159,,,6007,Gem of Berserker,33.5,100.3,AP,0.070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",190,"28,392",,,31.8,12.0,4.7,157.8,,6507,Claw of Chaos,21.300,157.8,AP,0.586,0.345,,6515,Octuplet Crystal,42.600,78.9,AP,0.587,0.287,,6532,Refined Magatama,42.600,78.9,AP,0.559,0.292,,6527,Deadly Poison Needle,63.900,52.6,AP,0.578,0.353,,6533,Stake of Wailing Night,63.900,52.6,AP,0.519,0.323,,6535,Eternal Ice,7.455,450.8,AP,0.091,0.062,,,,,,,,,,,,,,,,,,,-1,Blue Gems,42.600,,-2,Red Gems,42.600,,-3,Gold Gems,21.300,,-6,XP,639.0
Meat,33.26,40,Lotto,8,,4.215,2.376,,6506,Dragon's Reverse Scale,13.24,251.2,AP,0.655,0.383,,6510,Eternal Gear,33.59,99.0,AP,0.448,0.220,,6202,Secret Gem of Archer,10.95,303.7,AP,0.235,,,7102,Archer Monument,16,207.9,AP,0.233,,,6102,Magic Gem of Archer,28.2,117.9,AP,0.170,,,6002,Gem of Archer,12.1,274.9,AP,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",222,"30,262",,,33.2,12.7,4.5,148.0,,6507,Claw of Chaos,22.467,148.0,AP,0.624,0.368,,6515,Octuplet Crystal,44.933,74.0,AP,0.626,0.306,,6532,Refined Magatama,44.933,74.0,AP,0.596,0.311,,6527,Deadly Poison Needle,67.400,49.3,AP,0.616,0.376,,6533,Stake of Wailing Night,67.400,49.3,AP,0.553,0.344,,6535,Eternal Ice,7.863,423.0,AP,0.097,0.066,,,,,,,,,,,,,,,,,,,-1,Blue Gems,44.933,,-2,Red Gems,44.933,,-3,Gold Gems,22.467,,-6,XP,674.0
Cheese,33.18,40,Lotto,8,,4.344,2.560,,6523,Lamp of Evil-Sealing,23.6,140.6,AP,0.680,0.390,,6514,Homunculus Baby,37.33,88.9,AP,0.511,0.374,,6101,Magic Gem of Saber,33.12,100.2,AP,0.220,,,7101,Saber Monument,19,174.6,AP,0.284,,,6001,Gem of Saber,11.7,283.6,AP,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",253,"30,672",,,33.9,12.8,4.4,146.1,,6507,Claw of Chaos,22.717,146.1,AP,0.633,0.373,,6515,Octuplet Crystal,45.433,73.0,AP,0.634,0.310,,6532,Refined Magatama,45.433,73.0,AP,0.604,0.315,,6527,Deadly Poison Needle,68.150,48.7,AP,0.624,0.381,,6533,Stake of Wailing Night,68.150,48.7,AP,0.561,0.349,,6535,Eternal Ice,7.951,417.3,AP,0.098,0.067,,,,,,,,,,,,,,,,,,,-1,Blue Gems,45.433,,-2,Red Gems,45.433,,-3,Gold Gems,22.717,,-6,XP,681.5
Noodle,31.02,40,Lotto,8,,6.134,3.551,,6542,Egg of Truth,21.05,147.4,AP,1.094,0.639,,6508,Ghost Lantern,40.49,76.6,AP,0.598,0.382,,6203,Secret Gem of Lancer,21.27,145.8,AP,0.505,,,7103,Lancer Monument,21.8,142.3,AP,0.336,,,6003,Gem of Lancer,22.4,138.5,AP,0.061,,,6003,Gem of Lancer,5.8,534.8,AP,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",303,"43,207",,,44.7,16.9,3.3,103.7,,6507,Claw of Chaos,29.917,103.7,AP,0.891,0.526,,6515,Octuplet Crystal,59.833,51.8,AP,0.893,0.437,,6532,Refined Magatama,59.833,51.8,AP,0.851,0.444,,6527,Deadly Poison Needle,89.750,34.6,AP,0.880,0.537,,6533,Stake of Wailing Night,89.750,34.6,AP,0.790,0.491,,6535,Eternal Ice,10.471,296.3,AP,0.138,0.095,,,,,,,,,,,,,,,,,,,-1,Blue Gems,59.833,,-2,Red Gems,59.833,,-3,Gold Gems,29.917,,-6,XP,897.5
Tidying Up,31.13,40,Lotto,8,,6.555,3.791,,6548,Flaming Oni Lantern Plant,26.3,118.4,AP,1.330,0.812,,6543,Crown of Silvery Light,52.19,59.6,AP,0.848,0.486,,6206,Secret Gem of Assassin,31.36,99.3,AP,0.741,,,7106,Assassin Monument,26.1,119.3,AP,0.404,,,6006,Gem of Assassin,5.9,527.6,AP,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",302,"42,567",,,44.8,16.6,3.4,105.2,,6507,Claw of Chaos,29.579,105.2,AP,0.878,0.518,,6515,Octuplet Crystal,59.157,52.6,AP,0.880,0.431,,6532,Refined Magatama,59.157,52.6,AP,0.838,0.438,,6527,Deadly Poison Needle,88.736,35.1,AP,0.867,0.529,,6533,Stake of Wailing Night,88.736,35.1,AP,0.778,0.484,,6535,Eternal Ice,10.353,300.7,AP,0.136,0.093,,,,,,,,,,,,,,,,,,,-1,Blue Gems,59.157,,-2,Red Gems,59.157,,-3,Gold Gems,29.579,,-6,XP,887.4
Ice Cream,,,NonAP,8,,,,,6535,Eternal Ice,43.15,0.0,AP,,0.000,,6106,Magic Gem of Assassin,11.22,0.0,AP,,,,6006,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,,,,,,,,,6507,Claw of Chaos,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
