Christmas 2025 w/ Crown,,Merry Christmas in the Snowy Fields 2023,,Lotto Drop Bonus:,,,,Apple AP Buyback?:,X,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Novice,30,30,215,Lotto,,,0.316,0.220,,6555,Vestige of Madness,20.32,147.6,AP,0.202,0.150,,6527,Deadly Poison Needle,11.23,267.1,AP,0.114,0.070,,6107,Magic Gem of Berserker,5.35,560.7,AP,0.039,,,7007,Berserker Piece,12.83,233.8,AP,0.083,,,6007,Gem of Berserker,13.37,224.4,AP,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",80,,,,24.3,6.1,,,,6543,Crown of Silvery Light,,,,,,,6526,Shell of Reminiscense,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,6005,Gem of Caster,,,,,,,-1,Blue Gems,,,-6,XP,
Intermediate,35,35,415,Lotto,,,0.467,0.292,,6545,Divine Leyline Spiritron,17.56,199.3,AP,0.231,0.142,,6508,Ghost Lantern,18.05,193.9,AP,0.236,0.150,,6006,Gem of Assassin,26.59,131.6,AP,0.055,,,7006,Assassin Piece,14.63,239.2,AP,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",126,,,,30.5,8.2,,,,6543,Crown of Silvery Light,,,,,,,6526,Shell of Reminiscense,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,6005,Gem of Caster,,,,,,,-1,Blue Gems,,,-6,XP,
Advanced,40,40,615,Lotto,,,0.492,0.338,,6535,Eternal Ice,48.16,83.1,AP,0.492,0.338,,6101,Magic Gem of Saber,18.21,219.7,AP,0.101,,,7101,Saber Monument,11.03,362.6,AP,0.136,,,6001,Gem of Saber,22.94,174.4,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,35.6,9.9,,,,6543,Crown of Silvery Light,,,,,,,6526,Shell of Reminiscense,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,6005,Gem of Caster,,,,,,,-1,Blue Gems,,,-6,XP,
Expert,40,40,815,Lotto,,,0.812,0.499,,6553,Sun Leather,22.08,181.2,AP,0.247,0.180,,6511,Forbidden Page,21.62,185.0,AP,0.330,0.165,,6516,Evil Bone,50.64,79.0,AP,0.235,0.154,,6205,Secret Gem of Caster,14.68,272.5,AP,0.182,,,7105,Caster Monument,4.74,843.9,AP,0.058,,,6107,Magic Gem of Berserker,16.88,237.0,AP,0.093,,,7107,Berserker Monument,3.12,"1,282.1",AP,0.038,,,6007,Gem of Berserker,17.11,233.8,AP,0.030,,,7106,Assassin Monument,6.13,652.5,AP,0.074,,,7104,Rider Monument,3.93,"1,017.8",AP,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,35.7,11.9,,,,6543,Crown of Silvery Light,,,,,,,6526,Shell of Reminiscense,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,6005,Gem of Caster,,,,,,,-1,Blue Gems,,,-6,XP,
Powder: Day 1,40,40,915,Lotto 1,,,1.336,0.758,,6529,Cursed Beast Gallstone,21.61,185.1,AP,0.849,0.439,,6535,Eternal Ice,22.75,175.8,AP,0.233,0.160,,6551,Twilit Ritual Sword,34.99,114.3,AP,0.254,0.159,,6205,Secret Gem of Caster,21.99,181.9,AP,0.272,,,7105,Caster Monument,21.22,188.5,AP,0.258,,,6105,Magic Gem of Caster,17.21,232.4,AP,0.076,,,6005,Gem of Caster,16.63,240.5,AP,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,45.3,15.1,,,,6543,Crown of Silvery Light,,,,,,,6526,Shell of Reminiscense,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,6005,Gem of Caster,,,,,,,-1,Blue Gems,,,-6,XP,
Flake: Day 1,40,40,"1,098",Lotto 1,,,1.228,0.724,,6519,Warhorse's Young Horn,31.54,126.8,AP,0.679,0.411,,6526,Shell of Reminiscense,29.12,137.4,AP,0.338,0.210,,6503,Proof of Hero,45.27,88.4,AP,0.212,0.103,,6101,Magic Gem of Saber,31.13,128.5,AP,0.172,,,7101,Saber Monument,26.02,153.7,AP,0.322,,,6001,Gem of Saber,27.99,142.9,AP,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,49.4,16.5,,,,6543,Crown of Silvery Light,,,,,,,6526,Shell of Reminiscense,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,6005,Gem of Caster,,,,,,,-1,Blue Gems,,,-6,XP,
Powder: Day 2,40,40,915,Lotto 1,,,1.232,0.754,,6528,Primordial Lanugo,26.72,149.7,AP,0.695,0.411,,6538,Soundless Bell,24.38,164.1,AP,0.282,0.167,,6535,Eternal Ice,25,160.0,AP,0.256,0.175,,6204,Secret Gem of Rider,20.31,196.9,AP,0.373,,,7104,Rider Monument,17.97,222.6,AP,0.221,,,6104,Magic Gem of Rider,15.31,261.3,AP,0.083,,,6004,Gem of Rider,16.72,239.2,AP,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,45.5,15.2,,,,6543,Crown of Silvery Light,,,,,,,6526,Shell of Reminiscense,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,6005,Gem of Caster,,,,,,,-1,Blue Gems,,,-6,XP,
Flake: Day 2,40,40,"1,098",Lotto 1,,,1.122,0.671,,6550,Scale of Fantasy,49.82,80.3,AP,0.577,0.356,,6508,Ghost Lantern,28.76,139.1,AP,0.329,0.209,,6503,Proof of Hero,46.46,86.1,AP,0.217,0.106,,6103,Magic Gem of Lancer,16.48,242.7,AP,0.083,,,7103,Lancer Monument,26.55,150.7,AP,0.317,,,6003,Gem of Lancer,28.77,139.0,AP,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,49.4,16.5,,,,6543,Crown of Silvery Light,,,,,,,6526,Shell of Reminiscense,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,6005,Gem of Caster,,,,,,,-1,Blue Gems,,,-6,XP,
Powder: Day 3,40,40,915,Lotto 2,,,1.374,0.846,,6548,Flaming Oni Lantern Plant,20.75,192.8,AP,0.813,0.499,,6547,Ball of Rainbow Thread,26.12,153.1,AP,0.298,0.183,,6551,Twilit Ritual Sword,36.14,110.7,AP,0.262,0.165,,6201,Secret Gem of Saber,23.26,172.0,AP,0.402,,,7101,Saber Monument,18.78,213.0,AP,0.232,,,6101,Magic Gem of Saber,16.82,237.8,AP,0.093,,,6001,Gem of Saber,17.89,223.6,AP,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,44.7,14.9,,,,6543,Crown of Silvery Light,,,,,,,6526,Shell of Reminiscense,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,6005,Gem of Caster,,,,,,,-1,Blue Gems,,,-6,XP,
Flake: Day 3,40,40,"1,098",Lotto 2,,,1.306,0.723,,6546,Fruit of Eternity,30.78,130.0,AP,0.707,0.356,,6545,Divine Leyline Spiritron,29.21,136.9,AP,0.337,0.206,,6527,Deadly Poison Needle,34.55,115.8,AP,0.263,0.160,,6103,Magic Gem of Lancer,32.47,123.2,AP,0.163,,,7103,Lancer Monument,25.83,154.9,AP,0.309,,,6003,Gem of Lancer,26.81,149.2,AP,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,49.5,16.5,,,,6543,Crown of Silvery Light,,,,,,,6526,Shell of Reminiscense,,,,,,,6514,Homunculus Baby,,,,,,,6534,Mystic Gunpowder,,,,,,,6533,Stake of Wailing Night,,,,,,,6549,Small Bell of Absolution,,,,,,,6005,Gem of Caster,,,,,,,,,,,,,,,,6005,Gem of Caster,,,,,,,-1,Blue Gems,,,-6,XP,
