Christmas 2025 w/ Arrowhead,,Merry Christmas in the Snowy Fields 2022,,Lotto Drop Bonus:,,10,,Apple AP Buyback?:,X,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Novice,25.74,30,215,Lotto,10,,2.874,1.857,,6555,Vestige of Madness,20.32,126.7,AP,0.235,0.175,,6527,Deadly Poison Needle,11.23,229.2,AP,0.133,0.081,,6107,Magic Gem of Berserker,5.35,481.1,AP,0.046,,,7007,Berserker Piece,12.83,200.6,AP,0.097,,,6007,Gem of Berserker,13.37,192.5,AP,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",93,"24,706",,,24.3,6.1,7.0,181.3,,6541,Arrowhead of Malice,28.390,90.7,AP,0.503,0.304,,6526,Shell of Reminiscense,28.390,90.7,AP,0.512,0.318,,6514,Homunculus Baby,28.390,90.7,AP,0.501,0.366,,6534,Mystic Gunpowder,42.585,60.4,AP,0.453,0.279,,6533,Stake of Wailing Night,42.585,60.4,AP,0.453,0.283,,6549,Small Bell of Absolution,7.523,342.1,AP,0.084,0.049,,6005,Gem of Caster,4.542,566.7,AP,0.014,,,,,,,,,,,,6005,Gem of Caster,4.542,,,,,,-1,Blue Gems,28.390,,-6,XP,425.9
Intermediate,29.38,35,415,Lotto,10,,3.453,2.197,,6545,Divine Leyline Spiritron,17.56,167.3,AP,0.276,0.169,,6508,Ghost Lantern,18.05,162.8,AP,0.281,0.179,,6006,Gem of Assassin,26.59,110.5,AP,0.066,,,7006,Assassin Piece,14.63,200.8,AP,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",150,"28,550",,,30.5,8.2,5.3,156.9,,6541,Arrowhead of Malice,37.447,78.5,AP,0.581,0.352,,6526,Shell of Reminiscense,37.447,78.5,AP,0.591,0.368,,6514,Homunculus Baby,37.447,78.5,AP,0.579,0.424,,6534,Mystic Gunpowder,56.170,52.3,AP,0.524,0.323,,6533,Stake of Wailing Night,56.170,52.3,AP,0.524,0.327,,6549,Small Bell of Absolution,9.923,296.1,AP,0.098,0.057,,6005,Gem of Caster,5.991,490.4,AP,0.017,,,,,,,,,,,,6005,Gem of Caster,5.991,,,,,,-1,Blue Gems,37.447,,-6,XP,561.7
Advanced,33.29,40,615,Lotto,10,,3.645,2.356,,6535,Eternal Ice,48.16,69.1,AP,0.592,0.406,,6101,Magic Gem of Saber,18.21,182.8,AP,0.121,,,7101,Saber Monument,11.03,301.8,AP,0.164,,,6001,Gem of Saber,22.94,145.1,AP,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",192,"30,095",,,35.6,9.9,4.5,148.9,,6541,Arrowhead of Malice,44.727,74.4,AP,0.613,0.371,,6526,Shell of Reminiscense,44.727,74.4,AP,0.623,0.388,,6514,Homunculus Baby,44.727,74.4,AP,0.610,0.446,,6534,Mystic Gunpowder,67.090,49.6,AP,0.552,0.340,,6533,Stake of Wailing Night,67.090,49.6,AP,0.552,0.345,,6549,Small Bell of Absolution,11.853,280.9,AP,0.103,0.060,,6005,Gem of Caster,7.156,465.2,AP,0.017,,,,,,,,,,,,6005,Gem of Caster,7.156,,,,,,-1,Blue Gems,44.727,,-6,XP,670.9
Expert,32.26,40,815,Lotto,10,,4.643,2.940,,6553,Sun Leather,22.08,146.1,AP,0.307,0.223,,6511,Forbidden Page,21.62,149.2,AP,0.409,0.204,,6516,Evil Bone,50.64,63.7,AP,0.292,0.191,,6205,Secret Gem of Caster,14.68,219.8,AP,0.225,,,7105,Caster Monument,4.74,680.6,AP,0.072,,,6107,Magic Gem of Berserker,16.88,191.1,AP,0.115,,,7107,Berserker Monument,3.12,"1,034.0",AP,0.047,,,6007,Gem of Berserker,17.11,188.5,AP,0.037,,,7106,Assassin Monument,6.13,526.3,AP,0.092,,,7104,Rider Monument,3.93,820.9,AP,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",260,"35,836",,,35.7,11.9,3.9,125.0,,6541,Arrowhead of Malice,51.610,62.5,AP,0.730,0.441,,6526,Shell of Reminiscense,51.610,62.5,AP,0.742,0.462,,6514,Homunculus Baby,51.610,62.5,AP,0.726,0.532,,6534,Mystic Gunpowder,77.415,41.7,AP,0.658,0.405,,6533,Stake of Wailing Night,77.415,41.7,AP,0.658,0.411,,6549,Small Bell of Absolution,13.677,235.9,AP,0.123,0.071,,6005,Gem of Caster,8.258,390.7,AP,0.021,,,,,,,,,,,,6005,Gem of Caster,8.258,,,,,,-1,Blue Gems,51.610,,-6,XP,774.2
Powder: Day 1,30.18,40,915,Lotto 1,10,,6.701,4.153,,6529,Cursed Beast Gallstone,21.61,139.7,AP,1.126,0.582,,6535,Eternal Ice,22.75,132.7,AP,0.308,0.211,,6551,Twilit Ritual Sword,34.99,86.3,AP,0.336,0.211,,6205,Secret Gem of Caster,21.99,137.2,AP,0.361,,,7105,Caster Monument,21.22,142.2,AP,0.342,,,6105,Magic Gem of Caster,17.21,175.4,AP,0.101,,,6005,Gem of Caster,16.63,181.5,AP,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",311,"48,598",,,45.3,15.1,3.1,92.2,,6541,Arrowhead of Malice,65.477,46.1,AP,0.989,0.598,,6526,Shell of Reminiscense,65.477,46.1,AP,1.007,0.626,,6514,Homunculus Baby,65.477,46.1,AP,0.985,0.721,,6534,Mystic Gunpowder,98.215,30.7,AP,0.892,0.549,,6533,Stake of Wailing Night,98.215,30.7,AP,0.892,0.557,,6549,Small Bell of Absolution,17.351,173.9,AP,0.166,0.097,,6005,Gem of Caster,10.476,288.1,AP,0.028,,,,,,,,,,,,6005,Gem of Caster,10.476,,,,,,-1,Blue Gems,65.477,,-6,XP,982.2
Flake: Day 1,29.3,40,"1,098",Lotto 1,10,,7.209,4.521,,6519,Warhorse's Young Horn,31.54,92.9,AP,0.927,0.561,,6526,Shell of Reminiscense,29.12,100.6,AP,0.461,0.287,,6503,Proof of Hero,45.27,64.7,AP,0.289,0.141,,6101,Magic Gem of Saber,31.13,94.1,AP,0.235,,,7101,Saber Monument,26.02,112.6,AP,0.440,,,6001,Gem of Saber,27.99,104.7,AP,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",385,"54,530",,,49.4,16.5,2.8,82.2,,6541,Arrowhead of Malice,71.327,41.1,AP,1.110,0.671,,6526,Shell of Reminiscense,71.327,41.1,AP,1.130,0.703,,6514,Homunculus Baby,71.327,41.1,AP,1.105,0.809,,6534,Mystic Gunpowder,106.990,27.4,AP,1.001,0.616,,6533,Stake of Wailing Night,106.990,27.4,AP,1.001,0.625,,6549,Small Bell of Absolution,18.902,155.0,AP,0.186,0.109,,6005,Gem of Caster,11.412,256.7,AP,0.032,,,,,,,,,,,,6005,Gem of Caster,11.412,,,,,,-1,Blue Gems,71.327,,-6,XP,1069.9
Powder: Day 2,30.15,40,915,Lotto 1,10,,6.583,4.160,,6528,Primordial Lanugo,26.72,112.8,AP,0.922,0.546,,6538,Soundless Bell,24.38,123.7,AP,0.374,0.222,,6535,Eternal Ice,25,120.6,AP,0.339,0.233,,6204,Secret Gem of Rider,20.31,148.4,AP,0.494,,,7104,Rider Monument,17.97,167.8,AP,0.294,,,6104,Magic Gem of Rider,15.31,196.9,AP,0.110,,,6004,Gem of Rider,16.72,180.3,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",312,"48,775",,,45.5,15.2,3.0,91.9,,6541,Arrowhead of Malice,65.650,45.9,AP,0.993,0.601,,6526,Shell of Reminiscense,65.650,45.9,AP,1.010,0.628,,6514,Homunculus Baby,65.650,45.9,AP,0.989,0.724,,6534,Mystic Gunpowder,98.475,30.6,AP,0.895,0.551,,6533,Stake of Wailing Night,98.475,30.6,AP,0.895,0.559,,6549,Small Bell of Absolution,17.397,173.3,AP,0.167,0.097,,6005,Gem of Caster,10.504,287.0,AP,0.028,,,,,,,,,,,,6005,Gem of Caster,10.504,,,,,,-1,Blue Gems,65.650,,-6,XP,984.8
Flake: Day 2,29.29,40,"1,098",Lotto 1,10,,7.074,4.454,,6550,Scale of Fantasy,49.82,58.8,AP,0.788,0.486,,6508,Ghost Lantern,28.76,101.8,AP,0.449,0.286,,6503,Proof of Hero,46.46,63.0,AP,0.297,0.144,,6103,Magic Gem of Lancer,16.48,177.7,AP,0.113,,,7103,Lancer Monument,26.55,110.3,AP,0.433,,,6003,Gem of Lancer,28.77,101.8,AP,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",385,"54,614",,,49.4,16.5,2.8,82.0,,6541,Arrowhead of Malice,71.413,41.0,AP,1.112,0.672,,6526,Shell of Reminiscense,71.413,41.0,AP,1.131,0.704,,6514,Homunculus Baby,71.413,41.0,AP,1.107,0.810,,6534,Mystic Gunpowder,107.120,27.3,AP,1.002,0.617,,6533,Stake of Wailing Night,107.120,27.3,AP,1.002,0.626,,6549,Small Bell of Absolution,18.925,154.8,AP,0.187,0.109,,6005,Gem of Caster,11.426,256.3,AP,0.032,,,,,,,,,,,,6005,Gem of Caster,11.426,,,,,,-1,Blue Gems,71.413,,-6,XP,1071.2
Powder: Day 3,30.32,40,915,Lotto 2,10,,6.649,4.204,,6548,Flaming Oni Lantern Plant,20.75,146.1,AP,1.073,0.658,,6547,Ball of Rainbow Thread,26.12,116.1,AP,0.394,0.241,,6551,Twilit Ritual Sword,36.14,83.9,AP,0.346,0.217,,6201,Secret Gem of Saber,23.26,130.4,AP,0.531,,,7101,Saber Monument,18.78,161.4,AP,0.307,,,6101,Magic Gem of Saber,16.82,180.3,AP,0.123,,,6001,Gem of Saber,17.89,169.5,AP,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",310,"47,669",,,44.7,14.9,3.1,94.0,,6541,Arrowhead of Malice,64.523,47.0,AP,0.970,0.587,,6526,Shell of Reminiscense,64.523,47.0,AP,0.987,0.614,,6514,Homunculus Baby,64.523,47.0,AP,0.966,0.707,,6534,Mystic Gunpowder,96.785,31.3,AP,0.875,0.539,,6533,Stake of Wailing Night,96.785,31.3,AP,0.875,0.546,,6549,Small Bell of Absolution,17.099,177.3,AP,0.163,0.095,,6005,Gem of Caster,10.324,293.7,AP,0.028,,,,,,,,,,,,6005,Gem of Caster,10.324,,,,,,-1,Blue Gems,64.523,,-6,XP,967.9
Flake: Day 3,29.27,40,"1,098",Lotto 2,10,,7.337,4.533,,6546,Fruit of Eternity,30.78,95.1,AP,0.966,0.487,,6545,Divine Leyline Spiritron,29.21,100.2,AP,0.460,0.282,,6527,Deadly Poison Needle,34.55,84.7,AP,0.359,0.219,,6103,Magic Gem of Lancer,32.47,90.1,AP,0.223,,,7103,Lancer Monument,25.83,113.3,AP,0.422,,,6003,Gem of Lancer,26.81,109.2,AP,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",385,"54,718",,,49.5,16.5,2.8,81.9,,6541,Arrowhead of Malice,71.500,40.9,AP,1.114,0.674,,6526,Shell of Reminiscense,71.500,40.9,AP,1.133,0.705,,6514,Homunculus Baby,71.500,40.9,AP,1.109,0.812,,6534,Mystic Gunpowder,107.250,27.3,AP,1.004,0.618,,6533,Stake of Wailing Night,107.250,27.3,AP,1.004,0.627,,6549,Small Bell of Absolution,18.948,154.5,AP,0.187,0.109,,6005,Gem of Caster,11.440,255.9,AP,0.032,,,,,,,,,,,,6005,Gem of Caster,11.440,,,,,,-1,Blue Gems,71.500,,-6,XP,1072.5
