Christmas 2025 w/ Crown,,Merry Christmas in the Snowy Fields 2025,,Lotto Drop Bonus:,,12,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Novice,25.13,30,215,Lotto,12,,3.360,2.005,,6555,Vestige of Madness,20.32,123.7,AP,0.241,0.180,,6527,Deadly Poison Needle,11.23,223.8,AP,0.136,0.080,,6107,Magic Gem of Berserker,5.35,469.7,AP,0.047,,,7007,Berserker Piece,12.83,195.9,AP,0.099,,,6007,Gem of Berserker,13.37,188.0,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",96,"28,925",,,24.3,6.1,6.2,154.9,,6543,Crown of Silvery Light,32.450,77.4,AP,0.639,0.370,,6526,Shell of Reminiscence,32.450,77.4,AP,0.599,0.329,,6514,Homunculus Baby,32.450,77.4,AP,0.586,0.346,,6534,Mystic Gunpowder,48.675,51.6,AP,0.531,0.326,,6533,Stake of Wailing Night,48.675,51.6,AP,0.529,0.316,,6549,Small Bell of Absolution,8.599,292.2,AP,0.099,0.058,,6005,Gem of Caster,5.192,484.0,AP,0.017,,,,,,,,,,,,-1,Blue Gems,32.450,,-2,Red Gems,32.450,,-3,Gold Gems,16.225,,-6,XP,486.8
Intermediate,28.56,35,415,Lotto,12,,4.043,2.374,,6545,Divine Leyline Spiritron,17.56,162.6,AP,0.285,0.174,,6508,Ghost Lantern,18.05,158.2,AP,0.289,0.171,,6006,Gem of Assassin,26.59,107.4,AP,0.068,,,7006,Assassin Piece,14.63,195.2,AP,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",154,"33,647",,,30.5,8.2,4.7,133.1,,6543,Crown of Silvery Light,42.900,66.6,AP,0.744,0.430,,6526,Shell of Reminiscence,42.900,66.6,AP,0.697,0.383,,6514,Homunculus Baby,42.900,66.6,AP,0.682,0.402,,6534,Mystic Gunpowder,64.350,44.4,AP,0.617,0.380,,6533,Stake of Wailing Night,64.350,44.4,AP,0.615,0.367,,6549,Small Bell of Absolution,11.369,251.2,AP,0.115,0.067,,6005,Gem of Caster,6.864,416.1,AP,0.020,,,,,,,,,,,,-1,Blue Gems,42.900,,-2,Red Gems,42.900,,-3,Gold Gems,21.450,,-6,XP,643.5
Advanced,32.3,40,615,Lotto,12,,4.277,2.558,,6535,Eternal Ice,48.16,67.1,AP,0.608,0.412,,6101,Magic Gem of Saber,18.21,177.4,AP,0.125,,,7101,Saber Monument,11.03,292.8,AP,0.167,,,6001,Gem of Saber,22.94,140.8,AP,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",198,"35,576",,,35.6,9.9,3.9,125.9,,6543,Crown of Silvery Light,51.300,63.0,AP,0.786,0.455,,6526,Shell of Reminiscence,51.300,63.0,AP,0.737,0.405,,6514,Homunculus Baby,51.300,63.0,AP,0.721,0.425,,6534,Mystic Gunpowder,76.950,42.0,AP,0.653,0.401,,6533,Stake of Wailing Night,76.950,42.0,AP,0.650,0.388,,6549,Small Bell of Absolution,13.595,237.6,AP,0.122,0.071,,6005,Gem of Caster,8.208,393.5,AP,0.021,,,,,,,,,,,,-1,Blue Gems,51.300,,-2,Red Gems,51.300,,-3,Gold Gems,25.650,,-6,XP,769.5
Expert,31.07,40,815,Lotto,12,,5.473,3.214,,6553,Sun Leather,22.08,140.7,AP,0.318,0.232,,6511,Forbidden Page,21.62,143.7,AP,0.422,0.192,,6516,Evil Bone,50.64,61.4,AP,0.305,0.200,,6205,Secret Gem of Caster,14.68,211.6,AP,0.234,,,7105,Caster Monument,4.74,655.5,AP,0.074,,,6107,Magic Gem of Berserker,16.88,184.1,AP,0.120,,,7107,Berserker Monument,3.12,995.8,AP,0.049,,,6007,Gem of Berserker,17.11,181.6,AP,0.038,,,7106,Assassin Monument,6.13,506.9,AP,0.096,,,7104,Rider Monument,3.93,790.6,AP,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",270,"42,933",,,35.7,11.9,3.4,104.3,,6543,Crown of Silvery Light,59.550,52.2,AP,0.949,0.549,,6526,Shell of Reminiscence,59.550,52.2,AP,0.889,0.489,,6514,Homunculus Baby,59.550,52.2,AP,0.870,0.513,,6534,Mystic Gunpowder,89.325,34.8,AP,0.788,0.484,,6533,Stake of Wailing Night,89.325,34.8,AP,0.785,0.469,,6549,Small Bell of Absolution,15.781,196.9,AP,0.147,0.086,,6005,Gem of Caster,9.528,326.1,AP,0.025,,,,,,,,,,,,-1,Blue Gems,59.550,,-2,Red Gems,59.550,,-3,Gold Gems,29.775,,-6,XP,893.3
Powder: Day 1,28.67,40,915,Lotto,12,,7.929,4.606,,6529,Cursed Beast Gallstone,21.61,132.7,AP,1.164,0.605,,6535,Eternal Ice,22.75,126.0,AP,0.324,0.219,,6551,Ceremonial Sword of Twilight,34.99,81.9,AP,0.354,0.221,,6205,Secret Gem of Caster,21.99,130.4,AP,0.380,,,7105,Caster Monument,21.22,135.1,AP,0.361,,,6105,Magic Gem of Caster,17.21,166.6,AP,0.106,,,6005,Gem of Caster,16.63,172.4,AP,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",328,"59,028",,,45.3,15.1,2.6,75.9,,6543,Crown of Silvery Light,75.550,37.9,AP,1.304,0.755,,6526,Shell of Reminiscence,75.550,37.9,AP,1.223,0.672,,6514,Homunculus Baby,75.550,37.9,AP,1.196,0.705,,6534,Mystic Gunpowder,113.325,25.3,AP,1.083,0.666,,6533,Stake of Wailing Night,113.325,25.3,AP,1.079,0.644,,6549,Small Bell of Absolution,20.021,143.2,AP,0.202,0.118,,6005,Gem of Caster,12.088,237.2,AP,0.035,,,,,,,,,,,,-1,Blue Gems,75.550,,-2,Red Gems,75.550,,-3,Gold Gems,37.775,,-6,XP,1133.3
Flake: Day 1,27.65,40,"1,098",Lotto,12,,8.653,5.019,,6519,Warhorse's Young Horn,31.54,87.7,AP,0.982,0.579,,6526,Shell of Reminiscence,29.12,95.0,AP,0.489,0.269,,6503,Proof of Hero,45.27,61.1,AP,0.306,0.149,,6101,Magic Gem of Saber,31.13,88.8,AP,0.249,,,7101,Saber Monument,26.02,106.3,AP,0.459,,,6001,Gem of Saber,27.99,98.8,AP,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",408,"66,673",,,49.4,16.5,2.4,67.2,,6543,Crown of Silvery Light,82.300,33.6,AP,1.473,0.853,,6526,Shell of Reminiscence,82.300,33.6,AP,1.381,0.759,,6514,Homunculus Baby,82.300,33.6,AP,1.351,0.796,,6534,Mystic Gunpowder,123.450,22.4,AP,1.223,0.752,,6533,Stake of Wailing Night,123.450,22.4,AP,1.219,0.728,,6549,Small Bell of Absolution,21.810,126.8,AP,0.228,0.133,,6005,Gem of Caster,13.168,210.0,AP,0.039,,,,,,,,,,,,-1,Blue Gems,82.300,,-2,Red Gems,82.300,,-3,Gold Gems,41.150,,-6,XP,1234.5
Powder: Day 2,28.64,40,915,Lotto,12,,7.829,4.619,,6528,Primordial Lanugo,26.72,107.2,AP,0.970,0.570,,6538,Soundless Bell,24.38,117.5,AP,0.392,0.234,,6535,Eternal Ice,25,114.6,AP,0.356,0.241,,6204,Secret Gem of Rider,20.31,141.0,AP,0.520,,,7104,Rider Monument,17.97,159.4,AP,0.312,,,6104,Magic Gem of Rider,15.31,187.1,AP,0.115,,,6004,Gem of Rider,16.72,171.3,AP,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",328,"59,246",,,45.5,15.2,2.6,75.6,,6543,Crown of Silvery Light,75.750,37.8,AP,1.309,0.758,,6526,Shell of Reminiscence,75.750,37.8,AP,1.227,0.675,,6514,Homunculus Baby,75.750,37.8,AP,1.201,0.708,,6534,Mystic Gunpowder,113.625,25.2,AP,1.087,0.668,,6533,Stake of Wailing Night,113.625,25.2,AP,1.083,0.647,,6549,Small Bell of Absolution,20.074,142.7,AP,0.203,0.119,,6005,Gem of Caster,12.120,236.3,AP,0.035,,,,,,,,,,,,-1,Blue Gems,75.750,,-2,Red Gems,75.750,,-3,Gold Gems,37.875,,-6,XP,1136.3
Flake: Day 2,27.64,40,"1,098",Lotto,12,,8.508,4.978,,6550,Scale of Fantasy,49.82,55.5,AP,0.831,0.516,,6508,Ghost Lantern,28.76,96.1,AP,0.476,0.281,,6503,Proof of Hero,46.46,59.5,AP,0.314,0.153,,6103,Magic Gem of Lancer,16.48,167.7,AP,0.120,,,7103,Lancer Monument,26.55,104.1,AP,0.459,,,6003,Gem of Lancer,28.77,96.1,AP,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",408,"66,779",,,49.4,16.5,2.4,67.1,,6543,Crown of Silvery Light,82.400,33.5,AP,1.476,0.854,,6526,Shell of Reminiscence,82.400,33.5,AP,1.383,0.761,,6514,Homunculus Baby,82.400,33.5,AP,1.353,0.798,,6534,Mystic Gunpowder,123.600,22.4,AP,1.225,0.753,,6533,Stake of Wailing Night,123.600,22.4,AP,1.221,0.729,,6549,Small Bell of Absolution,21.836,126.6,AP,0.228,0.134,,6005,Gem of Caster,13.184,209.6,AP,0.039,,,,,,,,,,,,-1,Blue Gems,82.400,,-2,Red Gems,82.400,,-3,Gold Gems,41.200,,-6,XP,1236.0
Powder: Day 3,28.83,40,915,Lotto,12,,7.865,4.657,,6548,Flaming Oni Lantern Plant,20.75,138.9,AP,1.121,0.687,,6547,Ball of Rainbow Thread,26.12,110.4,AP,0.415,0.253,,6551,Ceremonial Sword of Twilight,36.14,79.8,AP,0.364,0.227,,6201,Secret Gem of Saber,23.26,123.9,AP,0.580,,,7101,Saber Monument,18.78,153.5,AP,0.318,,,6101,Magic Gem of Saber,16.82,171.4,AP,0.129,,,6001,Gem of Saber,17.89,161.2,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",326,"57,845",,,44.7,14.9,2.7,77.4,,6543,Crown of Silvery Light,74.450,38.7,AP,1.278,0.740,,6526,Shell of Reminiscence,74.450,38.7,AP,1.198,0.659,,6514,Homunculus Baby,74.450,38.7,AP,1.172,0.691,,6534,Mystic Gunpowder,111.675,25.8,AP,1.061,0.652,,6533,Stake of Wailing Night,111.675,25.8,AP,1.057,0.631,,6549,Small Bell of Absolution,19.729,146.1,AP,0.198,0.116,,6005,Gem of Caster,11.912,242.0,AP,0.034,,,,,,,,,,,,-1,Blue Gems,74.450,,-2,Red Gems,74.450,,-3,Gold Gems,37.225,,-6,XP,1116.8
Flake: Day 3,27.62,40,"1,098",Lotto,12,,8.793,5.075,,6546,Fruit of Eternity,30.78,89.7,AP,1.023,0.516,,6545,Divine Leyline Spiritron,29.21,94.6,AP,0.490,0.299,,6527,Deadly Poison Needle,34.55,79.9,AP,0.380,0.224,,6103,Magic Gem of Lancer,32.47,85.1,AP,0.236,,,7103,Lancer Monument,25.83,106.9,AP,0.447,,,6003,Gem of Lancer,26.81,103.0,AP,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",408,"66,908",,,49.5,16.5,2.4,67.0,,6543,Crown of Silvery Light,82.500,33.5,AP,1.479,0.856,,6526,Shell of Reminiscence,82.500,33.5,AP,1.386,0.762,,6514,Homunculus Baby,82.500,33.5,AP,1.356,0.799,,6534,Mystic Gunpowder,123.750,22.3,AP,1.228,0.755,,6533,Stake of Wailing Night,123.750,22.3,AP,1.223,0.730,,6549,Small Bell of Absolution,21.863,126.3,AP,0.229,0.134,,6005,Gem of Caster,13.200,209.2,AP,0.039,,,,,,,,,,,,-1,Blue Gems,82.500,,-2,Red Gems,82.500,,-3,Gold Gems,41.250,,-6,XP,1237.5
