Christmas 2025 w/ Horn,,Merry Christmas in the Snowy Fields 2025,,Lotto Drop Bonus:,,8,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Novice,26.35,30,215,Lotto,8,,2.830,1.699,,6555,Vestige of Madness,20.32,129.7,AP,0.230,0.171,,6527,Deadly Poison Needle,11.23,234.6,AP,0.130,0.076,,6107,Magic Gem of Berserker,5.35,492.5,AP,0.045,,,7007,Berserker Piece,12.83,205.4,AP,0.094,,,6007,Gem of Berserker,13.37,197.1,AP,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",91,"20,683",,,24.3,6.1,8.2,216.6,,6519,Warhorse's Young Horn,24.330,108.3,AP,0.795,0.469,,6526,Shell of Reminiscence,24.330,108.3,AP,0.428,0.236,,6514,Homunculus Baby,24.330,108.3,AP,0.419,0.247,,6534,Mystic Gunpowder,36.495,72.2,AP,0.379,0.233,,6533,Stake of Wailing Night,36.495,72.2,AP,0.378,0.226,,6549,Small Bell of Absolution,6.447,408.7,AP,0.071,0.041,,6005,Gem of Caster,3.893,676.9,AP,0.012,,,,,,,,,,,,-1,Blue Gems,24.330,,-2,Red Gems,24.330,,-3,Gold Gems,12.165,,-6,XP,365.0
Intermediate,30.2,35,415,Lotto,8,,3.377,1.991,,6545,Divine Leyline Spiritron,17.56,172.0,AP,0.269,0.164,,6508,Ghost Lantern,18.05,167.3,AP,0.273,0.161,,6006,Gem of Assassin,26.59,113.6,AP,0.064,,,7006,Assassin Piece,14.63,206.4,AP,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",146,"23,730",,,30.5,8.2,6.3,188.8,,6519,Warhorse's Young Horn,31.993,94.4,AP,0.912,0.538,,6526,Shell of Reminiscence,31.993,94.4,AP,0.492,0.270,,6514,Homunculus Baby,31.993,94.4,AP,0.481,0.283,,6534,Mystic Gunpowder,47.990,62.9,AP,0.435,0.268,,6533,Stake of Wailing Night,47.990,62.9,AP,0.434,0.259,,6549,Small Bell of Absolution,8.478,356.2,AP,0.081,0.047,,6005,Gem of Caster,5.119,590.0,AP,0.014,,,,,,,,,,,,-1,Blue Gems,31.993,,-2,Red Gems,31.993,,-3,Gold Gems,15.997,,-6,XP,479.9
Advanced,34.28,40,615,Lotto,8,,3.552,2.138,,6535,Eternal Ice,48.16,71.2,AP,0.573,0.388,,6101,Magic Gem of Saber,18.21,188.2,AP,0.117,,,7101,Saber Monument,11.03,310.8,AP,0.157,,,6001,Gem of Saber,22.94,149.4,AP,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",187,"24,931",,,35.6,9.9,5.2,179.7,,6519,Warhorse's Young Horn,38.153,89.8,AP,0.958,0.565,,6526,Shell of Reminiscence,38.153,89.8,AP,0.516,0.284,,6514,Homunculus Baby,38.153,89.8,AP,0.505,0.298,,6534,Mystic Gunpowder,57.230,59.9,AP,0.457,0.281,,6533,Stake of Wailing Night,57.230,59.9,AP,0.456,0.272,,6549,Small Bell of Absolution,10.111,339.0,AP,0.085,0.050,,6005,Gem of Caster,6.105,561.5,AP,0.015,,,,,,,,,,,,-1,Blue Gems,38.153,,-2,Red Gems,38.153,,-3,Gold Gems,19.077,,-6,XP,572.3
Expert,33.45,40,815,Lotto,8,,4.465,2.632,,6553,Sun Leather,22.08,151.5,AP,0.296,0.216,,6511,Forbidden Page,21.62,154.7,AP,0.392,0.178,,6516,Evil Bone,50.64,66.1,AP,0.283,0.186,,6205,Secret Gem of Caster,14.68,227.9,AP,0.217,,,7105,Caster Monument,4.74,705.7,AP,0.069,,,6107,Magic Gem of Berserker,16.88,198.2,AP,0.111,,,7107,Berserker Monument,3.12,"1,072.1",AP,0.045,,,6007,Gem of Berserker,17.11,195.5,AP,0.035,,,7106,Assassin Monument,6.13,545.7,AP,0.089,,,7104,Rider Monument,3.93,851.1,AP,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",251,"29,244",,,35.7,11.9,4.6,153.2,,6519,Warhorse's Young Horn,43.670,76.6,AP,1.124,0.662,,6526,Shell of Reminiscence,43.670,76.6,AP,0.606,0.333,,6514,Homunculus Baby,43.670,76.6,AP,0.593,0.349,,6534,Mystic Gunpowder,65.505,51.1,AP,0.537,0.330,,6533,Stake of Wailing Night,65.505,51.1,AP,0.535,0.319,,6549,Small Bell of Absolution,11.573,289.0,AP,0.100,0.059,,6005,Gem of Caster,6.987,478.7,AP,0.017,,,,,,,,,,,,-1,Blue Gems,43.670,,-2,Red Gems,43.670,,-3,Gold Gems,21.835,,-6,XP,655.1
Powder: Day 1,31.69,40,915,Lotto,8,,6.345,3.694,,6529,Cursed Beast Gallstone,21.61,146.6,AP,1.053,0.547,,6535,Eternal Ice,22.75,139.3,AP,0.293,0.198,,6551,Ceremonial Sword of Twilight,34.99,90.6,AP,0.320,0.200,,6205,Secret Gem of Caster,21.99,144.1,AP,0.343,,,7105,Caster Monument,21.22,149.3,AP,0.327,,,6105,Magic Gem of Caster,17.21,184.1,AP,0.096,,,6005,Gem of Caster,16.63,190.6,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",297,"39,162",,,45.3,15.1,3.6,114.4,,6519,Warhorse's Young Horn,55.403,57.2,AP,1.505,0.887,,6526,Shell of Reminiscence,55.403,57.2,AP,0.811,0.446,,6514,Homunculus Baby,55.403,57.2,AP,0.794,0.468,,6534,Mystic Gunpowder,83.105,38.1,AP,0.719,0.442,,6533,Stake of Wailing Night,83.105,38.1,AP,0.716,0.428,,6549,Small Bell of Absolution,14.682,215.8,AP,0.134,0.078,,6005,Gem of Caster,8.865,357.5,AP,0.023,,,,,,,,,,,,-1,Blue Gems,55.403,,-2,Red Gems,55.403,,-3,Gold Gems,27.702,,-6,XP,831.1
Flake: Day 1,30.95,40,"1,098",Lotto,8,,6.806,3.956,,6519,Warhorse's Young Horn,31.54,98.1,AP,0.877,0.517,,6526,Shell of Reminiscence,29.12,106.3,AP,0.437,0.240,,6503,Proof of Hero,45.27,68.4,AP,0.274,0.133,,6101,Magic Gem of Saber,31.13,99.4,AP,0.222,,,7101,Saber Monument,26.02,118.9,AP,0.410,,,6001,Gem of Saber,27.99,110.6,AP,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",364,"43,681",,,49.4,16.5,3.3,102.6,,6519,Warhorse's Young Horn,60.353,51.3,AP,1.679,0.990,,6526,Shell of Reminiscence,60.353,51.3,AP,0.905,0.498,,6514,Homunculus Baby,60.353,51.3,AP,0.885,0.522,,6534,Mystic Gunpowder,90.530,34.2,AP,0.801,0.493,,6533,Stake of Wailing Night,90.530,34.2,AP,0.799,0.477,,6549,Small Bell of Absolution,15.994,193.5,AP,0.149,0.087,,6005,Gem of Caster,9.657,320.5,AP,0.026,,,,,,,,,,,,-1,Blue Gems,60.353,,-2,Red Gems,60.353,,-3,Gold Gems,30.177,,-6,XP,905.3
Powder: Day 2,31.67,40,915,Lotto,8,,6.248,3.702,,6528,Primordial Lanugo,26.72,118.5,AP,0.877,0.515,,6538,Soundless Bell,24.38,129.9,AP,0.355,0.211,,6535,Eternal Ice,25,126.7,AP,0.322,0.218,,6204,Secret Gem of Rider,20.31,155.9,AP,0.470,,,7104,Rider Monument,17.97,176.2,AP,0.283,,,6104,Magic Gem of Rider,15.31,206.9,AP,0.104,,,6004,Gem of Rider,16.72,189.4,AP,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",297,"39,290",,,45.5,15.2,3.6,114.0,,6519,Warhorse's Young Horn,55.550,57.0,AP,1.510,0.890,,6526,Shell of Reminiscence,55.550,57.0,AP,0.814,0.448,,6514,Homunculus Baby,55.550,57.0,AP,0.796,0.469,,6534,Mystic Gunpowder,83.325,38.0,AP,0.721,0.443,,6533,Stake of Wailing Night,83.325,38.0,AP,0.718,0.429,,6549,Small Bell of Absolution,14.721,215.1,AP,0.134,0.079,,6005,Gem of Caster,8.888,356.3,AP,0.023,,,,,,,,,,,,-1,Blue Gems,55.550,,-2,Red Gems,55.550,,-3,Gold Gems,27.775,,-6,XP,833.3
Flake: Day 2,30.94,40,"1,098",Lotto,8,,6.674,3.919,,6550,Scale of Fantasy,49.82,62.1,AP,0.742,0.461,,6508,Ghost Lantern,28.76,107.6,AP,0.425,0.251,,6503,Proof of Hero,46.46,66.6,AP,0.281,0.137,,6103,Magic Gem of Lancer,16.48,187.7,AP,0.107,,,7103,Lancer Monument,26.55,116.5,AP,0.410,,,6003,Gem of Lancer,28.77,107.5,AP,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",365,"43,748",,,49.4,16.5,3.3,102.4,,6519,Warhorse's Young Horn,60.427,51.2,AP,1.682,0.991,,6526,Shell of Reminiscence,60.427,51.2,AP,0.906,0.498,,6514,Homunculus Baby,60.427,51.2,AP,0.887,0.523,,6534,Mystic Gunpowder,90.640,34.1,AP,0.803,0.493,,6533,Stake of Wailing Night,90.640,34.1,AP,0.800,0.478,,6549,Small Bell of Absolution,16.013,193.2,AP,0.150,0.088,,6005,Gem of Caster,9.668,320.0,AP,0.026,,,,,,,,,,,,-1,Blue Gems,60.427,,-2,Red Gems,60.427,,-3,Gold Gems,30.213,,-6,XP,906.4
Powder: Day 3,31.81,40,915,Lotto,8,,6.315,3.757,,6548,Flaming Oni Lantern Plant,20.75,153.3,AP,1.016,0.623,,6547,Ball of Rainbow Thread,26.12,121.8,AP,0.376,0.229,,6551,Ceremonial Sword of Twilight,36.14,88.0,AP,0.329,0.206,,6201,Secret Gem of Saber,23.26,136.8,AP,0.526,,,7101,Saber Monument,18.78,169.4,AP,0.288,,,6101,Magic Gem of Saber,16.82,189.1,AP,0.117,,,6001,Gem of Saber,17.89,177.8,AP,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",296,"38,446",,,44.7,14.9,3.7,116.5,,6519,Warhorse's Young Horn,54.597,58.3,AP,1.478,0.871,,6526,Shell of Reminiscence,54.597,58.3,AP,0.796,0.438,,6514,Homunculus Baby,54.597,58.3,AP,0.779,0.459,,6534,Mystic Gunpowder,81.895,38.8,AP,0.705,0.434,,6533,Stake of Wailing Night,81.895,38.8,AP,0.703,0.420,,6549,Small Bell of Absolution,14.468,219.9,AP,0.131,0.077,,6005,Gem of Caster,8.735,364.1,AP,0.023,,,,,,,,,,,,-1,Blue Gems,54.597,,-2,Red Gems,54.597,,-3,Gold Gems,27.298,,-6,XP,819.0
Flake: Day 3,30.92,40,"1,098",Lotto,8,,6.927,4.005,,6546,Fruit of Eternity,30.78,100.5,AP,0.914,0.461,,6545,Divine Leyline Spiritron,29.21,105.9,AP,0.437,0.267,,6527,Deadly Poison Needle,34.55,89.5,AP,0.340,0.200,,6103,Magic Gem of Lancer,32.47,95.2,AP,0.211,,,7103,Lancer Monument,25.83,119.7,AP,0.399,,,6003,Gem of Lancer,26.81,115.3,AP,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",365,"43,829",,,49.5,16.5,3.3,102.2,,6519,Warhorse's Young Horn,60.500,51.1,AP,1.685,0.993,,6526,Shell of Reminiscence,60.500,51.1,AP,0.908,0.499,,6514,Homunculus Baby,60.500,51.1,AP,0.888,0.524,,6534,Mystic Gunpowder,90.750,34.1,AP,0.804,0.494,,6533,Stake of Wailing Night,90.750,34.1,AP,0.801,0.478,,6549,Small Bell of Absolution,16.033,192.9,AP,0.150,0.088,,6005,Gem of Caster,9.680,319.4,AP,0.026,,,,,,,,,,,,-1,Blue Gems,60.500,,-2,Red Gems,60.500,,-3,Gold Gems,30.250,,-6,XP,907.5
