Christmas 2026 w/ Fruit,,Christmas Eve in Pohjola: The Dreamer Santa and the Nutcracker,,Lotto Drop Bonus:,,,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Coaching from a Hero on a Business Trip,30,30,215,Lotto,,,0.306,0.139,,6511,Forbidden Page,15.08,198.9,AP,0.306,0.139,,6102,Magic Gem of Archer,7.94,377.8,AP,0.053,,,7002,Archer Piece,10.32,290.7,AP,0.064,,,6002,Gem of Archer,14.29,209.9,AP,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",,80,,,,17.6,4.4,,,,6546,Fruit of Eternity,,,,,,,6538,Soundless Bell,,,,,,,6536,Aurora Steel,,,,,,,6552,Ash of Remembrance,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6512,Dragon Fang,,,,,,,6502,Seed of Yggdrasil,,,,,,,6101,Magic Gem of Saber,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Case with Snowman Expert,35,35,415,Lotto,,,0.354,0.206,,6543,Crown of Silvery Light,25.93,135.0,AP,0.354,0.206,,6107,Magic Gem of Berserker,9.63,363.4,AP,0.061,,,7007,Berserker Piece,16.3,214.7,AP,0.090,,,6007,Gem of Berserker,16.3,214.7,AP,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",,126,,,,25.3,7.3,,,,6546,Fruit of Eternity,,,,,,,6538,Soundless Bell,,,,,,,6536,Aurora Steel,,,,,,,6552,Ash of Remembrance,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6512,Dragon Fang,,,,,,,6502,Seed of Yggdrasil,,,,,,,6101,Magic Gem of Saber,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Until we Can See the Aurora,40,40,615,Lotto,,,0.485,0.268,,6501,Phoenix Feather,37.05,108.0,AP,0.485,0.268,,6104,Magic Gem of Rider,14.29,279.9,AP,0.077,,,7104,Rider Monument,10.71,373.5,AP,0.133,,,6004,Gem of Rider,17.41,229.8,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,160,,,,31.9,10.0,,,,6546,Fruit of Eternity,,,,,,,6538,Soundless Bell,,,,,,,6536,Aurora Steel,,,,,,,6552,Ash of Remembrance,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6512,Dragon Fang,,,,,,,6502,Seed of Yggdrasil,,,,,,,6101,Magic Gem of Saber,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Christmas Tree World Share,40,40,715,Lotto,,,0.527,0.324,,6554,Obsidian Knife,72.97,54.8,AP,0.527,0.324,,6003,Gem of Lancer,45.61,87.7,AP,0.096,,,7103,Lancer Monument,15.23,262.6,AP,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,33.9,10.9,,,,6546,Fruit of Eternity,,,,,,,6538,Soundless Bell,,,,,,,6536,Aurora Steel,,,,,,,6552,Ash of Remembrance,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6512,Dragon Fang,,,,,,,6502,Seed of Yggdrasil,,,,,,,6101,Magic Gem of Saber,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Cornerstone of the Base's Defense,40,40,765,Lotto,,,0.536,0.280,,6532,Refined Magatama,47.06,85.0,AP,0.536,0.280,,6105,Magic Gem of Caster,32.23,124.1,AP,0.143,,,7105,Caster Monument,20.72,193.1,AP,0.253,,,6005,Gem of Caster,35.29,113.3,AP,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",,198,,,,35.6,11.8,,,,6546,Fruit of Eternity,,,,,,,6538,Soundless Bell,,,,,,,6536,Aurora Steel,,,,,,,6552,Ash of Remembrance,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6512,Dragon Fang,,,,,,,6502,Seed of Yggdrasil,,,,,,,6101,Magic Gem of Saber,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Sequel: Cornerstone of the Base's Defense,40,40,815,Lotto,,,0.623,0.377,,6541,Arrowhead of Malice,54.56,73.3,AP,0.623,0.377,,6102,Magic Gem of Archer,33.48,119.5,AP,0.167,,,7102,Archer Monument,18.38,217.6,AP,0.225,,,6002,Gem of Archer,32.06,124.8,AP,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,36.1,12.0,,,,6546,Fruit of Eternity,,,,,,,6538,Soundless Bell,,,,,,,6536,Aurora Steel,,,,,,,6552,Ash of Remembrance,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6512,Dragon Fang,,,,,,,6502,Seed of Yggdrasil,,,,,,,6101,Magic Gem of Saber,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Pohjola Kitchen,40,40,865,Lotto,,,1.000,0.526,,6546,Fruit of Eternity,23.85,167.7,AP,0.547,0.276,,6526,Shell of Reminiscence,39.02,102.5,AP,0.453,0.250,,6101,Magic Gem of Saber,30.89,129.5,AP,0.171,,,7101,Saber Monument,17.07,234.3,AP,0.209,,,6001,Gem of Saber,21.41,186.8,AP,0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,900",,223,,,,37.6,12.5,,,,6546,Fruit of Eternity,,,,,,,6538,Soundless Bell,,,,,,,6536,Aurora Steel,,,,,,,6552,Ash of Remembrance,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6512,Dragon Fang,,,,,,,6502,Seed of Yggdrasil,,,,,,,6101,Magic Gem of Saber,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Large Snakes are in the Middle of a Dream,40,40,915,Lotto,,,1.164,0.637,,6531,Mysterious Divine Wine,21.1,189.6,AP,0.748,0.389,,6533,Stake of Wailing Night,60.91,65.7,AP,0.416,0.248,,6206,Secret Gem of Assassin,21.71,184.2,AP,0.397,,,7106,Assassin Monument,21.32,187.6,AP,0.259,,,6106,Magic Gem of Assassin,23.71,168.7,AP,0.112,,,6006,Gem of Assassin,11.94,335.0,AP,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,235,,,,44.9,15.0,,,,6546,Fruit of Eternity,,,,,,,6538,Soundless Bell,,,,,,,6536,Aurora Steel,,,,,,,6552,Ash of Remembrance,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6512,Dragon Fang,,,,,,,6502,Seed of Yggdrasil,,,,,,,6101,Magic Gem of Saber,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Dragon Set Mass-Production Factory,40,40,"1,098",Lotto,,,1.699,1.016,,6506,Dragon's Reverse Scale,26.37,151.7,AP,1.087,0.636,,6550,Scale of Fantasy,53.18,75.2,AP,0.612,0.380,,6207,Secret Gem of Berserker,25.87,154.6,AP,0.479,,,7107,Berserker Monument,26.48,151.1,AP,0.320,,,6107,Magic Gem of Berserker,33.97,117.8,AP,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,282,,,,49.5,16.5,,,,6546,Fruit of Eternity,,,,,,,6538,Soundless Bell,,,,,,,6536,Aurora Steel,,,,,,,6552,Ash of Remembrance,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6512,Dragon Fang,,,,,,,6502,Seed of Yggdrasil,,,,,,,6101,Magic Gem of Saber,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Foreign Land's Gourmet,40,40,"1,318",Lotto,,,1.900,1.068,,6525,Scarab of Wisdom,31.02,128.9,AP,1.193,0.542,,6555,Vestige of Madness,94.77,42.2,AP,0.706,0.526,,6203,Secret Gem of Lancer,31.21,128.2,AP,0.575,,,7103,Lancer Monument,31.1,128.6,AP,0.372,,,6103,Magic Gem of Lancer,33.65,118.9,AP,0.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",,338,,,,54.0,18.0,,,,6546,Fruit of Eternity,,,,,,,6538,Soundless Bell,,,,,,,6536,Aurora Steel,,,,,,,6552,Ash of Remembrance,,,,,,,6530,Mystic Spinal Fluid,,,,,,,6512,Dragon Fang,,,,,,,6502,Seed of Yggdrasil,,,,,,,6101,Magic Gem of Saber,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
