Christmas 2026 w/ Grease,,Christmas Eve in Pohjola: The Dreamer Santa and the Nutcracker,,Lotto Drop Bonus:,,12,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Coaching from a Hero on a Business Trip,26.49,30,215,Lotto,12,,3.154,1.836,,6511,Forbidden Page,15.08,175.7,AP,0.347,0.157,,6102,Magic Gem of Archer,7.94,333.6,AP,0.060,,,7002,Archer Piece,10.32,256.7,AP,0.073,,,6002,Gem of Archer,14.29,185.4,AP,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",,91,"20,329",,,17.6,4.4,8.5,226.3,,6521,Black Beast Grease,23.413,113.1,AP,0.818,0.500,,6538,Soundless Bell,23.413,113.1,AP,0.407,0.242,,6536,Aurora Steel,23.413,113.1,AP,0.403,0.248,,6552,Ash of Remembrance,35.120,75.4,AP,0.398,0.245,,6530,Mystic Spinal Fluid,35.120,75.4,AP,0.379,0.210,,6512,Dragon Fang,35.120,75.4,AP,0.333,0.195,,6502,Seed of Yggdrasil,5.151,514.3,AP,0.068,0.038,,6101,Magic Gem of Saber,1.639,"1,616.3",AP,0.014,,,,-1,Blue Gems,23.413,,-2,Red Gems,23.413,,-3,Gold Gems,11.707,,-6,XP,351.2
Case with Snowman Expert,29.35,35,415,Lotto,12,,4.499,2.682,,6543,Crown of Silvery Light,25.93,113.2,AP,0.422,0.245,,6107,Magic Gem of Berserker,9.63,304.8,AP,0.072,,,7007,Berserker Piece,16.3,180.1,AP,0.108,,,6007,Gem of Berserker,16.3,180.1,AP,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",,150,"29,523",,,25.3,7.3,5.3,155.8,,6521,Black Beast Grease,37.673,77.9,AP,1.189,0.726,,6538,Soundless Bell,37.673,77.9,AP,0.592,0.352,,6536,Aurora Steel,37.673,77.9,AP,0.585,0.360,,6552,Ash of Remembrance,56.510,51.9,AP,0.578,0.355,,6530,Mystic Spinal Fluid,56.510,51.9,AP,0.551,0.306,,6512,Dragon Fang,56.510,51.9,AP,0.483,0.284,,6502,Seed of Yggdrasil,8.288,354.1,AP,0.099,0.055,,6101,Magic Gem of Saber,2.637,"1,113.0",AP,0.020,,,,-1,Blue Gems,37.673,,-2,Red Gems,37.673,,-3,Gold Gems,18.837,,-6,XP,565.1
Until we Can See the Aurora,32.42,40,615,Lotto,12,,5.551,3.292,,6501,Phoenix Feather,37.05,87.5,AP,0.599,0.331,,6104,Magic Gem of Rider,14.29,226.9,AP,0.095,,,7104,Rider Monument,10.71,302.7,AP,0.165,,,6004,Gem of Rider,17.41,186.2,AP,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,197,"35,862",,,31.9,10.0,4.0,128.3,,6521,Black Beast Grease,50.550,64.1,AP,1.444,0.882,,6538,Soundless Bell,50.550,64.1,AP,0.719,0.428,,6536,Aurora Steel,50.550,64.1,AP,0.711,0.437,,6552,Ash of Remembrance,75.825,42.8,AP,0.702,0.432,,6530,Mystic Spinal Fluid,75.825,42.8,AP,0.669,0.371,,6512,Dragon Fang,75.825,42.8,AP,0.587,0.345,,6502,Seed of Yggdrasil,11.121,291.5,AP,0.121,0.067,,6101,Magic Gem of Saber,3.539,916.2,AP,0.024,,,,-1,Blue Gems,50.550,,-2,Red Gems,50.550,,-3,Gold Gems,25.275,,-6,XP,758.3
Christmas Tree World Share,31.74,40,715,Lotto,12,,6.173,3.701,,6554,Obsidian Knife,72.97,43.5,AP,0.664,0.408,,6003,Gem of Lancer,45.61,69.6,AP,0.121,,,7103,Lancer Monument,15.23,208.4,AP,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,233,"39,894",,,33.9,10.9,3.6,115.3,,6521,Black Beast Grease,55.053,57.7,AP,1.606,0.981,,6538,Soundless Bell,55.053,57.7,AP,0.800,0.476,,6536,Aurora Steel,55.053,57.7,AP,0.791,0.486,,6552,Ash of Remembrance,82.580,38.4,AP,0.781,0.480,,6530,Mystic Spinal Fluid,82.580,38.4,AP,0.744,0.413,,6512,Dragon Fang,82.580,38.4,AP,0.653,0.383,,6502,Seed of Yggdrasil,12.112,262.1,AP,0.134,0.075,,6101,Magic Gem of Saber,3.854,823.6,AP,0.027,,,,-1,Blue Gems,55.053,,-2,Red Gems,55.053,,-3,Gold Gems,27.527,,-6,XP,825.8
Cornerstone of the Base's Defense,31.16,40,765,Lotto,12,,6.695,3.951,,6532,Refined Magatama,47.06,66.2,AP,0.689,0.360,,6105,Magic Gem of Caster,32.23,96.7,AP,0.183,,,7105,Caster Monument,20.72,150.4,AP,0.324,,,6005,Gem of Caster,35.29,88.3,AP,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",,254,"43,498",,,35.6,11.8,3.4,105.8,,6521,Black Beast Grease,58.930,52.9,AP,1.751,1.069,,6538,Soundless Bell,58.930,52.9,AP,0.872,0.519,,6536,Aurora Steel,58.930,52.9,AP,0.862,0.530,,6552,Ash of Remembrance,88.395,35.3,AP,0.851,0.523,,6530,Mystic Spinal Fluid,88.395,35.3,AP,0.811,0.450,,6512,Dragon Fang,88.395,35.3,AP,0.712,0.418,,6502,Seed of Yggdrasil,12.965,240.3,AP,0.146,0.081,,6101,Magic Gem of Saber,4.125,755.4,AP,0.029,,,,-1,Blue Gems,58.930,,-2,Red Gems,58.930,,-3,Gold Gems,29.465,,-6,XP,884.0
Sequel: Cornerstone of the Base's Defense,30.98,40,815,Lotto,12,,6.966,4.170,,6541,Arrowhead of Malice,54.56,56.8,AP,0.805,0.486,,6102,Magic Gem of Archer,33.48,92.5,AP,0.216,,,7102,Archer Monument,18.38,168.6,AP,0.291,,,6002,Gem of Archer,32.06,96.6,AP,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,271,"44,622",,,36.1,12.0,3.3,103.1,,6521,Black Beast Grease,60.103,51.5,AP,1.797,1.097,,6538,Soundless Bell,60.103,51.5,AP,0.894,0.532,,6536,Aurora Steel,60.103,51.5,AP,0.885,0.544,,6552,Ash of Remembrance,90.155,34.4,AP,0.873,0.537,,6530,Mystic Spinal Fluid,90.155,34.4,AP,0.832,0.462,,6512,Dragon Fang,90.155,34.4,AP,0.730,0.429,,6502,Seed of Yggdrasil,13.223,234.3,AP,0.150,0.083,,6101,Magic Gem of Saber,4.207,736.4,AP,0.030,,,,-1,Blue Gems,60.103,,-2,Red Gems,60.103,,-3,Gold Gems,30.052,,-6,XP,901.6
Pohjola Kitchen,30.61,40,865,Lotto,12,,7.802,4.571,,6546,Fruit of Eternity,23.85,128.3,AP,0.715,0.361,,6526,Shell of Reminiscence,39.02,78.4,AP,0.591,0.327,,6101,Magic Gem of Saber,30.89,99.1,AP,0.223,,,7101,Saber Monument,17.07,179.3,AP,0.273,,,6001,Gem of Saber,21.41,143.0,AP,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,900",,291,"47,039",,,37.6,12.5,3.2,97.8,,6521,Black Beast Grease,62.603,48.9,AP,1.894,1.156,,6538,Soundless Bell,62.603,48.9,AP,0.943,0.561,,6536,Aurora Steel,62.603,48.9,AP,0.933,0.573,,6552,Ash of Remembrance,93.905,32.6,AP,0.920,0.566,,6530,Mystic Spinal Fluid,93.905,32.6,AP,0.877,0.487,,6512,Dragon Fang,93.905,32.6,AP,0.770,0.452,,6502,Seed of Yggdrasil,13.773,222.3,AP,0.158,0.088,,6101,Magic Gem of Saber,4.382,698.5,AP,0.032,,,,-1,Blue Gems,62.603,,-2,Red Gems,62.603,,-3,Gold Gems,31.302,,-6,XP,939.1
Large Snakes are in the Middle of a Dream,28.79,40,915,Lotto,12,,9.863,5.815,,6531,Mysterious Divine Wine,21.1,136.4,AP,1.039,0.540,,6533,Stake of Wailing Night,60.91,47.3,AP,0.578,0.344,,6206,Secret Gem of Assassin,21.71,132.6,AP,0.551,,,7106,Assassin Monument,21.32,135.0,AP,0.360,,,6106,Magic Gem of Assassin,23.71,121.4,AP,0.156,,,6006,Gem of Assassin,11.94,241.1,AP,0.030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,327,"59,720",,,44.9,15.0,2.7,77.0,,6521,Black Beast Grease,74.753,38.5,AP,2.404,1.468,,6538,Soundless Bell,74.753,38.5,AP,1.197,0.712,,6536,Aurora Steel,74.753,38.5,AP,1.184,0.728,,6552,Ash of Remembrance,112.130,25.7,AP,1.168,0.719,,6530,Mystic Spinal Fluid,112.130,25.7,AP,1.114,0.618,,6512,Dragon Fang,112.130,25.7,AP,0.978,0.574,,6502,Seed of Yggdrasil,16.446,175.1,AP,0.201,0.112,,6101,Magic Gem of Saber,5.233,550.2,AP,0.040,,,,-1,Blue Gems,74.753,,-2,Red Gems,74.753,,-3,Gold Gems,37.377,,-6,XP,1121.3
Dragon Set Mass-Production Factory,27.63,40,"1,098",Lotto,12,,11.936,7.137,,6506,Dragon's Reverse Scale,26.37,104.8,AP,1.574,0.921,,6550,Scale of Fantasy,53.18,52.0,AP,0.885,0.550,,6207,Secret Gem of Berserker,25.87,106.8,AP,0.694,,,7107,Berserker Monument,26.48,104.3,AP,0.463,,,6107,Magic Gem of Berserker,33.97,81.3,AP,0.270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,408,"68,634",,,49.5,16.5,2.4,67.0,,6521,Black Beast Grease,82.450,33.5,AP,2.763,1.687,,6538,Soundless Bell,82.450,33.5,AP,1.376,0.818,,6536,Aurora Steel,82.450,33.5,AP,1.361,0.836,,6552,Ash of Remembrance,123.675,22.3,AP,1.343,0.826,,6530,Mystic Spinal Fluid,123.675,22.3,AP,1.280,0.710,,6512,Dragon Fang,123.675,22.3,AP,1.124,0.659,,6502,Seed of Yggdrasil,18.139,152.3,AP,0.231,0.128,,6101,Magic Gem of Saber,5.772,478.7,AP,0.046,,,,-1,Blue Gems,82.450,,-2,Red Gems,82.450,,-3,Gold Gems,41.225,,-6,XP,1236.8
Foreign Land's Gourmet,26.5,40,"1,318",Lotto,12,,13.653,8.060,,6525,Scarab of Wisdom,31.02,85.4,AP,1.802,0.818,,6555,Vestige of Madness,94.77,28.0,AP,1.066,0.794,,6203,Secret Gem of Lancer,31.21,84.9,AP,0.868,,,7103,Lancer Monument,31.1,85.2,AP,0.561,,,6103,Magic Gem of Lancer,33.65,78.8,AP,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",,511,"78,110",,,54.0,18.0,2.2,58.9,,6521,Black Beast Grease,89.997,29.4,AP,3.145,1.920,,6538,Soundless Bell,89.997,29.4,AP,1.566,0.931,,6536,Aurora Steel,89.997,29.4,AP,1.549,0.952,,6552,Ash of Remembrance,134.995,19.6,AP,1.528,0.940,,6530,Mystic Spinal Fluid,134.995,19.6,AP,1.457,0.808,,6512,Dragon Fang,134.995,19.6,AP,1.279,0.751,,6502,Seed of Yggdrasil,19.799,133.8,AP,0.263,0.146,,6101,Magic Gem of Saber,6.300,420.7,AP,0.053,,,,-1,Blue Gems,89.997,,-2,Red Gems,89.997,,-3,Gold Gems,44.998,,-6,XP,1350.0
