Christmas 2026 w/ Ether,,Christmas Eve in Pohjola: The Dreamer Santa and the Nutcracker,,Lotto Drop Bonus:,,6,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,032.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Coaching from a Hero on a Business Trip,27.8,30,215,Lotto,6,,1.758,0.999,,6511,Forbidden Page,15.08,184.4,AP,0.330,0.150,,6102,Magic Gem of Archer,7.94,350.1,AP,0.057,,,7002,Archer Piece,10.32,269.4,AP,0.069,,,6002,Gem of Archer,14.29,194.5,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",,86,"12,107",,,17.6,4.4,13.7,380.0,,6556,Ether Photon Converger,14.633,190.0,AP,0.243,0.147,,6538,Soundless Bell,14.633,190.0,AP,0.243,0.144,,6536,Aurora Steel,14.633,190.0,AP,0.240,0.148,,6552,Ash of Remembrance,21.950,126.7,AP,0.237,0.146,,6530,Mystic Spinal Fluid,21.950,126.7,AP,0.226,0.125,,6512,Dragon Fang,21.950,126.7,AP,0.198,0.116,,6502,Seed of Yggdrasil,3.219,863.5,AP,0.041,0.023,,6101,Magic Gem of Saber,1.024,"2,714.0",AP,0.008,,,,-1,Blue Gems,14.633,,-2,Red Gems,14.633,,-3,Gold Gems,7.317,,-6,XP,219.5
Case with Snowman Expert,31.54,35,415,Lotto,6,,2.375,1.407,,6543,Crown of Silvery Light,25.93,121.6,AP,0.393,0.228,,6107,Magic Gem of Berserker,9.63,327.5,AP,0.067,,,7007,Berserker Piece,16.3,193.5,AP,0.100,,,6007,Gem of Berserker,16.3,193.5,AP,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",,140,"16,811",,,25.3,7.3,8.7,273.6,,6556,Ether Photon Converger,23.053,136.8,AP,0.338,0.204,,6538,Soundless Bell,23.053,136.8,AP,0.337,0.200,,6536,Aurora Steel,23.053,136.8,AP,0.333,0.205,,6552,Ash of Remembrance,34.580,91.2,AP,0.329,0.202,,6530,Mystic Spinal Fluid,34.580,91.2,AP,0.314,0.174,,6512,Dragon Fang,34.580,91.2,AP,0.275,0.162,,6502,Seed of Yggdrasil,5.072,621.9,AP,0.057,0.031,,6101,Magic Gem of Saber,1.614,"1,954.5",AP,0.011,,,,-1,Blue Gems,23.053,,-2,Red Gems,23.053,,-3,Gold Gems,11.527,,-6,XP,345.8
Until we Can See the Aurora,35.41,40,615,Lotto,6,,2.891,1.696,,6501,Phoenix Feather,37.05,95.6,AP,0.548,0.303,,6104,Magic Gem of Rider,14.29,247.8,AP,0.087,,,7104,Rider Monument,10.71,330.6,AP,0.151,,,6004,Gem of Rider,17.41,203.4,AP,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,181,"19,869",,,31.9,10.0,6.5,231.5,,6556,Ether Photon Converger,30.590,115.8,AP,0.399,0.241,,6538,Soundless Bell,30.590,115.8,AP,0.398,0.237,,6536,Aurora Steel,30.590,115.8,AP,0.394,0.242,,6552,Ash of Remembrance,45.885,77.2,AP,0.389,0.239,,6530,Mystic Spinal Fluid,45.885,77.2,AP,0.371,0.206,,6512,Dragon Fang,45.885,77.2,AP,0.325,0.191,,6502,Seed of Yggdrasil,6.730,526.2,AP,0.067,0.037,,6101,Magic Gem of Saber,2.141,"1,653.7",AP,0.013,,,,-1,Blue Gems,30.590,,-2,Red Gems,30.590,,-3,Gold Gems,15.295,,-6,XP,458.9
Christmas Tree World Share,35.02,40,715,Lotto,6,,3.171,1.897,,6554,Obsidian Knife,72.97,48.0,AP,0.602,0.370,,6003,Gem of Lancer,45.61,76.8,AP,0.109,,,7103,Lancer Monument,15.23,229.9,AP,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,211,"21,787",,,33.9,10.9,6.0,211.1,,6556,Ether Photon Converger,33.173,105.6,AP,0.438,0.264,,6538,Soundless Bell,33.173,105.6,AP,0.437,0.260,,6536,Aurora Steel,33.173,105.6,AP,0.432,0.265,,6552,Ash of Remembrance,49.760,70.4,AP,0.426,0.262,,6530,Mystic Spinal Fluid,49.760,70.4,AP,0.406,0.226,,6512,Dragon Fang,49.760,70.4,AP,0.357,0.209,,6502,Seed of Yggdrasil,7.298,479.8,AP,0.073,0.041,,6101,Magic Gem of Saber,2.322,"1,508.1",AP,0.015,,,,-1,Blue Gems,33.173,,-2,Red Gems,33.173,,-3,Gold Gems,16.587,,-6,XP,497.6
Cornerstone of the Base's Defense,34.69,40,765,Lotto,6,,3.385,1.968,,6532,Refined Magatama,47.06,73.7,AP,0.619,0.323,,6105,Magic Gem of Caster,32.23,107.6,AP,0.164,,,7105,Caster Monument,20.72,167.4,AP,0.291,,,6005,Gem of Caster,35.29,98.3,AP,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",,228,"23,464",,,35.6,11.8,5.7,196.0,,6556,Ether Photon Converger,35.390,98.0,AP,0.471,0.285,,6538,Soundless Bell,35.390,98.0,AP,0.470,0.280,,6536,Aurora Steel,35.390,98.0,AP,0.465,0.286,,6552,Ash of Remembrance,53.085,65.3,AP,0.459,0.282,,6530,Mystic Spinal Fluid,53.085,65.3,AP,0.438,0.243,,6512,Dragon Fang,53.085,65.3,AP,0.384,0.225,,6502,Seed of Yggdrasil,7.786,445.6,AP,0.079,0.044,,6101,Magic Gem of Saber,2.477,"1,400.3",AP,0.016,,,,-1,Blue Gems,35.390,,-2,Red Gems,35.390,,-3,Gold Gems,17.695,,-6,XP,530.9
Sequel: Cornerstone of the Base's Defense,34.59,40,815,Lotto,6,,3.548,2.117,,6541,Arrowhead of Malice,54.56,63.4,AP,0.721,0.436,,6102,Magic Gem of Archer,33.48,103.3,AP,0.194,,,7102,Archer Monument,18.38,188.2,AP,0.260,,,6002,Gem of Archer,32.06,107.9,AP,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,243,"23,980",,,36.1,12.0,5.5,191.8,,6556,Ether Photon Converger,36.063,95.9,AP,0.482,0.291,,6538,Soundless Bell,36.063,95.9,AP,0.481,0.286,,6536,Aurora Steel,36.063,95.9,AP,0.475,0.292,,6552,Ash of Remembrance,54.095,63.9,AP,0.469,0.289,,6530,Mystic Spinal Fluid,54.095,63.9,AP,0.447,0.248,,6512,Dragon Fang,54.095,63.9,AP,0.393,0.230,,6502,Seed of Yggdrasil,7.934,436.0,AP,0.081,0.045,,6101,Magic Gem of Saber,2.524,"1,370.2",AP,0.016,,,,-1,Blue Gems,36.063,,-2,Red Gems,36.063,,-3,Gold Gems,18.032,,-6,XP,541.0
Pohjola Kitchen,34.37,40,865,Lotto,6,,4.128,2.375,,6546,Fruit of Eternity,23.85,144.1,AP,0.637,0.321,,6526,Shell of Reminiscence,39.02,88.1,AP,0.527,0.291,,6101,Magic Gem of Saber,30.89,111.3,AP,0.199,,,7101,Saber Monument,17.07,201.3,AP,0.243,,,6001,Gem of Saber,21.41,160.5,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,900",,259,"25,137",,,37.6,12.5,5.3,183.0,,6556,Ether Photon Converger,37.563,91.5,AP,0.505,0.305,,6538,Soundless Bell,37.563,91.5,AP,0.504,0.300,,6536,Aurora Steel,37.563,91.5,AP,0.498,0.306,,6552,Ash of Remembrance,56.345,61.0,AP,0.492,0.302,,6530,Mystic Spinal Fluid,56.345,61.0,AP,0.469,0.260,,6512,Dragon Fang,56.345,61.0,AP,0.411,0.242,,6502,Seed of Yggdrasil,8.264,415.9,AP,0.085,0.047,,6101,Magic Gem of Saber,2.629,"1,307.1",AP,0.017,,,,-1,Blue Gems,37.563,,-2,Red Gems,37.563,,-3,Gold Gems,18.782,,-6,XP,563.5
Large Snakes are in the Middle of a Dream,33.27,40,915,Lotto,6,,5.055,2.939,,6531,Mysterious Divine Wine,21.1,157.7,AP,0.899,0.468,,6533,Stake of Wailing Night,60.91,54.6,AP,0.500,0.298,,6206,Secret Gem of Assassin,21.71,153.2,AP,0.477,,,7106,Assassin Monument,21.32,156.1,AP,0.311,,,6106,Magic Gem of Assassin,23.71,140.3,AP,0.135,,,6006,Gem of Assassin,11.94,278.6,AP,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,283,"31,008",,,44.9,15.0,4.5,148.4,,6556,Ether Photon Converger,44.853,74.2,AP,0.623,0.376,,6538,Soundless Bell,44.853,74.2,AP,0.622,0.370,,6536,Aurora Steel,44.853,74.2,AP,0.615,0.378,,6552,Ash of Remembrance,67.280,49.5,AP,0.607,0.373,,6530,Mystic Spinal Fluid,67.280,49.5,AP,0.578,0.321,,6512,Dragon Fang,67.280,49.5,AP,0.508,0.298,,6502,Seed of Yggdrasil,9.868,337.2,AP,0.104,0.058,,6101,Magic Gem of Saber,3.140,"1,059.6",AP,0.021,,,,-1,Blue Gems,44.853,,-2,Red Gems,44.853,,-3,Gold Gems,22.427,,-6,XP,672.8
Dragon Set Mass-Production Factory,32.58,40,"1,098",Lotto,6,,6.203,3.696,,6506,Dragon's Reverse Scale,26.37,123.5,AP,1.335,0.781,,6550,Scale of Fantasy,53.18,61.3,AP,0.751,0.466,,6207,Secret Gem of Berserker,25.87,125.9,AP,0.588,,,7107,Berserker Monument,26.48,123.0,AP,0.393,,,6107,Magic Gem of Berserker,33.97,95.9,AP,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,346,"34,924",,,49.5,16.5,4.0,131.7,,6556,Ether Photon Converger,49.470,65.9,AP,0.702,0.424,,6538,Soundless Bell,49.470,65.9,AP,0.700,0.416,,6536,Aurora Steel,49.470,65.9,AP,0.692,0.426,,6552,Ash of Remembrance,74.205,43.9,AP,0.683,0.420,,6530,Mystic Spinal Fluid,74.205,43.9,AP,0.651,0.361,,6512,Dragon Fang,74.205,43.9,AP,0.572,0.336,,6502,Seed of Yggdrasil,10.883,299.4,AP,0.118,0.065,,6101,Magic Gem of Saber,3.463,940.8,AP,0.023,,,,-1,Blue Gems,49.470,,-2,Red Gems,49.470,,-3,Gold Gems,24.735,,-6,XP,742.1
Foreign Land's Gourmet,31.9,40,"1,318",Lotto,6,,6.972,4.068,,6525,Scarab of Wisdom,31.02,102.8,AP,1.497,0.679,,6555,Vestige of Madness,94.77,33.7,AP,0.885,0.660,,6203,Secret Gem of Lancer,31.21,102.2,AP,0.721,,,7103,Lancer Monument,31.1,102.6,AP,0.466,,,6103,Magic Gem of Lancer,33.65,94.8,AP,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",,424,"38,932",,,54.0,18.0,3.7,118.2,,6556,Ether Photon Converger,53.997,59.1,AP,0.782,0.472,,6538,Soundless Bell,53.997,59.1,AP,0.780,0.464,,6536,Aurora Steel,53.997,59.1,AP,0.772,0.474,,6552,Ash of Remembrance,80.995,39.4,AP,0.762,0.468,,6530,Mystic Spinal Fluid,80.995,39.4,AP,0.726,0.403,,6512,Dragon Fang,80.995,39.4,AP,0.637,0.374,,6502,Seed of Yggdrasil,11.879,268.5,AP,0.131,0.073,,6101,Magic Gem of Saber,3.780,844.0,AP,0.026,,,,-1,Blue Gems,53.997,,-2,Red Gems,53.997,,-3,Gold Gems,26.998,,-6,XP,810.0
