Christmas 2026 w/ Ether,,Christmas Eve in Pohjola: The Dreamer Santa and the Nutcracker,,Lotto Drop Bonus:,,8,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Coaching from a Hero on a Business Trip,27.37,30,215,Lotto,8,,2.075,1.187,,6511,Forbidden Page,15.08,181.5,AP,0.336,0.152,,6102,Magic Gem of Archer,7.94,344.7,AP,0.058,,,7002,Archer Piece,10.32,265.2,AP,0.071,,,6002,Gem of Archer,14.29,191.5,AP,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",,88,"14,756",,,17.6,4.4,11.4,311.7,,6556,Ether Photon Converger,17.560,155.9,AP,0.296,0.179,,6538,Soundless Bell,17.560,155.9,AP,0.296,0.176,,6536,Aurora Steel,17.560,155.9,AP,0.293,0.180,,6552,Ash of Remembrance,26.340,103.9,AP,0.289,0.178,,6530,Mystic Spinal Fluid,26.340,103.9,AP,0.275,0.153,,6512,Dragon Fang,26.340,103.9,AP,0.242,0.142,,6502,Seed of Yggdrasil,3.863,708.5,AP,0.050,0.028,,6101,Magic Gem of Saber,1.229,"2,226.7",AP,0.010,,,,-1,Blue Gems,17.560,,-2,Red Gems,17.560,,-3,Gold Gems,8.780,,-6,XP,263.4
Case with Snowman Expert,30.81,35,415,Lotto,8,,2.860,1.695,,6543,Crown of Silvery Light,25.93,118.8,AP,0.402,0.234,,6107,Magic Gem of Berserker,9.63,319.9,AP,0.069,,,7007,Berserker Piece,16.3,189.0,AP,0.103,,,6007,Gem of Berserker,16.3,189.0,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",,143,"20,848",,,25.3,7.3,7.2,220.6,,6556,Ether Photon Converger,27.927,110.3,AP,0.419,0.253,,6538,Soundless Bell,27.927,110.3,AP,0.418,0.249,,6536,Aurora Steel,27.927,110.3,AP,0.413,0.254,,6552,Ash of Remembrance,41.890,73.5,AP,0.408,0.251,,6530,Mystic Spinal Fluid,41.890,73.5,AP,0.389,0.216,,6512,Dragon Fang,41.890,73.5,AP,0.341,0.200,,6502,Seed of Yggdrasil,6.144,501.5,AP,0.070,0.039,,6101,Magic Gem of Saber,1.955,"1,576.1",AP,0.014,,,,-1,Blue Gems,27.927,,-2,Red Gems,27.927,,-3,Gold Gems,13.963,,-6,XP,418.9
Until we Can See the Aurora,34.41,40,615,Lotto,8,,3.499,2.057,,6501,Phoenix Feather,37.05,92.9,AP,0.564,0.312,,6104,Magic Gem of Rider,14.29,240.8,AP,0.090,,,7104,Rider Monument,10.71,321.3,AP,0.155,,,6004,Gem of Rider,17.41,197.6,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,186,"24,894",,,31.9,10.0,5.4,184.8,,6556,Ether Photon Converger,37.243,92.4,AP,0.500,0.302,,6538,Soundless Bell,37.243,92.4,AP,0.499,0.297,,6536,Aurora Steel,37.243,92.4,AP,0.494,0.303,,6552,Ash of Remembrance,55.865,61.6,AP,0.487,0.300,,6530,Mystic Spinal Fluid,55.865,61.6,AP,0.464,0.258,,6512,Dragon Fang,55.865,61.6,AP,0.408,0.239,,6502,Seed of Yggdrasil,8.194,420.0,AP,0.084,0.047,,6101,Magic Gem of Saber,2.607,"1,319.9",AP,0.017,,,,-1,Blue Gems,37.243,,-2,Red Gems,37.243,,-3,Gold Gems,18.622,,-6,XP,558.7
Christmas Tree World Share,33.93,40,715,Lotto,8,,3.856,2.305,,6554,Obsidian Knife,72.97,46.5,AP,0.622,0.382,,6003,Gem of Lancer,45.61,74.4,AP,0.113,,,7103,Lancer Monument,15.23,222.8,AP,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,218,"27,431",,,33.9,10.9,4.9,167.7,,6556,Ether Photon Converger,40.467,83.8,AP,0.551,0.333,,6538,Soundless Bell,40.467,83.8,AP,0.550,0.327,,6536,Aurora Steel,40.467,83.8,AP,0.544,0.334,,6552,Ash of Remembrance,60.700,55.9,AP,0.537,0.330,,6530,Mystic Spinal Fluid,60.700,55.9,AP,0.512,0.284,,6512,Dragon Fang,60.700,55.9,AP,0.449,0.264,,6502,Seed of Yggdrasil,8.903,381.1,AP,0.092,0.051,,6101,Magic Gem of Saber,2.833,"1,197.8",AP,0.018,,,,-1,Blue Gems,40.467,,-2,Red Gems,40.467,,-3,Gold Gems,20.233,,-6,XP,607.0
Cornerstone of the Base's Defense,33.51,40,765,Lotto,8,,4.139,2.415,,6532,Refined Magatama,47.06,71.2,AP,0.640,0.335,,6105,Magic Gem of Caster,32.23,104.0,AP,0.170,,,7105,Caster Monument,20.72,161.7,AP,0.302,,,6005,Gem of Caster,35.29,95.0,AP,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",,236,"29,676",,,35.6,11.8,4.6,155.0,,6556,Ether Photon Converger,43.237,77.5,AP,0.596,0.360,,6538,Soundless Bell,43.237,77.5,AP,0.595,0.354,,6536,Aurora Steel,43.237,77.5,AP,0.588,0.362,,6552,Ash of Remembrance,64.855,51.7,AP,0.581,0.357,,6530,Mystic Spinal Fluid,64.855,51.7,AP,0.554,0.307,,6512,Dragon Fang,64.855,51.7,AP,0.486,0.285,,6502,Seed of Yggdrasil,9.512,352.3,AP,0.100,0.055,,6101,Magic Gem of Saber,3.027,"1,107.2",AP,0.020,,,,-1,Blue Gems,43.237,,-2,Red Gems,43.237,,-3,Gold Gems,21.618,,-6,XP,648.6
Sequel: Cornerstone of the Base's Defense,33.39,40,815,Lotto,8,,4.327,2.580,,6541,Arrowhead of Malice,54.56,61.2,AP,0.747,0.451,,6102,Magic Gem of Archer,33.48,99.7,AP,0.201,,,7102,Archer Monument,18.38,181.7,AP,0.270,,,6002,Gem of Archer,32.06,104.1,AP,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,252,"30,361",,,36.1,12.0,4.5,151.5,,6556,Ether Photon Converger,44.077,75.8,AP,0.610,0.368,,6538,Soundless Bell,44.077,75.8,AP,0.609,0.362,,6536,Aurora Steel,44.077,75.8,AP,0.602,0.370,,6552,Ash of Remembrance,66.115,50.5,AP,0.594,0.365,,6530,Mystic Spinal Fluid,66.115,50.5,AP,0.566,0.314,,6512,Dragon Fang,66.115,50.5,AP,0.497,0.292,,6502,Seed of Yggdrasil,9.697,344.3,AP,0.102,0.057,,6101,Magic Gem of Saber,3.085,"1,082.2",AP,0.020,,,,-1,Blue Gems,44.077,,-2,Red Gems,44.077,,-3,Gold Gems,22.038,,-6,XP,661.2
Pohjola Kitchen,33.11,40,865,Lotto,8,,4.968,2.872,,6546,Fruit of Eternity,23.85,138.8,AP,0.661,0.334,,6526,Shell of Reminiscence,39.02,84.9,AP,0.547,0.302,,6101,Magic Gem of Saber,30.89,107.2,AP,0.206,,,7101,Saber Monument,17.07,194.0,AP,0.252,,,6001,Gem of Saber,21.41,154.6,AP,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,900",,269,"31,892",,,37.6,12.5,4.4,144.2,,6556,Ether Photon Converger,45.910,72.1,AP,0.641,0.387,,6538,Soundless Bell,45.910,72.1,AP,0.639,0.380,,6536,Aurora Steel,45.910,72.1,AP,0.632,0.389,,6552,Ash of Remembrance,68.865,48.1,AP,0.624,0.384,,6530,Mystic Spinal Fluid,68.865,48.1,AP,0.595,0.330,,6512,Dragon Fang,68.865,48.1,AP,0.522,0.306,,6502,Seed of Yggdrasil,10.100,327.8,AP,0.107,0.060,,6101,Magic Gem of Saber,3.214,"1,030.3",AP,0.021,,,,-1,Blue Gems,45.910,,-2,Red Gems,45.910,,-3,Gold Gems,22.955,,-6,XP,688.7
Large Snakes are in the Middle of a Dream,31.78,40,915,Lotto,8,,6.143,3.583,,6531,Mysterious Divine Wine,21.1,150.6,AP,0.941,0.490,,6533,Stake of Wailing Night,60.91,52.2,AP,0.523,0.312,,6206,Secret Gem of Assassin,21.71,146.4,AP,0.499,,,7106,Assassin Monument,21.32,149.1,AP,0.326,,,6106,Magic Gem of Assassin,23.71,134.0,AP,0.141,,,6006,Gem of Assassin,11.94,266.2,AP,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,296,"39,675",,,44.9,15.0,3.6,115.9,,6556,Ether Photon Converger,54.820,58.0,AP,0.797,0.481,,6538,Soundless Bell,54.820,58.0,AP,0.795,0.473,,6536,Aurora Steel,54.820,58.0,AP,0.787,0.483,,6552,Ash of Remembrance,82.230,38.6,AP,0.776,0.477,,6530,Mystic Spinal Fluid,82.230,38.6,AP,0.740,0.411,,6512,Dragon Fang,82.230,38.6,AP,0.649,0.381,,6502,Seed of Yggdrasil,12.060,263.5,AP,0.134,0.074,,6101,Magic Gem of Saber,3.837,828.2,AP,0.027,,,,-1,Blue Gems,54.820,,-2,Red Gems,54.820,,-3,Gold Gems,27.410,,-6,XP,822.3
Dragon Set Mass-Production Factory,30.93,40,"1,098",Lotto,8,,7.498,4.466,,6506,Dragon's Reverse Scale,26.37,117.3,AP,1.406,0.823,,6550,Scale of Fantasy,53.18,58.2,AP,0.791,0.491,,6207,Secret Gem of Berserker,25.87,119.6,AP,0.620,,,7107,Berserker Monument,26.48,116.8,AP,0.414,,,6107,Magic Gem of Berserker,33.97,91.1,AP,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,365,"44,961",,,49.5,16.5,3.3,102.3,,6556,Ether Photon Converger,60.463,51.2,AP,0.903,0.546,,6538,Soundless Bell,60.463,51.2,AP,0.901,0.536,,6536,Aurora Steel,60.463,51.2,AP,0.891,0.548,,6552,Ash of Remembrance,90.695,34.1,AP,0.880,0.541,,6530,Mystic Spinal Fluid,90.695,34.1,AP,0.839,0.465,,6512,Dragon Fang,90.695,34.1,AP,0.736,0.432,,6502,Seed of Yggdrasil,13.302,232.5,AP,0.151,0.084,,6101,Magic Gem of Saber,4.232,730.8,AP,0.030,,,,-1,Blue Gems,60.463,,-2,Red Gems,60.463,,-3,Gold Gems,30.232,,-6,XP,907.0
Foreign Land's Gourmet,30.1,40,"1,318",Lotto,8,,8.470,4.955,,6525,Scarab of Wisdom,31.02,97.0,AP,1.586,0.720,,6555,Vestige of Madness,94.77,31.8,AP,0.938,0.699,,6203,Secret Gem of Lancer,31.21,96.4,AP,0.764,,,7103,Lancer Monument,31.1,96.8,AP,0.494,,,6103,Magic Gem of Lancer,33.65,89.5,AP,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",,450,"50,429",,,54.0,18.0,3.0,91.2,,6556,Ether Photon Converger,65.997,45.6,AP,1.013,0.612,,6538,Soundless Bell,65.997,45.6,AP,1.011,0.601,,6536,Aurora Steel,65.997,45.6,AP,1.000,0.614,,6552,Ash of Remembrance,98.995,30.4,AP,0.987,0.607,,6530,Mystic Spinal Fluid,98.995,30.4,AP,0.941,0.522,,6512,Dragon Fang,98.995,30.4,AP,0.826,0.485,,6502,Seed of Yggdrasil,14.519,207.3,AP,0.170,0.094,,6101,Magic Gem of Saber,4.620,651.5,AP,0.034,,,,-1,Blue Gems,65.997,,-2,Red Gems,65.997,,-3,Gold Gems,32.998,,-6,XP,990.0
