Dancing Dragon Castle,,Dancing Dragon Castle,,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Nagasaki: Negotiation,30,30,165,Event,12,,0.091,0.029,,6522,Fool's Chain,10.39,288.7,AP,0.091,0.029,,6106,Magic Gem of Assassin,9.68,309.9,AP,0.031,,,7006,Assassin Piece,12.19,246.1,AP,0.032,,,6006,Gem of Assassin,10.04,298.8,AP,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Nagasaki: Interview,40,40,615,Event,12,,0.774,0.215,,6520,Tearstone of Blood,17.03,234.9,AP,0.463,0.128,,6502,Seed of Yggdrasil,35.35,113.2,AP,0.311,0.086,,6102,Magic Gem of Archer,18.06,221.5,AP,0.045,,,7102,Archer Monument,11.1,360.4,AP,0.067,,,6002,Gem of Archer,20.9,191.4,AP,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Nagasaki: Recipes,40,40,715,Event,12,,0.885,0.373,,6528,Primordial Lanugo,19.67,203.4,AP,0.511,0.151,,6538,Soundless Bell,32.33,123.7,AP,0.373,0.222,,6106,Magic Gem of Assassin,30.05,133.1,AP,0.071,,,7106,Assassin Monument,12.93,309.4,AP,0.078,,,6006,Gem of Assassin,24.41,163.9,AP,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Dragon Palace: Transport,35,35,265,Event,12,,0.261,0.077,,6514,Homunculus Baby,20.14,173.8,AP,0.261,0.077,,6103,Magic Gem of Lancer,12.29,284.8,AP,0.035,,,7003,Lancer Piece,15.7,222.9,AP,0.041,,,6003,Gem of Lancer,12.29,284.8,AP,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Dragon Palace: Rebuild,40,40,815,Event,12,,0.975,0.416,,6519,Warhorse's Young Horn,24.3,164.6,AP,0.523,0.155,,6543,Crown of Silvery Light,36.09,110.8,AP,0.452,0.261,,6101,Magic Gem of Saber,33.58,119.1,AP,0.093,,,7101,Saber Monument,16.56,241.5,AP,0.103,,,6001,Gem of Saber,17.15,233.2,AP,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Detached Residence,40,40,415,Event,12,,0.255,0.058,,6505,Void's Dust,35.23,113.5,AP,0.255,0.058,,6007,Gem of Berserker,29,137.9,AP,0.025,,,7007,Berserker Piece,23.04,173.6,AP,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Dumpling Store,40,40,515,Event,12,,0.584,0.255,,6507,Claw of Chaos,14.03,285.1,AP,0.327,0.096,,6536,Aurora Steel,22.54,177.5,AP,0.257,0.158,,6104,Magic Gem of Rider,12.11,330.3,AP,0.033,,,7004,Rider Piece,21.7,184.3,AP,0.050,,,6004,Gem of Rider,19.42,206.0,AP,0.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Nagasaki Bay Seafloor,40,40,915,Event,12,,1.275,0.693,,6540,Tsukumo Mirror,20.88,191.6,AP,0.799,0.395,,6550,Scale of Fantasy,41.22,97.0,AP,0.476,0.298,,6203,Secret Gem of Lancer,20.35,196.6,AP,0.187,,,7103,Lancer Monument,20.21,197.9,AP,0.121,,,6003,Gem of Lancer,31.65,126.4,AP,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Flood Gates,40,40,"1,098",Event,12,,1.533,0.696,,6518,Spirit Root,25.3,158.1,AP,0.954,0.264,,6555,Vestige of Madness,77.78,51.4,AP,0.579,0.432,,6205,Secret Gem of Caster,26.34,151.9,AP,0.163,,,7105,Caster Monument,25.32,158.0,AP,0.154,,,6005,Gem of Caster,34.12,117.2,AP,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Side Storehouse,40,40,"1,318",Event,12,,1.889,1.163,,6548,Flaming Oni Lantern Plant,30.61,130.7,AP,1.198,0.734,,6554,Obsidian Knife,95.25,42.0,AP,0.691,0.429,,6204,Secret Gem of Rider,31.42,127.3,AP,0.288,,,7104,Rider Monument,8.67,461.4,AP,0.053,,,6104,Magic Gem of Rider,21.66,184.7,AP,0.058,,,6004,Gem of Rider,11.51,347.5,AP,0.012,,,7105,Caster Monument,8.21,487.2,AP,0.050,,,7106,Assassin Monument,7.27,550.2,AP,0.044,,,7107,Berserker Monument,8.73,458.2,AP,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
