Faerie Knight Cup,,Chaldea Tam Lin Cup,Lotto Drop Bonus:,,,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,White ,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
First: Assassin Steps,30,30,Lotto 1,,,0.161,0.079,,6505,Void's Dust,16.7,179.6,AP,0.161,0.079,,6106,Magic Gem of Assassin,10.4,288.5,AP,0.066,,,7006,Assassin Piece,9.79,306.4,AP,0.052,,,6006,Gem of Assassin,12.5,240.0,AP,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",97,,,,23.6,5.9,,,,,,,,,,,,6536,Aurora Steel,,,,,,,6514,Homunculus Baby,,,,,,,6527,Deadly Poison Needle,,,,,,,6503,Proof of Hero,,,,,,,6533,Stake of Wailing Night,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
First: Whalebone,35,35,Lotto 1,,,0.214,0.105,,6510,Eternal Gear,16.9,207.1,AP,0.214,0.105,,6205,Secret Gem of Caster,5.51,635.2,AP,0.078,,,7005,Caster Piece,10.6,330.2,AP,0.047,,,6105,Magic Gem of Caster,4.33,808.3,AP,0.022,,,6005,Gem of Caster,16.9,207.1,AP,0.040,,,7004,Rider Piece,1.96,"1,785.7",AP,0.010,,,7006,Assassin Piece,2.36,"1,483.1",AP,0.011,,,7007,Berserker Piece,1.96,"1,785.7",AP,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",126,,,,31.2,8.1,,,,,,,,,,,,6536,Aurora Steel,,,,,,,6514,Homunculus Baby,,,,,,,6527,Deadly Poison Needle,,,,,,,6503,Proof of Hero,,,,,,,6533,Stake of Wailing Night,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
First: Beat the Ogre,40,40,Lotto 1,,,0.227,0.150,,6516,Evil Bone,48.9,81.8,AP,0.227,0.150,,6104,Magic Gem of Rider,13.4,298.5,AP,0.072,,,7104,Rider Monument,10.8,370.4,AP,0.131,,,6004,Gem of Rider,26.8,149.3,AP,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,35.7,10.0,,,,,,,,,,,,6536,Aurora Steel,,,,,,,6514,Homunculus Baby,,,,,,,6527,Deadly Poison Needle,,,,,,,6503,Proof of Hero,,,,,,,6533,Stake of Wailing Night,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
First: Towering Walls,40,40,Lotto 1,,,1.164,0.621,,6518,Spirit Root,20.1,199.0,AP,0.772,0.378,,6533,Stake of Wailing Night,57.4,69.7,AP,0.392,0.244,,6201,Secret Gem of Saber,3.72,"1,075.3",AP,0.064,,,7101,Saber Monument,19.2,208.3,AP,0.238,,,6101,Magic Gem of Saber,21.3,187.8,AP,0.117,,,6001,Gem of Saber,20.7,193.2,AP,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,35.9,11.9,,,,,,,,,,,,6536,Aurora Steel,,,,,,,6514,Homunculus Baby,,,,,,,6527,Deadly Poison Needle,,,,,,,6503,Proof of Hero,,,,,,,6533,Stake of Wailing Night,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
First: Tarantula Walk,40,40,Lotto 1,,,0.999,0.599,,6507,Claw of Chaos,23.5,170.2,AP,0.543,0.320,,6547,Ball of Rainbow Thread,39.7,100.8,AP,0.457,0.278,,6203,Secret Gem of Lancer,10,400.0,AP,0.184,,,7103,Lancer Monument,20.2,198.0,AP,0.241,,,6103,Magic Gem of Lancer,42.7,93.7,AP,0.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,45.2,15.1,,,,,,,,,,,,6536,Aurora Steel,,,,,,,6514,Homunculus Baby,,,,,,,6527,Deadly Poison Needle,,,,,,,6503,Proof of Hero,,,,,,,6533,Stake of Wailing Night,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
First: Egg Fight,40,40,Lotto 1,,,1.618,0.924,,6542,Egg of Truth,26.13,153.1,AP,1.053,0.615,,6530,Mystic Spinal Fluid,78.79,50.8,AP,0.565,0.309,,6104,Magic Gem of Rider,38,105.3,AP,0.205,,,7104,Rider Monument,13.5,296.3,AP,0.164,,,6004,Gem of Rider,21.3,187.8,AP,0.045,,,7101,Saber Monument,13.4,298.5,AP,0.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,45.1,15.0,,,,,,,,,,,,6536,Aurora Steel,,,,,,,6514,Homunculus Baby,,,,,,,6527,Deadly Poison Needle,,,,,,,6503,Proof of Hero,,,,,,,6533,Stake of Wailing Night,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
First: Mimicry Paradise,40,40,Lotto 1,,,1.582,0.881,,6539,Reactor Core of Dawn,36.85,108.5,AP,0.851,0.430,,6550,Scale of Fantasy,63.04,63.5,AP,0.731,0.451,,6202,Secret Gem of Archer,35.4,113.0,AP,0.632,,,7102,Archer Monument,32,125.0,AP,0.387,,,6102,Magic Gem of Archer,16.2,246.9,AP,0.081,,,6002,Gem of Archer,21,190.5,AP,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",338,,,,53.9,18.0,,,,,,,,,,,,6536,Aurora Steel,,,,,,,6514,Homunculus Baby,,,,,,,6527,Deadly Poison Needle,,,,,,,6503,Proof of Hero,,,,,,,6533,Stake of Wailing Night,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Second: Dangerous Tag,30,30,Lotto 2,,,0.245,0.145,,6522,Fool's Chain,28,107.1,AP,0.245,0.145,,6006,Gem of Assassin,17,176.5,AP,0.042,,,7006,Assassin Piece,11.5,260.9,AP,0.061,,,7004,Rider Piece,2.19,"1,369.9",AP,0.013,,,7007,Berserker Piece,1.64,"1,829.3",AP,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",97,,,,25.5,6.0,,,,,,,,,,,,6536,Aurora Steel,,,,,,,6514,Homunculus Baby,,,,,,,6527,Deadly Poison Needle,,,,,,,6503,Proof of Hero,,,,,,,6533,Stake of Wailing Night,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Second: Quiz! Fight and Guts,35,35,Lotto 2,,,0.535,0.268,,6511,Forbidden Page,30.8,113.6,AP,0.535,0.268,,6105,Magic Gem of Caster,9.83,356.1,AP,0.049,,,7005,Caster Piece,13.1,267.2,AP,0.058,,,6005,Gem of Caster,17.2,203.5,AP,0.040,,,7004,Rider Piece,1.91,"1,832.5",AP,0.010,,,7006,Assassin Piece,0.82,"4,268.3",AP,0.004,,,7007,Berserker Piece,1.36,"2,573.5",AP,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",126,,,,31.9,8.0,,,,,,,,,,,,6536,Aurora Steel,,,,,,,6514,Homunculus Baby,,,,,,,6527,Deadly Poison Needle,,,,,,,6503,Proof of Hero,,,,,,,6533,Stake of Wailing Night,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Second: Amazon's Bingo,40,40,Lotto 2,,,0.545,0.329,,6509,Serpent Jewel,21.4,186.9,AP,0.237,0.146,,6538,Soundless Bell,26.7,149.8,AP,0.308,0.183,,6107,Magic Gem of Berserker,12.7,315.0,AP,0.070,,,7107,Berserker Monument,8.79,455.1,AP,0.105,,,6007,Gem of Berserker,28.3,141.3,AP,0.050,,,7104,Rider Monument,1.3,"3,076.9",AP,0.016,,,7105,Caster Monument,2.93,"1,365.2",AP,0.036,,,7106,Assassin Monument,1.3,"3,076.9",AP,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,38.9,10.2,,,,,,,,,,,,6536,Aurora Steel,,,,,,,6514,Homunculus Baby,,,,,,,6527,Deadly Poison Needle,,,,,,,6503,Proof of Hero,,,,,,,6533,Stake of Wailing Night,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
