Faerie Knight Cup,,Chaldea Tam Lin Cup,Lotto Drop Bonus:,,10,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,White ,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
First: Assassin Steps,25.87,30,Lotto 1,10,,2.368,1.452,,6505,Void's Dust,16.7,154.9,AP,0.187,0.092,,6106,Magic Gem of Assassin,10.4,248.8,AP,0.076,,,7006,Assassin Piece,9.79,264.2,AP,0.060,,,6006,Gem of Assassin,12.5,207.0,AP,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",112,"23,840",,,23.6,5.9,7.3,187.9,,,,,,,,,,6536,Aurora Steel,27.533,94.0,AP,0.479,0.294,,6514,Homunculus Baby,27.533,94.0,AP,0.483,0.354,,6527,Deadly Poison Needle,41.300,62.6,AP,0.485,0.296,,6503,Proof of Hero,41.300,62.6,AP,0.299,0.146,,6533,Stake of Wailing Night,41.300,62.6,AP,0.436,0.271,,,,,,,,,,,,,,,,,,,-1,Blue Gems,27.533,,-2,Red Gems,27.533,,-3,Gold Gems,13.767,,-6,XP,413.0
First: Whalebone,29.38,35,Lotto 1,10,,2.870,1.756,,6510,Eternal Gear,16.9,173.8,AP,0.255,0.125,,6205,Secret Gem of Caster,5.51,533.2,AP,0.093,,,7005,Caster Piece,10.6,277.2,AP,0.056,,,6105,Magic Gem of Caster,4.33,678.5,AP,0.026,,,6005,Gem of Caster,16.9,173.8,AP,0.047,,,7004,Rider Piece,1.96,"1,499.0",AP,0.012,,,7006,Assassin Piece,2.36,"1,244.9",AP,0.013,,,7007,Berserker Piece,1.96,"1,499.0",AP,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",150,"28,565",,,31.2,8.1,5.3,156.8,,,,,,,,,,6536,Aurora Steel,37.467,78.4,AP,0.574,0.352,,6514,Homunculus Baby,37.467,78.4,AP,0.579,0.424,,6527,Deadly Poison Needle,56.200,52.3,AP,0.582,0.355,,6503,Proof of Hero,56.200,52.3,AP,0.358,0.175,,6533,Stake of Wailing Night,56.200,52.3,AP,0.522,0.325,,,,,,,,,,,,,,,,,,,-1,Blue Gems,37.467,,-2,Red Gems,37.467,,-3,Gold Gems,18.733,,-6,XP,562.0
First: Beat the Ogre,33.21,40,Lotto 1,10,,3.066,1.922,,6516,Evil Bone,48.9,67.9,AP,0.274,0.181,,6104,Magic Gem of Rider,13.4,247.8,AP,0.087,,,7104,Rider Monument,10.8,307.5,AP,0.158,,,6004,Gem of Rider,26.8,123.9,AP,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",193,"30,510",,,35.7,10.0,4.4,146.8,,,,,,,,,,6536,Aurora Steel,45.233,73.4,AP,0.613,0.376,,6514,Homunculus Baby,45.233,73.4,AP,0.618,0.452,,6527,Deadly Poison Needle,67.850,48.9,AP,0.621,0.379,,6503,Proof of Hero,67.850,48.9,AP,0.382,0.187,,6533,Stake of Wailing Night,67.850,48.9,AP,0.558,0.347,,,,,,,,,,,,,,,,,,,-1,Blue Gems,45.233,,-2,Red Gems,45.233,,-3,Gold Gems,22.617,,-6,XP,678.5
First: Towering Walls,32.25,40,Lotto 1,10,,4.725,2.818,,6518,Spirit Root,20.1,160.4,AP,0.957,0.469,,6533,Stake of Wailing Night,57.4,56.2,AP,0.486,0.302,,6201,Secret Gem of Saber,3.72,866.9,AP,0.080,,,7101,Saber Monument,19.2,168.0,AP,0.295,,,6101,Magic Gem of Saber,21.3,151.4,AP,0.145,,,6001,Gem of Saber,20.7,155.8,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",260,"35,863",,,35.9,11.9,3.9,124.9,,,,,,,,,,6536,Aurora Steel,51.633,62.5,AP,0.720,0.442,,6514,Homunculus Baby,51.633,62.5,AP,0.727,0.532,,6527,Deadly Poison Needle,77.450,41.6,AP,0.730,0.446,,6503,Proof of Hero,77.450,41.6,AP,0.449,0.220,,6533,Stake of Wailing Night,77.450,41.6,AP,0.656,0.408,,,,,,,,,,,,,,,,,,,-1,Blue Gems,51.633,,-2,Red Gems,51.633,,-3,Gold Gems,25.817,,-6,XP,774.5
First: Tarantula Walk,30.22,40,Lotto 1,10,,5.747,3.552,,6507,Claw of Chaos,23.5,128.6,AP,0.719,0.424,,6547,Ball of Rainbow Thread,39.7,76.1,AP,0.604,0.369,,6203,Secret Gem of Lancer,10,302.2,AP,0.244,,,7103,Lancer Monument,20.2,149.6,AP,0.320,,,6103,Magic Gem of Lancer,42.7,70.8,AP,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",311,"48,341",,,45.2,15.1,3.1,92.7,,,,,,,,,,6536,Aurora Steel,65.217,46.3,AP,0.971,0.595,,6514,Homunculus Baby,65.217,46.3,AP,0.980,0.717,,6527,Deadly Poison Needle,97.825,30.9,AP,0.984,0.601,,6503,Proof of Hero,97.825,30.9,AP,0.605,0.296,,6533,Stake of Wailing Night,97.825,30.9,AP,0.884,0.550,,,,,,,,,,,,,,,,,,,-1,Blue Gems,65.217,,-2,Red Gems,65.217,,-3,Gold Gems,32.608,,-6,XP,978.3
First: Egg Fight,30.24,40,Lotto 1,10,,6.549,3.972,,6542,Egg of Truth,26.13,115.7,AP,1.393,0.813,,6530,Mystic Spinal Fluid,78.79,38.4,AP,0.748,0.409,,6104,Magic Gem of Rider,38,79.6,AP,0.271,,,7104,Rider Monument,13.5,224.0,AP,0.217,,,6004,Gem of Rider,21.3,142.0,AP,0.059,,,7101,Saber Monument,13.4,225.7,AP,0.220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",373,"48,173",,,45.1,15.0,3.1,93.0,,,,,,,,,,6536,Aurora Steel,65.033,46.5,AP,0.968,0.593,,6514,Homunculus Baby,65.033,46.5,AP,0.976,0.714,,6527,Deadly Poison Needle,97.550,31.0,AP,0.981,0.599,,6503,Proof of Hero,97.550,31.0,AP,0.603,0.295,,6533,Stake of Wailing Night,97.550,31.0,AP,0.881,0.548,,,,,,,,,,,,,,,,,,,-1,Blue Gems,65.033,,-2,Red Gems,65.033,,-3,Gold Gems,32.517,,-6,XP,975.5
First: Mimicry Paradise,28.3,40,Lotto 1,10,,7.885,4.768,,6539,Reactor Core of Dawn,36.85,76.8,AP,1.203,0.607,,6550,Scale of Fantasy,63.04,44.9,AP,1.034,0.638,,6202,Secret Gem of Archer,35.4,79.9,AP,0.893,,,7102,Archer Monument,32,88.4,AP,0.547,,,6102,Magic Gem of Archer,16.2,174.7,AP,0.114,,,6002,Gem of Archer,21,134.8,AP,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",478,"61,712",,,53.9,18.0,2.6,72.6,,,,,,,,,,6536,Aurora Steel,77.967,36.3,AP,1.240,0.760,,6514,Homunculus Baby,77.967,36.3,AP,1.251,0.915,,6527,Deadly Poison Needle,116.950,24.2,AP,1.256,0.767,,6503,Proof of Hero,116.950,24.2,AP,0.773,0.378,,6533,Stake of Wailing Night,116.950,24.2,AP,1.128,0.702,,,,,,,,,,,,,,,,,,,-1,Blue Gems,77.967,,-2,Red Gems,77.967,,-3,Gold Gems,38.983,,-6,XP,1169.5
Second: Dangerous Tag,25.73,30,Lotto 2,10,,2.554,1.584,,6522,Fool's Chain,28,91.9,AP,0.286,0.170,,6006,Gem of Assassin,17,151.4,AP,0.049,,,7006,Assassin Piece,11.5,223.7,AP,0.071,,,7004,Rider Piece,2.19,"1,174.9",AP,0.016,,,7007,Berserker Piece,1.64,"1,568.9",AP,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",113,"24,782",,,25.5,6.0,7.0,180.8,,,,,,,,,,6536,Aurora Steel,28.467,90.4,AP,0.498,0.305,,6514,Homunculus Baby,28.467,90.4,AP,0.502,0.368,,6527,Deadly Poison Needle,42.700,60.3,AP,0.505,0.308,,6503,Proof of Hero,42.700,60.3,AP,0.310,0.152,,6533,Stake of Wailing Night,42.700,60.3,AP,0.453,0.282,,,,,,,,,,,,,,,,,,,-1,Blue Gems,28.467,,-2,Red Gems,28.467,,-3,Gold Gems,14.233,,-6,XP,427.0
Second: Quiz! Fight and Guts,29.41,35,Lotto 2,10,,3.232,1.937,,6511,Forbidden Page,30.8,95.5,AP,0.637,0.318,,6105,Magic Gem of Caster,9.83,299.2,AP,0.059,,,7005,Caster Piece,13.1,224.5,AP,0.069,,,6005,Gem of Caster,17.2,171.0,AP,0.048,,,7004,Rider Piece,1.91,"1,539.8",AP,0.012,,,7006,Assassin Piece,0.82,"3,586.6",AP,0.004,,,7007,Berserker Piece,1.36,"2,162.5",AP,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",150,"28,359",,,31.9,8.0,5.4,158.0,,,,,,,,,,6536,Aurora Steel,37.233,79.0,AP,0.570,0.349,,6514,Homunculus Baby,37.233,79.0,AP,0.575,0.421,,6527,Deadly Poison Needle,55.850,52.7,AP,0.577,0.353,,6503,Proof of Hero,55.850,52.7,AP,0.355,0.174,,6533,Stake of Wailing Night,55.850,52.7,AP,0.518,0.322,,,,,,,,,,,,,,,,,,,-1,Blue Gems,37.233,,-2,Red Gems,37.233,,-3,Gold Gems,18.617,,-6,XP,558.5
Second: Amazon's Bingo,32.95,40,Lotto 2,10,,3.584,2.221,,6509,Serpent Jewel,21.4,154.0,AP,0.288,0.177,,6538,Soundless Bell,26.7,123.4,AP,0.374,0.222,,6107,Magic Gem of Berserker,12.7,259.4,AP,0.085,,,7107,Berserker Monument,8.79,374.9,AP,0.128,,,6007,Gem of Berserker,28.3,116.4,AP,0.060,,,7104,Rider Monument,1.3,"2,534.6",AP,0.019,,,7105,Caster Monument,2.93,"1,124.6",AP,0.043,,,7106,Assassin Monument,1.3,"2,534.6",AP,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",194,"31,929",,,38.9,10.2,4.3,140.3,,,,,,,,,,6536,Aurora Steel,46.967,70.2,AP,0.641,0.393,,6514,Homunculus Baby,46.967,70.2,AP,0.647,0.474,,6527,Deadly Poison Needle,70.450,46.8,AP,0.650,0.397,,6503,Proof of Hero,70.450,46.8,AP,0.400,0.196,,6533,Stake of Wailing Night,70.450,46.8,AP,0.584,0.363,,,,,,,,,,,,,,,,,,,-1,Blue Gems,46.967,,-2,Red Gems,46.967,,-3,Gold Gems,23.483,,-6,XP,704.5
