Fate/Samurai Remnant Collab,,Illusory Waxing Moon,,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Asakusa: Pest Control,30,30,165,Event,12,,0.133,0.080,,6541,Arrowhead of Malice,3.9,769.2,AP,0.059,0.036,,6522,Fool's Chain,8.38,358.0,AP,0.073,0.044,,6106,Magic Gem of Assassin,8.19,366.3,AP,0.052,,,6006,Gem of Assassin,9.94,301.8,AP,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Asakusa: Night Parade of Fierce Animals,35,35,265,Event,12,,0.254,0.156,,6538,Soundless Bell,10.45,334.9,AP,0.138,0.082,,6508,Ghost Lantern,8.9,393.3,AP,0.116,0.074,,6105,Magic Gem of Caster,10.45,334.9,AP,0.053,,,6005,Gem of Caster,13.87,252.3,AP,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Asakusa: Demonic Banquet Under the Moonlight,40,40,415,Event,12,,0.337,0.188,,6515,Octuplet Crystal,17.15,233.2,AP,0.198,0.096,,6516,Evil Bone,29.97,133.5,AP,0.139,0.091,,6107,Magic Gem of Berserker,11.23,356.2,AP,0.062,,,6007,Gem of Berserker,18.66,214.4,AP,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Yoshiwara: Harlot's Pale of Vengeance,40,40,515,Event,12,,0.516,0.293,,6532,Refined Magatama,22.72,176.1,AP,0.250,0.130,,6552,Ashes of Forgetfulness,35.37,113.1,AP,0.265,0.162,,6203,Secret Gem of Lancer,6.19,646.2,AP,0.114,,,6103,Magic Gem of Lancer,5.37,744.9,AP,0.027,,,6003,Gem of Lancer,17.48,228.8,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Zojo-ji Temple: Disappeared Incantation Book,40,40,615,Event,12,,0.732,0.404,,6536,Aurora Steel,29.59,135.2,AP,0.333,0.205,,6511,Forbidden Page,26.15,153.0,AP,0.399,0.199,,6105,Magic Gem of Caster,41.07,97.4,AP,0.182,,,7105,Caster Monument,9.69,412.8,AP,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Akasaka: Military Forces of Turbulent Times,40,40,715,Event,12,,0.374,0.243,,6512,Dragon Fang,59.68,67.0,AP,0.374,0.243,,6104,Magic Gem of Rider,16.64,240.4,AP,0.090,,,7104,Rider Monument,11,363.6,AP,0.136,,,6004,Gem of Rider,29.14,137.3,AP,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Yokosuka: Demonic Serpent's Kitchen,40,40,765,Event,12,,0.519,0.318,,6509,Serpent Jewel,46.13,86.7,AP,0.519,0.318,,6201,Secret Gem of Saber,11.77,339.8,AP,0.204,,,7101,Saber Monument,14.91,268.3,AP,0.185,,,6101,Magic Gem of Saber,18.71,213.8,AP,0.103,,,6001,Gem of Saber,36.77,108.8,AP,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Torikoe Shrine: Pilgrim's Way for Drifting Souls,40,40,815,Event,12,,0.912,0.527,,6523,Lamp of Evil-Sealing,20.89,191.5,AP,0.498,0.285,,6549,Small Bell of Absolution,57.28,69.8,AP,0.414,0.242,,6106,Magic Gem of Assassin,24.95,160.3,AP,0.119,,,7106,Assassin Monument,14.86,269.2,AP,0.179,,,6006,Gem of Assassin,18.71,213.8,AP,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Nihonbashi: Bridge that One Mustn't Cross,40,40,865,Event,12,,1.111,0.667,,6528,Primordial Lanugo,25.26,158.4,AP,0.657,0.389,,6547,Ball of Rainbow Thread,39.77,100.6,AP,0.454,0.278,,6102,Magic Gem of Archer,32.85,121.8,AP,0.164,,,7102,Archer Monument,18.41,217.3,AP,0.223,,,6002,Gem of Archer,27.52,145.3,AP,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,900",223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Kanda: White Insurgents,40,40,915,Event,12,,1.049,0.686,,6507,Claw of Chaos,25.93,154.3,AP,0.599,0.356,,6514,Homunculus Baby,39.67,100.8,AP,0.450,0.330,,6207,Secret Gem of Berserker,21.78,183.7,AP,0.405,,,7107,Berserker Monument,21.15,189.1,AP,0.254,,,6107,Magic Gem of Berserker,23.49,170.3,AP,0.129,,,6007,Gem of Berserker,22.03,181.6,AP,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
