GUDAGUDA New Yamataikoku,,GUDAGUDA Shin Yamataikoku,,Lotto Drop Bonus:,,4,,Apple AP Buyback?:,X,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Tea,Eff,,,Avg Lot,# Lot,Tea/Run,,Avg Lot,# Lot,Tea/Run,,Avg Lot,# Lot,Tea/Run,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,,ID,Material,Drop%
Wabi: Rogues Extermination,40,40,715,Event,4,,1.754,1.014,,6516,Evil Bone,75.9,52.7,AP,0.355,0.232,,7007,Berserker Piece,20.79,192.4,AP,0.101,,,6007,Gem of Berserker,52.53,76.1,AP,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,"3,760",,,,39.7,13.2,92.6,,34.0,11.3,79.4,,,,,,6512,Dragon Fang,8.847,452.1,AP,0.056,0.033,,6522,Fool's Chain,8.847,452.1,AP,0.058,0.035,,6530,Mystic Spinal Fluid,8.847,452.1,AP,0.063,0.035,,6502,Seed of Yggdrasil,8.847,452.1,AP,0.078,0.043,,6508,Ghost Lantern,8.847,452.1,AP,0.101,0.060,,6501,Phoenix Feather,8.847,452.1,AP,0.116,0.064,,6524,Great Knight Medal,8.847,452.1,AP,0.120,0.069,,6532,Refined Magatama,8.847,452.1,AP,0.098,0.052,,6517,Heart of the Foreign God,7.078,565.1,AP,0.268,0.122,,6521,Black Beast Grease,7.078,565.1,AP,0.164,0.100,,6548,Flaming Oni Lantern Plant,7.078,565.1,AP,0.277,0.170,,,,-6,XP,67.2
Wabi: Investigating Teahouse,40,40,715,Event,4,,1.794,1.016,,6512,Dragon Fang,61.55,65.0,AP,0.386,0.229,,7005,Caster Piece,23.05,173.5,AP,0.088,,,6005,Gem of Caster,61.22,65.3,AP,0.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,"3,785",,,,,,,,39.9,13.3,93.2,,34.3,11.4,79.9,,6512,Dragon Fang,8.905,449.2,AP,0.056,0.033,,6522,Fool's Chain,8.905,449.2,AP,0.059,0.035,,6530,Mystic Spinal Fluid,8.905,449.2,AP,0.064,0.035,,6502,Seed of Yggdrasil,8.905,449.2,AP,0.078,0.043,,6508,Ghost Lantern,8.905,449.2,AP,0.102,0.060,,6501,Phoenix Feather,8.905,449.2,AP,0.117,0.065,,6524,Great Knight Medal,8.905,449.2,AP,0.121,0.069,,6532,Refined Magatama,8.905,449.2,AP,0.098,0.052,,6517,Heart of the Foreign God,7.124,561.5,AP,0.270,0.123,,6521,Black Beast Grease,7.124,561.5,AP,0.165,0.101,,6548,Flaming Oni Lantern Plant,7.124,561.5,AP,0.279,0.171,,,,-6,XP,67.7
Wabi: Raid! Chabana Bandits,40,40,715,Event,4,,1.750,0.954,,6503,Proof of Hero,75.74,52.8,AP,0.354,0.175,,7006,Assassin Piece,20.14,198.6,AP,0.080,,,6006,Gem of Assassin,50.61,79.0,AP,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,"3,751",,,,33.8,11.3,78.9,,,,,,39.7,13.2,92.7,,6512,Dragon Fang,8.826,453.2,AP,0.055,0.033,,6522,Fool's Chain,8.826,453.2,AP,0.058,0.035,,6530,Mystic Spinal Fluid,8.826,453.2,AP,0.063,0.035,,6502,Seed of Yggdrasil,8.826,453.2,AP,0.078,0.043,,6508,Ghost Lantern,8.826,453.2,AP,0.101,0.059,,6501,Phoenix Feather,8.826,453.2,AP,0.116,0.064,,6524,Great Knight Medal,8.826,453.2,AP,0.120,0.069,,6532,Refined Magatama,8.826,453.2,AP,0.097,0.052,,6517,Heart of the Foreign God,7.060,566.5,AP,0.267,0.122,,6521,Black Beast Grease,7.060,566.5,AP,0.164,0.100,,6548,Flaming Oni Lantern Plant,7.060,566.5,AP,0.276,0.169,,,,-6,XP,67.1
Wasteland: Tea Ceremony?,40,40,815,Event,4,,3.518,2.006,,6547,Ball of Rainbow Thread,34.83,114.8,AP,0.399,0.243,,6541,Arrowhead of Malice,38.09,105.0,AP,0.434,0.263,,7103,Lancer Monument,14.86,269.2,AP,0.178,,,6103,Magic Gem of Lancer,27.53,145.3,AP,0.138,,,6003,Gem of Lancer,28.03,142.7,AP,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,"7,217",,,,36.6,12.2,85.4,,32.8,10.9,76.4,,18.0,6.0,42.1,,6512,Dragon Fang,16.981,235.6,AP,0.107,0.063,,6522,Fool's Chain,16.981,235.6,AP,0.112,0.067,,6530,Mystic Spinal Fluid,16.981,235.6,AP,0.122,0.068,,6502,Seed of Yggdrasil,16.981,235.6,AP,0.149,0.083,,6508,Ghost Lantern,16.981,235.6,AP,0.194,0.114,,6501,Phoenix Feather,16.981,235.6,AP,0.222,0.123,,6524,Great Knight Medal,16.981,235.6,AP,0.231,0.132,,6532,Refined Magatama,16.981,235.6,AP,0.187,0.099,,6517,Heart of the Foreign God,13.585,294.4,AP,0.515,0.234,,6521,Black Beast Grease,13.585,294.4,AP,0.315,0.192,,6548,Flaming Oni Lantern Plant,13.585,294.4,AP,0.532,0.326,,,,-6,XP,129.1
Wasteland: Lost One's Guide,40,40,815,Event,4,,3.635,1.957,,6520,Tearstone of Blood,23.5,170.2,AP,0.639,0.320,,6509,Serpent Jewel,31.34,127.6,AP,0.353,0.160,,7102,Archer Monument,14.59,274.2,AP,0.177,,,6102,Magic Gem of Archer,43,93.0,AP,0.215,,,6002,Gem of Archer,28.71,139.3,AP,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,"7,105",,,,17.9,6.0,41.7,,36.0,12.0,84.0,,31.8,10.6,74.1,,6512,Dragon Fang,16.719,239.3,AP,0.105,0.062,,6522,Fool's Chain,16.719,239.3,AP,0.110,0.066,,6530,Mystic Spinal Fluid,16.719,239.3,AP,0.120,0.067,,6502,Seed of Yggdrasil,16.719,239.3,AP,0.147,0.082,,6508,Ghost Lantern,16.719,239.3,AP,0.191,0.113,,6501,Phoenix Feather,16.719,239.3,AP,0.219,0.121,,6524,Great Knight Medal,16.719,239.3,AP,0.227,0.130,,6532,Refined Magatama,16.719,239.3,AP,0.184,0.098,,6517,Heart of the Foreign God,13.375,299.1,AP,0.507,0.230,,6521,Black Beast Grease,13.375,299.1,AP,0.310,0.189,,6548,Flaming Oni Lantern Plant,13.375,299.1,AP,0.524,0.321,,,,-6,XP,127.1
Dark Sekigahara (East),40,40,815,Event,4,,3.546,2.027,,6545,Divine Leyline Spiritron,37.95,105.4,AP,0.437,0.267,,6536,Aurora Steel,34.27,116.7,AP,0.391,0.241,,7107,Berserker Monument,16.1,248.4,AP,0.194,,,6107,Magic Gem of Berserker,26.52,150.8,AP,0.146,,,6007,Gem of Berserker,27.32,146.4,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,"7,306",,,,32.5,10.8,75.8,,18.6,6.2,43.4,,36.3,12.1,84.8,,6512,Dragon Fang,17.190,232.7,AP,0.108,0.064,,6522,Fool's Chain,17.190,232.7,AP,0.113,0.068,,6530,Mystic Spinal Fluid,17.190,232.7,AP,0.123,0.068,,6502,Seed of Yggdrasil,17.190,232.7,AP,0.151,0.084,,6508,Ghost Lantern,17.190,232.7,AP,0.196,0.116,,6501,Phoenix Feather,17.190,232.7,AP,0.225,0.125,,6524,Great Knight Medal,17.190,232.7,AP,0.233,0.134,,6532,Refined Magatama,17.190,232.7,AP,0.190,0.101,,6517,Heart of the Foreign God,13.752,290.9,AP,0.521,0.237,,6521,Black Beast Grease,13.752,290.9,AP,0.319,0.194,,6548,Flaming Oni Lantern Plant,13.752,290.9,AP,0.538,0.330,,,,-6,XP,130.6
Dark Sekigahara (West),40,40,915,Event,4,,4.498,2.479,,6518,Spirit Root,20.86,191.8,AP,0.786,0.388,,6538,Soundless Bell,40.56,98.6,AP,0.468,0.278,,7101,Saber Monument,20.71,193.1,AP,0.257,,,6101,Magic Gem of Saber,44.94,89.0,AP,0.248,,,6001,Gem of Saber,28.07,142.5,AP,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,"8,718",,,,39.4,13.1,91.9,,34.6,11.5,80.6,,24.2,8.1,56.6,,6512,Dragon Fang,20.514,195.0,AP,0.129,0.076,,6522,Fool's Chain,20.514,195.0,AP,0.135,0.081,,6530,Mystic Spinal Fluid,20.514,195.0,AP,0.147,0.082,,6502,Seed of Yggdrasil,20.514,195.0,AP,0.181,0.100,,6508,Ghost Lantern,20.514,195.0,AP,0.234,0.138,,6501,Phoenix Feather,20.514,195.0,AP,0.269,0.149,,6524,Great Knight Medal,20.514,195.0,AP,0.278,0.159,,6532,Refined Magatama,20.514,195.0,AP,0.226,0.120,,6517,Heart of the Foreign God,16.411,243.7,AP,0.622,0.283,,6521,Black Beast Grease,16.411,243.7,AP,0.380,0.232,,6548,Flaming Oni Lantern Plant,16.411,243.7,AP,0.642,0.393,,,,-6,XP,155.9
Dark Sawayama Castle,40,40,915,Event,4,,4.747,2.622,,6529,Cursed Beast Gallstone,21.45,186.5,AP,0.813,0.426,,6502,Seed of Yggdrasil,50.43,79.3,AP,0.444,0.246,,6204,Secret Gem of Rider,25.71,155.6,AP,0.472,,,7104,Rider Monument,20.05,199.5,AP,0.247,,,6004,Gem of Rider,33.86,118.1,AP,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,"9,380",,,,26.9,9.0,62.9,,40.3,13.4,94.0,,35.8,11.9,83.6,,6512,Dragon Fang,22.069,181.2,AP,0.138,0.082,,6522,Fool's Chain,22.069,181.2,AP,0.145,0.087,,6530,Mystic Spinal Fluid,22.069,181.2,AP,0.158,0.088,,6502,Seed of Yggdrasil,22.069,181.2,AP,0.194,0.108,,6508,Ghost Lantern,22.069,181.2,AP,0.252,0.149,,6501,Phoenix Feather,22.069,181.2,AP,0.289,0.160,,6524,Great Knight Medal,22.069,181.2,AP,0.300,0.171,,6532,Refined Magatama,22.069,181.2,AP,0.243,0.129,,6517,Heart of the Foreign God,17.656,226.6,AP,0.669,0.304,,6521,Black Beast Grease,17.656,226.6,AP,0.409,0.249,,6548,Flaming Oni Lantern Plant,17.656,226.6,AP,0.691,0.423,,,,-6,XP,167.7
Ancestral Cavern,40,40,915,Event,4,,4.408,2.449,,6531,Mysterious Divine Wine,21.42,186.7,AP,0.759,0.397,,6533,Stake of Wailing Night,60.76,65.8,AP,0.415,0.244,,6205,Secret Gem of Caster,25.84,154.8,AP,0.320,,,7105,Caster Monument,20.95,190.9,AP,0.255,,,6105,Magic Gem of Caster,17.29,231.3,AP,0.077,,,6005,Gem of Caster,17.45,229.2,AP,0.035,,,,,,,,,,,,,,,,,,,"9,400",235,"8,694",,,,34.7,11.6,80.9,,24.1,8.0,56.3,,39.3,13.1,91.6,,6512,Dragon Fang,20.456,195.5,AP,0.128,0.076,,6522,Fool's Chain,20.456,195.5,AP,0.135,0.080,,6530,Mystic Spinal Fluid,20.456,195.5,AP,0.147,0.081,,6502,Seed of Yggdrasil,20.456,195.5,AP,0.180,0.100,,6508,Ghost Lantern,20.456,195.5,AP,0.234,0.138,,6501,Phoenix Feather,20.456,195.5,AP,0.268,0.148,,6524,Great Knight Medal,20.456,195.5,AP,0.278,0.159,,6532,Refined Magatama,20.456,195.5,AP,0.226,0.120,,6517,Heart of the Foreign God,16.365,244.4,AP,0.620,0.282,,6521,Black Beast Grease,16.365,244.4,AP,0.379,0.231,,6548,Flaming Oni Lantern Plant,16.365,244.4,AP,0.641,0.392,,,,-6,XP,155.5
Isolated Ravine Island,40,40,"1,098",Event,4,,5.675,3.228,,6506,Dragon's Reverse Scale,25.12,159.2,AP,1.036,0.605,,6534,Mystic Gunpowder,79.03,50.6,AP,0.541,0.332,,6203,Secret Gem of Lancer,31.83,125.7,AP,0.585,,,7103,Lancer Monument,26.51,150.9,AP,0.317,,,6103,Magic Gem of Lancer,15.58,256.7,AP,0.078,,,6003,Gem of Lancer,17.84,224.2,AP,0.037,,,,,,,,,,,,,,,,,,,"11,280",282,"11,015",,,,35.9,12.0,83.9,,36.1,12.0,84.3,,36.1,12.0,84.1,,6512,Dragon Fang,25.919,154.3,AP,0.163,0.096,,6522,Fool's Chain,25.919,154.3,AP,0.170,0.102,,6530,Mystic Spinal Fluid,25.919,154.3,AP,0.186,0.103,,6502,Seed of Yggdrasil,25.919,154.3,AP,0.228,0.127,,6508,Ghost Lantern,25.919,154.3,AP,0.296,0.175,,6501,Phoenix Feather,25.919,154.3,AP,0.340,0.188,,6524,Great Knight Medal,25.919,154.3,AP,0.352,0.201,,6532,Refined Magatama,25.919,154.3,AP,0.286,0.152,,6517,Heart of the Foreign God,20.735,192.9,AP,0.785,0.357,,6521,Black Beast Grease,20.735,192.9,AP,0.481,0.293,,6548,Flaming Oni Lantern Plant,20.735,192.9,AP,0.812,0.497,,,,-6,XP,197.0
