GUDAGUDA New Yamatai,,GUDAGUDA Shin Yamataikoku,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Rogues Extermination,40,40,Event,12,,0.349,0.230,,6516,Evil Bone,75.1,53.3,AP,0.349,0.230,,7007,Berserker Piece,20.7,193.2,AP,0.100,,,6007,Gem of Berserker,52.5,76.2,AP,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Investigating the Teahouse,40,40,Event,12,,0.394,0.255,,6512,Dragon Fang,62.8,63.7,AP,0.394,0.255,,7005,Caster Piece,23,173.9,AP,0.089,,,6005,Gem of Caster,61.2,65.4,AP,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Raud! Chabana Bandits,40,40,Event,12,,0.356,0.174,,6503,Proof of Hero,76.2,52.5,AP,0.356,0.174,,7006,Assassin Piece,20.1,199.0,AP,0.079,,,6006,Gem of Assassin,50.6,79.1,AP,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Where is the Underworld Tea Ceremony?,40,40,Event,12,,0.821,0.499,,6547,Ball of Rainbow Thread,34,117.6,AP,0.391,0.238,,6541,Arrowhead of Malice,37.7,106.1,AP,0.430,0.260,,7103,Lancer Monument,14.8,270.3,AP,0.177,,,6103,Magic Gem of Lancer,27.5,145.5,AP,0.138,,,6003,Gem of Lancer,28,142.9,AP,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Lost One's Guide,40,40,Event,12,,1.003,0.541,,6520,Tearstone of Blood,23.3,171.7,AP,0.658,0.329,,6509,Serpent Jewel,31.2,128.2,AP,0.346,0.213,,7102,Archer Monument,14.5,275.9,AP,0.175,,,6102,Magic Gem of Archer,43,93.0,AP,0.215,,,6002,Gem of Archer,28.7,139.4,AP,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Dark Sekigahara (East),40,40,Event,12,,0.825,0.498,,6545,Divine Leyline Spiritron,38.1,105.0,AP,0.439,0.262,,6536,Aurora Steel,34.3,116.6,AP,0.386,0.237,,7107,Berserker Monument,16,250.0,AP,0.192,,,6107,Magic Gem of Berserker,26.5,150.9,AP,0.146,,,6007,Gem of Berserker,27.3,146.5,AP,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Dark Sekigahara (West),40,40,Event,12,,1.271,0.671,,6518,Spirit Root,20.9,191.4,AP,0.803,0.393,,6538,Soundless Bell,40.6,98.5,AP,0.469,0.278,,7101,Saber Monument,20.7,193.2,AP,0.257,,,6101,Magic Gem of Saber,44.9,89.1,AP,0.247,,,6001,Gem of Saber,28,142.9,AP,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Dark Sawayama Castle,40,40,Event,12,,1.294,0.660,,6529,Cursed Beast Gallstone,21.6,185.2,AP,0.848,0.417,,6502,Seed of Yggdrasil,50.8,78.7,AP,0.446,0.244,,6204,Secret Gem of Rider,25.7,155.6,AP,0.470,,,7104,Rider Monument,20,200.0,AP,0.243,,,6004,Gem of Rider,33.8,118.3,AP,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Ancestral Cavern,40,40,Event,12,,1.188,0.639,,6531,Mysterious Divine Wine,21.7,184.3,AP,0.765,0.376,,6533,Stake of Wailing Night,62,64.5,AP,0.423,0.263,,6205,Secret Gem of Caster,25.8,155.0,AP,0.319,,,7105,Caster Monument,20.9,191.4,AP,0.255,,,6105,Magic Gem of Caster,17.2,232.6,AP,0.076,,,6005,Gem of Caster,17.4,229.9,AP,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Isolated Ravine Island,40,40,Event,12,,1.588,0.946,,6506,Dragon's Reverse Scale,25.5,156.9,AP,1.049,0.614,,6534,Mystic Gunpowder,78.7,50.8,AP,0.539,0.332,,6203,Secret Gem of Lancer,31.8,125.8,AP,0.585,,,7103,Lancer Monument,26.5,150.9,AP,0.317,,,6103,Magic Gem of Lancer,15.5,258.1,AP,0.078,,,6003,Gem of Lancer,17.8,224.7,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
