Grand Duel Assassin,,Grand Duel Assassin,,Lotto Drop Bonus:,,5,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Assassin I,40,40,"3,164",Event,5,,2.019,0.578,,6548,Flaming Oni Lantern Plant,9.4,425.5,AP,0.367,0.116,,6531,Mysterious Divine Wine,8.72,458.7,AP,0.309,0.065,,6523,Lamp of Evil-Sealing,7.38,542.0,AP,0.074,0.044,,6521,Black Beast Grease,6.04,662.3,AP,0.140,0.028,,6547,Ball of Rainbow Thread,18.79,212.9,AP,0.215,0.045,,6543,Crown of Silvery Light,13.42,298.1,AP,0.104,0.024,,6508,Ghost Lantern,11.41,350.6,AP,0.130,0.027,,6502,Seed of Yggdrasil,16.11,248.3,AP,0.113,0.026,,6554,Obsidian Blade,17.45,229.2,AP,0.126,0.077,,6534,Mystic Gunpowder,30.87,129.6,AP,0.211,0.041,,6527,Deadly Poison Needle,19.46,205.5,AP,0.148,0.031,,6516,Evil Bone,17.45,229.2,AP,0.082,0.053,,6206,Secret Gem of Assassin,36.91,108.4,AP,0.675,,,7106,Assassin Monument,75.84,52.7,AP,0.921,,,7006,Assassin Piece,24.16,165.6,AP,0.097,,,6106,Magic Gem of Assassin,46.98,85.1,AP,0.222,,,6006,Gem of Assassin,32.21,124.2,AP,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,890","2,082,013",52848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Assassin II,40,40,"3,385",Event,5,,1.968,0.588,,6548,Flaming Oni Lantern Plant,9.59,417.1,AP,0.374,0.118,,6531,Mysterious Divine Wine,4.11,973.2,AP,0.146,0.031,,6523,Lamp of Evil-Sealing,4.11,973.2,AP,0.041,0.024,,6521,Black Beast Grease,5.48,729.9,AP,0.127,0.025,,6547,Ball of Rainbow Thread,19.18,208.6,AP,0.219,0.046,,6543,Crown of Silvery Light,18.49,216.3,AP,0.143,0.033,,6508,Ghost Lantern,16.44,243.3,AP,0.188,0.040,,6502,Seed of Yggdrasil,23.29,171.7,AP,0.164,0.037,,6554,Obsidian Blade,26.03,153.7,AP,0.188,0.116,,6534,Mystic Gunpowder,17.12,233.6,AP,0.117,0.023,,6527,Deadly Poison Needle,22.6,177.0,AP,0.172,0.036,,6516,Evil Bone,19.18,208.6,AP,0.090,0.059,,6206,Secret Gem of Assassin,44.52,89.8,AP,0.814,,,7106,Assassin Monument,72.6,55.1,AP,0.882,,,7006,Assassin Piece,27.4,146.0,AP,0.110,,,6106,Magic Gem of Assassin,37.67,106.2,AP,0.178,,,6006,Gem of Assassin,35.62,112.3,AP,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,100","2,421,404",61388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Assassin III,40,40,"3,622",Event,5,,2.597,0.777,,6548,Flaming Oni Lantern Plant,10.14,394.5,AP,0.395,0.125,,6531,Mysterious Divine Wine,12.84,311.5,AP,0.455,0.096,,6523,Lamp of Evil-Sealing,13.51,296.1,AP,0.135,0.080,,6521,Black Beast Grease,8.11,493.2,AP,0.188,0.038,,6547,Ball of Rainbow Thread,22.3,179.4,AP,0.255,0.054,,6543,Crown of Silvery Light,18.92,211.4,AP,0.147,0.034,,6508,Ghost Lantern,16.89,236.8,AP,0.193,0.041,,6502,Seed of Yggdrasil,19.59,204.2,AP,0.138,0.032,,6554,Obsidian Blade,28.38,140.9,AP,0.205,0.126,,6534,Mystic Gunpowder,29.05,137.7,AP,0.199,0.038,,6527,Deadly Poison Needle,21.62,185.0,AP,0.164,0.035,,6516,Evil Bone,26.35,151.8,AP,0.123,0.081,,6206,Secret Gem of Assassin,39.86,100.4,AP,0.728,,,7106,Assassin Monument,77.7,51.5,AP,0.944,,,7006,Assassin Piece,22.3,179.4,AP,0.089,,,6106,Magic Gem of Assassin,48.65,82.2,AP,0.230,,,6006,Gem of Assassin,36.49,109.6,AP,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,470","2,714,392",68772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Assassin IV,40,40,"3,876",Event,5,,2.384,0.702,,6548,Flaming Oni Lantern Plant,8.28,483.1,AP,0.323,0.102,,6531,Mysterious Divine Wine,5.73,698.1,AP,0.203,0.043,,6523,Lamp of Evil-Sealing,8.92,448.4,AP,0.089,0.053,,6521,Black Beast Grease,11.46,349.0,AP,0.265,0.053,,6547,Ball of Rainbow Thread,21.02,190.3,AP,0.240,0.051,,6543,Crown of Silvery Light,22.29,179.5,AP,0.173,0.040,,6508,Ghost Lantern,21.02,190.3,AP,0.240,0.051,,6502,Seed of Yggdrasil,19.75,202.5,AP,0.139,0.032,,6554,Obsidian Blade,23.57,169.7,AP,0.170,0.105,,6534,Mystic Gunpowder,30.57,130.8,AP,0.209,0.040,,6527,Deadly Poison Needle,24.84,161.0,AP,0.189,0.040,,6516,Evil Bone,30.57,130.8,AP,0.143,0.094,,6206,Secret Gem of Assassin,45.86,87.2,AP,0.838,,,7106,Assassin Monument,78.34,51.1,AP,0.952,,,7006,Assassin Piece,21.66,184.7,AP,0.087,,,6106,Magic Gem of Assassin,66.24,60.4,AP,0.313,,,6006,Gem of Assassin,46.5,86.0,AP,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,010","3,037,389",76910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Assassin V,40,40,"4,147",Event,5,,2.747,0.828,,6548,Flaming Oni Lantern Plant,9.19,435.3,AP,0.358,0.113,,6531,Mysterious Divine Wine,6.47,618.2,AP,0.229,0.048,,6523,Lamp of Evil-Sealing,12.94,309.1,AP,0.129,0.077,,6521,Black Beast Grease,11.06,361.7,AP,0.256,0.051,,6547,Ball of Rainbow Thread,24.84,161.0,AP,0.284,0.060,,6543,Crown of Silvery Light,25.68,155.8,AP,0.199,0.046,,6508,Ghost Lantern,23.59,169.6,AP,0.270,0.057,,6502,Seed of Yggdrasil,25.68,155.8,AP,0.180,0.041,,6554,Obsidian Blade,32.15,124.4,AP,0.232,0.143,,6534,Mystic Gunpowder,31.73,126.1,AP,0.217,0.042,,6527,Deadly Poison Needle,31.32,127.7,AP,0.238,0.050,,6516,Evil Bone,32.78,122.0,AP,0.153,0.100,,6206,Secret Gem of Assassin,53.03,75.4,AP,0.969,,,7106,Assassin Monument,77.66,51.5,AP,0.944,,,7006,Assassin Piece,22.34,179.1,AP,0.089,,,6106,Magic Gem of Assassin,59.29,67.5,AP,0.280,,,6006,Gem of Assassin,44.05,90.8,AP,0.080,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,720","3,345,491",84680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Assassin VI,40,40,"4,438",Event,5,,3.054,0.911,,6548,Flaming Oni Lantern Plant,9.85,406.1,AP,0.384,0.121,,6531,Mysterious Divine Wine,10.02,399.2,AP,0.355,0.075,,6523,Lamp of Evil-Sealing,12.3,325.2,AP,0.123,0.073,,6521,Black Beast Grease,12.62,317.0,AP,0.292,0.058,,6547,Ball of Rainbow Thread,27.93,143.2,AP,0.319,0.067,,6543,Crown of Silvery Light,23.53,170.0,AP,0.182,0.042,,6508,Ghost Lantern,22.72,176.1,AP,0.260,0.055,,6502,Seed of Yggdrasil,29.15,137.2,AP,0.205,0.047,,6554,Obsidian Blade,39.33,101.7,AP,0.284,0.175,,6534,Mystic Gunpowder,37.13,107.7,AP,0.254,0.049,,6527,Deadly Poison Needle,32.33,123.7,AP,0.246,0.052,,6516,Evil Bone,31.92,125.3,AP,0.149,0.098,,6206,Secret Gem of Assassin,55.13,72.6,AP,1.008,,,7106,Assassin Monument,77.2,51.8,AP,0.938,,,7006,Assassin Piece,22.8,175.4,AP,0.091,,,6106,Magic Gem of Assassin,65.07,61.5,AP,0.307,,,6006,Gem of Assassin,46.66,85.7,AP,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,630","3,650,879",92388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Assassin VII,40,40,"4,748",Event,5,,3.307,0.987,,6548,Flaming Oni Lantern Plant,11.43,350.0,AP,0.446,0.141,,6531,Mysterious Divine Wine,10.58,378.1,AP,0.375,0.079,,6523,Lamp of Evil-Sealing,14.21,281.5,AP,0.142,0.084,,6521,Black Beast Grease,12.63,316.7,AP,0.292,0.059,,6547,Ball of Rainbow Thread,30.72,130.2,AP,0.351,0.074,,6543,Crown of Silvery Light,27.25,146.8,AP,0.211,0.048,,6508,Ghost Lantern,25.87,154.6,AP,0.296,0.062,,6502,Seed of Yggdrasil,29.17,137.1,AP,0.205,0.047,,6554,Obsidian Blade,39.45,101.4,AP,0.285,0.175,,6534,Mystic Gunpowder,38.16,104.8,AP,0.261,0.050,,6527,Deadly Poison Needle,36.19,110.5,AP,0.275,0.058,,6516,Evil Bone,35.75,111.9,AP,0.167,0.110,,6206,Secret Gem of Assassin,56.53,70.8,AP,1.033,,,7106,Assassin Monument,77.38,51.7,AP,0.940,,,7006,Assassin Piece,22.62,176.8,AP,0.090,,,6106,Magic Gem of Assassin,67.18,59.5,AP,0.317,,,6006,Gem of Assassin,44.9,89.1,AP,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,730","3,959,959",100192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
