Grand Duel Berserker,,Grand Duel Berserker,,Lotto Drop Bonus:,,5,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Berserker I,40,40,"3,164",Event,5,,2.087,0.401,,6563,Reliquary of Departed Souls,0.43,"9,302.3",AP,0.009,0.002,,6544,Fragment of a Twinkling Star,6.87,582.2,AP,0.253,0.049,,6539,Reactor Core of Dawn,7.73,517.5,AP,0.178,0.034,,6529,Cursed Beast Gallstone,8.15,490.8,AP,0.312,0.060,,6507,Claw of Chaos,10.3,388.3,AP,0.239,0.046,,6545,Divine Leyline Spiritron,14.16,282.5,AP,0.164,0.031,,6537,Giant's Ring,16.74,238.9,AP,0.188,0.036,,6526,Shell of Reminiscence,11.59,345.1,AP,0.090,0.017,,6515,Octuplet Crystal,13.73,291.3,AP,0.158,0.030,,6552,Ash of Remembrance,17.17,233.0,AP,0.129,0.025,,6534,Mystic Gunpowder,18.88,211.9,AP,0.129,0.025,,6530,Mystic Spinal Fluid,17.6,227.3,AP,0.126,0.024,,6505,Void's Dust,15.45,258.9,AP,0.112,0.021,,6207,Secret Gem of Berserker,35.19,113.7,AP,0.622,,,7107,Berserker Monument,75.11,53.3,AP,0.907,,,7007,Berserker Piece,24.89,160.7,AP,0.105,,,6107,Magic Gem of Berserker,43.35,92.3,AP,0.238,,,6007,Gem of Berserker,40.34,99.2,AP,0.070,,,,,,,,,,,,,,,,,,,"31,890","2,096,609",53212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Berserker II,40,40,"3,385",Event,5,,2.351,0.452,,6563,Reliquary of Departed Souls,1.05,"3,809.5",AP,0.023,0.004,,6544,Fragment of a Twinkling Star,7.33,545.7,AP,0.270,0.052,,6539,Reactor Core of Dawn,11.52,347.2,AP,0.266,0.051,,6529,Cursed Beast Gallstone,5.24,763.4,AP,0.200,0.039,,6507,Claw of Chaos,7.85,509.6,AP,0.182,0.035,,6545,Divine Leyline Spiritron,22.51,177.7,AP,0.260,0.050,,6537,Giant's Ring,13.09,305.6,AP,0.147,0.028,,6526,Shell of Reminiscence,17.8,224.7,AP,0.139,0.027,,6515,Octuplet Crystal,18.32,218.3,AP,0.211,0.041,,6552,Ash of Remembrance,23.56,169.8,AP,0.177,0.034,,6534,Mystic Gunpowder,27.23,146.9,AP,0.187,0.036,,6530,Mystic Spinal Fluid,17.28,231.5,AP,0.124,0.024,,6505,Void's Dust,23.04,173.6,AP,0.166,0.032,,6207,Secret Gem of Berserker,42.93,93.2,AP,0.759,,,7107,Berserker Monument,78.53,50.9,AP,0.948,,,7007,Berserker Piece,21.47,186.3,AP,0.090,,,6107,Magic Gem of Berserker,58.12,68.8,AP,0.320,,,6007,Gem of Berserker,34.03,117.5,AP,0.059,,,,,,,,,,,,,,,,,,,"34,100","2,393,665",60694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Berserker III,40,40,"3,622",Event,5,,2.410,0.463,,6563,Reliquary of Departed Souls,0.47,"8,510.6",AP,0.010,0.002,,6544,Fragment of a Twinkling Star,8.45,473.4,AP,0.312,0.060,,6539,Reactor Core of Dawn,10.8,370.4,AP,0.249,0.048,,6529,Cursed Beast Gallstone,3.29,"1,215.8",AP,0.126,0.024,,6507,Claw of Chaos,8.92,448.4,AP,0.207,0.040,,6545,Divine Leyline Spiritron,20.19,198.1,AP,0.233,0.045,,6537,Giant's Ring,21.13,189.3,AP,0.237,0.046,,6526,Shell of Reminiscence,15.49,258.2,AP,0.121,0.023,,6515,Octuplet Crystal,15.49,258.2,AP,0.179,0.034,,6552,Ash of Remembrance,31.46,127.1,AP,0.236,0.045,,6534,Mystic Gunpowder,24.41,163.9,AP,0.167,0.032,,6530,Mystic Spinal Fluid,25.35,157.8,AP,0.181,0.035,,6505,Void's Dust,21.13,189.3,AP,0.153,0.029,,6207,Secret Gem of Berserker,44.6,89.7,AP,0.788,,,7107,Berserker Monument,80.28,49.8,AP,0.969,,,7007,Berserker Piece,19.72,202.8,AP,0.083,,,6107,Magic Gem of Berserker,53.05,75.4,AP,0.292,,,6007,Gem of Berserker,43.19,92.6,AP,0.075,,,,,,,,,,,,,,,,,,,"36,470","2,721,009",68937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Berserker IV,40,40,"3,876",Event,5,,2.917,0.560,,6563,Reliquary of Departed Souls,0.81,"4,938.3",AP,0.017,0.003,,6544,Fragment of a Twinkling Star,6.48,617.3,AP,0.239,0.046,,6539,Reactor Core of Dawn,13.36,299.4,AP,0.308,0.059,,6529,Cursed Beast Gallstone,8.5,470.6,AP,0.325,0.062,,6507,Claw of Chaos,10.53,379.9,AP,0.244,0.047,,6545,Divine Leyline Spiritron,27.53,145.3,AP,0.318,0.061,,6537,Giant's Ring,24.29,164.7,AP,0.273,0.052,,6526,Shell of Reminiscence,20.24,197.6,AP,0.158,0.030,,6515,Octuplet Crystal,15.79,253.3,AP,0.182,0.035,,6552,Ash of Remembrance,31.98,125.1,AP,0.240,0.046,,6534,Mystic Gunpowder,29.55,135.4,AP,0.202,0.039,,6530,Mystic Spinal Fluid,30.77,130.0,AP,0.220,0.042,,6505,Void's Dust,26.32,152.0,AP,0.190,0.037,,6207,Secret Gem of Berserker,47.77,83.7,AP,0.844,,,7107,Berserker Monument,78.95,50.7,AP,0.953,,,7007,Berserker Piece,21.05,190.0,AP,0.088,,,6107,Magic Gem of Berserker,62.35,64.2,AP,0.343,,,6007,Gem of Berserker,38.06,105.1,AP,0.066,,,,,,,,,,,,,,,,,,,"39,010","3,028,421",76686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Berserker V,40,40,"4,147",Event,5,,3.233,0.621,,6563,Reliquary of Departed Souls,3.07,"1,302.9",AP,0.066,0.013,,6544,Fragment of a Twinkling Star,10.92,366.3,AP,0.403,0.077,,6539,Reactor Core of Dawn,11.26,355.2,AP,0.260,0.050,,6529,Cursed Beast Gallstone,7.85,509.6,AP,0.300,0.058,,6507,Claw of Chaos,12.46,321.0,AP,0.289,0.055,,6545,Divine Leyline Spiritron,28.67,139.5,AP,0.331,0.064,,6537,Giant's Ring,22.18,180.3,AP,0.249,0.048,,6526,Shell of Reminiscence,19.62,203.9,AP,0.153,0.029,,6515,Octuplet Crystal,19.8,202.0,AP,0.228,0.044,,6552,Ash of Remembrance,33.45,119.6,AP,0.251,0.048,,6534,Mystic Gunpowder,37.37,107.0,AP,0.256,0.049,,6530,Mystic Spinal Fluid,34.13,117.2,AP,0.244,0.047,,6505,Void's Dust,28.16,142.0,AP,0.203,0.039,,6207,Secret Gem of Berserker,52.05,76.8,AP,0.920,,,7107,Berserker Monument,76.62,52.2,AP,0.925,,,7007,Berserker Piece,23.38,171.1,AP,0.098,,,6107,Magic Gem of Berserker,57,70.2,AP,0.314,,,6007,Gem of Berserker,44.03,90.8,AP,0.076,,,,,,,,,,,,,,,,,,,"41,720","3,352,534",84856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Berserker VI,40,40,"4,438",Event,5,,3.527,0.677,,6563,Reliquary of Departed Souls,2.36,"1,694.9",AP,0.051,0.010,,6544,Fragment of a Twinkling Star,10.25,390.2,AP,0.378,0.073,,6539,Reactor Core of Dawn,13.38,299.0,AP,0.309,0.059,,6529,Cursed Beast Gallstone,9.78,409.0,AP,0.374,0.072,,6507,Claw of Chaos,13.59,294.3,AP,0.315,0.060,,6545,Divine Leyline Spiritron,28.9,138.4,AP,0.334,0.064,,6537,Giant's Ring,25.04,159.7,AP,0.281,0.054,,6526,Shell of Reminiscence,23.63,169.3,AP,0.184,0.035,,6515,Octuplet Crystal,24.53,163.1,AP,0.283,0.054,,6552,Ash of Remembrance,36.02,111.0,AP,0.270,0.052,,6534,Mystic Gunpowder,35.12,113.9,AP,0.241,0.046,,6530,Mystic Spinal Fluid,36.75,108.8,AP,0.263,0.050,,6505,Void's Dust,33.92,117.9,AP,0.245,0.047,,6207,Secret Gem of Berserker,54.12,73.9,AP,0.957,,,7107,Berserker Monument,77.06,51.9,AP,0.930,,,7007,Berserker Piece,22.94,174.4,AP,0.096,,,6107,Magic Gem of Berserker,64.37,62.1,AP,0.354,,,6007,Gem of Berserker,45.28,88.3,AP,0.078,,,,,,,,,,,,,,,,,,,"44,630","3,652,521",92429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Berserker VII,40,40,"4,748",Event,5,,3.857,0.741,,6563,Reliquary of Departed Souls,8.03,498.1,AP,0.172,0.033,,6544,Fragment of a Twinkling Star,11.19,357.5,AP,0.413,0.079,,6539,Reactor Core of Dawn,13.4,298.5,AP,0.309,0.059,,6529,Cursed Beast Gallstone,10.1,396.0,AP,0.386,0.074,,6507,Claw of Chaos,13.56,295.0,AP,0.314,0.060,,6545,Divine Leyline Spiritron,30.29,132.1,AP,0.350,0.067,,6537,Giant's Ring,27.21,147.0,AP,0.305,0.059,,6526,Shell of Reminiscence,26.06,153.5,AP,0.203,0.039,,6515,Octuplet Crystal,26.27,152.3,AP,0.303,0.058,,6552,Ash of Remembrance,40.64,98.4,AP,0.305,0.059,,6534,Mystic Gunpowder,38.4,104.2,AP,0.263,0.051,,6530,Mystic Spinal Fluid,38.25,104.6,AP,0.273,0.053,,6505,Void's Dust,36.01,111.1,AP,0.260,0.050,,6207,Secret Gem of Berserker,56.49,70.8,AP,0.998,,,7107,Berserker Monument,77.22,51.8,AP,0.932,,,7007,Berserker Piece,22.78,175.6,AP,0.096,,,6107,Magic Gem of Berserker,67.2,59.5,AP,0.370,,,6007,Gem of Berserker,45.63,87.7,AP,0.079,,,,,,,,,,,,,,,,,,,"47,730","3,958,771",100163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
