Grand Duel Lancer,,Grand Duel Lancer,,Lotto Drop Bonus:,,5,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Lancer I,40,40,"3,164",Event,5,,2.276,0.511,,6563,Reliquary of Departed Souls,24.58,162.7,AP,0.527,0.101,,6546,Fruit of Eternity,8.38,477.3,AP,0.064,0.048,,6521,Black Beast Grease,8.38,477.3,AP,0.194,0.039,,6518,Spirit Root,5.03,795.2,AP,0.193,0.044,,6507,Claw of Chaos,10.61,377.0,AP,0.246,0.047,,6543,Crown of Silvery Light,13.97,286.3,AP,0.108,0.025,,6535,Eternal Ice,15.64,255.8,AP,0.123,0.028,,6514,Homunculus Baby,15.08,265.3,AP,0.171,0.039,,6502,Seed of Yggdrasil,15.64,255.8,AP,0.110,0.025,,6552,Ash of Remembrance,19.55,204.6,AP,0.147,0.028,,6533,Stake of Wailing Night,21.23,188.4,AP,0.145,0.031,,6512,Dragon Fang,22.35,179.0,AP,0.140,0.032,,6503,Proof of Hero,22.91,174.6,AP,0.107,0.023,,6203,Secret Gem of Lancer,35.2,113.6,AP,0.621,,,7103,Lancer Monument,73.18,54.7,AP,0.875,,,7003,Lancer Piece,26.82,149.1,AP,0.125,,,6103,Magic Gem of Lancer,41.9,95.5,AP,0.211,,,6003,Gem of Lancer,32.96,121.4,AP,0.069,,,,,,,,,,,,,,,,,,,"31,890","2,085,615",52938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Lancer II,40,40,"3,385",Event,5,,2.480,0.546,,6563,Reliquary of Departed Souls,26.74,149.6,AP,0.574,0.110,,6546,Fruit of Eternity,5.81,688.5,AP,0.044,0.033,,6521,Black Beast Grease,6.98,573.1,AP,0.162,0.032,,6518,Spirit Root,6.98,573.1,AP,0.268,0.061,,6507,Claw of Chaos,9.88,404.9,AP,0.229,0.044,,6543,Crown of Silvery Light,18.02,222.0,AP,0.140,0.032,,6535,Eternal Ice,20.35,196.6,AP,0.160,0.037,,6514,Homunculus Baby,15.12,264.6,AP,0.172,0.039,,6502,Seed of Yggdrasil,18.02,222.0,AP,0.127,0.029,,6552,Ash of Remembrance,22.67,176.4,AP,0.170,0.033,,6533,Stake of Wailing Night,26.74,149.6,AP,0.183,0.039,,6512,Dragon Fang,23.84,167.8,AP,0.150,0.034,,6503,Proof of Hero,22.09,181.1,AP,0.103,0.022,,6203,Secret Gem of Lancer,31.4,127.4,AP,0.554,,,7103,Lancer Monument,81.4,49.1,AP,0.973,,,7003,Lancer Piece,18.6,215.1,AP,0.087,,,6103,Magic Gem of Lancer,52.33,76.4,AP,0.263,,,6003,Gem of Lancer,38.95,102.7,AP,0.082,,,,,,,,,,,,,,,,,,,"34,100","2,404,855",60974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Lancer III,40,40,"3,622",Event,5,,2.620,0.580,,6563,Reliquary of Departed Souls,25.89,154.5,AP,0.555,0.107,,6546,Fruit of Eternity,6.25,640.0,AP,0.048,0.036,,6521,Black Beast Grease,6.25,640.0,AP,0.145,0.029,,6518,Spirit Root,8.93,447.9,AP,0.342,0.078,,6507,Claw of Chaos,8.48,471.7,AP,0.197,0.038,,6543,Crown of Silvery Light,20.98,190.7,AP,0.163,0.037,,6535,Eternal Ice,13.84,289.0,AP,0.109,0.025,,6514,Homunculus Baby,17.86,224.0,AP,0.203,0.046,,6502,Seed of Yggdrasil,25,160.0,AP,0.176,0.040,,6552,Ash of Remembrance,29.02,137.8,AP,0.218,0.042,,6533,Stake of Wailing Night,25.45,157.2,AP,0.174,0.037,,6512,Dragon Fang,29.91,133.7,AP,0.188,0.043,,6503,Proof of Hero,22.32,179.2,AP,0.104,0.022,,6203,Secret Gem of Lancer,44.64,89.6,AP,0.788,,,7103,Lancer Monument,77.68,51.5,AP,0.928,,,7003,Lancer Piece,22.32,179.2,AP,0.104,,,6103,Magic Gem of Lancer,50,80.0,AP,0.251,,,6003,Gem of Lancer,40.62,98.5,AP,0.085,,,,,,,,,,,,,,,,,,,"36,470","2,718,013",68862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Lancer IV,40,40,"3,876",Event,5,,2.887,0.647,,6563,Reliquary of Departed Souls,26.79,149.3,AP,0.575,0.110,,6546,Fruit of Eternity,9.02,443.5,AP,0.069,0.052,,6521,Black Beast Grease,10.88,367.6,AP,0.252,0.050,,6518,Spirit Root,8.75,457.1,AP,0.336,0.077,,6507,Claw of Chaos,8.75,457.1,AP,0.203,0.039,,6543,Crown of Silvery Light,21.22,188.5,AP,0.164,0.038,,6535,Eternal Ice,21.22,188.5,AP,0.167,0.038,,6514,Homunculus Baby,20.16,198.4,AP,0.229,0.052,,6502,Seed of Yggdrasil,24.14,165.7,AP,0.170,0.039,,6552,Ash of Remembrance,31.56,126.7,AP,0.237,0.045,,6533,Stake of Wailing Night,29.44,135.9,AP,0.202,0.042,,6512,Dragon Fang,26.53,150.8,AP,0.166,0.038,,6503,Proof of Hero,25.46,157.1,AP,0.119,0.025,,6203,Secret Gem of Lancer,49.6,80.6,AP,0.875,,,7103,Lancer Monument,75.07,53.3,AP,0.897,,,7003,Lancer Piece,24.93,160.4,AP,0.117,,,6103,Magic Gem of Lancer,54.91,72.8,AP,0.276,,,6003,Gem of Lancer,45.89,87.2,AP,0.096,,,,,,,,,,,,,,,,,,,"39,010","3,036,207",76880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Lancer V,40,40,"4,147",Event,5,,3.310,0.742,,6563,Reliquary of Departed Souls,34.71,115.2,AP,0.745,0.143,,6546,Fruit of Eternity,11.1,360.4,AP,0.084,0.064,,6521,Black Beast Grease,12.39,322.8,AP,0.287,0.057,,6518,Spirit Root,10.19,392.5,AP,0.391,0.090,,6507,Claw of Chaos,9.94,402.4,AP,0.230,0.044,,6543,Crown of Silvery Light,24.77,161.5,AP,0.192,0.044,,6535,Eternal Ice,21.16,189.0,AP,0.167,0.038,,6514,Homunculus Baby,20,200.0,AP,0.227,0.052,,6502,Seed of Yggdrasil,23.23,172.2,AP,0.163,0.037,,6552,Ash of Remembrance,34.71,115.2,AP,0.260,0.050,,6533,Stake of Wailing Night,32.13,124.5,AP,0.220,0.046,,6512,Dragon Fang,31.1,128.6,AP,0.195,0.045,,6503,Proof of Hero,31.74,126.0,AP,0.148,0.031,,6203,Secret Gem of Lancer,49.68,80.5,AP,0.877,,,7103,Lancer Monument,75.87,52.7,AP,0.907,,,7003,Lancer Piece,24.13,165.8,AP,0.113,,,6103,Magic Gem of Lancer,60.77,65.8,AP,0.305,,,6003,Gem of Lancer,42.71,93.7,AP,0.090,,,,,,,,,,,,,,,,,,,"41,720","3,357,361",84977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Lancer VI,40,40,"4,438",Event,5,,3.691,0.832,,6563,Reliquary of Departed Souls,37.26,107.4,AP,0.799,0.154,,6546,Fruit of Eternity,13.17,303.7,AP,0.100,0.076,,6521,Black Beast Grease,14.49,276.1,AP,0.335,0.067,,6518,Spirit Root,10.46,382.4,AP,0.401,0.092,,6507,Claw of Chaos,12.11,330.3,AP,0.281,0.054,,6543,Crown of Silvery Light,28.59,139.9,AP,0.222,0.051,,6535,Eternal Ice,25.94,154.2,AP,0.204,0.047,,6514,Homunculus Baby,25.22,158.6,AP,0.286,0.066,,6502,Seed of Yggdrasil,27.93,143.2,AP,0.196,0.045,,6552,Ash of Remembrance,33.95,117.8,AP,0.255,0.049,,6533,Stake of Wailing Night,35.8,111.7,AP,0.245,0.052,,6512,Dragon Fang,32.43,123.3,AP,0.203,0.047,,6503,Proof of Hero,34.88,114.7,AP,0.163,0.034,,6203,Secret Gem of Lancer,53.21,75.2,AP,0.939,,,7103,Lancer Monument,77.9,51.3,AP,0.931,,,7003,Lancer Piece,22.1,181.0,AP,0.103,,,6103,Magic Gem of Lancer,64.79,61.7,AP,0.326,,,6003,Gem of Lancer,44.67,89.5,AP,0.094,,,,,,,,,,,,,,,,,,,"44,630","3,647,770",92310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Lancer VII,40,40,"4,748",Event,5,,3.864,0.867,,6563,Reliquary of Departed Souls,39.99,100.0,AP,0.858,0.165,,6546,Fruit of Eternity,12.91,309.8,AP,0.098,0.074,,6521,Black Beast Grease,13.13,304.6,AP,0.304,0.061,,6518,Spirit Root,11.16,358.4,AP,0.428,0.098,,6507,Claw of Chaos,12.7,315.0,AP,0.294,0.057,,6543,Crown of Silvery Light,30.88,129.5,AP,0.239,0.055,,6535,Eternal Ice,25.45,157.2,AP,0.200,0.046,,6514,Homunculus Baby,25.64,156.0,AP,0.291,0.067,,6502,Seed of Yggdrasil,28.83,138.7,AP,0.203,0.046,,6552,Ash of Remembrance,38.78,103.1,AP,0.291,0.056,,6533,Stake of Wailing Night,38.46,104.0,AP,0.263,0.056,,6512,Dragon Fang,36.31,110.2,AP,0.228,0.052,,6503,Proof of Hero,35.63,112.3,AP,0.167,0.035,,6203,Secret Gem of Lancer,56.5,70.8,AP,0.997,,,7103,Lancer Monument,77.25,51.8,AP,0.923,,,7003,Lancer Piece,22.75,175.8,AP,0.106,,,6103,Magic Gem of Lancer,66.53,60.1,AP,0.334,,,6003,Gem of Lancer,44.72,89.4,AP,0.094,,,,,,,,,,,,,,,,,,,"47,730","3,964,154",100297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
