Grand Duel Saber,,Grand Duel Saber,,Lotto Drop Bonus:,,5,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Saber I,40,40,"3,164",Event,5,,1.828,0.496,,6563,Reliquary of Departed Souls,0.47,"8,510.6",AP,0.010,0.002,,6548,Flaming Oni Lantern Plant,7.98,501.3,AP,0.311,0.098,,6528,Primordial Lanugo,7.04,568.2,AP,0.183,0.058,,6519,Warhorse's Young Horn,7.04,568.2,AP,0.153,0.048,,6506,Dragon's Reverse Scale,4.23,945.6,AP,0.038,0.019,,6545,Divine Leyline Spiritron,16.9,236.7,AP,0.195,0.037,,6536,Aurora Steel,13.15,304.2,AP,0.105,0.021,,6524,Great Knight Medal,15.02,266.3,AP,0.202,0.064,,6513,Meteor Horseshoes,13.15,304.2,AP,0.143,0.045,,6551,Ceremonial Sword of Twilight,20.66,193.6,AP,0.150,0.032,,6522,Fool's Chain,18.31,218.5,AP,0.120,0.024,,6512,Dragon Fang,19.25,207.8,AP,0.121,0.028,,6503,Proof of Hero,20.66,193.6,AP,0.097,0.020,,6201,Secret Gem of Saber,35.68,112.1,AP,0.637,,,7101,Saber Monument,78.4,51.0,AP,0.960,,,7001,Saber Piece,21.6,185.2,AP,0.102,,,6101,Magic Gem of Saber,43.66,91.6,AP,0.241,,,6001,Gem of Saber,32.39,123.5,AP,0.061,,,,,,,,,,,,,,,,,,,"31,890","2,098,638",53263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Saber II,40,40,"3,385",Event,5,,1.949,0.529,,6563,Reliquary of Departed Souls,0.92,"4,347.8",AP,0.020,0.004,,6548,Flaming Oni Lantern Plant,5.96,671.1,AP,0.232,0.073,,6528,Primordial Lanugo,6.88,581.4,AP,0.179,0.056,,6519,Warhorse's Young Horn,8.72,458.7,AP,0.190,0.060,,6506,Dragon's Reverse Scale,8.26,484.3,AP,0.073,0.037,,6545,Divine Leyline Spiritron,19.72,202.8,AP,0.228,0.044,,6536,Aurora Steel,14.22,281.3,AP,0.113,0.023,,6524,Great Knight Medal,16.97,235.7,AP,0.229,0.072,,6513,Meteor Horseshoes,13.76,290.7,AP,0.150,0.047,,6551,Ceremonial Sword of Twilight,21.56,185.5,AP,0.156,0.033,,6522,Fool's Chain,25.23,158.5,AP,0.166,0.033,,6512,Dragon Fang,19.72,202.8,AP,0.124,0.028,,6503,Proof of Hero,19.27,207.6,AP,0.090,0.019,,6201,Secret Gem of Saber,40.37,99.1,AP,0.721,,,7101,Saber Monument,75.23,53.2,AP,0.922,,,7001,Saber Piece,24.77,161.5,AP,0.117,,,6101,Magic Gem of Saber,55.05,72.7,AP,0.304,,,6001,Gem of Saber,33.94,117.9,AP,0.064,,,,,,,,,,,,,,,,,,,"34,100","2,414,885",61225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Saber III,40,40,"3,622",Event,5,,2.480,0.679,,6548,Flaming Oni Lantern Plant,8.72,458.7,AP,0.340,0.107,,6528,Primordial Lanugo,11.63,343.9,AP,0.302,0.095,,6519,Warhorse's Young Horn,9.3,430.1,AP,0.203,0.064,,6506,Dragon's Reverse Scale,8.14,491.4,AP,0.072,0.036,,6545,Divine Leyline Spiritron,23.84,167.8,AP,0.275,0.053,,6536,Aurora Steel,12.21,327.6,AP,0.097,0.019,,6524,Great Knight Medal,19.19,208.4,AP,0.259,0.082,,6513,Meteor Horseshoes,22.09,181.1,AP,0.240,0.076,,6551,Ceremonial Sword of Twilight,30.81,129.8,AP,0.223,0.047,,6522,Fool's Chain,26.16,152.9,AP,0.172,0.034,,6512,Dragon Fang,25.58,156.4,AP,0.161,0.037,,6503,Proof of Hero,29.07,137.6,AP,0.136,0.029,,6201,Secret Gem of Saber,32.56,122.9,AP,0.581,,,7101,Saber Monument,77.33,51.7,AP,0.947,,,7001,Saber Piece,22.67,176.4,AP,0.107,,,6101,Magic Gem of Saber,55.23,72.4,AP,0.305,,,6001,Gem of Saber,40.12,99.7,AP,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,470","2,712,151",68716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Saber IV,40,40,"3,876",Event,5,,2.630,0.706,,6563,Reliquary of Departed Souls,0.55,"7,272.7",AP,0.012,0.002,,6548,Flaming Oni Lantern Plant,7.12,561.8,AP,0.278,0.088,,6528,Primordial Lanugo,11.51,347.5,AP,0.299,0.094,,6519,Warhorse's Young Horn,11.23,356.2,AP,0.245,0.077,,6506,Dragon's Reverse Scale,8.22,486.6,AP,0.073,0.036,,6545,Divine Leyline Spiritron,28.77,139.0,AP,0.332,0.064,,6536,Aurora Steel,18.9,211.6,AP,0.150,0.030,,6524,Great Knight Medal,22.19,180.3,AP,0.299,0.094,,6513,Meteor Horseshoes,18.08,221.2,AP,0.197,0.062,,6551,Ceremonial Sword of Twilight,34.25,116.8,AP,0.248,0.052,,6522,Fool's Chain,28.49,140.4,AP,0.187,0.038,,6512,Dragon Fang,25.21,158.7,AP,0.158,0.036,,6503,Proof of Hero,32.6,122.7,AP,0.152,0.032,,6201,Secret Gem of Saber,49.32,81.1,AP,0.880,,,7101,Saber Monument,77.81,51.4,AP,0.953,,,7001,Saber Piece,22.19,180.3,AP,0.105,,,6101,Magic Gem of Saber,55.34,72.3,AP,0.306,,,6001,Gem of Saber,35.62,112.3,AP,0.067,,,,,,,,,,,,,,,,,,,"39,010","3,037,096",76903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Saber V,40,40,"4,147",Event,5,,2.810,0.761,,6563,Reliquary of Departed Souls,0.39,"10,256.4",AP,0.008,0.002,,6548,Flaming Oni Lantern Plant,9.47,422.4,AP,0.369,0.116,,6528,Primordial Lanugo,11.18,357.8,AP,0.290,0.092,,6519,Warhorse's Young Horn,12.5,320.0,AP,0.272,0.086,,6506,Dragon's Reverse Scale,8.31,481.3,AP,0.074,0.037,,6545,Divine Leyline Spiritron,23.06,173.5,AP,0.266,0.051,,6536,Aurora Steel,23.6,169.5,AP,0.188,0.038,,6524,Great Knight Medal,22.36,178.9,AP,0.301,0.095,,6513,Meteor Horseshoes,21.82,183.3,AP,0.237,0.075,,6551,Ceremonial Sword of Twilight,34.01,117.6,AP,0.247,0.052,,6522,Fool's Chain,33.62,119.0,AP,0.221,0.044,,6512,Dragon Fang,29.58,135.2,AP,0.186,0.043,,6503,Proof of Hero,32.07,124.7,AP,0.150,0.032,,6201,Secret Gem of Saber,51.71,77.4,AP,0.923,,,7101,Saber Monument,74.69,53.6,AP,0.915,,,7001,Saber Piece,25.31,158.0,AP,0.120,,,6101,Magic Gem of Saber,64.83,61.7,AP,0.358,,,6001,Gem of Saber,43.56,91.8,AP,0.082,,,,,,,,,,,,,,,,,,,"41,720","3,348,591",84758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Saber VI,40,40,"4,438",Event,5,,3.138,0.843,,6563,Reliquary of Departed Souls,2.31,"1,731.6",AP,0.050,0.010,,6548,Flaming Oni Lantern Plant,10.65,375.6,AP,0.415,0.131,,6528,Primordial Lanugo,12.17,328.7,AP,0.316,0.100,,6519,Warhorse's Young Horn,11.75,340.4,AP,0.256,0.081,,6506,Dragon's Reverse Scale,9.37,426.9,AP,0.083,0.042,,6545,Divine Leyline Spiritron,28.61,139.8,AP,0.330,0.063,,6536,Aurora Steel,26.96,148.4,AP,0.214,0.043,,6524,Great Knight Medal,24.35,164.3,AP,0.328,0.103,,6513,Meteor Horseshoes,25.02,159.9,AP,0.272,0.086,,6551,Ceremonial Sword of Twilight,36.88,108.5,AP,0.267,0.056,,6522,Fool's Chain,36.09,110.8,AP,0.237,0.048,,6512,Dragon Fang,32.14,124.5,AP,0.202,0.046,,6503,Proof of Hero,35.61,112.3,AP,0.166,0.035,,6201,Secret Gem of Saber,54.05,74.0,AP,0.965,,,7101,Saber Monument,78.27,51.1,AP,0.959,,,7001,Saber Piece,21.73,184.1,AP,0.103,,,6101,Magic Gem of Saber,63.48,63.0,AP,0.351,,,6001,Gem of Saber,43.03,93.0,AP,0.081,,,,,,,,,,,,,,,,,,,"44,630","3,659,757",92610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Saber VII,40,40,"4,748",Event,5,,3.466,0.925,,6563,Reliquary of Departed Souls,6.46,619.2,AP,0.139,0.027,,6548,Flaming Oni Lantern Plant,11.13,359.4,AP,0.434,0.137,,6528,Primordial Lanugo,13.35,299.6,AP,0.347,0.109,,6519,Warhorse's Young Horn,13.3,300.8,AP,0.290,0.091,,6506,Dragon's Reverse Scale,10.06,397.6,AP,0.089,0.045,,6545,Divine Leyline Spiritron,30.75,130.1,AP,0.355,0.068,,6536,Aurora Steel,27.72,144.3,AP,0.220,0.044,,6524,Great Knight Medal,26.48,151.1,AP,0.357,0.112,,6513,Meteor Horseshoes,26.27,152.3,AP,0.286,0.090,,6551,Ceremonial Sword of Twilight,40.81,98.0,AP,0.296,0.062,,6522,Fool's Chain,37.83,105.7,AP,0.249,0.050,,6512,Dragon Fang,35.81,111.7,AP,0.225,0.051,,6503,Proof of Hero,38.49,103.9,AP,0.180,0.038,,6201,Secret Gem of Saber,56.61,70.7,AP,1.010,,,7101,Saber Monument,77.5,51.6,AP,0.949,,,7001,Saber Piece,22.5,177.8,AP,0.106,,,6101,Magic Gem of Saber,66.97,59.7,AP,0.370,,,6001,Gem of Saber,46.16,86.7,AP,0.087,,,,,,,,,,,,,,,,,,,"47,730","3,956,983",100118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
