Grand Nero Fest,,Grand Nero Fest,Box Bonus:,,,,Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Prelims: Beg,10,10,Lotto 1,,,0.249,0.122,,6503,Proof of Hero,13.3,75.2,AP,0.249,0.122,,6003,Gem of Lancer,3.16,316.5,AP,0.027,,,7003,Lancer Piece,2.8,357.1,AP,0.052,,,6007,Gem of Berserker,1.31,763.4,AP,0.009,,,7004,Rider Piece,3.11,321.5,AP,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",190,,,,8.1,2.0,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6503,Proof of Hero,,,,,,,6505,Void's Dust,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Prelims: Int,20,20,Lotto 1,,,0.274,0.162,,6512,Dragon Fang,21.84,91.6,AP,0.274,0.162,,6001,Gem of Saber,6.91,289.4,AP,0.026,,,7001,Saber Piece,2.2,909.1,AP,0.021,,,6006,Gem of Assassin,12,166.7,AP,0.044,,,7005,Caster Piece,3.3,606.1,AP,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",145,,,,15.8,3.9,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6503,Proof of Hero,,,,,,,6505,Void's Dust,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Prelims: Adv,30,30,Lotto 1,,,0.493,0.282,,6524,Great Knight Medal,27.33,109.8,AP,0.493,0.282,,6001,Gem of Saber,27.2,110.3,AP,0.068,,,7001,Saber Piece,9.4,319.1,AP,0.059,,,7007,Berserker Piece,7.8,384.6,AP,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",147,,,,25.4,6.7,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6503,Proof of Hero,,,,,,,6505,Void's Dust,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Prelims: Exp,40,40,Lotto 1,,,0.584,0.345,,6507,Claw of Chaos,15.37,260.2,AP,0.355,0.209,,6527,Deadly Poison Needle,30.14,132.7,AP,0.229,0.136,,6107,Magic Gem of Berserker,19.4,206.2,AP,0.107,,,7102,Archer Monument,4.5,888.9,AP,0.054,,,6004,Gem of Rider,28,142.9,AP,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,35.1,9.9,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6503,Proof of Hero,,,,,,,6505,Void's Dust,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Prelims: Hero,40,40,Lotto 1,,,1.079,0.550,,6529,Cursed Beast Gallstone,18.29,218.7,AP,0.718,0.353,,6501,Phoenix Feather,27.51,145.4,AP,0.361,0.197,,6207,Secret Gem of Berserker,16.8,238.1,AP,0.315,,,7106,Assassin Monument,9,444.4,AP,0.108,,,6104,Magic Gem of Rider,24.3,164.6,AP,0.131,,,6004,Gem of Rider,22.6,177.0,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,36.8,12.1,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6503,Proof of Hero,,,,,,,6505,Void's Dust,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Prelims: Monarch,40,40,Lotto 1,,,1.146,0.522,,6525,Scarab of Wisdom,20.71,193.1,AP,0.787,0.358,,6509,Serpent Jewel,32.39,123.5,AP,0.359,0.163,,6202,Secret Gem of Archer,20.75,192.8,AP,0.369,,,7102,Archer Monument,13,307.7,AP,0.157,,,6102,Magic Gem of Archer,31.6,126.6,AP,0.156,,,7101,Saber Monument,3.7,"1,081.1",AP,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,44.9,15.0,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6503,Proof of Hero,,,,,,,6505,Void's Dust,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Prelims: Champ,40,40,Lotto 1,,,1.582,0.892,,6506,Dragon's Reverse Scale,25.26,158.4,AP,1.039,0.608,,6532,Refined Magatama,49.27,81.2,AP,0.543,0.284,,6207,Secret Gem of Berserker,25.21,158.7,AP,0.472,,,7107,Berserker Monument,12.7,315.0,AP,0.153,,,7101,Saber Monument,12.9,310.1,AP,0.160,,,6107,Magic Gem of Berserker,15.3,261.4,AP,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,44.9,15.0,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6503,Proof of Hero,,,,,,,6505,Void's Dust,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Semis: Beg,10,10,Lotto 2,,,0.332,0.197,,6522,Fool's Chain,12.75,78.4,AP,0.332,0.197,,6007,Gem of Berserker,4.17,239.8,AP,0.029,,,7006,Assassin Piece,2.9,344.8,AP,0.046,,,7007,Berserker Piece,2.2,454.5,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",190,,,,8.6,2.0,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6503,Proof of Hero,,,,,,,6505,Void's Dust,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Semis: Int,20,20,Lotto 2,,,0.375,0.222,,6514,Homunculus Baby,16.5,121.2,AP,0.375,0.222,,6107,Magic Gem of Berserker,9,222.2,AP,0.099,,,7005,Caster Piece,4,500.0,AP,0.031,,,6007,Gem of Berserker,10.7,186.9,AP,0.037,,,7002,Archer Piece,3.7,540.5,AP,0.035,,,7007,Berserker Piece,2,"1,000.0",AP,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",145,,,,17.2,4.0,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6503,Proof of Hero,,,,,,,6505,Void's Dust,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Semis: Adv,30,30,Lotto 2,,,0.274,0.150,,6501,Phoenix Feather,15.64,191.8,AP,0.274,0.150,,6101,Magic Gem of Saber,12.33,243.3,AP,0.091,,,7001,Saber Piece,7.3,411.0,AP,0.046,,,6001,Gem of Saber,25,120.0,AP,0.063,,,7004,Rider Piece,6.33,473.9,AP,0.039,,,7007,Berserker Piece,6,500.0,AP,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",147,,,,27.9,6.8,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6503,Proof of Hero,,,,,,,6505,Void's Dust,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
