Grand Nero Fest,,Grand Nero Fest,Box Bonus:,,10,,Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Prelims: Beg,8.59,10,Lotto 1,10,,2.746,1.400,,6503,Proof of Hero,13.3,64.6,AP,0.290,0.142,,6003,Gem of Lancer,3.16,271.8,AP,0.031,,,7003,Lancer Piece,2.8,306.8,AP,0.060,,,6007,Gem of Berserker,1.31,655.7,AP,0.011,,,7004,Rider Piece,3.11,276.2,AP,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",221,"24,207",,,8.1,2.0,21.4,183.4,,,,,,,,,,6511,Forbidden Page,9.367,91.7,AP,0.663,0.302,,6524,Great Knight Medal,9.367,91.7,AP,0.590,0.338,,6503,Proof of Hero,14.050,61.1,AP,0.306,0.150,,6505,Void's Dust,14.050,61.1,AP,0.473,0.215,,6522,Fool's Chain,14.050,61.1,AP,0.425,0.253,,,,,,,,,,,,,,,,,,,-1,Blue Gems,9.367,,-2,Red Gems,9.367,,-3,Gold Gems,4.683,,-6,XP,140.5
Prelims: Int,17.26,20,Lotto 1,10,,2.702,1.409,,6512,Dragon Fang,21.84,79.0,AP,0.318,0.188,,6001,Gem of Saber,6.91,249.8,AP,0.030,,,7001,Saber Piece,2.2,784.5,AP,0.024,,,6006,Gem of Assassin,12,143.8,AP,0.051,,,7005,Caster Piece,3.3,523.0,AP,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",168,"23,495",,,15.8,3.9,10.9,189.0,,,,,,,,,,6511,Forbidden Page,18.267,94.5,AP,0.643,0.293,,6524,Great Knight Medal,18.267,94.5,AP,0.573,0.328,,6503,Proof of Hero,27.400,63.0,AP,0.297,0.145,,6505,Void's Dust,27.400,63.0,AP,0.459,0.209,,6522,Fool's Chain,27.400,63.0,AP,0.413,0.246,,,,,,,,,,,,,,,,,,,-1,Blue Gems,18.267,,-2,Red Gems,18.267,,-3,Gold Gems,9.133,,-6,XP,274.0
Prelims: Adv,25.38,30,Lotto 1,10,,3.317,1.733,,6524,Great Knight Medal,27.33,92.9,AP,0.583,0.334,,6001,Gem of Saber,27.2,93.3,AP,0.080,,,7001,Saber Piece,9.4,270.0,AP,0.070,,,7007,Berserker Piece,7.8,325.4,AP,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",173,"26,941",,,25.4,6.7,6.5,164.8,,,,,,,,,,6511,Forbidden Page,30.800,82.4,AP,0.738,0.336,,6524,Great Knight Medal,30.800,82.4,AP,0.657,0.376,,6503,Proof of Hero,46.200,54.9,AP,0.340,0.167,,6505,Void's Dust,46.200,54.9,AP,0.526,0.239,,6522,Fool's Chain,46.200,54.9,AP,0.473,0.282,,,,,,,,,,,,,,,,,,,-1,Blue Gems,30.800,,-2,Red Gems,30.800,,-3,Gold Gems,15.400,,-6,XP,462.0
Prelims: Exp,33.29,40,Lotto 1,10,,3.727,1.964,,6507,Claw of Chaos,15.37,216.6,AP,0.427,0.252,,6527,Deadly Poison Needle,30.14,110.5,AP,0.275,0.163,,6107,Magic Gem of Berserker,19.4,171.6,AP,0.128,,,7102,Archer Monument,4.5,739.8,AP,0.065,,,6004,Gem of Rider,28,118.9,AP,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",192,"29,809",,,35.1,9.9,4.5,148.9,,,,,,,,,,6511,Forbidden Page,44.700,74.5,AP,0.816,0.371,,6524,Great Knight Medal,44.700,74.5,AP,0.726,0.416,,6503,Proof of Hero,67.050,49.6,AP,0.377,0.185,,6505,Void's Dust,67.050,49.6,AP,0.582,0.265,,6522,Fool's Chain,67.050,49.6,AP,0.524,0.312,,,,,,,,,,,,,,,,,,,-1,Blue Gems,44.700,,-2,Red Gems,44.700,,-3,Gold Gems,22.350,,-6,XP,670.5
Prelims: Hero,32.11,40,Lotto 1,10,,5.035,2.575,,6529,Cursed Beast Gallstone,18.29,175.6,AP,0.895,0.440,,6501,Phoenix Feather,27.51,116.7,AP,0.450,0.246,,6207,Secret Gem of Berserker,16.8,191.1,AP,0.392,,,7106,Assassin Monument,9,356.8,AP,0.135,,,6104,Magic Gem of Rider,24.3,132.1,AP,0.163,,,6004,Gem of Rider,22.6,142.1,AP,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",230,"36,366",,,36.8,12.1,3.8,122.1,,,,,,,,,,6511,Forbidden Page,52.600,61.0,AP,0.996,0.453,,6524,Great Knight Medal,52.600,61.0,AP,0.886,0.508,,6503,Proof of Hero,78.900,40.7,AP,0.459,0.225,,6505,Void's Dust,78.900,40.7,AP,0.710,0.323,,6522,Fool's Chain,78.900,40.7,AP,0.639,0.380,,,,,,,,,,,,,,,,,,,-1,Blue Gems,52.600,,-2,Red Gems,52.600,,-3,Gold Gems,26.300,,-6,XP,789.0
Prelims: Monarch,30.25,40,Lotto 1,10,,6.354,3.167,,6525,Scarab of Wisdom,20.71,146.1,AP,1.041,0.474,,6509,Serpent Jewel,32.39,93.4,AP,0.474,0.216,,6202,Secret Gem of Archer,20.75,145.8,AP,0.488,,,7102,Archer Monument,13,232.7,AP,0.208,,,6102,Magic Gem of Archer,31.6,95.7,AP,0.207,,,7101,Saber Monument,3.7,817.6,AP,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",278,"47,678",,,44.9,15.0,3.1,93.1,,,,,,,,,,6511,Forbidden Page,64.967,46.6,AP,1.306,0.594,,6524,Great Knight Medal,64.967,46.6,AP,1.162,0.666,,6503,Proof of Hero,97.450,31.0,AP,0.602,0.295,,6505,Void's Dust,97.450,31.0,AP,0.931,0.424,,6522,Fool's Chain,97.450,31.0,AP,0.838,0.498,,,,,,,,,,,,,,,,,,,-1,Blue Gems,64.967,,-2,Red Gems,64.967,,-3,Gold Gems,32.483,,-6,XP,974.5
Prelims: Champ,30.25,40,Lotto 1,10,,6.931,3.657,,6506,Dragon's Reverse Scale,25.26,119.8,AP,1.374,0.804,,6532,Refined Magatama,49.27,61.4,AP,0.718,0.375,,6207,Secret Gem of Berserker,25.21,120.0,AP,0.624,,,7107,Berserker Monument,12.7,238.2,AP,0.202,,,7101,Saber Monument,12.9,234.5,AP,0.211,,,6107,Magic Gem of Berserker,15.3,197.7,AP,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",311,"47,678",,,44.9,15.0,3.1,93.1,,,,,,,,,,6511,Forbidden Page,64.967,46.6,AP,1.306,0.594,,6524,Great Knight Medal,64.967,46.6,AP,1.162,0.666,,6503,Proof of Hero,97.450,31.0,AP,0.602,0.295,,6505,Void's Dust,97.450,31.0,AP,0.931,0.424,,6522,Fool's Chain,97.450,31.0,AP,0.838,0.498,,,,,,,,,,,,,,,,,,,-1,Blue Gems,64.967,,-2,Red Gems,64.967,,-3,Gold Gems,32.483,,-6,XP,974.5
Semis: Beg,8.57,10,Lotto 2,10,,2.893,1.513,,6522,Fool's Chain,12.75,67.2,AP,0.387,0.230,,6007,Gem of Berserker,4.17,205.5,AP,0.034,,,7006,Assassin Piece,2.9,295.5,AP,0.054,,,7007,Berserker Piece,2.2,389.5,AP,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",222,"24,695",,,8.6,2.0,21.0,179.8,,,,,,,,,,6511,Forbidden Page,9.533,89.9,AP,0.676,0.308,,6524,Great Knight Medal,9.533,89.9,AP,0.602,0.345,,6503,Proof of Hero,14.300,59.9,AP,0.312,0.153,,6505,Void's Dust,14.300,59.9,AP,0.482,0.219,,6522,Fool's Chain,14.300,59.9,AP,0.434,0.258,,,,,,,,,,,,,,,,,,,-1,Blue Gems,9.533,,-2,Red Gems,9.533,,-3,Gold Gems,4.767,,-6,XP,143.0
Semis: Int,17.14,20,Lotto 2,10,,2.943,1.542,,6514,Homunculus Baby,16.5,103.9,AP,0.437,0.259,,6107,Magic Gem of Berserker,9,190.4,AP,0.116,,,7005,Caster Piece,4,428.5,AP,0.036,,,6007,Gem of Berserker,10.7,160.2,AP,0.043,,,7002,Archer Piece,3.7,463.2,AP,0.041,,,7007,Berserker Piece,2,857.0,AP,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",169,"24,695",,,17.2,4.0,10.5,179.8,,,,,,,,,,6511,Forbidden Page,19.067,89.9,AP,0.676,0.308,,6524,Great Knight Medal,19.067,89.9,AP,0.602,0.345,,6503,Proof of Hero,28.600,59.9,AP,0.312,0.153,,6505,Void's Dust,28.600,59.9,AP,0.482,0.219,,6522,Fool's Chain,28.600,59.9,AP,0.434,0.258,,,,,,,,,,,,,,,,,,,-1,Blue Gems,19.067,,-2,Red Gems,19.067,,-3,Gold Gems,9.533,,-6,XP,286.0
Semis: Adv,25.2,30,Lotto 2,10,,3.184,1.641,,6501,Phoenix Feather,15.64,161.1,AP,0.326,0.178,,6101,Magic Gem of Saber,12.33,204.4,AP,0.108,,,7001,Saber Piece,7.3,345.2,AP,0.054,,,6001,Gem of Saber,25,100.8,AP,0.074,,,7004,Rider Piece,6.33,398.1,AP,0.046,,,7007,Berserker Piece,6,420.0,AP,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",175,"28,161",,,27.9,6.8,6.3,157.7,,,,,,,,,,6511,Forbidden Page,31.967,78.8,AP,0.771,0.351,,6524,Great Knight Medal,31.967,78.8,AP,0.686,0.393,,6503,Proof of Hero,47.950,52.6,AP,0.356,0.174,,6505,Void's Dust,47.950,52.6,AP,0.550,0.250,,6522,Fool's Chain,47.950,52.6,AP,0.495,0.294,,,,,,,,,,,,,,,,,,,-1,Blue Gems,31.967,,-2,Red Gems,31.967,,-3,Gold Gems,15.983,,-6,XP,479.5
