Grand Nero Fest,,Grand Nero Fest,Lotto Drop Bonus:,,8,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Prelims: Beg,8.79,10,Lotto 1,8,,2.346,1.233,,6503,Proof of Hero,13.3,66.1,AP,0.283,0.139,,6003,Gem of Lancer,3.16,278.2,AP,0.030,,,7003,Lancer Piece,2.8,313.9,AP,0.059,,,6007,Gem of Berserker,1.31,671.0,AP,0.010,,,7004,Rider Piece,3.11,282.6,AP,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",216,"20,289",,,8.1,2.0,24.9,218.8,,,,,,,,,,6511,Forbidden Page,8.033,109.4,AP,0.556,0.278,,6524,Great Knight Medal,8.033,109.4,AP,0.494,0.283,,6503,Proof of Hero,12.050,72.9,AP,0.256,0.125,,6505,Void's Dust,12.050,72.9,AP,0.396,0.195,,6522,Fool's Chain,12.050,72.9,AP,0.361,0.214,,,,,,,,,,,,,,,,,,,-1,Blue Gems,8.033,,-2,Red Gems,8.033,,-3,Gold Gems,4.017,,-6,XP,120.5
Prelims: Int,17.65,20,Lotto 1,8,,2.314,1.264,,6512,Dragon Fang,21.84,80.8,AP,0.311,0.201,,6001,Gem of Saber,6.91,255.4,AP,0.029,,,7001,Saber Piece,2.2,802.3,AP,0.023,,,6006,Gem of Assassin,12,147.1,AP,0.050,,,7005,Caster Piece,3.3,534.8,AP,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",164,"19,705",,,15.8,3.9,12.8,225.3,,,,,,,,,,6511,Forbidden Page,15.667,112.7,AP,0.540,0.270,,6524,Great Knight Medal,15.667,112.7,AP,0.480,0.275,,6503,Proof of Hero,23.500,75.1,AP,0.249,0.122,,6505,Void's Dust,23.500,75.1,AP,0.385,0.189,,6522,Fool's Chain,23.500,75.1,AP,0.350,0.208,,,,,,,,,,,,,,,,,,,-1,Blue Gems,15.667,,-2,Red Gems,15.667,,-3,Gold Gems,7.833,,-6,XP,235.0
Prelims: Adv,26.05,30,Lotto 1,8,,2.850,1.536,,6524,Great Knight Medal,27.33,95.3,AP,0.568,0.325,,6001,Gem of Saber,27.2,95.8,AP,0.077,,,7001,Saber Piece,9.4,277.1,AP,0.068,,,7007,Berserker Piece,7.8,334.0,AP,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",169,"22,441",,,25.4,6.7,7.6,197.8,,,,,,,,,,6511,Forbidden Page,26.333,98.9,AP,0.615,0.307,,6524,Great Knight Medal,26.333,98.9,AP,0.547,0.313,,6503,Proof of Hero,39.500,65.9,AP,0.284,0.139,,6505,Void's Dust,39.500,65.9,AP,0.438,0.215,,6522,Fool's Chain,39.500,65.9,AP,0.399,0.236,,,,,,,,,,,,,,,,,,,-1,Blue Gems,26.333,,-2,Red Gems,26.333,,-3,Gold Gems,13.167,,-6,XP,395.0
Prelims: Exp,34.28,40,Lotto 1,8,,3.191,1.739,,6507,Claw of Chaos,15.37,223.0,AP,0.414,0.244,,6527,Deadly Poison Needle,30.14,113.7,AP,0.267,0.163,,6107,Magic Gem of Berserker,19.4,176.7,AP,0.125,,,7102,Archer Monument,4.5,761.8,AP,0.064,,,6004,Gem of Rider,28,122.4,AP,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",187,"24,674",,,35.1,9.9,5.2,179.9,,,,,,,,,,6511,Forbidden Page,38.100,90.0,AP,0.676,0.338,,6524,Great Knight Medal,38.100,90.0,AP,0.601,0.345,,6503,Proof of Hero,57.150,60.0,AP,0.312,0.153,,6505,Void's Dust,57.150,60.0,AP,0.482,0.237,,6522,Fool's Chain,57.150,60.0,AP,0.438,0.260,,,,,,,,,,,,,,,,,,,-1,Blue Gems,38.100,,-2,Red Gems,38.100,,-3,Gold Gems,19.050,,-6,XP,571.5
Prelims: Hero,33.32,40,Lotto 1,8,,4.313,2.262,,6529,Cursed Beast Gallstone,18.29,182.2,AP,0.862,0.424,,6501,Phoenix Feather,27.51,121.1,AP,0.433,0.237,,6207,Secret Gem of Berserker,16.8,198.3,AP,0.377,,,7106,Assassin Monument,9,370.2,AP,0.130,,,6104,Magic Gem of Rider,24.3,137.1,AP,0.158,,,6004,Gem of Rider,22.6,147.4,AP,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",222,"29,671",,,36.8,12.1,4.5,149.6,,,,,,,,,,6511,Forbidden Page,44.533,74.8,AP,0.813,0.406,,6524,Great Knight Medal,44.533,74.8,AP,0.723,0.414,,6503,Proof of Hero,66.800,49.9,AP,0.375,0.184,,6505,Void's Dust,66.800,49.9,AP,0.579,0.285,,6522,Fool's Chain,66.800,49.9,AP,0.527,0.313,,,,,,,,,,,,,,,,,,,-1,Blue Gems,44.533,,-2,Red Gems,44.533,,-3,Gold Gems,22.267,,-6,XP,668.0
Prelims: Monarch,31.75,40,Lotto 1,8,,5.356,2.935,,6525,Scarab of Wisdom,20.71,153.3,AP,0.996,0.583,,6509,Serpent Jewel,32.39,98.0,AP,0.452,0.278,,6202,Secret Gem of Archer,20.75,153.0,AP,0.467,,,7102,Archer Monument,13,244.2,AP,0.198,,,6102,Magic Gem of Archer,31.6,100.5,AP,0.199,,,7101,Saber Monument,3.7,858.1,AP,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",265,"38,433",,,44.9,15.0,3.6,115.5,,,,,,,,,,6511,Forbidden Page,54.967,57.8,AP,1.053,0.526,,6524,Great Knight Medal,54.967,57.8,AP,0.937,0.537,,6503,Proof of Hero,82.450,38.5,AP,0.486,0.238,,6505,Void's Dust,82.450,38.5,AP,0.750,0.369,,6522,Fool's Chain,82.450,38.5,AP,0.683,0.405,,,,,,,,,,,,,,,,,,,-1,Blue Gems,54.967,,-2,Red Gems,54.967,,-3,Gold Gems,27.483,,-6,XP,824.5
Prelims: Champ,31.75,40,Lotto 1,8,,5.901,3.198,,6506,Dragon's Reverse Scale,25.26,125.7,AP,1.309,0.766,,6532,Refined Magatama,49.27,64.4,AP,0.684,0.357,,6207,Secret Gem of Berserker,25.21,125.9,AP,0.594,,,7107,Berserker Monument,12.7,250.0,AP,0.192,,,7101,Saber Monument,12.9,246.1,AP,0.202,,,6107,Magic Gem of Berserker,15.3,207.5,AP,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",296,"38,433",,,44.9,15.0,3.6,115.5,,,,,,,,,,6511,Forbidden Page,54.967,57.8,AP,1.053,0.526,,6524,Great Knight Medal,54.967,57.8,AP,0.937,0.537,,6503,Proof of Hero,82.450,38.5,AP,0.486,0.238,,6505,Void's Dust,82.450,38.5,AP,0.750,0.369,,6522,Fool's Chain,82.450,38.5,AP,0.683,0.405,,,,,,,,,,,,,,,,,,,-1,Blue Gems,54.967,,-2,Red Gems,54.967,,-3,Gold Gems,27.483,,-6,XP,824.5
Semis: Beg,8.77,10,Lotto 2,8,,2.493,1.347,,6522,Fool's Chain,12.75,68.8,AP,0.382,0.227,,6007,Gem of Berserker,4.17,210.3,AP,0.033,,,7006,Assassin Piece,2.9,302.4,AP,0.052,,,7007,Berserker Piece,2.2,398.6,AP,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",217,"20,757",,,8.6,2.0,24.4,213.9,,,,,,,,,,6511,Forbidden Page,8.200,107.0,AP,0.568,0.284,,6524,Great Knight Medal,8.200,107.0,AP,0.506,0.290,,6503,Proof of Hero,12.300,71.3,AP,0.262,0.128,,6505,Void's Dust,12.300,71.3,AP,0.405,0.199,,6522,Fool's Chain,12.300,71.3,AP,0.369,0.219,,,,,,,,,,,,,,,,,,,-1,Blue Gems,8.200,,-2,Red Gems,8.200,,-3,Gold Gems,4.100,,-6,XP,123.0
Semis: Int,17.54,20,Lotto 2,8,,2.538,1.433,,6514,Homunculus Baby,16.5,106.3,AP,0.427,0.313,,6107,Magic Gem of Berserker,9,194.9,AP,0.113,,,7005,Caster Piece,4,438.5,AP,0.035,,,6007,Gem of Berserker,10.7,163.9,AP,0.043,,,7002,Archer Piece,3.7,474.1,AP,0.040,,,7007,Berserker Piece,2,877.0,AP,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",165,"20,757",,,17.2,4.0,12.2,213.9,,,,,,,,,,6511,Forbidden Page,16.400,107.0,AP,0.568,0.284,,6524,Great Knight Medal,16.400,107.0,AP,0.506,0.290,,6503,Proof of Hero,24.600,71.3,AP,0.262,0.128,,6505,Void's Dust,24.600,71.3,AP,0.405,0.199,,6522,Fool's Chain,24.600,71.3,AP,0.369,0.219,,,,,,,,,,,,,,,,,,,-1,Blue Gems,16.400,,-2,Red Gems,16.400,,-3,Gold Gems,8.200,,-6,XP,246.0
Semis: Adv,25.88,30,Lotto 2,8,,2.710,1.443,,6501,Phoenix Feather,15.64,165.5,AP,0.317,0.173,,6101,Magic Gem of Saber,12.33,209.9,AP,0.105,,,7001,Saber Piece,7.3,354.5,AP,0.053,,,6001,Gem of Saber,25,103.5,AP,0.071,,,7004,Rider Piece,6.33,408.8,AP,0.045,,,7007,Berserker Piece,6,431.3,AP,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",170,"23,532",,,27.9,6.8,7.3,188.7,,,,,,,,,,6511,Forbidden Page,27.433,94.3,AP,0.644,0.322,,6524,Great Knight Medal,27.433,94.3,AP,0.573,0.329,,6503,Proof of Hero,41.150,62.9,AP,0.297,0.146,,6505,Void's Dust,41.150,62.9,AP,0.460,0.226,,6522,Fool's Chain,41.150,62.9,AP,0.418,0.248,,,,,,,,,,,,,,,,,,,-1,Blue Gems,27.433,,-2,Red Gems,27.433,,-3,Gold Gems,13.717,,-6,XP,411.5
