Halloween 2024,,Halloween Rebellion of 108 People,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Mount Liang Safety Survey,40,40,Event,12,,0.801,0.401,,6511,Forbidden Page,52.7,75.9,AP,0.801,0.401,,6105,Magic Gem of Caster,23.7,168.8,AP,0.104,,,7005,Caster Piece,23.2,172.4,AP,0.089,,,6005,Gem of Caster,30.8,129.9,AP,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Capture the Rampaging Horse,40,40,Event,12,,0.606,0.460,,6513,Meteor Horseshoes,55.7,71.8,AP,0.606,0.460,,6004,Gem of Rider,52.4,76.3,AP,0.110,,,7004,Rider Piece,19.1,209.4,AP,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Ruffian Subjugation Request,40,40,Event,12,,0.565,0.319,,6537,Giant's Ring,50.7,78.9,AP,0.565,0.319,,6107,Magic Gem of Berserker,36.8,108.7,AP,0.202,,,7007,Berserker Piece,22,181.8,AP,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Resolve the Racket in Tavern,40,40,Event,12,,0.745,0.377,,6510,Eternal Gear,33.9,118.0,AP,0.376,0.185,,6532,Refined Magatama,33.4,119.8,AP,0.368,0.192,,6101,Magic Gem of Saber,30.6,130.7,AP,0.168,,,7101,Saber Monument,15.8,253.2,AP,0.196,,,6001,Gem of Saber,22.9,174.7,AP,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Reclaim the Lake Shore Route,40,40,Event,12,,0.910,0.530,,6521,Black Beast Grease,22.1,181.0,AP,0.513,0.313,,6530,Mystic Spinal Fluid,55.4,72.2,AP,0.397,0.217,,6106,Magic Gem of Assassin,33.7,118.7,AP,0.160,,,7106,Assassin Monument,13.1,305.3,AP,0.158,,,6006,Gem of Assassin,21.8,183.5,AP,0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Tournament with Neighboring Village,40,40,Event,12,,0.934,0.515,,6519,Warhorse's Young Horn,23.2,172.4,AP,0.499,0.302,,6515,Octuplet Crystal,37.6,106.4,AP,0.435,0.213,,6103,Magic Gem of Lancer,29.9,133.8,AP,0.150,,,7103,Lancer Monument,16.9,236.7,AP,0.202,,,6003,Gem of Lancer,29.3,136.5,AP,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Suppress Advance of Dangerous,40,40,Event,12,,1.247,0.738,,6542,Egg of Truth,21.6,185.2,AP,0.870,0.508,,6527,Deadly Poison Needle,49.5,80.8,AP,0.376,0.230,,6202,Secret Gem of Archer,25.9,154.4,AP,0.462,,,7102,Archer Monument,20.7,193.2,AP,0.250,,,6002,Gem of Archer,33.8,118.3,AP,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Restrain Corrupt Merchants,40,40,Event,12,,1.206,0.708,,6525,Scarab of Wisdom,21.4,186.9,AP,0.817,0.478,,6522,Fool's Chain,59.1,67.7,AP,0.389,0.230,,6205,Secret Gem of Caster,26.4,151.5,AP,0.326,,,7105,Caster Monument,20.1,199.0,AP,0.245,,,6005,Gem of Caster,32.2,124.2,AP,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Demonic Cavern Survey Request,40,40,Event,12,,1.312,0.815,,6548,Flaming Oni Lantern Plant,21.2,188.7,AP,0.834,0.510,,6508,Ghost Lantern,41.7,95.9,AP,0.477,0.305,,6207,Secret Gem of Berserker,31.5,127.0,AP,0.589,,,7107,Berserker Monument,21.2,188.7,AP,0.254,,,6007,Gem of Berserker,35.1,114.0,AP,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Expose the Smugglers,40,40,Event,12,,1.710,1.028,,6517,Heart of the Foreign God,26,153.8,AP,0.989,0.615,,6524,Great Knight Medal,53.3,75.0,AP,0.721,0.413,,6204,Secret Gem of Rider,31,129.0,AP,0.567,,,7104,Rider Monument,26.7,149.8,AP,0.324,,,6104,Magic Gem of Rider,33.9,118.0,AP,0.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
