Hunting Quest 14,,Hunting Quest 14,,Lotto Drop Bonus:,,12,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,Generally low sample size on Pride and Pride+ (70 or less runs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Pirate: Pride,40,40,915,Event,12,,1.590,0.835,,6536,Aurora Steel,41.18,97.1,AP,0.468,0.289,,6503,Proof of Hero,240,16.7,AP,1.122,0.547,,6202,Secret Gem of Archer,19.12,209.2,AP,0.346,,,6102,Magic Gem of Archer,29.41,136.0,AP,0.147,,,6002,Gem of Archer,8.82,453.5,AP,0.016,,,9703500,Archer Hellfire,181,22.1,AP,9.783,,,9703400,Archer Blaze,581,6.9,AP,3.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"421,200",10530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Pirate: Pride+,40,40,"1,098",Event,12,,1.873,0.968,,6536,Aurora Steel,37.68,106.2,AP,0.429,0.264,,6503,Proof of Hero,309,12.9,AP,1.445,0.704,,6202,Secret Gem of Archer,14.49,276.1,AP,0.262,,,6102,Magic Gem of Archer,18.84,212.3,AP,0.094,,,6002,Gem of Archer,11.59,345.1,AP,0.021,,,9703500,Archer Hellfire,186,21.5,AP,10.053,,,9703400,Archer Blaze,726,5.5,AP,4.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"388,080",9702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Pirate: Pride++,40,40,"1,318",Event,12,,2.378,1.232,,6536,Aurora Steel,50.37,79.4,AP,0.573,0.353,,6503,Proof of Hero,386,10.4,AP,1.805,0.879,,6202,Secret Gem of Archer,26.85,149.0,AP,0.485,,,6102,Magic Gem of Archer,23.28,171.8,AP,0.116,,,6002,Gem of Archer,5.67,705.5,AP,0.010,,,9703500,Archer Hellfire,173,23.1,AP,9.351,,,9703400,Archer Blaze,874,4.6,AP,5.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"517,236",12931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Helter Skelter: Pride,40,40,915,Event,12,,1.807,0.907,,6532,Refined Magatama,41.67,96.0,AP,0.475,0.248,,6510,Eternal Gear,123,32.5,AP,1.331,0.659,,6201,Secret Gem of Saber,15,266.7,AP,0.270,,,6101,Magic Gem of Saber,11.67,342.8,AP,0.064,,,6001,Gem of Saber,1.67,"2,395.2",AP,0.003,,,9701500,Saber Hellfire,185,21.6,AP,1.045,,,9701400,Saber Blaze,685,5.8,AP,3.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"426,100",10653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Helter Skelter: Pride+,40,40,"1,098",Event,12,,2.311,1.158,,6532,Refined Magatama,46.97,85.2,AP,0.535,0.280,,6510,Eternal Gear,164,24.4,AP,1.775,0.879,,6201,Secret Gem of Saber,13.64,293.3,AP,0.245,,,6101,Magic Gem of Saber,27.27,146.7,AP,0.151,,,6001,Gem of Saber,4.55,879.1,AP,0.009,,,9701500,Saber Hellfire,186,21.5,AP,1.051,,,9701400,Saber Blaze,718,5.6,AP,3.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480,980",12025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Helter Skelter: Pride++,40,40,"1,318",Event,12,,2.376,1.191,,6532,Refined Magatama,50.77,78.8,AP,0.579,0.302,,6510,Eternal Gear,166,24.1,AP,1.797,0.889,,6201,Secret Gem of Saber,25.61,156.2,AP,0.460,,,6101,Magic Gem of Saber,22.3,179.4,AP,0.123,,,6001,Gem of Saber,6.4,625.0,AP,0.012,,,9701500,Saber Hellfire,174,23.0,AP,0.983,,,9701400,Saber Blaze,923,4.3,AP,4.800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"521,236",13031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Annihilator: Pride,40,40,915,Event,12,,2.871,1.477,,6539,Reactor Core of Dawn,63.83,62.7,AP,1.471,0.742,,6538,Soundless Bell,42.55,94.0,AP,0.490,0.292,,6515,Octuplet Crystal,78.72,50.8,AP,0.909,0.443,,6203,Secret Gem of Lancer,19.15,208.9,AP,0.352,,,6103,Magic Gem of Lancer,25.53,156.7,AP,0.128,,,9702500,Lancer Hellfire,181,22.1,AP,9.145,,,9702400,Lancer Blaze,653,6.1,AP,3.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"434,900",10873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Annihilator: Pride+,40,40,"1,098",Event,12,,3.039,1.556,,6539,Reactor Core of Dawn,62.16,64.4,AP,1.433,0.723,,6538,Soundless Bell,40.54,98.7,AP,0.467,0.278,,6515,Octuplet Crystal,98.65,40.5,AP,1.139,0.555,,6203,Secret Gem of Lancer,21.62,185.0,AP,0.397,,,6103,Magic Gem of Lancer,24.32,164.5,AP,0.122,,,6003,Gem of Lancer,5.41,739.4,AP,0.011,,,9702500,Lancer Hellfire,178,22.5,AP,8.993,,,9702400,Lancer Blaze,730,5.5,AP,4.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"416,680",10417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Annihilator: Pride++,40,40,"1,318",Event,12,,3.670,1.881,,6539,Reactor Core of Dawn,79.84,50.1,AP,1.840,0.928,,6538,Soundless Bell,49.5,80.8,AP,0.570,0.340,,6515,Octuplet Crystal,109,36.7,AP,1.259,0.613,,6203,Secret Gem of Lancer,27.22,147.0,AP,0.500,,,6103,Magic Gem of Lancer,21.47,186.3,AP,0.108,,,6003,Gem of Lancer,6.35,629.9,AP,0.013,,,9702500,Lancer Hellfire,173,23.1,AP,8.741,,,9702400,Lancer Blaze,915,4.4,AP,5.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"508,536",12713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Chimera: Pride,40,40,915,Event,12,,3.159,1.696,,6507,Claw of Chaos,68.25,58.6,AP,1.589,0.949,,6511,Forbidden Page,80.95,49.4,AP,1.228,0.558,,6530,Mystic Spinal Fluid,47.62,84.0,AP,0.342,0.190,,6205,Secret Gem of Caster,14.29,279.9,AP,0.177,,,6105,Magic Gem of Caster,19.05,210.0,AP,0.084,,,6005,Gem of Caster,9.52,420.2,AP,0.020,,,9705500,Caster Hellfire,186,21.5,AP,0.591,,,9705400,Caster Blaze,643,6.2,AP,3.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"485,600",12140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
