Ilya's Castle,,Fuun Karakury Ilya's Castle,Lotto Drop Bonus:,,8,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,White ,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
First: Waterfall of Success,26.45,30,Lotto 1,8,,2.367,1.350,,6532,Refined Magatama,23.85,110.9,AP,0.398,0.208,,6004,Gem of Rider,9.61,275.2,AP,0.031,,,7004,Rider Piece,1.92,"1,377.6",AP,0.013,,,7003,Lancer Piece,3.84,688.8,AP,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",110,"20,060",,,23.7,5.9,8.4,223.3,,,,,,,,,,6511,Forbidden Page,23.687,111.7,AP,0.544,0.272,,6524,Great Knight Medal,23.687,111.7,AP,0.484,0.278,,6516,Evil Bone,35.530,74.4,AP,0.250,0.165,,6512,Dragon Fang,35.530,74.4,AP,0.337,0.218,,6522,Fool's Chain,35.530,74.4,AP,0.353,0.209,,,,,,,,,,,,,,,,,,,-1,Blue Gems,23.687,,-2,Red Gems,23.687,,-3,Gold Gems,11.843,,-6,XP,355.3
First: Beast Buster,30.4,35,Lotto 1,8,,2.622,1.507,,6502,Seed of Yggdrasil,35.1,86.6,AP,0.405,0.221,,6105,Magic Gem of Caster,10.4,292.3,AP,0.060,,,7005,Caster Piece,6.79,447.7,AP,0.034,,,6005,Gem of Caster,12.3,247.2,AP,0.033,,,7001,Saber Piece,3.08,987.0,AP,0.019,,,7006,Assassin Piece,7.4,410.8,AP,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",145,"22,577",,,30.0,7.7,6.5,198.4,,,,,,,,,,6511,Forbidden Page,30.640,99.2,AP,0.613,0.306,,6524,Great Knight Medal,30.640,99.2,AP,0.545,0.312,,6516,Evil Bone,45.960,66.1,AP,0.281,0.185,,6512,Dragon Fang,45.960,66.1,AP,0.379,0.246,,6522,Fool's Chain,45.960,66.1,AP,0.398,0.236,,,,,,,,,,,,,,,,,,,-1,Blue Gems,30.640,,-2,Red Gems,30.640,,-3,Gold Gems,15.320,,-6,XP,459.6
First: Door Towards Emancipation,34.14,40,Lotto 1,8,,3.080,1.790,,6549,Small Bell of Absolution,66.36,51.4,AP,0.564,0.330,,6003,Gem of Lancer,27.5,124.1,AP,0.068,,,7103,Lancer Monument,6.41,532.6,AP,0.090,,,7106,Assassin Monument,4.48,762.1,AP,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",187,"25,632",,,36.4,10.1,5.1,174.8,,,,,,,,,,6511,Forbidden Page,39.067,87.4,AP,0.696,0.348,,6524,Great Knight Medal,39.067,87.4,AP,0.619,0.355,,6516,Evil Bone,58.600,58.3,AP,0.319,0.211,,6512,Dragon Fang,58.600,58.3,AP,0.431,0.279,,6522,Fool's Chain,58.600,58.3,AP,0.451,0.268,,,,,,,,,,,,,,,,,,,-1,Blue Gems,39.067,,-2,Red Gems,39.067,,-3,Gold Gems,19.533,,-6,XP,586.0
First: The First Down,33.53,40,Lotto 1,8,,3.724,2.168,,6530,Mystic Spinal Fluid,51.97,64.5,AP,0.445,0.243,,6551,Twilit Ritual Sword,52.39,64.0,AP,0.452,0.285,,6102,Magic Gem of Archer,8.07,415.5,AP,0.048,,,7102,Archer Monument,10,335.3,AP,0.144,,,6002,Gem of Archer,9.61,348.9,AP,0.021,,,7101,Saber Monument,6.92,484.5,AP,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",251,"28,807",,,35.3,11.8,4.6,155.5,,,,,,,,,,6511,Forbidden Page,43.120,77.8,AP,0.782,0.391,,6524,Great Knight Medal,43.120,77.8,AP,0.696,0.399,,6516,Evil Bone,64.680,51.8,AP,0.359,0.237,,6512,Dragon Fang,64.680,51.8,AP,0.484,0.313,,6522,Fool's Chain,64.680,51.8,AP,0.507,0.301,,,,,,,,,,,,,,,,,,,-1,Blue Gems,43.120,,-2,Red Gems,43.120,,-3,Gold Gems,21.560,,-6,XP,646.8
First: Ayakashi Residence,31.71,40,Lotto 1,8,,4.934,2.848,,6508,Ghost Lantern,39.4,80.5,AP,0.569,0.364,,6515,Octuplet Crystal,36.3,87.4,AP,0.530,0.259,,6106,Magic Gem of Assassin,55.7,56.9,AP,0.334,,,7104,Rider Monument,4.06,781.0,AP,0.062,,,7105,Caster Monument,4.37,725.6,AP,0.067,,,7106,Assassin Monument,12.9,245.8,AP,0.196,,,7107,Berserker Monument,3.56,890.7,AP,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",296,"39,059",,,45.2,15.1,3.6,114.7,,,,,,,,,,6511,Forbidden Page,55.293,57.3,AP,1.060,0.530,,6524,Great Knight Medal,55.293,57.3,AP,0.943,0.541,,6516,Evil Bone,82.940,38.2,AP,0.486,0.321,,6512,Dragon Fang,82.940,38.2,AP,0.657,0.425,,6522,Fool's Chain,82.940,38.2,AP,0.688,0.408,,,,,,,,,,,,,,,,,,,-1,Blue Gems,55.293,,-2,Red Gems,55.293,,-3,Gold Gems,27.647,,-6,XP,829.4
First: Check of Beg - Yang,30.92,40,Lotto 1,8,,6.207,3.429,,6518,Spirit Root,25.9,119.4,AP,1.287,0.630,,6505,Void's Dust,65.8,47.0,AP,0.615,0.302,,6201,Secret Gem of Saber,31,99.7,AP,0.694,,,7101,Saber Monument,27.4,112.8,AP,0.440,,,6101,Magic Gem of Saber,11.2,276.1,AP,0.080,,,6001,Gem of Saber,11.7,264.3,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",365,"43,856",,,49.5,16.5,3.3,102.2,,,,,,,,,,6511,Forbidden Page,60.537,51.1,AP,1.190,0.595,,6524,Great Knight Medal,60.537,51.1,AP,1.059,0.607,,6516,Evil Bone,90.805,34.1,AP,0.546,0.360,,6512,Dragon Fang,90.805,34.1,AP,0.737,0.477,,6522,Fool's Chain,90.805,34.1,AP,0.772,0.458,,,,,,,,,,,,,,,,,,,-1,Blue Gems,60.537,,-2,Red Gems,60.537,,-3,Gold Gems,30.268,,-6,XP,908.1
First: Check of Beg - Yin,30.44,40,Lotto 1,8,,7.015,4.095,,6544,Fragment of a Twinkling Star,31,98.2,AP,1.513,0.890,,6545,Divine Leyline Spiritron,59.3,51.3,AP,0.898,0.535,,6207,Secret Gem of Berserker,31.8,95.7,AP,0.781,,,7107,Berserker Monument,5.82,523.0,AP,0.092,,,6007,Gem of Berserker,30.6,99.5,AP,0.070,,,7104,Rider Monument,5.6,543.6,AP,0.089,,,7105,Caster Monument,5.73,531.2,AP,0.092,,,7106,Assassin Monument,16.9,180.1,AP,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",445,"46,895",,,52.1,17.4,3.1,95.5,,,,,,,,,,6511,Forbidden Page,63.727,47.8,AP,1.273,0.636,,6524,Great Knight Medal,63.727,47.8,AP,1.133,0.649,,6516,Evil Bone,95.590,31.8,AP,0.584,0.385,,6512,Dragon Fang,95.590,31.8,AP,0.788,0.510,,6522,Fool's Chain,95.590,31.8,AP,0.826,0.490,,,,,,,,,,,,,,,,,,,-1,Blue Gems,63.727,,-2,Red Gems,63.727,,-3,Gold Gems,31.863,,-6,XP,955.9
Second: Rice Ball Slope,26.32,30,Lotto 2,8,,2.526,1.462,,6524,Great Knight Medal,23.1,113.9,AP,0.475,0.272,,6005,Gem of Caster,14.4,182.8,AP,0.045,,,7004,Rider Piece,1.44,"1,827.8",AP,0.010,,,7005,Caster Piece,7.24,363.5,AP,0.042,,,7006,Assassin Piece,4.34,606.5,AP,0.026,,,7007,Berserker Piece,2.89,910.7,AP,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",110,"20,896",,,25.5,6.0,8.1,214.4,,,,,,,,,,6511,Forbidden Page,24.553,107.2,AP,0.567,0.284,,6524,Great Knight Medal,24.553,107.2,AP,0.505,0.289,,6516,Evil Bone,36.830,71.5,AP,0.260,0.172,,6512,Dragon Fang,36.830,71.5,AP,0.351,0.227,,6522,Fool's Chain,36.830,71.5,AP,0.368,0.218,,,,,,,,,,,,,,,,,,,-1,Blue Gems,24.553,,-2,Red Gems,24.553,,-3,Gold Gems,12.277,,-6,XP,368.3
Second: Goblin World,30.34,35,Lotto 2,8,,2.670,1.554,,6538,Soundless Bell,27.6,109.9,AP,0.420,0.249,,6001,Gem of Saber,22.3,136.1,AP,0.054,,,7001,Saber Piece,15.3,198.3,AP,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",145,"22,912",,,30.3,7.9,6.4,195.5,,,,,,,,,,6511,Forbidden Page,31.033,97.8,AP,0.622,0.311,,6524,Great Knight Medal,31.033,97.8,AP,0.553,0.317,,6516,Evil Bone,46.550,65.2,AP,0.285,0.188,,6512,Dragon Fang,46.550,65.2,AP,0.385,0.249,,6522,Fool's Chain,46.550,65.2,AP,0.404,0.239,,,,,,,,,,,,,,,,,,,-1,Blue Gems,31.033,,-2,Red Gems,31.033,,-3,Gold Gems,15.517,,-6,XP,465.5
Second: 3.03cm Boat,34.04,40,Lotto 2,8,,3.161,1.858,,6526,Shell of Reminiscense,43.5,78.3,AP,0.594,0.369,,6004,Gem of Rider,34,100.1,AP,0.084,,,7104,Rider Monument,11,309.5,AP,0.157,,,7107,Berserker Monument,5.5,618.9,AP,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",188,"26,146",,,38.4,10.1,5.0,171.3,,,,,,,,,,6511,Forbidden Page,39.733,85.7,AP,0.710,0.355,,6524,Great Knight Medal,39.733,85.7,AP,0.631,0.362,,6516,Evil Bone,59.600,57.1,AP,0.326,0.215,,6512,Dragon Fang,59.600,57.1,AP,0.439,0.284,,6522,Fool's Chain,59.600,57.1,AP,0.460,0.273,,,,,,,,,,,,,,,,,,,-1,Blue Gems,39.733,,-2,Red Gems,39.733,,-3,Gold Gems,19.867,,-6,XP,596.0
