Indra's Great Trials,,Indra's Great Trial - Circling the Broken Sky,,Lotto Drop Bonus:,,6,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
The Dark Night is a Labyrinth,27.82,30,215,Lotto,6,,1.272,0.356,,6503,Proof of Hero,24.31,114.4,AP,0.163,0.034,,6001,Gem of Saber,18.06,154,AP,0.049,,,7001,Saber Piece,9.72,286.2,AP,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",,86,"17,025",,,17.4,4.4,13.8,383.5,,,,,,,,,,6550,Scale of Fantasy,14.507,191.8,AP,0.24,0.048,,6524,Great Knight Medal,14.507,191.8,AP,0.281,0.089,,6551,Ceremonial Sword of Twilight,21.76,127.8,AP,0.227,0.048,,6534,Mystic Gunpowder,21.76,127.8,AP,0.214,0.041,,6516,Evil Bone,21.76,127.8,AP,0.146,0.096,,,,,,,,,,,,,,,,,,,-1,Blue Gems,14.507,,-2,Red Gems,14.507,,-3,Gold Gems,7.253,,-6,XP,217.6
Girl Swimming in the Sea of ??Clouds,31.69,35,415,Lotto,6,,1.822,0.501,,6527,Deadly Poison Needle,35.74,88.7,AP,0.343,0.072,,6004,Gem of Rider,33.33,95.1,AP,0.088,,,7004,Rider Piece,17.27,183.5,AP,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",,139,"22,721",,,24.4,7,9.1,287.4,,,,,,,,,,6550,Scale of Fantasy,22.053,143.7,AP,0.32,0.064,,6524,Great Knight Medal,22.053,143.7,AP,0.375,0.118,,6551,Ceremonial Sword of Twilight,33.08,95.8,AP,0.303,0.064,,6534,Mystic Gunpowder,33.08,95.8,AP,0.286,0.055,,6516,Evil Bone,33.08,95.8,AP,0.195,0.128,,,,,,,,,,,,,,,,,,,-1,Blue Gems,22.053,,-2,Red Gems,22.053,,-3,Gold Gems,11.027,,-6,XP,330.8
Engrossed in the Mist,35.44,40,615,Lotto,6,,2.353,0.635,,6510,Eternal Gear,45.61,77.7,AP,0.53,0.106,,6105,Magic Gem of Caster,18.51,191.5,AP,0.092,,,7105,Caster Monument,9.92,357.3,AP,0.137,,,6005,Gem of Caster,17.75,199.7,AP,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,181,"28,007",,,31.7,9.9,6.6,233.2,,,,,,,,,,6550,Scale of Fantasy,30.4,116.6,AP,0.395,0.079,,6524,Great Knight Medal,30.4,116.6,AP,0.462,0.146,,6551,Ceremonial Sword of Twilight,45.6,77.7,AP,0.373,0.079,,6534,Mystic Gunpowder,45.6,77.7,AP,0.353,0.068,,6516,Evil Bone,45.6,77.7,AP,0.241,0.158,,,,,,,,,,,,,,,,,,,-1,Blue Gems,30.4,,-2,Red Gems,30.4,,-3,Gold Gems,15.2,,-6,XP,456
Sniper of Dusk,34.99,40,715,Lotto,6,,2.707,0.732,,6547,Ball of Rainbow Thread,51.89,67.4,AP,0.678,0.143,,6102,Magic Gem of Archer,23.26,150.4,AP,0.133,,,7102,Archer Monument,17.69,197.8,AP,0.248,,,6002,Gem of Archer,23.46,149.1,AP,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,211,"31,179",,,34.1,11,6,209.4,,,,,,,,,,6550,Scale of Fantasy,33.413,104.7,AP,0.439,0.088,,6524,Great Knight Medal,33.413,104.7,AP,0.515,0.162,,6551,Ceremonial Sword of Twilight,50.12,69.8,AP,0.415,0.088,,6534,Mystic Gunpowder,50.12,69.8,AP,0.392,0.075,,6516,Evil Bone,50.12,69.8,AP,0.268,0.176,,,,,,,,,,,,,,,,,,,-1,Blue Gems,33.413,,-2,Red Gems,33.413,,-3,Gold Gems,16.707,,-6,XP,501.2
Guardians of Clear Skies,34.62,40,815,Lotto,6,,3.321,1.056,,6521,Black Beast Grease,23.97,144.4,AP,0.641,0.128,,6541,Arrowhead of Malice,36.09,95.9,AP,0.476,0.289,,6103,Magic Gem of Lancer,30.24,114.5,AP,0.176,,,7103,Lancer Monument,16.55,209.2,AP,0.229,,,6003,Gem of Lancer,17.12,202.2,AP,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,243,"33,841",,,35.9,12,5.6,193,,,,,,,,,,6550,Scale of Fantasy,35.883,96.5,AP,0.477,0.095,,6524,Great Knight Medal,35.883,96.5,AP,0.559,0.176,,6551,Ceremonial Sword of Twilight,53.825,64.3,AP,0.451,0.095,,6534,Mystic Gunpowder,53.825,64.3,AP,0.426,0.082,,6516,Evil Bone,53.825,64.3,AP,0.291,0.191,,,,,,,,,,,,,,,,,,,-1,Blue Gems,35.883,,-2,Red Gems,35.883,,-3,Gold Gems,17.942,,-6,XP,538.3
The Call of the Storm,33.24,40,915,Lotto,6,,4.14,1.173,,6519,Warhorse's Young Horn,26.39,126,AP,0.692,0.218,,6508,Ghost Lantern,41.08,80.9,AP,0.565,0.119,,6107,Magic Gem of Berserker,26.28,126.5,AP,0.174,,,7107,Berserker Monument,21.7,153.2,AP,0.315,,,6007,Gem of Berserker,29.58,112.4,AP,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,283,"44,293",,,45.1,15,4.4,147.4,,,,,,,,,,6550,Scale of Fantasy,45.093,73.7,AP,0.624,0.125,,6524,Great Knight Medal,45.093,73.7,AP,0.731,0.231,,6551,Ceremonial Sword of Twilight,67.64,49.1,AP,0.59,0.124,,6534,Mystic Gunpowder,67.64,49.1,AP,0.558,0.107,,6516,Evil Bone,67.64,49.1,AP,0.381,0.249,,,,,,,,,,,,,,,,,,,-1,Blue Gems,45.093,,-2,Red Gems,45.093,,-3,Gold Gems,22.547,,-6,XP,676.4
The Sun Dances,32.57,40,"1,098",Lotto,6,,5.073,1.599,,6531,Mysterious Divine Wine,26.66,122.2,AP,1.161,0.245,,6554,Obsidian Blade,76.45,42.6,AP,0.678,0.417,,6206,Secret Gem of Assassin,26.14,124.6,AP,0.587,,,7106,Assassin Monument,26.43,123.2,AP,0.394,,,6006,Gem of Assassin,16.87,193.1,AP,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,346,"49,682",,,49.6,16.5,4,131.4,,,,,,,,,,6550,Scale of Fantasy,49.56,65.7,AP,0.7,0.14,,6524,Great Knight Medal,49.56,65.7,AP,0.82,0.259,,6551,Ceremonial Sword of Twilight,74.34,43.8,AP,0.662,0.139,,6534,Mystic Gunpowder,74.34,43.8,AP,0.625,0.12,,6516,Evil Bone,74.34,43.8,AP,0.427,0.28,,,,,,,,,,,,,,,,,,,-1,Blue Gems,49.56,,-2,Red Gems,49.56,,-3,Gold Gems,24.78,,-6,XP,743.4
A Single Shooting Star,31.9,40,"1,318",Lotto,6,,6.04,2.477,,6525,Scarab of Wisdom,31.3,101.9,AP,1.513,0.891,,6557,Flower of the End,63.63,50.1,AP,0.93,0.542,,6202,Secret Gem of Archer,31.32,101.9,AP,0.706,,,7102,Archer Monument,31.17,102.3,AP,0.479,,,6102,Magic Gem of Archer,16.91,188.6,AP,0.106,,,6002,Gem of Archer,16.54,192.9,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",,424,"55,266",,,54,18,3.7,118.2,,,,,,,,,,6550,Scale of Fantasy,53.997,59.1,AP,0.779,0.156,,6524,Great Knight Medal,53.997,59.1,AP,0.912,0.288,,6551,Ceremonial Sword of Twilight,80.995,39.4,AP,0.736,0.155,,6534,Mystic Gunpowder,80.995,39.4,AP,0.696,0.134,,6516,Evil Bone,80.995,39.4,AP,0.475,0.311,,,,,,,,,,,,,,,,,,,-1,Blue Gems,53.997,,-2,Red Gems,53.997,,-3,Gold Gems,26.998,,-6,XP,810
,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6550,Scale of Fantasy,,,,,,,6524,Great Knight Medal,,,,,,,6551,Ceremonial Sword of Twilight,,,,,,,6534,Mystic Gunpowder,,,,,,,6516,Evil Bone,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6550,Scale of Fantasy,,,,,,,6524,Great Knight Medal,,,,,,,6551,Ceremonial Sword of Twilight,,,,,,,6534,Mystic Gunpowder,,,,,,,6516,Evil Bone,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
