My Little Dragon,,Crawling Landmass of the Snake-Dragons: Land Serpent,,Lotto Drop Bonus:,,12,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Snake-Tail Town: Lancer,40,40,715,Event,12,,0.543,0.328,,6541,Arrowhead of Malice,47.5,84.2,AP,0.543,0.328,,6103,Magic Gem of Lancer,18.33,218.2,AP,0.092,,,7003,Lancer Piece,19.17,208.7,AP,0.090,,,6003,Gem of Lancer,29.17,137.1,AP,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Snake-Tail Town: Archer,40,40,715,Event,12,,0.545,0.301,,6526,Shell of Reminiscence,46.94,85.2,AP,0.545,0.301,,6102,Magic Gem of Archer,17.35,230.5,AP,0.087,,,7002,Archer Piece,24.49,163.3,AP,0.114,,,6002,Gem of Archer,29.59,135.2,AP,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Snake-Tail Town: Berserker,40,40,715,Event,12,,0.576,0.301,,6532,Refined Magatama,50.54,79.1,AP,0.576,0.301,,6107,Magic Gem of Berserker,18.48,216.5,AP,0.102,,,7007,Berserker Piece,17.39,230.0,AP,0.084,,,6007,Gem of Berserker,30.98,129.1,AP,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
First Scale Gate,40,40,815,Event,12,,0.755,0.453,,6513,Meteor Horseshoes,35.88,111.5,AP,0.392,0.230,,6552,Ash of Remembrance,48.35,82.7,AP,0.363,0.223,,6104,Magic Gem of Rider,16.54,241.8,AP,0.089,,,7104,Rider Monument,20.87,191.7,AP,0.260,,,6004,Gem of Rider,29.01,137.9,AP,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Second Scale Gate,40,40,815,Event,12,,0.970,0.571,,6521,Black Beast Grease,25.62,156.1,AP,0.593,0.362,,6502,Seed of Yggdrasil,42.81,93.4,AP,0.377,0.209,,6101,Magic Gem of Saber,26.25,152.4,AP,0.145,,,7101,Saber Monument,26.25,152.4,AP,0.321,,,6001,Gem of Saber,35,114.3,AP,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Reverse Scale Town,40,40,815,Event,12,,0.925,0.460,,6523,Lamp of Evil-Sealing,22.36,178.9,AP,0.532,0.242,,6530,Mystic Spinal Fluid,54.98,72.8,AP,0.393,0.218,,6105,Magic Gem of Caster,25.08,159.5,AP,0.111,,,7105,Caster Monument,16.62,240.7,AP,0.203,,,6005,Gem of Caster,27.79,143.9,AP,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Snake Belly Town,40,40,915,Event,12,,1.101,0.584,,6520,Tearstone of Blood,26.81,149.2,AP,0.727,0.364,,6527,Deadly Poison Needle,49.15,81.4,AP,0.374,0.220,,6106,Magic Gem of Assassin,31.91,125.4,AP,0.151,,,7106,Assassin Monument,21.7,184.3,AP,0.264,,,6006,Gem of Assassin,28.3,141.3,AP,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Sickle-Shaped Neck Town,40,40,915,Event,12,,1.286,0.733,,6529,Cursed Beast Gallstone,22.9,174.7,AP,0.883,0.459,,6535,Eternal Ice,39.51,101.2,AP,0.403,0.274,,6204,Secret Gem of Rider,29.55,135.4,AP,0.542,,,7104,Rider Monument,24.83,161.1,AP,0.309,,,6004,Gem of Rider,41.78,95.7,AP,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Third Scale Gate,40,40,915,Event,12,,1.236,0.685,,6531,Mysterious Divine Wine,22.07,181.2,AP,0.782,0.407,,6554,Obsidian Knife,62.76,63.7,AP,0.453,0.279,,6207,Secret Gem of Berserker,29.73,134.5,AP,0.551,,,7107,Berserker Monument,28.38,140.9,AP,0.343,,,6107,Magic Gem of Berserker,33.93,117.9,AP,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Fourth Scale Gate,40,40,"1,098",Event,12,,1.439,0.843,,6506,Dragon's Reverse Scale,25.48,157.0,AP,1.050,0.615,,6512,Dragon Fang,61.94,64.6,AP,0.389,0.228,,6203,Secret Gem of Lancer,31.45,127.2,AP,0.579,,,7103,Lancer Monument,26.69,149.9,AP,0.319,,,6003,Gem of Lancer,27.26,146.7,AP,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
