Christmas 2023 w/ Claw of Chaos,,Making Christmas Party,Lotto Drop Bonus:,,0,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Beg,29.55,30,Lotto,0,,0.381,0.232,,6526,Shell of Reminiscense,10,295.5,AP,0.105,0.073,,6004,Gem of Rider,14.55,203.1,AP,0.041,,,7004,Rider Piece,10.91,270.9,AP,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",64,"2,249",,,8.9,4.5,67.4,"1,992.1",,6507,Claw of Chaos,2.967,996.1,AP,0.093,0.055,,6515,Octuplet Crystal,2.967,996.1,AP,0.046,0.023,,6532,Refined Magatama,2.967,996.1,AP,0.044,0.023,,6527,Deadly Poison Needle,4.450,664.0,AP,0.046,0.028,,6533,Stake of Wailing Night,4.450,664.0,AP,0.041,0.026,,6535,Eternal Ice,0.519,"5,691.8",AP,0.006,0.004,,,,,,,,,,,,,,,,,,,-1,Blue Gems,2.967,,-2,Red Gems,2.967,,-3,Gold Gems,1.483,,-6,XP,44.5
Int,34.27,35,Lotto,0,,0.666,0.359,,6515,Octuplet Crystal,20.63,166.1,AP,0.278,0.136,,6005,Gem of Caster,15.63,219.3,AP,0.037,,,7005,Caster Piece,17.5,195.8,AP,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",85,"3,159",,,14.5,7.3,41.4,"1,418.1",,6507,Claw of Chaos,4.833,709.0,AP,0.130,0.077,,6515,Octuplet Crystal,4.833,709.0,AP,0.065,0.032,,6532,Refined Magatama,4.833,709.0,AP,0.062,0.032,,6527,Deadly Poison Needle,7.250,472.7,AP,0.064,0.039,,6533,Stake of Wailing Night,7.250,472.7,AP,0.058,0.036,,6535,Eternal Ice,0.846,"4,051.6",AP,0.008,0.006,,,,,,,,,,,,,,,,,,,-1,Blue Gems,4.833,,-2,Red Gems,4.833,,-3,Gold Gems,2.417,,-6,XP,72.5
Adv,38.73,40,Lotto,0,,0.911,0.521,,6530,Mystic Spinal Fluid,42.29,91.6,AP,0.312,0.177,,6006,Gem of Assassin,23.97,161.6,AP,0.045,,,7006,Assassin Piece,18.95,204.4,AP,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",114,"4,878",,,25.3,11.1,23.7,918.5,,6507,Claw of Chaos,8.433,459.2,AP,0.201,0.120,,6515,Octuplet Crystal,8.433,459.2,AP,0.101,0.049,,6532,Refined Magatama,8.433,459.2,AP,0.096,0.050,,6527,Deadly Poison Needle,12.650,306.2,AP,0.099,0.061,,6533,Stake of Wailing Night,12.650,306.2,AP,0.089,0.056,,6535,Eternal Ice,1.476,"2,624.3",AP,0.012,0.009,,,,,,,,,,,,,,,,,,,-1,Blue Gems,8.433,,-2,Red Gems,8.433,,-3,Gold Gems,4.217,,-6,XP,126.5
Fish,38.61,40,Lotto,0,,1.226,0.692,,6531,Mysterious Divine Wine,8.22,469.7,AP,0.300,0.147,,6533,Stake of Wailing Night,37.78,102.2,AP,0.268,0.167,,6203,Secret Gem of Lancer,5.83,662.3,AP,0.111,,,7003,Lancer Piece,21.2,182.1,AP,0.102,,,6003,Gem of Lancer,28.8,134.1,AP,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",140,"5,357",,,27.7,11.4,21.7,836.3,,6507,Claw of Chaos,9.233,418.2,AP,0.221,0.131,,6515,Octuplet Crystal,9.233,418.2,AP,0.110,0.054,,6532,Refined Magatama,9.233,418.2,AP,0.105,0.055,,6527,Deadly Poison Needle,13.850,278.8,AP,0.109,0.067,,6533,Stake of Wailing Night,13.850,278.8,AP,0.098,0.061,,6535,Eternal Ice,1.616,"2,389.5",AP,0.013,0.010,,,,,,,,,,,,,,,,,,,-1,Blue Gems,9.233,,-2,Red Gems,9.233,,-3,Gold Gems,4.617,,-6,XP,138.5
Vegetable,38.41,40,Lotto,0,,1.493,0.895,,6546,Fruit of Eternity,16.27,236.1,AP,0.391,0.196,,6513,Meteor Horseshoes,30.55,125.7,AP,0.344,0.263,,6207,Secret Gem of Berserker,16.04,239.5,AP,0.311,,,7107,Berserker Monument,11.1,346.0,AP,0.139,,,6007,Gem of Berserker,33.5,114.7,AP,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",167,"6,182",,,31.8,12.0,18.9,724.7,,6507,Claw of Chaos,10.600,362.4,AP,0.255,0.152,,6515,Octuplet Crystal,10.600,362.4,AP,0.127,0.062,,6532,Refined Magatama,10.600,362.4,AP,0.122,0.064,,6527,Deadly Poison Needle,15.900,241.6,AP,0.126,0.077,,6533,Stake of Wailing Night,15.900,241.6,AP,0.113,0.071,,6535,Eternal Ice,1.855,"2,070.6",AP,0.015,0.011,,,,,,,,,,,,,,,,,,,-1,Blue Gems,10.600,,-2,Red Gems,10.600,,-3,Gold Gems,5.300,,-6,XP,159.0
Meat,38.34,40,Lotto,0,,1.746,0.976,,6506,Dragon's Reverse Scale,13.24,289.6,AP,0.568,0.331,,6510,Eternal Gear,33.59,114.1,AP,0.385,0.189,,6202,Secret Gem of Archer,10.95,350.1,AP,0.204,,,7102,Archer Monument,16,239.6,AP,0.202,,,6102,Magic Gem of Archer,28.2,136.0,AP,0.147,,,6002,Gem of Archer,12.1,316.9,AP,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",193,"6,466",,,33.2,12.7,18.1,692.9,,6507,Claw of Chaos,11.067,346.4,AP,0.267,0.159,,6515,Octuplet Crystal,11.067,346.4,AP,0.133,0.065,,6532,Refined Magatama,11.067,346.4,AP,0.127,0.066,,6527,Deadly Poison Needle,16.600,231.0,AP,0.132,0.080,,6533,Stake of Wailing Night,16.600,231.0,AP,0.119,0.074,,6535,Eternal Ice,1.937,"1,979.7",AP,0.016,0.012,,,,,,,,,,,,,,,,,,,-1,Blue Gems,11.067,,-2,Red Gems,11.067,,-3,Gold Gems,5.533,,-6,XP,166.0
Cheese,38.3,40,Lotto,0,,1.500,0.938,,6523,Lamp of Evil-Sealing,23.6,162.3,AP,0.246,0.148,,6514,Homunculus Baby,37.33,102.6,AP,0.443,0.324,,6101,Magic Gem of Saber,33.12,115.6,AP,0.191,,,7101,Saber Monument,19,201.6,AP,0.246,,,6001,Gem of Saber,11.7,327.4,AP,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",219,"6,609",,,33.9,12.8,17.7,677.9,,6507,Claw of Chaos,11.300,338.9,AP,0.273,0.162,,6515,Octuplet Crystal,11.300,338.9,AP,0.136,0.067,,6532,Refined Magatama,11.300,338.9,AP,0.130,0.068,,6527,Deadly Poison Needle,16.950,226.0,AP,0.135,0.082,,6533,Stake of Wailing Night,16.950,226.0,AP,0.121,0.076,,6535,Eternal Ice,1.978,"1,936.8",AP,0.016,0.012,,,,,,,,,,,,,,,,,,,-1,Blue Gems,11.300,,-2,Red Gems,11.300,,-3,Gold Gems,5.650,,-6,XP,169.5
Noodle,37.76,40,Lotto,0,,2.470,1.461,,6542,Egg of Truth,21.05,179.4,AP,0.896,0.524,,6508,Ghost Lantern,40.49,93.3,AP,0.489,0.313,,6203,Secret Gem of Lancer,21.27,177.5,AP,0.414,,,7103,Lancer Monument,21.8,173.2,AP,0.276,,,6003,Gem of Lancer,22.4,168.6,AP,0.050,,,6003,Gem of Lancer,5.8,651.0,AP,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",249,"8,839",,,44.7,16.9,13.4,506.8,,6507,Claw of Chaos,14.900,253.4,AP,0.365,0.217,,6515,Octuplet Crystal,14.900,253.4,AP,0.182,0.089,,6532,Refined Magatama,14.900,253.4,AP,0.174,0.091,,6527,Deadly Poison Needle,22.350,168.9,AP,0.180,0.110,,6533,Stake of Wailing Night,22.350,168.9,AP,0.162,0.101,,6535,Eternal Ice,2.608,"1,448.1",AP,0.022,0.016,,,,,,,,,,,,,,,,,,,-1,Blue Gems,14.900,,-2,Red Gems,14.900,,-3,Gold Gems,7.450,,-6,XP,223.5
Tidying Up,37.76,40,Lotto,0,,2.876,1.691,,6548,Flaming Oni Lantern Plant,26.3,143.6,AP,1.095,0.669,,6543,Crown of Silvery Light,52.19,72.4,AP,0.694,0.397,,6206,Secret Gem of Assassin,31.36,120.4,AP,0.610,,,7106,Assassin Monument,26.1,144.7,AP,0.334,,,6006,Gem of Assassin,5.9,640.0,AP,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",249,"8,859",,,44.8,16.6,13.4,505.7,,6507,Claw of Chaos,14.933,252.9,AP,0.365,0.217,,6515,Octuplet Crystal,14.933,252.9,AP,0.183,0.089,,6532,Refined Magatama,14.933,252.9,AP,0.174,0.091,,6527,Deadly Poison Needle,22.400,168.6,AP,0.180,0.110,,6533,Stake of Wailing Night,22.400,168.6,AP,0.163,0.101,,6535,Eternal Ice,2.613,"1,444.9",AP,0.022,0.016,,,,,,,,,,,,,,,,,,,-1,Blue Gems,14.933,,-2,Red Gems,14.933,,-3,Gold Gems,7.467,,-6,XP,224.0
Ice Cream,,,NonAP,0,,,,,6535,Eternal Ice,43.15,0.0,AP,,0.000,,6106,Magic Gem of Assassin,11.22,0.0,AP,,,,6006,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,,,,,,,,,6507,Claw of Chaos,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
