Christmas 2023 w/ Claw of Chaos,,Making Christmas Party,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Beg,26.85,30,Lotto,12,,2.262,1.315,,6526,Shell of Reminiscense,10,268.5,AP,0.116,0.081,,6004,Gem of Rider,14.55,184.5,AP,0.046,,,7004,Rider Piece,10.91,246.1,AP,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",71,"17,492",,,8.9,4.5,9.5,256.1,,6507,Claw of Chaos,20.967,128.1,AP,0.722,0.429,,6515,Octuplet Crystal,20.967,128.1,AP,0.361,0.176,,6532,Refined Magatama,20.967,128.1,AP,0.344,0.180,,6527,Deadly Poison Needle,31.450,85.4,AP,0.356,0.217,,6533,Stake of Wailing Night,31.450,85.4,AP,0.321,0.200,,6535,Eternal Ice,3.669,731.8,AP,0.043,0.032,,,,,,,,,,,,,,,,,,,-1,Blue Gems,20.967,,-2,Red Gems,20.967,,-3,Gold Gems,10.483,,-6,XP,314.5
Int,29.89,35,Lotto,12,,3.449,1.955,,6515,Octuplet Crystal,20.63,144.9,AP,0.319,0.156,,6005,Gem of Caster,15.63,191.2,AP,0.042,,,7005,Caster Piece,17.5,170.8,AP,0.090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",97,"25,505",,,14.5,7.3,5.9,175.7,,6507,Claw of Chaos,34.033,87.8,AP,1.052,0.626,,6515,Octuplet Crystal,34.033,87.8,AP,0.526,0.257,,6532,Refined Magatama,34.033,87.8,AP,0.502,0.262,,6527,Deadly Poison Needle,51.050,58.6,AP,0.519,0.317,,6533,Stake of Wailing Night,51.050,58.6,AP,0.468,0.292,,6535,Eternal Ice,5.956,501.9,AP,0.063,0.047,,,,,,,,,,,,,,,,,,,-1,Blue Gems,34.033,,-2,Red Gems,34.033,,-3,Gold Gems,17.017,,-6,XP,510.5
Adv,32.07,40,Lotto,12,,4.906,2.817,,6530,Mystic Spinal Fluid,42.29,75.8,AP,0.377,0.213,,6006,Gem of Assassin,23.97,133.8,AP,0.055,,,7006,Assassin Piece,18.95,169.2,AP,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",137,"36,903",,,25.3,11.1,3.8,121.4,,6507,Claw of Chaos,52.833,60.7,AP,1.522,0.905,,6515,Octuplet Crystal,52.833,60.7,AP,0.761,0.372,,6532,Refined Magatama,52.833,60.7,AP,0.727,0.379,,6527,Deadly Poison Needle,79.250,40.5,AP,0.751,0.458,,6533,Stake of Wailing Night,79.250,40.5,AP,0.677,0.422,,6535,Eternal Ice,9.246,346.9,AP,0.091,0.068,,,,,,,,,,,,,,,,,,,-1,Blue Gems,52.833,,-2,Red Gems,52.833,,-3,Gold Gems,26.417,,-6,XP,792.5
Fish,31.77,40,Lotto,12,,5.435,3.109,,6531,Mysterious Divine Wine,8.22,386.5,AP,0.365,0.178,,6533,Stake of Wailing Night,37.78,84.1,AP,0.326,0.203,,6203,Secret Gem of Lancer,5.83,544.9,AP,0.135,,,7003,Lancer Piece,21.2,149.9,AP,0.123,,,6003,Gem of Lancer,28.8,110.3,AP,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",170,"38,661",,,27.7,11.4,3.6,115.9,,6507,Claw of Chaos,54.833,57.9,AP,1.595,0.948,,6515,Octuplet Crystal,54.833,57.9,AP,0.797,0.389,,6532,Refined Magatama,54.833,57.9,AP,0.761,0.397,,6527,Deadly Poison Needle,82.250,38.6,AP,0.787,0.480,,6533,Stake of Wailing Night,82.250,38.6,AP,0.709,0.442,,6535,Eternal Ice,9.596,331.1,AP,0.095,0.071,,,,,,,,,,,,,,,,,,,-1,Blue Gems,54.833,,-2,Red Gems,54.833,,-3,Gold Gems,27.417,,-6,XP,822.5
Vegetable,31.21,40,Lotto,12,,6.065,3.533,,6546,Fruit of Eternity,16.27,191.8,AP,0.481,0.242,,6513,Meteor Horseshoes,30.55,102.2,AP,0.423,0.323,,6207,Secret Gem of Berserker,16.04,194.6,AP,0.382,,,7107,Berserker Monument,11.1,281.2,AP,0.171,,,6007,Gem of Berserker,33.5,93.2,AP,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",205,"42,058",,,31.8,12.0,3.4,106.5,,6507,Claw of Chaos,58.600,53.3,AP,1.735,1.032,,6515,Octuplet Crystal,58.600,53.3,AP,0.867,0.423,,6532,Refined Magatama,58.600,53.3,AP,0.828,0.432,,6527,Deadly Poison Needle,87.900,35.5,AP,0.856,0.522,,6533,Stake of Wailing Night,87.900,35.5,AP,0.772,0.481,,6535,Eternal Ice,10.255,304.3,AP,0.103,0.078,,,,,,,,,,,,,,,,,,,-1,Blue Gems,58.600,,-2,Red Gems,58.600,,-3,Gold Gems,29.300,,-6,XP,879.0
Meat,30.72,40,Lotto,12,,6.725,3.833,,6506,Dragon's Reverse Scale,13.24,232.0,AP,0.709,0.413,,6510,Eternal Gear,33.59,91.5,AP,0.480,0.236,,6202,Secret Gem of Archer,10.95,280.5,AP,0.255,,,7102,Archer Monument,16,192.0,AP,0.252,,,6102,Magic Gem of Archer,28.2,108.9,AP,0.184,,,6002,Gem of Archer,12.1,253.9,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",241,"45,111",,,33.2,12.7,3.2,99.3,,6507,Claw of Chaos,61.867,49.7,AP,1.861,1.107,,6515,Octuplet Crystal,61.867,49.7,AP,0.930,0.454,,6532,Refined Magatama,61.867,49.7,AP,0.888,0.463,,6527,Deadly Poison Needle,92.800,33.1,AP,0.918,0.560,,6533,Stake of Wailing Night,92.800,33.1,AP,0.828,0.516,,6535,Eternal Ice,10.827,283.7,AP,0.111,0.083,,,,,,,,,,,,,,,,,,,-1,Blue Gems,61.867,,-2,Red Gems,61.867,,-3,Gold Gems,30.933,,-6,XP,928.0
Cheese,30.62,40,Lotto,12,,6.473,3.817,,6523,Lamp of Evil-Sealing,23.6,129.7,AP,0.308,0.186,,6514,Homunculus Baby,37.33,82.0,AP,0.553,0.405,,6101,Magic Gem of Saber,33.12,92.5,AP,0.239,,,7101,Saber Monument,19,161.2,AP,0.307,,,6001,Gem of Saber,11.7,261.7,AP,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",274,"45,722",,,33.9,12.8,3.2,98.0,,6507,Claw of Chaos,62.500,49.0,AP,1.886,1.121,,6515,Octuplet Crystal,62.500,49.0,AP,0.943,0.460,,6532,Refined Magatama,62.500,49.0,AP,0.900,0.470,,6527,Deadly Poison Needle,93.750,32.7,AP,0.931,0.568,,6533,Stake of Wailing Night,93.750,32.7,AP,0.839,0.523,,6535,Eternal Ice,10.938,280.0,AP,0.112,0.084,,,,,,,,,,,,,,,,,,,-1,Blue Gems,62.500,,-2,Red Gems,62.500,,-3,Gold Gems,31.250,,-6,XP,937.5
Noodle,27.65,40,Lotto,12,,10.074,5.849,,6542,Egg of Truth,21.05,131.4,AP,1.224,0.716,,6508,Ghost Lantern,40.49,68.3,AP,0.668,0.428,,6203,Secret Gem of Lancer,21.27,130.0,AP,0.565,,,7103,Lancer Monument,21.8,126.8,AP,0.377,,,6003,Gem of Lancer,22.4,123.4,AP,0.068,,,6003,Gem of Lancer,5.8,476.7,AP,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",340,"66,673",,,44.7,16.9,2.4,67.2,,6507,Claw of Chaos,82.300,33.6,AP,2.750,1.635,,6515,Octuplet Crystal,82.300,33.6,AP,1.375,0.671,,6532,Refined Magatama,82.300,33.6,AP,1.313,0.685,,6527,Deadly Poison Needle,123.450,22.4,AP,1.357,0.828,,6533,Stake of Wailing Night,123.450,22.4,AP,1.223,0.762,,6535,Eternal Ice,14.403,192.0,AP,0.164,0.123,,,,,,,,,,,,,,,,,,,-1,Blue Gems,82.300,,-2,Red Gems,82.300,,-3,Gold Gems,41.150,,-6,XP,1234.5
Tidying Up,27.81,40,Lotto,12,,10.462,6.067,,6548,Flaming Oni Lantern Plant,26.3,105.7,AP,1.487,0.909,,6543,Crown of Silvery Light,52.19,53.3,AP,0.942,0.539,,6206,Secret Gem of Assassin,31.36,88.7,AP,0.829,,,7106,Assassin Monument,26.1,106.6,AP,0.453,,,6006,Gem of Assassin,5.9,471.4,AP,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",338,"65,460",,,44.8,16.6,2.5,68.4,,6507,Claw of Chaos,81.269,34.2,AP,2.700,1.606,,6515,Octuplet Crystal,81.269,34.2,AP,1.350,0.659,,6532,Refined Magatama,81.269,34.2,AP,1.289,0.672,,6527,Deadly Poison Needle,121.904,22.8,AP,1.333,0.813,,6533,Stake of Wailing Night,121.904,22.8,AP,1.201,0.748,,6535,Eternal Ice,14.222,195.5,AP,0.161,0.121,,,,,,,,,,,,,,,,,,,-1,Blue Gems,81.269,,-2,Red Gems,81.269,,-3,Gold Gems,40.635,,-6,XP,1219.0
Ice Cream,,,NonAP,12,,,,,6535,Eternal Ice,43.15,0.0,AP,,0.000,,6106,Magic Gem of Assassin,11.22,0.0,AP,,,,6006,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,,,,,,,,,6507,Claw of Chaos,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
