Christmas 2023 w/ Aurora Steel,,Making Christmas Party,Lotto Drop Bonus:,,6,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Beg,28.2,30,Lotto,6,,1.020,0.608,,6526,Shell of Reminiscense,10,282.0,AP,0.110,0.077,,6004,Gem of Rider,14.55,193.8,AP,0.043,,,7004,Rider Piece,10.91,258.5,AP,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,900",67,"9,505",,,8.9,4.5,16.7,471.3,,6536,Aurora Steel,11.967,235.7,AP,0.135,0.093,,6515,Octuplet Crystal,11.967,235.7,AP,0.196,0.096,,6532,Refined Magatama,11.967,235.7,AP,0.187,0.098,,6527,Deadly Poison Needle,17.950,157.1,AP,0.194,0.118,,6533,Stake of Wailing Night,17.950,157.1,AP,0.174,0.109,,6535,Eternal Ice,2.094,"1,346.6",AP,0.023,0.018,,,,,,,,,,,,,,,,,,,-1,Blue Gems,11.967,,-2,Red Gems,11.967,,-3,Gold Gems,5.983,,-6,XP,179.5
Int,32.08,35,Lotto,6,,1.595,0.903,,6515,Octuplet Crystal,20.63,155.5,AP,0.297,0.145,,6005,Gem of Caster,15.63,205.2,AP,0.039,,,7005,Caster Piece,17.5,183.3,AP,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",90,"13,569",,,14.5,7.3,10.3,330.2,,6536,Aurora Steel,19.433,165.1,AP,0.193,0.133,,6515,Octuplet Crystal,19.433,165.1,AP,0.280,0.137,,6532,Refined Magatama,19.433,165.1,AP,0.267,0.139,,6527,Deadly Poison Needle,29.150,110.1,AP,0.276,0.169,,6533,Stake of Wailing Night,29.150,110.1,AP,0.249,0.155,,6535,Eternal Ice,3.401,943.3,AP,0.033,0.025,,,,,,,,,,,,,,,,,,,-1,Blue Gems,19.433,,-2,Red Gems,19.433,,-3,Gold Gems,9.717,,-6,XP,291.5
Adv,35.4,40,Lotto,6,,2.196,1.276,,6530,Mystic Spinal Fluid,42.29,83.7,AP,0.342,0.193,,6006,Gem of Assassin,23.97,147.7,AP,0.049,,,7006,Assassin Piece,18.95,186.8,AP,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",124,"19,384",,,25.3,11.1,6.5,231.1,,6536,Aurora Steel,30.633,115.6,AP,0.275,0.190,,6515,Octuplet Crystal,30.633,115.6,AP,0.400,0.195,,6532,Refined Magatama,30.633,115.6,AP,0.382,0.199,,6527,Deadly Poison Needle,45.950,77.0,AP,0.395,0.241,,6533,Stake of Wailing Night,45.950,77.0,AP,0.356,0.222,,6535,Eternal Ice,5.361,660.3,AP,0.048,0.036,,,,,,,,,,,,,,,,,,,-1,Blue Gems,30.633,,-2,Red Gems,30.633,,-3,Gold Gems,15.317,,-6,XP,459.5
Fish,35.19,40,Lotto,6,,2.574,1.483,,6531,Mysterious Divine Wine,8.22,428.1,AP,0.329,0.161,,6533,Stake of Wailing Night,37.78,93.1,AP,0.294,0.183,,6203,Secret Gem of Lancer,5.83,603.6,AP,0.122,,,7003,Lancer Piece,21.2,166.0,AP,0.111,,,6003,Gem of Lancer,28.8,122.2,AP,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",153,"20,391",,,27.7,11.4,6.2,219.7,,6536,Aurora Steel,32.033,109.9,AP,0.289,0.200,,6515,Octuplet Crystal,32.033,109.9,AP,0.421,0.205,,6532,Refined Magatama,32.033,109.9,AP,0.401,0.209,,6527,Deadly Poison Needle,48.050,73.2,AP,0.415,0.253,,6533,Stake of Wailing Night,48.050,73.2,AP,0.374,0.233,,6535,Eternal Ice,5.606,627.7,AP,0.050,0.038,,,,,,,,,,,,,,,,,,,-1,Blue Gems,32.033,,-2,Red Gems,32.033,,-3,Gold Gems,16.017,,-6,XP,480.5
Vegetable,34.81,40,Lotto,6,,2.940,1.750,,6546,Fruit of Eternity,16.27,214.0,AP,0.431,0.217,,6513,Meteor Horseshoes,30.55,113.9,AP,0.379,0.290,,6207,Secret Gem of Berserker,16.04,217.0,AP,0.343,,,7107,Berserker Monument,11.1,313.6,AP,0.153,,,6007,Gem of Berserker,33.5,103.9,AP,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",184,"22,265",,,31.8,12.0,5.8,201.2,,6536,Aurora Steel,34.600,100.6,AP,0.316,0.219,,6515,Octuplet Crystal,34.600,100.6,AP,0.459,0.224,,6532,Refined Magatama,34.600,100.6,AP,0.438,0.229,,6527,Deadly Poison Needle,51.900,67.1,AP,0.453,0.277,,6533,Stake of Wailing Night,51.900,67.1,AP,0.409,0.255,,6535,Eternal Ice,6.055,574.9,AP,0.055,0.041,,,,,,,,,,,,,,,,,,,-1,Blue Gems,34.600,,-2,Red Gems,34.600,,-3,Gold Gems,17.300,,-6,XP,519.0
Meat,34.53,40,Lotto,6,,3.321,1.899,,6506,Dragon's Reverse Scale,13.24,260.8,AP,0.631,0.367,,6510,Eternal Gear,33.59,102.8,AP,0.427,0.210,,6202,Secret Gem of Archer,10.95,315.3,AP,0.227,,,7102,Archer Monument,16,215.8,AP,0.224,,,6102,Magic Gem of Archer,28.2,122.4,AP,0.163,,,6002,Gem of Archer,12.1,285.4,AP,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",214,"23,656",,,33.2,12.7,5.5,189.4,,6536,Aurora Steel,36.467,94.7,AP,0.336,0.232,,6515,Octuplet Crystal,36.467,94.7,AP,0.488,0.238,,6532,Refined Magatama,36.467,94.7,AP,0.466,0.243,,6527,Deadly Poison Needle,54.700,63.1,AP,0.482,0.294,,6533,Stake of Wailing Night,54.700,63.1,AP,0.434,0.270,,6535,Eternal Ice,6.382,541.1,AP,0.058,0.044,,,,,,,,,,,,,,,,,,,-1,Blue Gems,36.467,,-2,Red Gems,36.467,,-3,Gold Gems,18.233,,-6,XP,547.0
Cheese,34.46,40,Lotto,6,,3.060,1.864,,6523,Lamp of Evil-Sealing,23.6,146.0,AP,0.274,0.165,,6514,Homunculus Baby,37.33,92.3,AP,0.492,0.360,,6101,Magic Gem of Saber,33.12,104.0,AP,0.212,,,7101,Saber Monument,19,181.4,AP,0.273,,,6001,Gem of Saber,11.7,294.5,AP,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",244,"23,986",,,33.9,12.8,5.4,186.8,,6536,Aurora Steel,36.900,93.4,AP,0.341,0.235,,6515,Octuplet Crystal,36.900,93.4,AP,0.495,0.242,,6532,Refined Magatama,36.900,93.4,AP,0.472,0.246,,6527,Deadly Poison Needle,55.350,62.3,AP,0.488,0.298,,6533,Stake of Wailing Night,55.350,62.3,AP,0.440,0.274,,6535,Eternal Ice,6.458,533.6,AP,0.059,0.044,,,,,,,,,,,,,,,,,,,-1,Blue Gems,36.900,,-2,Red Gems,36.900,,-3,Gold Gems,18.450,,-6,XP,553.5
Noodle,32.71,40,Lotto,6,,4.783,2.826,,6542,Egg of Truth,21.05,155.4,AP,1.035,0.605,,6508,Ghost Lantern,40.49,80.8,AP,0.564,0.362,,6203,Secret Gem of Lancer,21.27,153.8,AP,0.478,,,7103,Lancer Monument,21.8,150.0,AP,0.319,,,6003,Gem of Lancer,22.4,146.0,AP,0.058,,,6003,Gem of Lancer,5.8,564.0,AP,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",287,"33,282",,,44.7,16.9,4.1,134.6,,6536,Aurora Steel,48.600,67.3,AP,0.472,0.327,,6515,Octuplet Crystal,48.600,67.3,AP,0.686,0.335,,6532,Refined Magatama,48.600,67.3,AP,0.655,0.342,,6527,Deadly Poison Needle,72.900,44.9,AP,0.678,0.413,,6533,Stake of Wailing Night,72.900,44.9,AP,0.611,0.380,,6535,Eternal Ice,8.505,384.6,AP,0.082,0.061,,,,,,,,,,,,,,,,,,,-1,Blue Gems,48.600,,-2,Red Gems,48.600,,-3,Gold Gems,24.300,,-6,XP,729.0
Tidying Up,32.78,40,Lotto,6,,5.205,3.064,,6548,Flaming Oni Lantern Plant,26.3,124.6,AP,1.261,0.771,,6543,Crown of Silvery Light,52.19,62.8,AP,0.799,0.457,,6206,Secret Gem of Assassin,31.36,104.5,AP,0.703,,,7106,Assassin Monument,26.1,125.6,AP,0.385,,,6006,Gem of Assassin,5.9,555.6,AP,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",287,"32,870",,,44.8,16.6,4.2,136.3,,6536,Aurora Steel,48.101,68.1,AP,0.467,0.323,,6515,Octuplet Crystal,48.101,68.1,AP,0.678,0.331,,6532,Refined Magatama,48.101,68.1,AP,0.647,0.338,,6527,Deadly Poison Needle,72.152,45.4,AP,0.669,0.408,,6533,Stake of Wailing Night,72.152,45.4,AP,0.603,0.376,,6535,Eternal Ice,8.418,389.4,AP,0.081,0.061,,,,,,,,,,,,,,,,,,,-1,Blue Gems,48.101,,-2,Red Gems,48.101,,-3,Gold Gems,24.051,,-6,XP,721.5
Ice Cream,,,NonAP,6,,,,,6535,Eternal Ice,43.15,0.0,AP,,0.000,,6106,Magic Gem of Assassin,11.22,0.0,AP,,,,6006,Gem of Assassin,34.06,0.0,AP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,,,,,,,,,6536,Aurora Steel,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6536,Aurora Steel,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6536,Aurora Steel,,,,,,,6515,Octuplet Crystal,,,,,,,6532,Refined Magatama,,,,,,,6527,Deadly Poison Needle,,,,,,,6533,Stake of Wailing Night,,,,,,,6535,Eternal Ice,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
