Faerie Knight Cup,,Chaldea Tam Lin Cup,Lotto Drop Bonus:,,4,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,White ,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
First: Assassin Steps,27.64,30,Lotto 1,4,,1.342,0.814,,6505,Void's Dust,16.7,165.5,AP,0.175,0.086,,6106,Magic Gem of Assassin,10.4,265.8,AP,0.071,,,7006,Assassin Piece,9.79,282.3,AP,0.056,,,6006,Gem of Assassin,12.5,221.1,AP,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",105,"12,751",,,23.6,5.9,12.7,351.4,,,,,,,,,,6536,Aurora Steel,15.733,175.7,AP,0.256,0.157,,6514,Homunculus Baby,15.733,175.7,AP,0.258,0.189,,6527,Deadly Poison Needle,23.600,117.1,AP,0.260,0.159,,6503,Proof of Hero,23.600,117.1,AP,0.160,0.078,,6533,Stake of Wailing Night,23.600,117.1,AP,0.233,0.145,,,,,,,,,,,,,,,,,,,-1,Blue Gems,15.733,,-2,Red Gems,15.733,,-3,Gold Gems,7.867,,-6,XP,236.0
First: Whalebone,31.82,35,Lotto 1,4,,1.603,0.969,,6510,Eternal Gear,16.9,188.3,AP,0.236,0.116,,6205,Secret Gem of Caster,5.51,577.5,AP,0.086,,,7005,Caster Piece,10.6,300.2,AP,0.051,,,6105,Magic Gem of Caster,4.33,734.9,AP,0.024,,,6005,Gem of Caster,16.9,188.3,AP,0.044,,,7004,Rider Piece,1.96,"1,623.5",AP,0.011,,,7006,Assassin Piece,2.36,"1,348.3",AP,0.012,,,7007,Berserker Piece,1.96,"1,623.5",AP,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",138,"14,943",,,31.2,8.1,9.4,299.8,,,,,,,,,,6536,Aurora Steel,21.227,149.9,AP,0.300,0.184,,6514,Homunculus Baby,21.227,149.9,AP,0.303,0.222,,6527,Deadly Poison Needle,31.840,99.9,AP,0.304,0.186,,6503,Proof of Hero,31.840,99.9,AP,0.187,0.092,,6533,Stake of Wailing Night,31.840,99.9,AP,0.273,0.170,,,,,,,,,,,,,,,,,,,-1,Blue Gems,21.227,,-2,Red Gems,21.227,,-3,Gold Gems,10.613,,-6,XP,318.4
First: Beat the Ogre,36.21,40,Lotto 1,4,,1.680,1.057,,6516,Evil Bone,48.9,74.0,AP,0.251,0.166,,6104,Magic Gem of Rider,13.4,270.2,AP,0.080,,,7104,Rider Monument,10.8,335.3,AP,0.145,,,6004,Gem of Rider,26.8,135.1,AP,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",177,"15,610",,,35.7,10.0,7.9,287.0,,,,,,,,,,6536,Aurora Steel,25.233,143.5,AP,0.314,0.192,,6514,Homunculus Baby,25.233,143.5,AP,0.316,0.232,,6527,Deadly Poison Needle,37.850,95.7,AP,0.318,0.194,,6503,Proof of Hero,37.850,95.7,AP,0.195,0.096,,6533,Stake of Wailing Night,37.850,95.7,AP,0.285,0.177,,,,,,,,,,,,,,,,,,,-1,Blue Gems,25.233,,-2,Red Gems,25.233,,-3,Gold Gems,12.617,,-6,XP,378.5
First: Towering Walls,35.82,40,Lotto 1,4,,2.892,1.688,,6518,Spirit Root,20.1,178.2,AP,0.862,0.422,,6533,Stake of Wailing Night,57.4,62.4,AP,0.437,0.272,,6201,Secret Gem of Saber,3.72,962.9,AP,0.072,,,7101,Saber Monument,19.2,186.6,AP,0.266,,,6101,Magic Gem of Saber,21.3,168.2,AP,0.131,,,6001,Gem of Saber,20.7,173.0,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",235,"17,406",,,35.9,11.9,7.2,257.4,,,,,,,,,,6536,Aurora Steel,27.833,128.7,AP,0.350,0.214,,6514,Homunculus Baby,27.833,128.7,AP,0.353,0.258,,6527,Deadly Poison Needle,41.750,85.8,AP,0.354,0.216,,6503,Proof of Hero,41.750,85.8,AP,0.218,0.107,,6533,Stake of Wailing Night,41.750,85.8,AP,0.318,0.198,,,,,,,,,,,,,,,,,,,-1,Blue Gems,27.833,,-2,Red Gems,27.833,,-3,Gold Gems,13.917,,-6,XP,417.5
First: Tarantula Walk,34.73,40,Lotto 1,4,,3.224,1.982,,6507,Claw of Chaos,23.5,147.8,AP,0.625,0.369,,6547,Ball of Rainbow Thread,39.7,87.5,AP,0.526,0.321,,6203,Secret Gem of Lancer,10,347.3,AP,0.212,,,7103,Lancer Monument,20.2,171.9,AP,0.278,,,6103,Magic Gem of Lancer,42.7,81.3,AP,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",271,"22,649",,,45.2,15.1,5.7,197.8,,,,,,,,,,6536,Aurora Steel,35.117,98.9,AP,0.455,0.279,,6514,Homunculus Baby,35.117,98.9,AP,0.459,0.336,,6527,Deadly Poison Needle,52.675,65.9,AP,0.461,0.282,,6503,Proof of Hero,52.675,65.9,AP,0.284,0.139,,6533,Stake of Wailing Night,52.675,65.9,AP,0.414,0.257,,,,,,,,,,,,,,,,,,,-1,Blue Gems,35.117,,-2,Red Gems,35.117,,-3,Gold Gems,17.558,,-6,XP,526.8
First: Egg Fight,34.74,40,Lotto 1,4,,3.931,2.353,,6542,Egg of Truth,26.13,133.0,AP,1.212,0.708,,6530,Mystic Spinal Fluid,78.79,44.1,AP,0.651,0.356,,6104,Magic Gem of Rider,38,91.4,AP,0.236,,,7104,Rider Monument,13.5,257.3,AP,0.189,,,6004,Gem of Rider,21.3,163.1,AP,0.052,,,7101,Saber Monument,13.4,259.3,AP,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",325,"22,589",,,45.1,15.0,5.7,198.3,,,,,,,,,,6536,Aurora Steel,35.033,99.2,AP,0.454,0.278,,6514,Homunculus Baby,35.033,99.2,AP,0.458,0.335,,6527,Deadly Poison Needle,52.550,66.1,AP,0.460,0.281,,6503,Proof of Hero,52.550,66.1,AP,0.283,0.138,,6533,Stake of Wailing Night,52.550,66.1,AP,0.413,0.257,,,,,,,,,,,,,,,,,,,-1,Blue Gems,35.033,,-2,Red Gems,35.033,,-3,Gold Gems,17.517,,-6,XP,525.5
First: Mimicry Paradise,33.7,40,Lotto 1,4,,4.431,2.638,,6539,Reactor Core of Dawn,36.85,91.5,AP,1.010,0.510,,6550,Scale of Fantasy,63.04,53.5,AP,0.868,0.536,,6202,Secret Gem of Archer,35.4,95.2,AP,0.750,,,7102,Archer Monument,32,105.3,AP,0.460,,,6102,Magic Gem of Archer,16.2,208.0,AP,0.096,,,6002,Gem of Archer,21,160.5,AP,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",402,"27,895",,,53.9,18.0,4.8,160.6,,,,,,,,,,6536,Aurora Steel,41.967,80.3,AP,0.560,0.344,,6514,Homunculus Baby,41.967,80.3,AP,0.565,0.414,,6527,Deadly Poison Needle,62.950,53.5,AP,0.568,0.347,,6503,Proof of Hero,62.950,53.5,AP,0.349,0.171,,6533,Stake of Wailing Night,62.950,53.5,AP,0.510,0.317,,,,,,,,,,,,,,,,,,,-1,Blue Gems,41.967,,-2,Red Gems,41.967,,-3,Gold Gems,20.983,,-6,XP,629.5
Second: Dangerous Tag,27.53,30,Lotto 2,4,,1.495,0.924,,6522,Fool's Chain,28,98.3,AP,0.267,0.159,,6006,Gem of Assassin,17,161.9,AP,0.046,,,7006,Assassin Piece,11.5,239.4,AP,0.066,,,7004,Rider Piece,2.19,"1,257.1",AP,0.015,,,7007,Berserker Piece,1.64,"1,678.7",AP,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",105,"13,415",,,25.5,6.0,12.1,334.0,,,,,,,,,,6536,Aurora Steel,16.487,167.0,AP,0.269,0.165,,6514,Homunculus Baby,16.487,167.0,AP,0.272,0.199,,6527,Deadly Poison Needle,24.730,111.3,AP,0.273,0.167,,6503,Proof of Hero,24.730,111.3,AP,0.168,0.082,,6533,Stake of Wailing Night,24.730,111.3,AP,0.245,0.153,,,,,,,,,,,,,,,,,,,-1,Blue Gems,16.487,,-2,Red Gems,16.487,,-3,Gold Gems,8.243,,-6,XP,247.3
Second: Quiz! Fight and Guts,31.81,35,Lotto 2,4,,1.960,1.149,,6511,Forbidden Page,30.8,103.3,AP,0.589,0.294,,6105,Magic Gem of Caster,9.83,323.6,AP,0.054,,,7005,Caster Piece,13.1,242.8,AP,0.063,,,6005,Gem of Caster,17.2,184.9,AP,0.044,,,7004,Rider Piece,1.91,"1,665.4",AP,0.011,,,7006,Assassin Piece,0.82,"3,879.3",AP,0.004,,,7007,Berserker Piece,1.36,"2,339.0",AP,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",138,"14,980",,,31.9,8.0,9.4,299.1,,,,,,,,,,6536,Aurora Steel,21.273,149.5,AP,0.301,0.184,,6514,Homunculus Baby,21.273,149.5,AP,0.304,0.222,,6527,Deadly Poison Needle,31.910,99.7,AP,0.305,0.186,,6503,Proof of Hero,31.910,99.7,AP,0.188,0.092,,6533,Stake of Wailing Night,31.910,99.7,AP,0.274,0.170,,,,,,,,,,,,,,,,,,,-1,Blue Gems,21.273,,-2,Red Gems,21.273,,-3,Gold Gems,10.637,,-6,XP,319.1
Second: Amazon's Bingo,36.01,40,Lotto 2,4,,2.118,1.308,,6509,Serpent Jewel,21.4,168.3,AP,0.263,0.162,,6538,Soundless Bell,26.7,134.9,AP,0.343,0.203,,6107,Magic Gem of Berserker,12.7,283.5,AP,0.078,,,7107,Berserker Monument,8.79,409.7,AP,0.117,,,6007,Gem of Berserker,28.3,127.2,AP,0.055,,,7104,Rider Monument,1.3,"2,770.0",AP,0.018,,,7105,Caster Monument,2.93,"1,229.0",AP,0.040,,,7106,Assassin Monument,1.3,"2,770.0",AP,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",178,"16,526",,,38.9,10.2,7.5,271.1,,,,,,,,,,6536,Aurora Steel,26.567,135.5,AP,0.332,0.204,,6514,Homunculus Baby,26.567,135.5,AP,0.335,0.245,,6527,Deadly Poison Needle,39.850,90.4,AP,0.336,0.206,,6503,Proof of Hero,39.850,90.4,AP,0.207,0.101,,6533,Stake of Wailing Night,39.850,90.4,AP,0.302,0.188,,,,,,,,,,,,,,,,,,,-1,Blue Gems,26.567,,-2,Red Gems,26.567,,-3,Gold Gems,13.283,,-6,XP,398.5
