Halloween 2023,,Halloween Rising!,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,White ,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Mansion-side Cavern: Misfortune,30,30,Event,12,,0.672,0.366,,6511,Forbidden Page,18,166.7,AP,0.365,0.182,,6545,Divine Leyline Spiritron,20,150.0,AP,0.307,0.183,,6001,Gem of Saber,25.14,119.3,AP,0.062,,,7001,Saber Piece,7.7,389.6,AP,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Mansion-side Cavern: Large Wine,35,35,Event,12,,0.371,0.245,,6516,Evil Bone,69.84,50.1,AP,0.371,0.245,,6005,Gem of Caster,34.75,100.7,AP,0.081,,,7005,Caster Piece,9.79,357.5,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,400",97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Mansion-side Cavern: Beast Grotto,40,40,Event,12,,0.625,0.307,,6510,Eternal Gear,56.27,71.1,AP,0.625,0.307,,6107,Magic Gem of Berserker,24.27,164.8,AP,0.133,,,7007,Berserker Piece,16,250.0,AP,0.078,,,6007,Gem of Berserker,22.67,176.4,AP,0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Sea of Sandstorms,40,40,Event,12,,0.995,0.598,,6543,Crown of Silvery Light,48.83,81.9,AP,0.618,0.354,,6512,Dragon Fang,60.08,66.6,AP,0.377,0.244,,6104,Magic Gem of Rider,22.46,178.1,AP,0.121,,,7004,Rider Piece,19.9,201.0,AP,0.092,,,6004,Gem of Rider,34.6,115.6,AP,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,400",135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Bandit Hideout,40,40,Event,12,,1.266,0.709,,6528,Primordial Lanugo,32.44,123.3,AP,0.834,0.497,,6503,Proof of Hero,92.56,43.2,AP,0.433,0.212,,6103,Magic Gem of Lancer,31.55,126.8,AP,0.158,,,7103,Lancer Monument,11,363.6,AP,0.131,,,6003,Gem of Lancer,34.5,115.9,AP,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,690",392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Forest of Magic: Guardian,40,40,Event,12,,1.553,1.019,,6507,Claw of Chaos,35.64,112.2,AP,0.823,0.486,,6514,Homunculus Baby,64.27,62.2,AP,0.729,0.534,,6101,Magic Gem of Saber,45.29,88.3,AP,0.249,,,7101,Saber Monument,10.4,384.6,AP,0.129,,,6001,Gem of Saber,45,88.9,AP,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,900",173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Forest of Magic: Apology,40,40,Event,12,,3.410,1.811,,6518,Spirit Root,52.87,75.7,AP,2.030,0.994,,6536,Aurora Steel,58.91,67.9,AP,0.663,0.406,,6543,Crown of Silvery Light,56.68,70.6,AP,0.717,0.411,,6201,Secret Gem of Saber,52.58,76.1,AP,0.910,,,7101,Saber Monument,26.4,151.5,AP,0.327,,,6101,Magic Gem of Saber,66.1,60.5,AP,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
House ot Seven,40,40,Event,12,,1.482,0.872,,6519,Warhorse's Young Horn,36.88,108.5,AP,0.793,0.480,,6503,Proof of Hero,59.32,67.4,AP,0.277,0.136,,6533,Stake of Wailing Night,60.37,66.3,AP,0.412,0.256,,6106,Magic Gem of Assassin,34.5,115.9,AP,0.164,,,7106,Assassin Monument,13.1,305.3,AP,0.158,,,6006,Gem of Assassin,43.6,91.7,AP,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Csejte Cinderella: Masked,40,40,Event,12,,1.675,0.918,,6536,Aurora Steel,40.95,97.7,AP,0.461,0.282,,6515,Octuplet Crystal,43.14,92.7,AP,0.499,0.244,,6501,Phoenix Feather,54.48,73.4,AP,0.715,0.391,,6107,Magic Gem of Berserker,42.4,94.3,AP,0.233,,,7107,Berserker Monument,15.8,253.2,AP,0.190,,,6007,Gem of Berserker,56.6,70.7,AP,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Csejte Cinderella: Big Yawn,40,40,Event,12,,3.051,1.803,,6548,Flaming Oni Lantern Plant,51.56,77.6,AP,2.029,1.239,,6503,Proof of Hero,88.91,45.0,AP,0.416,0.203,,6522,Fool's Chain,92.31,43.3,AP,0.607,0.360,,6205,Secret Gem of Caster,43.28,92.4,AP,0.535,,,7105,Caster Monument,26.3,152.1,AP,0.321,,,6105,Magic Gem of Caster,53,75.5,AP,0.233,,,6005,Gem of Caster,64.4,62.1,AP,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
