Halloween 2024,,Halloween Rebellion of 108 People,,Lotto Drop Bonus:,,4,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,Special Sheet for Halloween 2024: Rebellion of 108!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Jobs,Eff,,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,,ID,Material,Drop%
Mount Liang Safety,40,40,715,Event,4,,1.589,0.779,,6511,Forbidden Page,52.78,75.8,AP,0.802,0.365,,6105,Magic Gem of Caster,23.7,168.8,AP,0.105,,,7005,Caster Piece,23.2,172.4,AP,0.089,,,6005,Gem of Caster,30.8,129.9,AP,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,"7,379",,,,6505,Void's Dust,4.00,"1,000.0",AP,0.029,0.013,,6534,Mystic Gunpowder,2.43,"1,647.1",AP,0.017,0.010,,6511,Forbidden Page,9.25,432.4,AP,0.141,0.064,,6513,Meteor Horseshoes,3.60,"1,111.1",AP,0.039,0.023,,6526,Shell of Reminiscence,1.65,"2,424.2",AP,0.019,0.011,,6537,Giant's Ring,0.00,,,,,,6538,Soundless Bell,0.00,,,,,,6541,Arrowhead of Malice,5.83,685.7,AP,0.067,0.040,,6545,Divine Leyline Spiritron,3.00,"1,333.3",AP,0.035,0.021,,6507,Claw of Chaos,2.71,"1,473.7",AP,0.063,0.037,,6518,Spirit Root,3.50,"1,142.9",AP,0.132,0.065,,6520,Tearstone of Blood,3.40,"1,176.5",AP,0.092,0.046,,6528,Primordial Lanugo,1.29,"3,111.1",AP,0.033,0.020,,6531,Mysterious Divine Wine,3.40,"1,176.5",AP,0.121,0.063,,,,-6,XP,190.5
Capture Rampaging Horse,40,40,715,Event,4,,1.393,0.773,,6513,Meteor Horseshoes,55.72,71.8,AP,0.606,0.359,,6004,Gem of Rider,52.49,76.2,AP,0.110,,,7004,Rider Piece,19.15,208.9,AP,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,"7,379",,,,6505,Void's Dust,4.00,"1,000.0",AP,0.029,0.013,,6534,Mystic Gunpowder,2.43,"1,647.1",AP,0.017,0.010,,6511,Forbidden Page,9.25,432.4,AP,0.141,0.064,,6513,Meteor Horseshoes,3.60,"1,111.1",AP,0.039,0.023,,6526,Shell of Reminiscence,1.65,"2,424.2",AP,0.019,0.011,,6537,Giant's Ring,0.00,,,,,,6538,Soundless Bell,0.00,,,,,,6541,Arrowhead of Malice,5.83,685.7,AP,0.067,0.040,,6545,Divine Leyline Spiritron,3.00,"1,333.3",AP,0.035,0.021,,6507,Claw of Chaos,2.71,"1,473.7",AP,0.063,0.037,,6518,Spirit Root,3.50,"1,142.9",AP,0.132,0.065,,6520,Tearstone of Blood,3.40,"1,176.5",AP,0.092,0.046,,6528,Primordial Lanugo,1.29,"3,111.1",AP,0.033,0.020,,6531,Mysterious Divine Wine,3.40,"1,176.5",AP,0.121,0.063,,,,-6,XP,190.5
Ruffian Subjugation Request,40,40,715,Event,4,,1.358,0.735,,6537,Giant's Ring,50.78,78.8,AP,0.571,0.322,,6107,Magic Gem of Berserker,36.81,108.7,AP,0.202,,,7007,Berserker Piece,22.06,181.3,AP,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",185,"7,379",,,,6505,Void's Dust,4.00,"1,000.0",AP,0.029,0.013,,6534,Mystic Gunpowder,2.43,"1,647.1",AP,0.017,0.010,,6511,Forbidden Page,9.25,432.4,AP,0.141,0.064,,6513,Meteor Horseshoes,3.60,"1,111.1",AP,0.039,0.023,,6526,Shell of Reminiscence,1.65,"2,424.2",AP,0.019,0.011,,6537,Giant's Ring,0.00,,,,,,6538,Soundless Bell,0.00,,,,,,6541,Arrowhead of Malice,5.83,685.7,AP,0.067,0.040,,6545,Divine Leyline Spiritron,3.00,"1,333.3",AP,0.035,0.021,,6507,Claw of Chaos,2.71,"1,473.7",AP,0.063,0.037,,6518,Spirit Root,3.50,"1,142.9",AP,0.132,0.065,,6520,Tearstone of Blood,3.40,"1,176.5",AP,0.092,0.046,,6528,Primordial Lanugo,1.29,"3,111.1",AP,0.033,0.020,,6531,Mysterious Divine Wine,3.40,"1,176.5",AP,0.121,0.063,,,,-6,XP,190.5
Resolve Racket in Tavern,40,40,815,Event,4,,1.524,0.791,,6510,Eternal Gear,33.94,117.9,AP,0.368,0.182,,6532,Refined Magatama,33.44,119.6,AP,0.369,0.196,,6101,Magic Gem of Saber,30.68,130.4,AP,0.170,,,7101,Saber Monument,15.8,253.2,AP,0.196,,,6001,Gem of Saber,22.94,174.4,AP,0.043,,,,,,,,,,,,,,,,,,,"8,400",210,"7,379",,,,6505,Void's Dust,4.00,"1,000.0",AP,0.029,0.013,,6534,Mystic Gunpowder,2.43,"1,647.1",AP,0.017,0.010,,6511,Forbidden Page,9.25,432.4,AP,0.141,0.064,,6513,Meteor Horseshoes,3.60,"1,111.1",AP,0.039,0.023,,6526,Shell of Reminiscence,1.65,"2,424.2",AP,0.019,0.011,,6537,Giant's Ring,0.00,,,,,,6538,Soundless Bell,0.00,,,,,,6541,Arrowhead of Malice,5.83,685.7,AP,0.067,0.040,,6545,Divine Leyline Spiritron,3.00,"1,333.3",AP,0.035,0.021,,6507,Claw of Chaos,2.71,"1,473.7",AP,0.063,0.037,,6518,Spirit Root,3.50,"1,142.9",AP,0.132,0.065,,6520,Tearstone of Blood,3.40,"1,176.5",AP,0.092,0.046,,6528,Primordial Lanugo,1.29,"3,111.1",AP,0.033,0.020,,6531,Mysterious Divine Wine,3.40,"1,176.5",AP,0.121,0.063,,,,-6,XP,190.5
Reclaim Lake Shore Route,40,40,815,Event,4,,1.699,0.948,,6521,Black Beast Grease,22.18,180.3,AP,0.514,0.313,,6530,Mystic Spinal Fluid,55.46,72.1,AP,0.398,0.221,,6106,Magic Gem of Assassin,33.8,118.3,AP,0.161,,,7106,Assassin Monument,13.17,303.7,AP,0.159,,,6006,Gem of Assassin,21.84,183.2,AP,0.040,,,,,,,,,,,,,,,,,,,"8,400",210,"7,379",,,,6505,Void's Dust,4.00,"1,000.0",AP,0.029,0.013,,6534,Mystic Gunpowder,2.43,"1,647.1",AP,0.017,0.010,,6511,Forbidden Page,9.25,432.4,AP,0.141,0.064,,6513,Meteor Horseshoes,3.60,"1,111.1",AP,0.039,0.023,,6526,Shell of Reminiscence,1.65,"2,424.2",AP,0.019,0.011,,6537,Giant's Ring,0.00,,,,,,6538,Soundless Bell,0.00,,,,,,6541,Arrowhead of Malice,5.83,685.7,AP,0.067,0.040,,6545,Divine Leyline Spiritron,3.00,"1,333.3",AP,0.035,0.021,,6507,Claw of Chaos,2.71,"1,473.7",AP,0.063,0.037,,6518,Spirit Root,3.50,"1,142.9",AP,0.132,0.065,,6520,Tearstone of Blood,3.40,"1,176.5",AP,0.092,0.046,,6528,Primordial Lanugo,1.29,"3,111.1",AP,0.033,0.020,,6531,Mysterious Divine Wine,3.40,"1,176.5",AP,0.121,0.063,,,,-6,XP,190.5
Tournament w/ Village,40,40,815,Event,4,,1.723,0.925,,6519,Warhorse's Young Horn,23.28,171.8,AP,0.501,0.297,,6515,Octuplet Crystal,37.68,106.2,AP,0.435,0.214,,6103,Magic Gem of Lancer,29.98,133.4,AP,0.151,,,7103,Lancer Monument,16.94,236.1,AP,0.202,,,6003,Gem of Lancer,29.35,136.3,AP,0.062,,,,,,,,,,,,,,,,,,,"8,400",210,"7,379",,,,6505,Void's Dust,4.00,"1,000.0",AP,0.029,0.013,,6534,Mystic Gunpowder,2.43,"1,647.1",AP,0.017,0.010,,6511,Forbidden Page,9.25,432.4,AP,0.141,0.064,,6513,Meteor Horseshoes,3.60,"1,111.1",AP,0.039,0.023,,6526,Shell of Reminiscence,1.65,"2,424.2",AP,0.019,0.011,,6537,Giant's Ring,0.00,,,,,,6538,Soundless Bell,0.00,,,,,,6541,Arrowhead of Malice,5.83,685.7,AP,0.067,0.040,,6545,Divine Leyline Spiritron,3.00,"1,333.3",AP,0.035,0.021,,6507,Claw of Chaos,2.71,"1,473.7",AP,0.063,0.037,,6518,Spirit Root,3.50,"1,142.9",AP,0.132,0.065,,6520,Tearstone of Blood,3.40,"1,176.5",AP,0.092,0.046,,6528,Primordial Lanugo,1.29,"3,111.1",AP,0.033,0.020,,6531,Mysterious Divine Wine,3.40,"1,176.5",AP,0.121,0.063,,,,-6,XP,190.5
Suppress Advance of Org,40,40,915,Event,4,,2.026,1.144,,6542,Egg of Truth,21.66,184.7,AP,0.862,0.506,,6527,Deadly Poison Needle,49.59,80.7,AP,0.377,0.224,,6202,Secret Gem of Archer,25.94,154.2,AP,0.465,,,7102,Archer Monument,20.78,192.5,AP,0.251,,,6002,Gem of Archer,33.9,118.0,AP,0.061,,,,,,,,,,,,,,,,,,,"9,400",235,"7,379",,,,6505,Void's Dust,4.00,"1,000.0",AP,0.029,0.013,,6534,Mystic Gunpowder,2.43,"1,647.1",AP,0.017,0.010,,6511,Forbidden Page,9.25,432.4,AP,0.141,0.064,,6513,Meteor Horseshoes,3.60,"1,111.1",AP,0.039,0.023,,6526,Shell of Reminiscence,1.65,"2,424.2",AP,0.019,0.011,,6537,Giant's Ring,0.00,,,,,,6538,Soundless Bell,0.00,,,,,,6541,Arrowhead of Malice,5.83,685.7,AP,0.067,0.040,,6545,Divine Leyline Spiritron,3.00,"1,333.3",AP,0.035,0.021,,6507,Claw of Chaos,2.71,"1,473.7",AP,0.063,0.037,,6518,Spirit Root,3.50,"1,142.9",AP,0.132,0.065,,6520,Tearstone of Blood,3.40,"1,176.5",AP,0.092,0.046,,6528,Primordial Lanugo,1.29,"3,111.1",AP,0.033,0.020,,6531,Mysterious Divine Wine,3.40,"1,176.5",AP,0.121,0.063,,,,-6,XP,190.5
Restrain Corrupt Merchants,40,40,915,Event,4,,1.996,1.019,,6525,Scarab of Wisdom,21.41,186.8,AP,0.820,0.373,,6522,Fool's Chain,59.18,67.6,AP,0.389,0.233,,6205,Secret Gem of Caster,26.42,151.4,AP,0.327,,,7105,Caster Monument,20.19,198.1,AP,0.246,,,6005,Gem of Caster,32.26,124.0,AP,0.065,,,,,,,,,,,,,,,,,,,"9,400",235,"7,379",,,,6505,Void's Dust,4.00,"1,000.0",AP,0.029,0.013,,6534,Mystic Gunpowder,2.43,"1,647.1",AP,0.017,0.010,,6511,Forbidden Page,9.25,432.4,AP,0.141,0.064,,6513,Meteor Horseshoes,3.60,"1,111.1",AP,0.039,0.023,,6526,Shell of Reminiscence,1.65,"2,424.2",AP,0.019,0.011,,6537,Giant's Ring,0.00,,,,,,6538,Soundless Bell,0.00,,,,,,6541,Arrowhead of Malice,5.83,685.7,AP,0.067,0.040,,6545,Divine Leyline Spiritron,3.00,"1,333.3",AP,0.035,0.021,,6507,Claw of Chaos,2.71,"1,473.7",AP,0.063,0.037,,6518,Spirit Root,3.50,"1,142.9",AP,0.132,0.065,,6520,Tearstone of Blood,3.40,"1,176.5",AP,0.092,0.046,,6528,Primordial Lanugo,1.29,"3,111.1",AP,0.033,0.020,,6531,Mysterious Divine Wine,3.40,"1,176.5",AP,0.121,0.063,,,,-6,XP,190.5
Demonic Cavern Survey,40,40,915,Event,4,,2.096,1.205,,6548,Flaming Oni Lantern Plant,21.25,188.2,AP,0.832,0.509,,6508,Ghost Lantern,41.76,95.8,AP,0.477,0.282,,6207,Secret Gem of Berserker,31.58,126.7,AP,0.587,,,7107,Berserker Monument,21.3,187.8,AP,0.257,,,6007,Gem of Berserker,35.19,113.7,AP,0.061,,,,,,,,,,,,,,,,,,,"9,400",235,"7,379",,,,6505,Void's Dust,4.00,"1,000.0",AP,0.029,0.013,,6534,Mystic Gunpowder,2.43,"1,647.1",AP,0.017,0.010,,6511,Forbidden Page,9.25,432.4,AP,0.141,0.064,,6513,Meteor Horseshoes,3.60,"1,111.1",AP,0.039,0.023,,6526,Shell of Reminiscence,1.65,"2,424.2",AP,0.019,0.011,,6537,Giant's Ring,0.00,,,,,,6538,Soundless Bell,0.00,,,,,,6541,Arrowhead of Malice,5.83,685.7,AP,0.067,0.040,,6545,Divine Leyline Spiritron,3.00,"1,333.3",AP,0.035,0.021,,6507,Claw of Chaos,2.71,"1,473.7",AP,0.063,0.037,,6518,Spirit Root,3.50,"1,142.9",AP,0.132,0.065,,6520,Tearstone of Blood,3.40,"1,176.5",AP,0.092,0.046,,6528,Primordial Lanugo,1.29,"3,111.1",AP,0.033,0.020,,6531,Mysterious Divine Wine,3.40,"1,176.5",AP,0.121,0.063,,,,-6,XP,190.5
Expose the Smugglers,40,40,"1,098",Event,4,,2.496,1.276,,6517,Heart of the Foreign God,26,153.8,AP,0.985,0.448,,6524,Great Knight Medal,53.33,75.0,AP,0.724,0.414,,6204,Secret Gem of Rider,31.05,128.8,AP,0.570,,,7104,Rider Monument,26.73,149.6,AP,0.329,,,6104,Magic Gem of Rider,33.9,118.0,AP,0.183,,,,,,,,,,,,,,,,,,,"11,280",282,"7,379",,,,6505,Void's Dust,4.00,"1,000.0",AP,0.029,0.013,,6534,Mystic Gunpowder,2.43,"1,647.1",AP,0.017,0.010,,6511,Forbidden Page,9.25,432.4,AP,0.141,0.064,,6513,Meteor Horseshoes,3.60,"1,111.1",AP,0.039,0.023,,6526,Shell of Reminiscence,1.65,"2,424.2",AP,0.019,0.011,,6537,Giant's Ring,0.00,,,,,,6538,Soundless Bell,0.00,,,,,,6541,Arrowhead of Malice,5.83,685.7,AP,0.067,0.040,,6545,Divine Leyline Spiritron,3.00,"1,333.3",AP,0.035,0.021,,6507,Claw of Chaos,2.71,"1,473.7",AP,0.063,0.037,,6518,Spirit Root,3.50,"1,142.9",AP,0.132,0.065,,6520,Tearstone of Blood,3.40,"1,176.5",AP,0.092,0.046,,6528,Primordial Lanugo,1.29,"3,111.1",AP,0.033,0.020,,6531,Mysterious Divine Wine,3.40,"1,176.5",AP,0.121,0.063,,,,-6,XP,190.5
