Hunting Quest 13,,Hunting Quest 13,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Skeleton: Pride+,40,40,Event,12,,1.978,1.316,,6535,Eternal Ice,44.72,89.4,AP,0.457,0.314,,6516,Evil Bone,327,12.2,AP,1.521,1.002,,6201,Secret Gem of Saber,21.74,184.0,AP,0.376,,,6101,Magic Gem of Saber,18.63,214.7,AP,0.103,,,6001,Gem of Saber,7.45,536.9,AP,0.014,,,9701500,Saber Hellfire,178,22.5,AP,1.006,,,9701400,Saber Blaze,743,5.4,AP,3.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"458,480",11462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Skeleton: Pride++,40,40,Event,12,,2.494,1.658,,6535,Eternal Ice,50.68,78.9,AP,0.518,0.355,,6516,Evil Bone,425,9.4,AP,1.976,1.303,,6201,Secret Gem of Saber,27.4,146.0,AP,0.474,,,6101,Magic Gem of Saber,23.46,170.5,AP,0.130,,,6001,Gem of Saber,5.31,753.3,AP,0.010,,,9701500,Saber Hellfire,173,23.1,AP,0.977,,,9701400,Saber Blaze,886,4.5,AP,4.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"520,336",13008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Merman: Pride+,40,40,Event,12,,2.081,1.319,,6535,Eternal Ice,45.83,87.3,AP,0.469,0.321,,6526,Shell of Reminiscense,139,28.8,AP,1.612,0.998,,6204,Secret Gem of Rider,25,160.0,AP,0.459,,,6104,Magic Gem of Rider,19.44,205.8,AP,0.105,,,6004,Gem of Rider,9.72,411.5,AP,0.020,,,9704500,Rider Hellfire,175,22.9,AP,16.660,,,9704400,Rider Blaze,746,5.4,AP,1.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"469,580",11740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Merman: Pride++,40,40,Event,12,,2.508,1.585,,6535,Eternal Ice,49.01,81.6,AP,0.501,0.344,,6526,Shell of Reminiscense,173,23.1,AP,2.007,1.242,,6204,Secret Gem of Rider,26.7,149.8,AP,0.490,,,6104,Magic Gem of Rider,20.6,194.2,AP,0.111,,,6004,Gem of Rider,6.44,621.1,AP,0.014,,,9704500,Rider Hellfire,173,23.1,AP,16.470,,,9704400,Rider Blaze,920,4.3,AP,1.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"503,636",12591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Greenman:Pride+,40,40,Event,12,,3.248,1.783,,6518,Spirit Root,45.86,87.2,AP,1.761,0.860,,6535,Eternal Ice,42.86,93.3,AP,0.438,0.301,,6538,Soundless Bell,90.98,44.0,AP,1.049,0.623,,6205,Secret Gem of Caster,17.29,231.3,AP,0.214,,,6105,Magic Gem of Caster,23.31,171.6,AP,0.103,,,6005,Gem of Caster,9.02,443.5,AP,0.018,,,9705500,Caster Hellfire,183,21.9,AP,0.581,,,9705400,Caster Blaze,729,5.5,AP,3.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"439,880",10997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Greenman:Pride++,40,40,Event,12,,3.722,2.049,,6518,Spirit Root,51.34,77.9,AP,1.971,0.962,,6535,Eternal Ice,49.49,80.8,AP,0.506,0.347,,6538,Soundless Bell,108,37.0,AP,1.245,0.739,,6205,Secret Gem of Caster,26.06,153.5,AP,0.322,,,6105,Magic Gem of Caster,22.92,174.5,AP,0.101,,,6005,Gem of Caster,5.89,679.1,AP,0.012,,,9705500,Caster Hellfire,174,23.0,AP,0.552,,,9705400,Caster Blaze,919,4.4,AP,4.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"508,436",12711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Maha Naga: Pride,40,40,Event,12,,2.860,1.737,,6542,Egg of Truth,36.24,110.4,AP,1.457,0.852,,6535,Eternal Ice,37.58,106.4,AP,0.384,0.264,,6527,Deadly Poison Needle,134,29.9,AP,1.018,0.621,,6203,Secret Gem of Lancer,20.13,198.7,AP,0.370,,,6103,Magic Gem of Lancer,20.13,198.7,AP,0.101,,,6003,Gem of Lancer,5.37,744.9,AP,0.011,,,9702500,Lancer Hellfire,180,22.2,AP,9.437,,,9702400,Lancer Blaze,603,6.6,AP,3.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"385,200",9630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Maha Naga: Pride+,40,40,Event,12,,3.275,1.987,,6542,Egg of Truth,40.45,98.9,AP,1.626,0.951,,6535,Eternal Ice,39.33,101.7,AP,0.402,0.276,,6527,Deadly Poison Needle,164,24.4,AP,1.246,0.760,,6203,Secret Gem of Lancer,23.6,169.5,AP,0.434,,,6103,Magic Gem of Lancer,22.47,178.0,AP,0.113,,,6003,Gem of Lancer,7.87,508.3,AP,0.017,,,9702500,Lancer Hellfire,176,22.7,AP,9.227,,,9702400,Lancer Blaze,718,5.6,AP,4.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"404,580",10115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Maha Naga: Pride++,40,40,Event,12,,3.655,2.221,,6542,Egg of Truth,47.14,84.9,AP,1.895,1.109,,6535,Eternal Ice,49.52,80.8,AP,0.506,0.347,,6527,Deadly Poison Needle,165,24.2,AP,1.254,0.765,,6203,Secret Gem of Lancer,27.19,147.1,AP,0.500,,,6103,Magic Gem of Lancer,24.61,162.5,AP,0.124,,,6003,Gem of Lancer,5.92,675.7,AP,0.012,,,9702500,Lancer Hellfire,173,23.1,AP,9.070,,,9702400,Lancer Blaze,925,4.3,AP,5.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"508,736",12718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Chimera: Pride,40,40,Event,12,,2.728,1.619,,6507,Claw of Chaos,67.86,58.9,AP,1.568,0.932,,6535,Eternal Ice,34.52,115.9,AP,0.353,0.242,,6530,Mystic Spinal Fluid,113,35.4,AP,0.808,0.445,,6202,Secret Gem of Archer,9.52,420.2,AP,0.170,,,6102,Magic Gem of Archer,29.76,134.4,AP,0.149,,,6002,Gem of Archer,7.14,560.2,AP,0.013,,,9703500,Archer Hellfire,190,21.1,AP,19.062,,,9703400,Archer Blaze,615,6.5,AP,3.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"354,600",8865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
