Ilya's Castle,,Fuun Karakury Ilya's Castle,Lotto Drop Bonus:,,,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,White ,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
First: Waterfall of Success,30,30,Lotto 1,,,0.351,0.183,,6532,Refined Magatama,23.85,125.8,AP,0.351,0.183,,6004,Gem of Rider,9.61,312.2,AP,0.027,,,7004,Rider Piece,1.92,"1,562.5",AP,0.012,,,7003,Lancer Piece,3.84,781.3,AP,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",97,,,,23.7,5.9,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6516,Evil Bone,,,,,,,6512,Dragon Fang,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
First: Beast Buster,35,35,Lotto 1,,,0.352,0.192,,6502,Seed of Yggdrasil,35.1,99.7,AP,0.352,0.192,,6105,Magic Gem of Caster,10.4,336.5,AP,0.052,,,7005,Caster Piece,6.79,515.5,AP,0.030,,,6005,Gem of Caster,12.3,284.6,AP,0.029,,,7001,Saber Piece,3.08,"1,136.4",AP,0.017,,,7006,Assassin Piece,7.4,473.0,AP,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",126,,,,30.0,7.7,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6516,Evil Bone,,,,,,,6512,Dragon Fang,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
First: Door Towards Emancipation,40,40,Lotto 1,,,0.481,0.282,,6549,Small Bell of Absolution,66.36,60.3,AP,0.481,0.282,,6003,Gem of Lancer,27.5,145.5,AP,0.058,,,7103,Lancer Monument,6.41,624.0,AP,0.077,,,7106,Assassin Monument,4.48,892.9,AP,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,36.4,10.1,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6516,Evil Bone,,,,,,,6512,Dragon Fang,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
First: The First Down,40,40,Lotto 1,,,0.751,0.442,,6530,Mystic Spinal Fluid,51.97,77.0,AP,0.373,0.204,,6551,Twilit Ritual Sword,52.39,76.4,AP,0.379,0.239,,6102,Magic Gem of Archer,8.07,495.7,AP,0.040,,,7102,Archer Monument,10,400.0,AP,0.121,,,6002,Gem of Archer,9.61,416.2,AP,0.017,,,7101,Saber Monument,6.92,578.0,AP,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",210,,,,35.3,11.8,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6516,Evil Bone,,,,,,,6512,Dragon Fang,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
First: Ayakashi Residence,40,40,Lotto 1,,,0.871,0.494,,6508,Ghost Lantern,39.4,101.5,AP,0.451,0.289,,6515,Octuplet Crystal,36.3,110.2,AP,0.420,0.206,,6106,Magic Gem of Assassin,55.7,71.8,AP,0.265,,,7104,Rider Monument,4.06,985.2,AP,0.049,,,7105,Caster Monument,4.37,915.3,AP,0.053,,,7106,Assassin Monument,12.9,310.1,AP,0.155,,,7107,Berserker Monument,3.56,"1,123.6",AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",235,,,,45.2,15.1,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6516,Evil Bone,,,,,,,6512,Dragon Fang,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
First: Check of Beg - Yang,40,40,Lotto 1,,,1.470,0.720,,6518,Spirit Root,25.9,154.4,AP,0.995,0.487,,6505,Void's Dust,65.8,60.8,AP,0.475,0.234,,6201,Secret Gem of Saber,31,129.0,AP,0.536,,,7101,Saber Monument,27.4,146.0,AP,0.340,,,6101,Magic Gem of Saber,11.2,357.1,AP,0.062,,,6001,Gem of Saber,11.7,341.9,AP,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",282,,,,49.5,16.5,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6516,Evil Bone,,,,,,,6512,Dragon Fang,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
First: Check of Beg - Yin,40,40,Lotto 1,,,1.835,1.085,,6544,Fragment of a Twinkling Star,31,129.0,AP,1.152,0.677,,6545,Divine Leyline Spiritron,59.3,67.5,AP,0.683,0.408,,6207,Secret Gem of Berserker,31.8,125.8,AP,0.595,,,7107,Berserker Monument,5.82,687.3,AP,0.070,,,6007,Gem of Berserker,30.6,130.7,AP,0.054,,,7104,Rider Monument,5.6,714.3,AP,0.068,,,7105,Caster Monument,5.73,698.1,AP,0.070,,,7106,Assassin Monument,16.9,236.7,AP,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",338,,,,52.1,17.4,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6516,Evil Bone,,,,,,,6512,Dragon Fang,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Second: Rice Ball Slope,30,30,Lotto 2,,,0.417,0.239,,6524,Great Knight Medal,23.1,129.9,AP,0.417,0.239,,6005,Gem of Caster,14.4,208.3,AP,0.039,,,7004,Rider Piece,1.44,"2,083.3",AP,0.009,,,7005,Caster Piece,7.24,414.4,AP,0.037,,,7006,Assassin Piece,4.34,691.2,AP,0.023,,,7007,Berserker Piece,2.89,"1,038.1",AP,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",97,,,,25.5,6.0,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6516,Evil Bone,,,,,,,6512,Dragon Fang,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Second: Goblin World,35,35,Lotto 2,,,0.364,0.216,,6538,Soundless Bell,27.6,126.8,AP,0.364,0.216,,6001,Gem of Saber,22.3,157.0,AP,0.047,,,7001,Saber Piece,15.3,228.8,AP,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",126,,,,30.3,7.9,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6516,Evil Bone,,,,,,,6512,Dragon Fang,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
Second: 3.03cm Boat,40,40,Lotto 2,,,0.506,0.314,,6526,Shell of Reminiscense,43.5,92.0,AP,0.506,0.314,,6004,Gem of Rider,34,117.6,AP,0.071,,,7104,Rider Monument,11,363.6,AP,0.134,,,7107,Berserker Monument,5.5,727.3,AP,0.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",160,,,,38.4,10.1,,,,,,,,,,,,6511,Forbidden Page,,,,,,,6524,Great Knight Medal,,,,,,,6516,Evil Bone,,,,,,,6512,Dragon Fang,,,,,,,6522,Fool's Chain,,,,,,,,,,,,,,,,,,,,,,,,-1,Blue Gems,,,-2,Red Gems,,,-3,Gold Gems,,,-6,XP,
