Ilya's Castle,,Fuun Karakury Ilya's Castle,Lotto Drop Bonus:,,10,,Apple AP Buyback?:,X,,,Event Run Caps:,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Type,Lotto,White ,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
First: Waterfall of Success,25.85,30,Lotto 1,10,,2.758,1.576,,6532,Refined Magatama,23.85,108.4,AP,0.407,0.212,,6004,Gem of Rider,9.61,269.0,AP,0.031,,,7004,Rider Piece,1.92,"1,346.4",AP,0.014,,,7003,Lancer Piece,3.84,673.2,AP,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",112,"23,945",,,23.7,5.9,7.2,187.1,,,,,,,,,,6511,Forbidden Page,27.633,93.5,AP,0.650,0.325,,6524,Great Knight Medal,27.633,93.5,AP,0.578,0.331,,6516,Evil Bone,41.450,62.4,AP,0.298,0.197,,6512,Dragon Fang,41.450,62.4,AP,0.402,0.260,,6522,Fool's Chain,41.450,62.4,AP,0.422,0.250,,,,,,,,,,,,,,,,,,,-1,Blue Gems,27.633,,-2,Red Gems,27.633,,-3,Gold Gems,13.817,,-6,XP,414.5
First: Beast Buster,29.63,35,Lotto 1,10,,3.073,1.768,,6502,Seed of Yggdrasil,35.1,84.4,AP,0.416,0.227,,6105,Magic Gem of Caster,10.4,284.9,AP,0.062,,,7005,Caster Piece,6.79,436.4,AP,0.035,,,6005,Gem of Caster,12.3,240.9,AP,0.034,,,7001,Saber Piece,3.08,962.0,AP,0.020,,,7006,Assassin Piece,7.4,400.4,AP,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",148,"27,064",,,30.0,7.7,5.6,165.5,,,,,,,,,,6511,Forbidden Page,35.800,82.8,AP,0.735,0.367,,6524,Great Knight Medal,35.800,82.8,AP,0.654,0.375,,6516,Evil Bone,53.700,55.2,AP,0.337,0.222,,6512,Dragon Fang,53.700,55.2,AP,0.455,0.294,,6522,Fool's Chain,53.700,55.2,AP,0.477,0.283,,,,,,,,,,,,,,,,,,,-1,Blue Gems,35.800,,-2,Red Gems,35.800,,-3,Gold Gems,17.900,,-6,XP,537.0
First: Door Towards Emancipation,33.13,40,Lotto 1,10,,3.621,2.103,,6549,Small Bell of Absolution,66.36,49.9,AP,0.581,0.340,,6003,Gem of Lancer,27.5,120.5,AP,0.070,,,7103,Lancer Monument,6.41,516.8,AP,0.092,,,7106,Assassin Monument,4.48,739.5,AP,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",193,"30,966",,,36.4,10.1,4.4,144.7,,,,,,,,,,6511,Forbidden Page,45.800,72.3,AP,0.841,0.420,,6524,Great Knight Medal,45.800,72.3,AP,0.748,0.429,,6516,Evil Bone,68.700,48.2,AP,0.386,0.254,,6512,Dragon Fang,68.700,48.2,AP,0.520,0.337,,6522,Fool's Chain,68.700,48.2,AP,0.545,0.323,,,,,,,,,,,,,,,,,,,-1,Blue Gems,45.800,,-2,Red Gems,45.800,,-3,Gold Gems,22.900,,-6,XP,687.0
First: The First Down,32.36,40,Lotto 1,10,,4.392,2.555,,6530,Mystic Spinal Fluid,51.97,62.3,AP,0.461,0.252,,6551,Twilit Ritual Sword,52.39,61.8,AP,0.468,0.295,,6102,Magic Gem of Archer,8.07,401.0,AP,0.050,,,7102,Archer Monument,10,323.6,AP,0.150,,,6002,Gem of Archer,9.61,336.7,AP,0.021,,,7101,Saber Monument,6.92,467.6,AP,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",260,"35,275",,,35.3,11.8,3.9,127.0,,,,,,,,,,6511,Forbidden Page,50.960,63.5,AP,0.957,0.479,,6524,Great Knight Medal,50.960,63.5,AP,0.852,0.488,,6516,Evil Bone,76.440,42.3,AP,0.439,0.290,,6512,Dragon Fang,76.440,42.3,AP,0.593,0.384,,6522,Fool's Chain,76.440,42.3,AP,0.621,0.368,,,,,,,,,,,,,,,,,,,-1,Blue Gems,50.960,,-2,Red Gems,50.960,,-3,Gold Gems,25.480,,-6,XP,764.4
First: Ayakashi Residence,30.2,40,Lotto 1,10,,5.912,3.414,,6508,Ghost Lantern,39.4,76.6,AP,0.598,0.382,,6515,Octuplet Crystal,36.3,83.2,AP,0.557,0.272,,6106,Magic Gem of Assassin,55.7,54.2,AP,0.350,,,7104,Rider Monument,4.06,743.8,AP,0.065,,,7105,Caster Monument,4.37,691.1,AP,0.071,,,7106,Assassin Monument,12.9,234.1,AP,0.206,,,7107,Berserker Monument,3.56,848.3,AP,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",311,"48,469",,,45.2,15.1,3.1,92.4,,,,,,,,,,6511,Forbidden Page,65.347,46.2,AP,1.316,0.658,,6524,Great Knight Medal,65.347,46.2,AP,1.171,0.671,,6516,Evil Bone,98.020,30.8,AP,0.604,0.398,,6512,Dragon Fang,98.020,30.8,AP,0.815,0.527,,6522,Fool's Chain,98.020,30.8,AP,0.854,0.506,,,,,,,,,,,,,,,,,,,-1,Blue Gems,65.347,,-2,Red Gems,65.347,,-3,Gold Gems,32.673,,-6,XP,980.2
First: Check of Beg - Yang,29.27,40,Lotto 1,10,,7.384,4.102,,6518,Spirit Root,25.9,113.0,AP,1.359,0.665,,6505,Void's Dust,65.8,44.5,AP,0.650,0.319,,6201,Secret Gem of Saber,31,94.4,AP,0.733,,,7101,Saber Monument,27.4,106.8,AP,0.464,,,6101,Magic Gem of Saber,11.2,261.3,AP,0.084,,,6001,Gem of Saber,11.7,250.2,AP,0.030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",385,"54,751",,,49.5,16.5,2.8,81.8,,,,,,,,,,6511,Forbidden Page,71.543,40.9,AP,1.486,0.743,,6524,Great Knight Medal,71.543,40.9,AP,1.322,0.758,,6516,Evil Bone,107.315,27.3,AP,0.682,0.450,,6512,Dragon Fang,107.315,27.3,AP,0.920,0.595,,6522,Fool's Chain,107.315,27.3,AP,0.964,0.572,,,,,,,,,,,,,,,,,,,-1,Blue Gems,71.543,,-2,Red Gems,71.543,,-3,Gold Gems,35.772,,-6,XP,1073.2
First: Check of Beg - Yin,28.7,40,Lotto 1,10,,8.328,4.859,,6544,Fragment of a Twinkling Star,31,92.6,AP,1.605,0.944,,6545,Divine Leyline Spiritron,59.3,48.4,AP,0.953,0.568,,6207,Secret Gem of Berserker,31.8,90.3,AP,0.829,,,7107,Berserker Monument,5.82,493.1,AP,0.097,,,6007,Gem of Berserker,30.6,93.8,AP,0.075,,,7104,Rider Monument,5.6,512.5,AP,0.095,,,7105,Caster Monument,5.73,500.9,AP,0.097,,,7106,Assassin Monument,16.9,169.8,AP,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,536",472,"58,781",,,52.1,17.4,2.7,76.2,,,,,,,,,,6511,Forbidden Page,75.313,38.1,AP,1.595,0.798,,6524,Great Knight Medal,75.313,38.1,AP,1.420,0.813,,6516,Evil Bone,112.970,25.4,AP,0.732,0.483,,6512,Dragon Fang,112.970,25.4,AP,0.988,0.639,,6522,Fool's Chain,112.970,25.4,AP,1.035,0.614,,,,,,,,,,,,,,,,,,,-1,Blue Gems,75.313,,-2,Red Gems,75.313,,-3,Gold Gems,37.657,,-6,XP,1129.7
Second: Rice Ball Slope,25.71,30,Lotto 2,10,,2.929,1.696,,6524,Great Knight Medal,23.1,111.3,AP,0.486,0.279,,6005,Gem of Caster,14.4,178.5,AP,0.046,,,7004,Rider Piece,1.44,"1,785.4",AP,0.010,,,7005,Caster Piece,7.24,355.1,AP,0.043,,,7006,Assassin Piece,4.34,592.4,AP,0.027,,,7007,Berserker Piece,2.89,889.6,AP,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,900",113,"24,889",,,25.5,6.0,7.0,180.0,,,,,,,,,,6511,Forbidden Page,28.567,90.0,AP,0.676,0.338,,6524,Great Knight Medal,28.567,90.0,AP,0.601,0.344,,6516,Evil Bone,42.850,60.0,AP,0.310,0.204,,6512,Dragon Fang,42.850,60.0,AP,0.418,0.271,,6522,Fool's Chain,42.850,60.0,AP,0.438,0.260,,,,,,,,,,,,,,,,,,,-1,Blue Gems,28.567,,-2,Red Gems,28.567,,-3,Gold Gems,14.283,,-6,XP,428.5
Second: Goblin World,29.56,35,Lotto 2,10,,3.129,1.820,,6538,Soundless Bell,27.6,107.1,AP,0.431,0.256,,6001,Gem of Saber,22.3,132.6,AP,0.056,,,7001,Saber Piece,15.3,193.2,AP,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",149,"27,482",,,30.3,7.9,5.5,163.0,,,,,,,,,,6511,Forbidden Page,36.267,81.5,AP,0.746,0.373,,6524,Great Knight Medal,36.267,81.5,AP,0.664,0.380,,6516,Evil Bone,54.400,54.3,AP,0.342,0.226,,6512,Dragon Fang,54.400,54.3,AP,0.462,0.299,,6522,Fool's Chain,54.400,54.3,AP,0.484,0.287,,,,,,,,,,,,,,,,,,,-1,Blue Gems,36.267,,-2,Red Gems,36.267,,-3,Gold Gems,18.133,,-6,XP,544.0
Second: 3.03cm Boat,33.03,40,Lotto 2,10,,3.706,2.175,,6526,Shell of Reminiscense,43.5,75.9,AP,0.612,0.381,,6004,Gem of Rider,34,97.1,AP,0.086,,,7104,Rider Monument,11,300.3,AP,0.162,,,7107,Berserker Monument,5.5,600.5,AP,0.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",194,"31,512",,,38.4,10.1,4.3,142.2,,,,,,,,,,6511,Forbidden Page,46.467,71.1,AP,0.855,0.428,,6524,Great Knight Medal,46.467,71.1,AP,0.761,0.436,,6516,Evil Bone,69.700,47.4,AP,0.392,0.259,,6512,Dragon Fang,69.700,47.4,AP,0.530,0.343,,6522,Fool's Chain,69.700,47.4,AP,0.555,0.329,,,,,,,,,,,,,,,,,,,-1,Blue Gems,46.467,,-2,Red Gems,46.467,,-3,Gold Gems,23.233,,-6,XP,697.0
